در	門
رستاخیز	末日
رستاخیز	復活
حشره	昆蟲
بیوگرافی	自傳
بیوگرافی	傳記
جبری	代數
شورشی	叛軍
شورشی	叛亂份子
شورشی	反叛
شورشی	叛亂分子
شکوفایی	開花
شکوفایی	綻放
شکوفایی	盛開
منطبق	相同
عهدنامه	條約
اقتصاددان	經濟學家
کنش	動作
کنش	行動
پاهای	腳
پاهای	英尺
تنظیمات	優惠
تنظیمات	調整
تنظیمات	偏好
تنظیمات	設定
تنظیمات	喜好
آمیخته	混合物
لیسبون	里斯本
دانیال	丹尼爾
دوز	劑量
دوز	用量
تحقیقی	獎學金
فمینیسم	女權主義
سکولار	世俗
تأخیر	拖延
تأخیر	延誤
تأخیر	延遲
تأخیر	延後
تأخیر	推遲
آشوب	混亂
آشوب	混沌
آشوب	騷動
بالقوه	潛力
بالقوه	潛在
نخاعی	脊髓
زینتی	裝飾品
سقط	人工流產
سقط	墮胎
سقط	流產
دیزل	柴油
تماشای	觀看
الکترونی	電子
درآمدی	收入
قطره	下降
قطره	滴
باطل	假
باطل	虛榮
باطل	虛假
نیرومند	強國
نیرومند	強大
آنالوگ	模擬
آنالوگ	類比
جونگ	鄭
جونگ	鐘
اصابت	影響
اصابت	影響力
اصابت	撞擊
اصابت	衝擊
عاطفی	情感
اسکن	掃瞄
اسکن	掃描
مایعات	流體
مایعات	液體
وات	瓦特
عدسی	鏡片
عدسی	透鏡
عدسی	鏡頭
الجزیره	阿爾及爾
کریستیان	基督徒
کریستیان	基督教
امارت	酋長國
مستطیل	矩形
سوگند	誓言
سوگند	誓詞
سوگند	宣誓
سوگند	誓
کاج	松樹
کاج	松
تسلیحات	彈頭
تبخیر	蒸發
برفی	白雪
برفی	下雪
برفی	雪
مهربان	善良
مهربان	仁慈
سوالات	問題
رنگین	染色
رنگین	染
راکی	洛基
نوسازی	整修
نوسازی	裝修
نوسازی	修繕
نوسازی	翻新
نوسازی	翻修
نوسازی	康復
شوک	驚
شوک	震驚
شوک	休克
شوک	衝擊
ابتکار	倡議
ابتکار	即興
نمادی	象徵性
نمادی	象徵
ورد	咒
ورد	拼寫
ورد	咒語
ورد	拼
ورد	拼字
بور	硼
اسپورت	體育
اسپورت	運動
آرت	美術
آرت	藝術品
آرت	藝術
موانع	壁壘
موانع	屏障
موانع	障礙
موانع	挫折
احادیث	讀數
تاخیر	延遲
تاخیر	拖延
تاخیر	推遲
تاخیر	延誤
کولی	吉卜賽人
کولی	吉普賽人
کولی	吉普賽
ناتوانی	殘疾
ناتوانی	無能力
ناتوانی	殘障
ناتوانی	傷殘
تاکسی	計程車
تاکسی	出租
کلیوی	腎
زشت	醜
زشت	醜八怪
زشت	醜陋
ماهر	熟練
پایانه	終點站
پایانه	終端
پایانه	終端機
توس	白樺
توس	樺
مصادف	重合
عجایب	奇跡
عجایب	奇觀
تعدیل	調整
زراعت	農作物
زراعت	莊稼
زراعت	耕作
زراعت	農耕
زراعت	農業
زراعت	作物
زراعت	務農
واجب	必需
واجب	強制
واجب	必要
راستش	其實
راستش	實際上
سبزیجات	蔬菜
کارخانجات	工廠
داس	鐮刀
هموار	光滑
هموار	平穩
هموار	順利
هموار	平滑
قرائت	讀取
قرائت	讀書
قرائت	朗誦
قرائت	讀
قرائت	閱讀
قرائت	背誦
آناتومی	解剖學
آناتومی	解剖
سوق	駕駛
سوق	開車
هیلز	丘陵
وفاداری	忠誠
وفاداری	忠心
بارانی	下雨
بارانی	雨衣
بارانی	雨
بارانی	淋浴
بارانی	雨水
بارانی	洗澡
بیچ	沙灘
بیچ	海灘
کیفری	罪犯
آرزو	祝願
آرزو	許願
آرزو	願望
تصمیمات	決定
دانشگاهیان	學者
دانشگاهیان	學術
دانشگاهیان	學術界
دانشگاهیان	學界
ضرر	損失
ضرر	虧損
جنون	痴呆症
جنون	癡呆症
جنون	瘋狂
جنون	痴呆
متقاعد	說服
متقاعد	深信
عزت	榮譽
عزت	光榮
عزت	榮耀
عزت	名譽
تمبر	蓋章
تمبر	郵票
تمبر	印章
معاملات	交易
یاقوت	紅寶石
نوزده	十九
دستکاری	操縱
معجزه	奇跡
معجزه	奇蹟
باهم	一起
باهم	在一起
خوردگی	腐蝕
لوکوموتیو	機車
لوکوموتیو	火車頭
بدهی	債務
بدهی	負債
بدهی	借方
کلیساها	教堂
کلیساها	教會
پرستوی	燕子
پرستوی	吞
پرستوی	燕
چادر	帳篷
چادر	野營
چادر	露營
چادر	帳蓬
عمو	叔叔
عمو	伯父
عمو	阿叔
عمو	舅舅
نوسان	擺動
نوسان	鞦韆
نوسان	搖擺
نوسان	振蕩
سرنشین	乘客
سرنشین	旅客
سرنشین	船員
زنجیر	鏈條
زنجیر	鏈
زنجیر	連鎖
اسپانیای	西班牙
ایزوتوپ	同位素
ین	日圓
نیزه	矛
نیزه	長矛
طوطی	鸚鵡
اسکاندیناوی	北歐
کمینه	最少
کمینه	最小
کاراته	空手道
دستگاهی	裝置
کوپه	車廂
کوپه	隔間
کوپه	包廂
سرما	冷
سرما	寒冷
سرما	冷冷
آموزگار	教師
آموزگار	老師
شجاعت	勇氣
برهم	激增
پرستار	護士
مشکی	黑色
مشکی	黑
مشکی	黑人
بنگال	孟加拉
الحاق	附加
الحاق	入世
الحاق	加入
توریستی	旅遊
توریستی	遊客
استیضاح	彈劾
جاوه	爪哇
مسمومیت	毒性
مسمومیت	中毒
مجرد	單打
مجرد	單身漢
مجرد	學士
مجرد	未婚
مجرد	單曲
تحکیم	合併
تحکیم	整合
تحکیم	鞏固
درخشش	光芒
درخشش	發光
درخشش	閃光
درخشش	螢光
درخشش	閃耀
اینترنشنال	國際
دیترویت	底特律
فرعون	法老
شنوایی	聽證會
شنوایی	聽覺
شنوایی	聽力
جواهر	珠寶
جواهر	首飾
جواهر	寶石
هیجان	興奮
هیجان	激動
برانگیز	敦促
پرتره	肖像
پرتره	畫像
تومور	瘤
تومور	腫瘤
فضاپیما	太空船
کپسول	囊
کپسول	膠囊
بیسبال	棒球
کروموزوم	染色體
خستگی	疲憊
خستگی	疲勞
بسامد	頻率
استعفای	辭職
الکتریسیته	供電
الکتریسیته	電
الکتریسیته	電力
کریک	溪
اشیا	天體
اشیا	物體
اشیا	物件
مشت	拳頭
مشت	拳
ربع	季度
کنسولگری	領事館
مجنون	瘋狂
باروری	生育率
باروری	妊娠
باروری	生育
هوافضا	航天
عزاداری	哀悼
عزاداری	悼念
اضطراب	焦慮
نسیم	微風
فروهر	精華
فروهر	實質
فروهر	本質
باکس	盒子
باکس	盒
باکس	框
باکس	方框
باکس	箱
تعصب	偏見
تعصب	教條
تفنگداران	劍客
درصدی	百分比
سنتز	綜合
سنتز	合成
وارده	持續
سپید	白
سپید	白色
متناهی	有限
طبع	脾氣
دریچه	閥
دریچه	孵化
دریچه	閥門
دریچه	艙門
احساسی	情感
انجیر	無花果
جوهر	墨
جوهر	油墨
جوهر	墨水
پلاستیکی	塑膠
پلاستیکی	塑料
پن	泛
پن	潘
سس	醬
تیغ	刀片
تیغ	刀鋒
انتقالی	過渡性
مبدا	起源
مبدا	出處
مبدا	原產地
رولز	卷
کیل	甘藍
وقفه	中斷
گواهینامه	許可證
گواهینامه	憑證
گواهینامه	證書
گواهینامه	執照
گواهینامه	駕照
روال	常規
روال	例行
فراموشی	遺忘
آمینه	氨基
آمینه	氨基酸
تم	潭
تم	譚
تم	專題
تم	主題
فاش	揭示
فاش	披露
فاش	揭露
سوسن	百合
رینگ	響鈴
رینگ	環
رینگ	戒指
خطرات	風險
مخالفین	反對
مخالفین	反對派
مخالفین	反對黨
گوزن	雄鹿
گوزن	麋鹿
گوزن	鹿
گوزن	馴鹿
لیزری	雷射
لیزری	鐳射
پاداش	獎賞
پاداش	獎勵
پاداش	賞金
پاداش	賞
پاداش	紅利
پاداش	獎金
نفرین	詛咒
نفرین	咒
لمس	觸控
لمس	觸及
لمس	感人
لمس	摸
لمس	觸動
لمس	觸碰
لمس	感動
سویا	大豆
واگذاری	代表
مهندسین	工程師
قشر	皮層
طاووس	孔雀
اسکلت	底盤
اسکلت	骨骼
اسکلت	骷髏
اسکلت	骨架
پدربزرگ	爺爺
پدربزرگ	祖父
گروپ	群
گروپ	群組
انحصار	專賣
انحصار	壟斷
منجمد	冰凍
منجمد	冷凍
منجمد	凍結
فواصل	間隔
فواصل	距離
خدایی	神
پادگان	基地
پادگان	駐軍
گرمایش	加熱
گرمایش	供暖
گرمایش	暖氣
خلاقیت	創造力
خلاقیت	創造性
خلاقیت	創作
خلاقیت	創意
امریکایی	美式
بارون	男爵
بارون	雨水
بارون	雨
بارون	下雨
بیکر	貝克
گی	同性戀
مخرب	破壞性
مخرب	毀滅性
تهمت	誣蔑
تهمت	誹謗
تهمت	誹謗罪
تاسیسات	設施
حسگر	感應器
مستعمره	殖民地
بودا	佛
بودا	佛祖
بودا	菩薩
خودگردان	自主
محققین	研究者
ایمن	安全
ایمن	平安
کاوشگر	探測器
کاوشگر	探測
کاوشگر	探險家
ویرانی	毀壞
ویرانی	破壞
ویرانی	銷毀
ویرانی	毀滅
غده	瘤
غده	腺
غده	腫瘤
مرمر	彈珠
مرمر	大理石
مقاصد	航點
مقاصد	目的地
مقاصد	意向
مقاصد	意圖
زیارتگاه	神社
توفیق	協助
توفیق	援助
رکن	柱
رکن	支柱
پاسخگویی	答復
پاسخگویی	答
پاسخگویی	答案
پاسخگویی	回答
جنسیتی	性別
تریلر	預告片
تریلر	拖車
تریلر	預告
ضلعی	四邊形
خوک	豬
بازوی	臂
بازوی	胳膊
بازوی	手臂
جامی	杯子
جامی	杯
جامی	盃
تزئینات	裝飾
شوهرش	丈夫
مارپیچی	螺旋
باخ	巴赫
گمنام	匿名
گمنام	無名氏
ناراحتی	難過
ناراحتی	悲哀
ناراحتی	悲傷
ناراحتی	傷心
محبت	善良
محبت	親情
همخوانی	連貫性
همخوانی	一致性
همخوانی	一貫性
باک	霸
باک	降壓
وبا	霍亂
جهانگردان	探險家
تزئین	裝飾
بیهوشی	停電
بیهوشی	麻醉藥
بیهوشی	麻醉
بیهوشی	麻醉劑
نیایش	祈禱
نیایش	禱告
نیایش	援引
انصراف	退出
کلامی	口頭
تناقض	矛盾
تعطیلی	關機
تعطیلی	停機
قسم	誓言
قسم	誓詞
قسم	宣誓
قسم	誓
آرم	臂
آرم	胳膊
آرم	手臂
اتصالات	人脈
فراخوانی	傳票
فراخوانی	傳喚
فراخوانی	呼叫
فراخوانی	傳訊
اسیدی	酸度
اسیدی	酸性
اسیدی	酸
بیکاری	失業率
بیکاری	失業
فلفل	胡椒
فلفل	辣椒
مگس	蒼蠅
کالاها	貨物
کالاها	商品
لیبریا	賴比瑞亞
محو	模糊
لای	賴
لای	黎
پنجشنبه	週四
پنجشنبه	星期四
بقای	求生
بقای	生存
بقای	存活
نامیبیا	納米比亞
سورینام	蘇利南
طیفی	光譜
جن	仁
جن	爵
عذرخواهی	藉口
میکس	組合
میکس	混合
میکس	搭配
بذر	種子
بذر	籽
عملگر	經營者
تکن	鐵拳
فرصتی	機會
فرصتی	機遇
اخطار	通知
اخطار	警告
بخارست	布加勒斯特
حباب	氣泡
حباب	泡沫
حباب	泡泡
حباب	泡
پالس	脈衝
پالس	脈搏
تقریب	近似
نژادهای	品種
بهاری	彈簧
بهاری	春天
بهاری	春秋
بهاری	春
بهاری	春季
نقدهای	評語
نقدهای	審查
تفریح	休閒
تفریح	娛樂
صدمه	損傷
صدمه	損壞
صدمه	損害
صدمه	傷害
شارژ	充電
شارژ	收費
شارژ	電荷
خنده	笑
خنده	大笑
خنده	笑聲
ملایم	軟
ملایم	溫柔
ملایم	柔和
ملایم	軟軟
ملایم	柔軟
ملایم	輕度
ملایم	溫和
ییلاق	鄉間
ییلاق	鄉村
ییلاق	農村
ییلاق	鄉下
ییلاق	國家
لانه	巢穴
لانه	巢
لانه	窩
منسوخ	過時
سانسکریت	梵語
محکومیت	定罪
محکومیت	信念
محکومیت	判罪
امتیازات	分數
امتیازات	特權
استعمال	使用
استعمال	用量
استعمال	用法
محفوظ	保護
شبح	幽靈
شبح	鬼魂
شبح	幻影
شبح	鬼
انگل	寄生
انگل	寄生蟲
فروشنده	廠商
منظره	風景
منظره	景觀
واتیکان	梵蒂岡
گریس	恩典
موضوعاتی	題目
موضوعاتی	專題
موضوعاتی	主題
موضوعاتی	議題
سالمندان	長者
سالمندان	護理
سالمندان	哺乳
سالمندان	老人
سالمندان	老年人
روحیه	士氣
عشقی	戀愛
عشقی	愛情
عشقی	愛
موجودیت	實體
مارکسیست	馬克思主義
تدبیر	計畫
تدبیر	計劃
سفال	陶藝
سفال	陶器
بشریت	人性
بشریت	人道
فیجی	斐濟
ارضی	領土
هانتر	獵人
پناهنده	難民
رزرو	預訂
رزرو	預留
رزرو	儲備
رزرو	準備金
رزرو	保留
رزرو	預約
یخبندان	冰塊
یخبندان	冰
متقارن	對稱
رابینسون	魯濱遜
ملودی	旋律
اسبق	前身
وحی	啓示
دلو	桶
دلو	水桶
استانهای	各省
ضخیم	厚
ضخیم	厚厚
کربنات	碳酸
انقباض	收縮
شفت	軸
دستورالعمل	指示
دستورالعمل	教學
دستورالعمل	食譜
دستورالعمل	指令
بیعت	效忠
منتسب	據稱
انگشتان	手指
محتوی	貨櫃
محتوی	容器
نامزدها	提名
معصوم	無辜
کارتون	卡通
کارتون	漫畫
کارتون	紙箱
احتیاط	謹慎
گرامر	文法
گرامر	語法
سپیده	拂曉
سپیده	黎明
سپیده	天亮
بخت	財富
هاله	暈
هاله	光環
توری	晶格
توری	格子
توری	電網
بنویسد	寫信
بنویسد	撰寫
بنویسد	寫作
بنویسد	寫入
بنویسد	寫
همسران	配偶
قراردادهای	合同
قراردادهای	合約
هوندا	本田
دیداری	視覺
آتی	期貨
بهای	價格
بهای	價錢
بهای	價
گیلاس	櫻桃
ارکان	柱
ارکان	支柱
گزاره	提議
گزاره	命題
شایستگی	合格
مشتقات	衍生物
مشتقات	變體
اسکای	天空
سنگر	地堡
سنگر	掩體
سنگر	碉堡
تصدی	委員會
تصدی	任期
موجی	浪
موجی	浪潮
موجی	波浪
موجی	海浪
موجی	波
موجی	揮手
کارآمد	有效率
کارآمد	高效
انعطاف	靈活性
انعطاف	彈性
انعطاف	靈活
انعطاف	柔性
ردیابی	追蹤
ردیابی	追查
ردیابی	跟蹤
ماهانه	每月
ماهانه	月刊
قدیس	聖
قدیس	聖人
تهی	空
تهی	空白
رفیع	高
نگاشت	地圖
جمجمه	頭顱
جمجمه	頭骨
جمجمه	骷髏
سوزن	針頭
سوزن	針
بنادر	港口
اعتدال	節制
اعتدال	春分
اعتدال	適度
اعتدال	溫和
پذیرایی	住宿
پذیرایی	招待會
پذیرایی	娛樂
پذیرایی	接待
پذیرایی	接收
عروسک	洋娃娃
عروسک	娃娃
عروسک	玩偶
چیزها	事情
تزیین	裝潢
تزیین	裝飾
دهقان	農民
حک	雕刻
حک	刻字
انشعاب	叉
انشعاب	叉子
انشعاب	分支
انشعاب	分行
گردنه	陡
گردنه	陡峭
کسر	扣減
کسر	逆差
کسر	扣除
کسر	虧損
کسر	赤字
کسر	分數
عبادت	禮拜
عبادت	崇拜
متراکم	密集
متراکم	稠密
جنایات	犯罪
جنایات	罪行
ترمینال	終點站
ترمینال	終端
ترمینال	終端機
نامحدود	無盡
نامحدود	無窮
نامحدود	無限
مشروط	特遣隊
عرضی	風景
عرضی	景觀
ذرت	玉米
سرودن	作曲
تکنیکی	技術
زی	吱吱
نفی	驅逐
نفی	驅逐出境
گسیل	排放量
گسیل	排放
داوطلبانه	自願性
داوطلبانه	自願
خائن	叛徒
خائن	叛賊
چکاوک	百靈
چکاوک	雲雀
بالتیک	波羅的海
بالتیک	波羅
آیوی	常春藤
میرسد	抵達
رنگهای	色彩
رنگهای	顏色
اطفال	兒童
همسایگی	鄰里
فرضی	假設
راو	生
راو	原始
متناظر	相應
متناظر	對應
آهسته	悄悄話
آهسته	慢慢地
آهسته	慢
آهسته	緩慢
فری	渡輪
فری	渡船
فری	渡口
تقطیر	蒸餾
رؤیا	夢境
رؤیا	夢
رؤیا	夢想
رؤیا	做夢
رؤیا	夢幻
پرل	明珠
پرل	珍珠
رفیق	花花公子
مناظره	辯論
میکرو	微觀
میکرو	微
میکرو	微型
ادراک	知覺
ادراک	感知
تاب	擺動
تاب	鞦韆
تاب	搖擺
بیاورید	帶
صمیمی	親密
قربان	先生
سوءاستفاده	虐待
سوءاستفاده	濫用
سوءاستفاده	誤用
گنگ	幫
گنگ	啞
گنگ	幫派
مچ	腕
مچ	手腕
یخی	冰
یخی	冰塊
یخی	霜
یخی	冰霜
قحطی	飢饉
قحطی	飢餓
قحطی	飢荒
ماسک	面具
ماسک	面罩
ماسک	口罩
مکانیزم	機制
شهدا	殉難者
شهدا	烈士
قرض	借用
قرض	借貸
قرض	借款
قرض	債務
قرض	借
قرض	貸款
استوا	赤道
دشواری	難度
دشواری	困難
دشواری	困苦
مهمات	彈藥
محفظه	囊
محفظه	膠囊
مشاوران	顧問
درواقع	其實
درواقع	實際上
کلک	戲法
کلک	把戲
کلک	魔術
گرده	花粉
متخصصین	科技
متخصصین	專家
تریپل	三重
فسیلی	化石
مهاجرین	移民
مهاجرین	難民
گوهر	精華
گوهر	實質
گوهر	本質
تراشه	晶片
تحقیر	羞辱
تحقیر	蔑視
تحقیر	屈辱
تحقیر	藐視
تحقیر	輕蔑
عنکبوتی	蜘蛛
پوینت	角
پوینت	點
اتمسفر	大氣層
اتمسفر	氛圍
اتمسفر	大氣
اتمسفر	氣氛
قفس	籠子
قفس	籠
شهوانی	情慾
شهوانی	色情
جاسوس	諜
جاسوس	間諜
دوجانبه	雙邊
لکه	染色
لکه	模糊
لکه	斑點
لکه	污點
سوارکاری	騎
سوارکاری	騎馬
سوارکاری	馬術
متریک	度量
بحر	海
بحر	大海
بحر	海上
انسانها	人類
حسابرسی	審計
حسابرسی	會計
قناری	金絲雀
گلوکز	葡萄糖
یگان	單元
یگان	單位
یگان	股
قرارگاه	定居
قرارگاه	住宿
قرارگاه	定居點
گروگان	人質
تدارک	籌備
اتلاف	浪費
اتلاف	廢物
اتلاف	廢棄物
بای	灣
بای	海灣
مونترال	蒙特婁
ابدی	不朽
ابدی	永恆
پتر	彼得
مهری	密封
مهری	海豹
مهری	封
مهری	印章
مواجهه	對抗
مواجهه	對峙
مواجهه	對立
نزول	血統
نزول	世系
پروتستان	新教
سرعتی	飛毛腿
تجلیل	慶祝
تجلیل	慶典
زحمات	地契
زحمات	契約
سپر	盾牌
سپر	保險槓
اسکیت	溜冰
اسکیت	滑板
اسکیت	滑冰
آراسته	吸引力
آراسته	點綴
چهارراه	十字路口
چهارراه	路口
چهارراه	交集
سایمون	西門
سایمون	西蒙
دیکتاتوری	獨裁
دیکتاتوری	獨裁政權
دیکتاتوری	專制
دیکتاتوری	專政
سویی	隋
لوسی	露西
خشکسالی	乾旱
خشکسالی	飢饉
خشکسالی	旱災
خشکسالی	飢荒
اولاد	後代
سمفونیک	交響樂
کلوپ	幫會
کلوپ	俱樂部
پوشیدن	戴
پوشیدن	穿
پوشیدن	穿著
کلاب	幫會
کلاب	俱樂部
تایی	泰
نفرت	憎恨
نفرت	仇恨
نفرت	恨
نفرت	仇視
نفرت	討厭
هالی	冬青
نواری	絲帶
تالیفات	匯編
آشتی	休戰
آشتی	停戰
تروریست	恐怖主義
تروریست	恐怖份子
ارگان	器官
ارگان	風琴
خفیف	溫和
خفیف	輕微
خفیف	輕度
مخروطی	錐
مخروطی	圓錐
بازجویی	偵訊
بازجویی	審問
بازجویی	審訊
بازجویی	訊問
انبساط	擴展
انبساط	膨脹
انبساط	擴大
انبساط	擴建
انبساط	擴張
انبساط	拓展
قفسه	書架
قفسه	櫃子
قفسه	架子
قفسه	貨架
قفسه	櫥櫃
قفسه	櫥
پرتقال	橙
پرتقال	橘子
پرتقال	橘色
پرتقال	橙色
پرتقال	橘
نایت	騎士
کامیون	卡車
کامیون	貨車
شهریاری	君主政體
شهریاری	君主
شهریاری	君主制
اسپرت	體育
اسپرت	運動
جواهرات	珠寶
جواهرات	首飾
وانگ	王
مارپیچ	迷宮
مارپیچ	螺旋
میکروسکوپ	顯微鏡
سگا	狗
سگا	犬
نهر	溪
جزیی	瑣碎
گوارشی	消化
گوارشی	腸胃
سوسک	甲蟲
سوسک	蟑螂
بزرگسال	成年人
بزرگسال	成人
بزرگسال	成年
لیبرالیسم	自由主義
وجوه	資金
وجوه	基金
غشای	膜
پیکربندی	配置
شنی	砂
شنی	沙
شنی	沙子
صوری	正規
صوری	正式
شیرجه	俯衝
شیرجه	潛水
شیرجه	跳水
جدیدترین	最新
باشکوه	華麗
تصدیق	證實
تصدیق	驗證
تصدیق	確認
تصدیق	核查
رویارویی	對峙
رویارویی	邂逅
رویارویی	對抗
رویارویی	偶遇
رویارویی	對立
جاوید	不朽
سوشی	壽司
رصد	天文台
رصد	觀測
رصد	觀察
سوژه	主題
تنباکو	煙草
منحرف	變態
عاقبت	結果
عاقبت	成果
گنجشک	麻雀
گاردین	監護人
گاردین	守護者
گاردین	守護神
گاردین	守護
زوال	遞減
زوال	衰落
زوال	流離失所
اسلو	奧斯陸
جردن	約旦
فاستر	寄養
تراژدی	悲劇
تراژدی	慘案
تراژدی	慘劇
پررنگ	膽小
رؤیای	夢境
رؤیای	夢
رؤیای	夢想
رؤیای	做夢
رؤیای	夢幻
بتهوون	貝多芬
فلوئورید	氟化
فلوئورید	氟
شاهدخت	公主
شاهدخت	小公主
شاهدخت	王妃
برمه	緬甸
برمه	緬
خر	驢
خر	驢子
ریگ	鑽機
پیشگام	先鋒
پیشگام	先驅
اساسنامه	章程
اساسنامه	法規
اساسنامه	規約
فشاری	壓
فشاری	壓力
فشاری	氣壓
غریبه	陌生人
غریبه	陌生
شهرستانهای	各州
شهرستانهای	各縣
شمشیربازی	擊劍
شمشیربازی	劍術
معلول	殘疾
معلول	殘障
معلول	傷殘
هیروشیما	廣島
آپارتمان	公寓
سفت	緊
ولت	伏特
ولت	伏
نیش	刺針
نیش	蜇
دیروز	昨天
دیروز	昨日
کیوتو	京都
عیب	瑕疵
عیب	缺陷
عیب	斷層
ریل	鐵路
تعالیم	原則
تعالیم	教義
تعالیم	教導
تعالیم	原理
تعالیم	理論
تعالیم	學說
معابد	寺廟
معابد	廟宇
ماهیگیری	漁業
ماهیگیری	捕撈
ماهیگیری	捕魚
ماهیگیری	釣魚
غیرعادی	異常
غیرعادی	不尋常
هولمز	福爾摩斯
ظلم	殘酷
ظلم	受壓迫
ظلم	被壓迫
ظلم	不公
ظلم	壓迫
تمرینات	訓練
تمرینات	培訓
خرچنگ	龍蝦
خرچنگ	螃蟹
خرچنگ	蟹
کشنده	致死
کشنده	致命
بوته	布希
گرسنگی	飢餓
گرسنگی	挨餓
گرسنگی	餓死
گرسنگی	餓
پالایش	濾波器
پالایش	煉油
پالایش	篩選
پالایش	精煉
پالایش	過濾
پالایش	提煉
پالایش	過濾器
چاله	水潭
چاله	水坑
شاهکار	傑作
شاهکار	特技
شاهکار	壯舉
نویز	噪聲
نویز	噪音
نمانده	幾乎
رسوب	沈積
جغد	鴞
جغد	貓頭鷹
تاثیرات	影響
تاثیرات	效應
تاثیرات	效果
تاثیرات	特效
احتمالات	可能性
احتمالات	幾率
احتمالات	概率
یتیم	孤兒
شفا	治癒
شفا	醫治
شفا	療傷
شفا	痊癒
شفا	康復
مغازه	店
مغازه	商店
مغازه	店鋪
مغازه	購物
چرخشی	旋轉
نشانگان	症候群
کنکور	考試
نهفته	嵌入式
نهفته	嵌入
روانپزشکی	精神科
گلکسی	銀河系
گلکسی	銀河
گلکسی	星系
پاها	腿
خواهران	姊妹
خواهران	姐妹
اکو	回音
اکو	回聲
قبله	方向
استبداد	暴政
استبداد	專制
تیتراژ	點數
تیتراژ	信貸
تیتراژ	學分
تیتراژ	信用
وزنه	加權
وزنه	重量
وزنه	體重
وزنه	份量
وزنی	加權
اجداد	祖先
پت	寵物
پاپی	罌粟
پایش	監測
پایش	掃描
فانی	凡人
پهلو	側
پهلو	一面
اکسپرس	特快
اکسپرس	明示
اکسپرس	快車
نخبگان	精英
فینیکس	鳳
فینیکس	鳳凰
فینیکس	膠囊
کرو	烏鴉
ترتیبی	序數
گیلکی	glk
تاجگذاری	加冕
تاجگذاری	加冕典禮
فسفر	磷
چشمی	眼
چشمی	眼睛
هلسینکی	赫爾辛基
آندورا	安道爾
اجبار	強迫
اجبار	蠱惑
اجبار	脅迫
اجبار	被迫
اجبار	武力
اجبار	強制
اجبار	強迫性
معقول	理性
معقول	合理
بارگیری	下載
بارگیری	裝載
مذکر	男
مذکر	男性
دایناسور	恐龍
بقا	求生
بقا	生存
بقا	存活
متفرقه	雜項
هیچکدام	無
اویل	石油
اویل	機油
اویل	油
استثنای	例外
هراس	恐怖
هراس	恐
آوازی	聲樂
مغولی	蒙古
رسوایی	緋聞
رسوایی	恥辱
رسوایی	醜聞
آویزان	絞刑
آویزان	洪
آویزان	懸
طغیان	反叛
طغیان	叛亂
طغیان	叛軍
طغیان	叛亂分子
طغیان	叛逆
نیاکان	祖先
مسخره	可笑
الزامی	強制
سپهسالار	大元帥
عجیبی	奇怪
حمد	表揚
حمد	稱贊
حمد	贊美
نوشیدن	喝
نوشیدن	喝酒
نوشیدن	飲酒
سفره	表
سفره	桌布
هل	豆蔻
راهبرد	準則
استنباط	推斷
استنباط	推論
استنباط	推理
رمزگذاری	加密
زا	發電機
زا	產生器
مصادره	沒收
سازندگی	建設
سازندگی	施工
سازندگی	建築
وارث	繼承人
قصبه	教區
دماغه	角
قدردانی	升值
قدردانی	感恩
دیم	昏暗
دیم	暗淡
راش	急
ققنوس	鳳
ققنوس	鳳凰
مرگبار	致命
کابین	船艙
کابین	機艙
کابین	客艙
جوجه	雞肉
جوجه	山雞
جوجه	雞
بهبودی	改良
بهبودی	改善
بهبودی	改進
بهبودی	復蘇
بهبودی	復原
بهبودی	回收
بهبودی	恢復
بهبودی	康復
عینک	眼鏡
عینک	護目鏡
بریدن	削減
بریدن	切割
مارکسیسم	馬克思主義
متابولیسم	代謝
متابولیسم	新陳代謝
ناکام	受挫
ناکام	失望
شمع	燭
شمع	燭光
شمع	蠟燭
توبه	悔改
توبه	懺悔
توبه	悔過
مترادف	同義
مترادف	同義詞
مترادف	同義字
شلوغ	忙碌
شلوغ	忙
شلوغ	忙著
شلوغ	亂
شلوغ	擁擠
شلوغ	凌亂
شلوغ	繁忙
ژولیت	朱麗葉
فال	預兆
فال	財富
مرکبات	柑橘
ید	碘
تنور	男高音
تنور	烤箱
تنور	烤爐
تنور	爐
توگو	多哥
عصبانی	生氣
عصبانی	憤怒
عصبانی	怒
جوآن	瓊
شعرای	歌詞
آوانگاری	音標
زباله	浪費
زباله	垃圾
زباله	廢物
زباله	廢棄物
آشیانه	巢穴
آشیانه	巢
آشیانه	窩
توهم	幻想
توهم	錯覺
توهم	幻覺
آنتون	安東
آشامیدنی	飲酒
الاهلی	商業
الاهلی	商用
الاهلی	商事
آزادسازی	解放
شکلات	巧克力
الک	麋鹿
الک	篩
رقبای	對手
آفتابی	晴
ترجیحات	偏好
ترجیحات	優惠
ترجیحات	喜好
جوشکاری	焊接
جوشکاری	焊
چهارچوب	框架
ختنه	割禮
ختنه	割包皮
استثنایی	特別
بوت	攤位
باربادوس	巴貝多
انفجاری	炸藥
انفجاری	引爆
انفجاری	爆炸
انفجاری	爆炸性
گیت	門
گیت	大門
انتحاری	自殺
قلمروی	領地
قلمروی	領土
ترانزیستور	電晶體
مهمانی	宴會
مهمانی	派對
مهمانی	黨
مهمانی	盛宴
مهمانی	政黨
مهمانی	聚會
رویت	轉
مفاصل	關節
پیشانی	額頭
قلع	錫
