ve	और
tüp	नलिका
tüp	ट्यूब
profil	प्रोफ़ाइल
profil	रूपरेखा
profil	प्रोफाइल
temalı	प्रसंग
uyan	जगाने
uyan	वेक
ilanı	घोषणा
ilanı	डिक्लेरेशन
astronomik	खगोलीय
güvercin	अरहर
güvercin	कबूतर
meyveler	फल
meyveler	फलों
meyveler	जामुन
görünüşü	प्रकटन
görünüşü	रूप
seçenek	फंक्शन्स
seçenek	पसंद
seçenek	विकल्प
seçenek	चुनाव
palmiye	हथेली
palmiye	ताड़
palmiye	खजूर
vatandaş	नागरिक
vatandaş	नागरिकों
havuzu	पूल
çirkin	भद्दा
çirkin	बदसूरत
faktörü	कारक
faktörü	फ़ैक्टर
büyükelçi	दूत
büyükelçi	राजदूत
ayrılma	जुदाई
ayrılma	विरह
öldürme	हत्या
çamur	कीचड़
çamur	मिट्टी
çamur	पंक
koşu	कार्यशील
koşu	जोग
koşu	जॉगिंग
koşu	दौड़ना
memleketi	गृहनगर
sürümleri	संस्करण
davut	डेविड
davut	दाउद
modu	मोड
modu	विधि
korece	कोरियाई
çimento	सीमेंट
katedral	गिरजाघर
manken	मॉडल
manken	पुतला
kaos	अव्यवस्था
kaos	अराजकता
paylaşım	पोस्टिंग
etkiledi	बहकावे
savaştı	लड़ा
kaçınılmaz	अपरिहार्य
kalkış	लांच
kalkış	लॉन्च
kalkış	प्रस्थान
dişli	गियर्स
dişli	दांत
dişli	गियर
talepleri	मांगो
talepleri	मांगें
talepleri	मांगे
talepleri	मांगों
sıkıntılar	परेशानियों
çalı	बुश
çalı	झाड़ी
laik	धर्मनिरपेक्ष
laik	सेक्युलर
hamburger	बर्गर
sunmak	पेश
olgu	घटना
sapma	विचलन
küp	घन
asgari	न्यूनतम
memeli	स्तनधारियों
memeli	स्तनधारी
bekliyorum	प्रतीक्षारत
kıyafet	कपडे
kıyafet	पहनावा
kıyafet	वस्त्र
kıyafet	कपड़े
girdiler	प्रविष्टियाँ
girdiler	प्रविष्टियां
çekilme	वापसी
gökyüzü	आसमां
gökyüzü	आसमान
gökyüzü	आकाश
gökyüzü	आसमानी
tüneli	टनल
tüneli	सुरंग
aranan	चाही
yenileme	रीसेट
yenileme	जीर्णोद्धार
yenileme	नवीकरण
yenileme	पुनरुद्धार
yenileme	बहाली
davranışlar	व्यवहार
davranışlar	बर्ताव
davranışlar	आचरण
finanse	वित्तपोषित
finanse	वित्त
taksi	कैब
taksi	टैक्सी
demiryolları	रेल
demiryolları	रेलवे
mülteci	शरणार्थियों
mülteci	शरणार्थी
mafya	माफिया
bakteriler	जीवाणु
mozambik	मोजाम्बिक
içecek	पेय
içecek	पीना
içecek	ड्रिंक
nar	अनार
ithaf	लगन
ithaf	समर्पण
ithaf	निष्ठा
çarpma	प्रभाव
çarpma	गुणन
çarpma	गुणा
enstitü	संस्थान
enstitü	इंस्टीट्यूट
enstitü	संस्था
haz	ख़ुशी
aylar	माह
aylar	महीनों
aylar	महीने
bildiri	घोषणा
bildiri	डिक्लेरेशन
safevi	सफ़वी
çizgiler	पंक्तियाँ
çizgiler	धारियाँ
çizgiler	लकीरें
çizgiler	रेखाएं
çizgiler	पट्टियां
çizgiler	लाइनों
çizgiler	पंक्तियां
mülkiyet	गुण
mülkiyet	संपत्ति
mülkiyet	सम्पत्ति
mülkiyet	प्रॉपर्टी
mülkiyet	स्वामित्व
tramvay	स्ट्रीटकार
tramvay	ट्राली
tramvay	ट्राम
ithal	आयातित
monako	मोनाको
seçeneği	विकल्प
tedarik	खरीद
tedarik	आपूर्ति
tedarik	सप्लाई
şiddeti	हिंसा
şiddeti	गंभीरता
faiz	रूचि
faiz	ब्याज
faiz	रुचि
çalışanları	कर्मचारियों
çalışanları	कर्मचारी
namibya	नामीबिया
döviz	विनिमय
döviz	एक्सचेंज
döviz	मुद्रा
döviz	करेंसी
şer	बुराई
şer	बुरा
şer	दुष्ट
şer	तकलीफ़
çikolata	चॉकलेट
çikolata	चाकलेट
kenarları	किनारे
kenarları	किनारों
kayıpları	नुकसान
yap	बना
yap	बनाओ
yap	मेक
balta	कुल्हाड़ी
balta	अक्ष
izi	छापें
izi	छपाई
izi	प्रिंट
ortası	मिड
ortası	मध्य
vakum	सक्शन
vakum	निर्वात
vakum	शून्यता
vakum	वैक्यूम
jeanne	जोआन
jeanne	जोन
içeriğe	सामग्री
içeriğe	विषयवस्तु
rütbe	दर्जा
rütbe	पद
rütbe	रैंक
dürüst	ईमानदार
dürüst	इमानदार
nuh	नूह
pilav	चावल
pilav	राइस
vida	स्क्रू
vida	पेंच
böcekler	बग्स
böcekler	बग
böcekler	कीट
böcekler	भृंग
unsurlar	तत्वों
unsurlar	तत्व
geleceğin	भविष्य
şapka	हैट
şapka	टोप
şapka	कैप
hapishane	थाना
hapishane	जेलों
hapishane	कारावास
hapishane	जेल
yakınlığı	निकटता
karakol	स्टेशन
karakol	चौकी
enlem	शर
enlem	अक्षांश
lastik	पहिया
lastik	रबड़
lastik	रबर
lastik	टायर
lastik	बुलबुले
unutulmaz	अविस्मरणीय
unutulmaz	स्मरणीय
unutulmaz	यादगार
korosu	कोर
korosu	कोरस
limit	हद
limit	लिमिट
limit	सीमाएँ
limit	सीमा
namaz	प्रार्थना
namaz	दुआ
namaz	प्रार्थनाएं
namaz	नमाज़
ileriye	आगे
hisse	भण्डार
hisse	स्टाक
hisse	स्टॉक
cin	जिन
şimdilerde	आजकल
bela	मुसीबत
bela	परेशानी
bela	ट्रबल
dizini	फोल्डर
dizini	फ़ोल्डर
dizini	निर्देशिका
çarşı	मॉल
çarşı	बाज़ार
çarşı	बाजार
istasyonları	स्टेशन
diyalog	संवाद
tufan	विह्वल
tufan	बाढ़
aramak	कॉलिंग
simetri	सममिति
kapitalist	पूंजीवादी
kapitalist	पूँजीवादी
mülk	सम्पत्ति
mülk	संपत्ति
mülk	गुण
mülk	प्रॉपर्टी
yenilik	नवप्रवर्तनों
yenilik	नवाचार
yenilik	विलक्षणता
yenilik	नवीनता
örtülü	निहित
örtülü	अव्यक्त
örtülü	अप्रत्यक्ष
örtülü	रहमत
ikram	ट्रीट
helyum	हीलियम
ebeveyn	परवरिश
ebeveyn	जनक
ebeveyn	अभिभावक
levha	तख़्ता
levha	चादर
levha	प्लेट
levha	शीट
levha	थाली
avcılık	शिकार
adımlar	चरण
adımlar	कदम
damla	बूँदें
damla	छोडें
damla	बूंद
damla	बूँद
damla	बूंदें
damla	बूंदे
damla	ड्रिप
keşke	काश
söyle	बोलो
söyle	बताना
söyle	कह
söyle	कहें
söyle	बताओ
asır	सदी
asır	शताब्दी
asır	शतक
anarşist	अराजकतावादी
kademeli	क्रमिक
düzenler	अभिन्यास
reformu	सुधार
pusu	घात
ruhani	आध्यात्मिक
ruhani	अलौकिक
yüzünü	चेहरे
yüzünü	फेस
yüzünü	चेहरा
statü	प्रस्थिति
statü	औकात
statü	स्टेटस
statü	स्थिति
mistik	रहस्यवादी
mistik	छायावादी
milliyetçilik	राष्ट्रवाद
katman	परतों
katman	परत
katman	परतें
katman	लेयर
vitamini	विटामिन
sultanlığı	सल्तनत
kelt	सेल्टिक
oturdu	शनि
oturdu	बैठा
oturdu	शनिवार
oturdu	सत
atlar	घोड़े
atlar	घोड़ों
atlar	घोडे
zehir	विष
zehir	ज़हर
zehir	जहर
kıymetli	अनमोल
küfür	इनकार
süslü	फैंसी
ataları	पूर्वजों
ataları	पूर्वजो
tabanca	पिस्टल
tabanca	बंदूक
tabanca	रिवाल्वर
tabanca	गन
tabanca	पिस्तौल
uranyum	यूरेनियम
fiili	क्रिया
barut	चूर्ण
barut	बारूद
barut	पाउडर
ziyaretçi	आगंतुक
ziyaretçi	विज़िटर
çukur	गड्ढा
çukur	होल
çukur	गड्ढे
çukur	छेद
candan	ईमानदार
candan	निरे
kusursuz	सही
kusursuz	परिपूर्ण
kusursuz	पूर्ण
kusursuz	परफेक्ट
ekonomist	अर्थशास्त्री
aydınlanma	आत्मज्ञान
tiran	तिराना
anlaşıldı	समझा
ark	आर्क
ark	चाप
bağış	दान
bağış	दाता
bağış	योगदान
fon	फंड
fon	निधि
baktım	देखा
zar	झिल्ली
sponsor	प्रायोजन
sponsor	प्रायोजित
sponsor	प्रायोजक
sponsor	प्रायोजकों
günaydın	सवेरा
günaydın	सुबह
plaj	बीच
plaj	समुद्रतट
yansıma	परावर्तन
yansıma	प्रतिबिम्ब
yansıma	प्रतिबिंब
şaka	चुटकुले
şaka	जोक्स
şaka	शरारत
şaka	मज़ाक
şaka	चुटकुला
şaka	मजाक
şaka	जोक
casus	जासूस
adamlar	पुरुष
adamlar	मेन
adamlar	पुरुषों
adamlar	मर्द
kurtulan	उत्तरजीवी
fantezi	काल्पनिक
katmanı	परत
katmanı	लेयर
karlı	बरफ
karlı	बर्फ
karlı	बर्फ़
karlı	बर्फीला
karlı	लाभप्रद
karlı	हिम
beraat	दोषमुक्ति
ağları	नेटवर्क
ağları	संजाल
tebrik	ग्रीटिंग
dokusu	बनावट
dokusu	संरचना
hidrolik	हाइड्रोलिक
gövdesi	धड़
menteşe	चूल
müzisyenler	संगीतकारों
müzisyenler	संगीतकार
kanatları	पंखों
kanatları	पंख
kanatları	विंग्स
çinko	जस्ता
çinko	जिंक
canım	डिअर
canım	प्रिय
canım	डियर
akrabaları	रिश्तेदार
akrabaları	रिश्तेदारों
akrabaları	आत्मीय
yasaktır	मनाही
yasaktır	हराम
yasaktır	वर्जित
yasaktır	निषिद्ध
avcılar	हंटर
avcılar	परभक्षी
avcılar	शिकारी
merdiven	सीढ़ियों
merdiven	लैडर
merdiven	चढ़ते
merdiven	सीढ़ी
merdiven	सीढ़ियाँ
felaket	प्रलय
felaket	आपदा
felaket	अनर्थकारी
felaket	विपत्ति
geceler	राते
geceler	रात्रि
geceler	रात
geceler	रातें
geceler	रातों
geceler	नाइट्स
kuyu	कुएं
tercüman	इंटरफेस
tercüman	इंटरप्रेटर
tercüman	अनुवादक
yetkililer	अधिकारियों
yetkililer	प्राधिकरण
yetkililer	प्राधिकार
yetkililer	प्राधिकारी
aletler	टूल्स
aletler	उपकरण
aletler	यंत्र
aletler	वाद्यों
aletler	टूल
aletler	औज़ार
tarayıcı	स्कैनर
tarayıcı	ब्राउजर
tarayıcı	ब्राउज़र
kafası	दिमाग़
kafası	सिर
konsept	अवधारणा
doğuştan	जन्म
doğuştan	जन्मजात
doğuştan	जन्मे
neptün	वरुण
asa	स्टाफ
asa	स्टाफ़
zambiya	ज़ाम्बिया
değişebilir	परिवर्तनीय
yönleri	पहलुओं
kullanıyor	उपयोग
kullanıyor	ड्राइव
pisti	रनवे
eklem	संयुक्त
keyfi	मनमानी
kabil	काबुल
kabil	कैन
hikâyeler	कहानियाँ
hikâyeler	कहानियां
neşe	खुशी
neşe	जॉय
neşe	आनन्द
kireç	लाइम
dişiler	बेटियाँ
dişiler	महिलाएं
dişiler	महिलाओं
dişiler	महिलाएँ
tüketimi	खपत
tüketimi	उपभोग
rakipleri	विरोधियों
rakipleri	प्रतिद्वंद्वी
rakipleri	प्रतिद्वंद्वियों
asma	मेज़ानाइन
asma	बेल
asma	अंगूरों
asma	बेलें
zehra	ज़हरा
hece	अक्षर
hayırlı	धन्य
düşme	गिर
düşme	पतन
düşme	गिरना
düşme	गिरा
düşme	पतझड़
oniki	बारह
kanunlar	कानून
uzmanlar	विशेषज्ञ
uzmanlar	विशेषज्ञों
hükümdarlık	शासन
hükümdarlık	शासनकाल
yurtiçi	घरेलू
portre	पोर्ट्रेट
kanıtı	प्रमाण
kanıtı	सबूत
kanıtı	प्रूफ
genişlik	चौड़ाई
genişlik	चौडाई
karpuz	तरबूज़
karpuz	खरबूजे
karpuz	तरबूज
enstrümantal	इंस्ट्रूमेंटल
enstrümantal	वाद्य
mama	सूत्र
mama	फ़ॉर्मूला
basitçe	बस
sikke	सिक्का
hırsız	चोरों
hırsız	डाकू
hırsız	चोर
imalat	विनिर्माण
imalat	उत्पादन
imalat	निर्माण
korunmuş	संरक्षित
korunmuş	सुरक्षित
çayır	वादियों
çayır	प्रेयरी
çayır	मर्ग
krallar	किंग्स
krallar	राजाओं
doktorlar	चिकित्सकों
doktorlar	दस्तावेज
doktorlar	दस्तावेज़
doktorlar	डॉक्स
doktorlar	डॉक्टर
doktorlar	डॉक्टरों
yün	ऊन
cebir	बीजगणित
konuşmalar	बातचीत
konuşmalar	वार्तालापों
konuşmalar	वार्तालाप
konuşmalar	भाषणों
süpernova	सुपरनोवा
durmuş	रोका
güneşi	सूर्य
güneşi	सूरज
güneşi	सन
güneşi	रवि
pound	पाउंड
arkeolog	पुरातत्ववेत्ताओं
kimyager	केमिस्ट
midilli	टट्टुओं
midilli	टट्टू
büyülü	एनचांटेड
büyülü	मैजिक
büyülü	जादुई
büyülü	जादू
kalıyor	रह
kalıyor	रहने
kalıyor	रहकर
inka	इन्का
şaşırtıcı	अद्भुत
şaşırtıcı	आश्चर्यजनक
şaşırtıcı	अदभुत
yoğurt	दही
teleskop	दूरदर्शी
şekilli	तराशा
saatleri	घंटों
saatleri	कार्यकाल
saatleri	घंटे
saatleri	घड़ियाँ
saatleri	घंटा
sandal	नाव
sandal	नौका
sandal	बोटिंग
bilet	टिकट
bilet	टिकटें
çekiç	हथौड़ा
ortaklığı	भागीदारी
ortaklığı	साझेदारी
çizer	इलस्ट्रेटर
verin	दे
nikaragua	निकारागुआ
benzerlikler	समानता
yenilikçi	प्रगतिशील
yenilikçi	नवीन
yenilikçi	अभिनव
şebeke	ग्रिड
susuz	प्यासा
susuz	प्यासे
susuz	प्यास
susuz	निर्जलित
susuz	प्यासी
badem	बादाम
basamak	चरण
basamak	स्टेप
basamak	कदम
salgın	विश्वमारी
salgın	प्लेग
salgın	महामारी
tuğgeneral	ब्रिगेडियर
tüylü	बालदार
tüylü	अस्पष्ट
tüylü	फजी
giysi	कपड़े
giysi	कपडे
giysi	वस्त्र
giysi	पहनावा
giysi	परिधान
yarıçap	दायरा
yarıçap	त्रिज्या
tüketici	उपभोक्ता
eşyalar	वस्तुएं
eşyalar	मद
eşyalar	आइटम
eşyalar	वस्तुएँ
veba	प्लेग
sıla	सिला
kopyala	नक़ल
kopyala	कॉपी
erdemli	नेक
cent	सेंट
indirildi	डाउनलोड
bölünme	विभाग
bölünme	प्रभाग
bölünme	विभाजन
boşandı	तलाक
boşandı	तलाकशुदा
teşkilat	एजेंसी
engellenmiş	अवरोधित
örgütleri	संगठनों
polisler	पुलिसवाले
polisler	पुलिसकर्मियों
dindar	धार्मिक
kilogram	किलोग्राम
kilogram	गामा
yıkıcı	विघटनकारी
yıkıcı	विध्वंसकारी
simge	संकेत
simge	प्रतीक
simge	आइकन
simge	चिह्न
savunmak	बचाव
sokaklar	गलियों
sokaklar	गलियां
sokaklar	सड़कें
kullanılamaz	अनुपलब्ध
kullanılamaz	अनुपयोगी
ayrıntı	विवरण
montaj	सम्पादन
montaj	अधिष्ठापन
montaj	सभा
montaj	संस्थापना
montaj	स्थापना
montaj	असेम्बली
montaj	संपादन
montaj	विधानसभा
montaj	संस्थापन
öğretmenler	शिक्षक
öğretmenler	शिक्षकों
boşa	बरबाद
boşa	अपशिष्ट
boşa	बर्बाद
boşa	बर्बादी
kibar	विनम्र
kibar	प्रकार
kibar	कोमल
kibar	सौम्य
kibar	करुणामय
kibar	दयालु
ressamlar	चित्रकार
detay	विवरण
konaklama	आवास
diyagramı	आरेख
kontrollü	नियंत्रित
koleksiyon	संग्रहण
koleksiyon	कलेक्शन
koleksiyon	संग्रह
koleksiyon	एकत्रण
nedenler	ध्येय
nedenler	कल्याणकारी
nedenler	कारण
nedenler	कारणों
yıkım	विनाश
düş	सपने
düş	सपना
düş	ख्वाब
düş	ड्रीम
düş	स्वप्न
tabiat	प्रकृति
cansız	बेजान
tepeleri	हिल्स
tepeleri	पहाड़ियाँ
homojen	सजातीय
homojen	समान
homojen	समरूप
eylemler	क्रियाएँ
eylemler	कार्रवाइयों
eylemler	कार्रवाइयाँ
eylemler	क्रिया
performansları	प्रदर्शन
planlar	योजनाएँ
belirtileri	लक्षण
belirtiler	लक्षण
mümtaz	मुमताज
mümtaz	मुमताज़
denemeler	ट्रायल
denemeler	प्रयास
denemeler	कोशिशें
tamamlanması	समाप्ति
tamamlanması	पूर्णता
mimarlar	आर्किटेक्ट
yirminci	बीसवीं
mukaddes	पवित्र
mukaddes	पावन
övgü	तारीफ़
övgü	प्रशंसा
övgü	स्तुति
övgü	नमन
övgü	गुणगान
övgü	तारीफ
övgü	श्रद्धांजलि
isyancı	विद्रोही
isyancı	विद्रोहियों
isyancı	बागी
bileşeni	घटक
bileşeni	अवयव
birşey	कुछ
kartları	कार्ड
kartları	ताश
kocaman	बड़ा
kocaman	विशाल
kocaman	बड़ी
kocaman	बड़े
kocaman	बिग
feodal	सामंती
açıklayıcı	वर्णनात्मक
formatı	फार्मेट
formatı	स्वरूप
formatı	फॉर्मेट
formatı	फ़ॉर्मेट
formatı	प्रारूप
tapu	पुन्य
mobilya	फर्नीचर
mobilya	फ़र्नीचर
haritalar	मानचित्र
haritalar	नक्शे
şunlar	ये
karşılaştırmalı	तुलनात्मक
diz	घुटने
diz	घुटना
diz	अदब
değişimler	परिवर्तन
yassı	चपटा
yassı	समतल
yassı	फ्लैट
yassı	सपाट
kulübe	झोपड़ी
kulübe	हट
kulübe	केबिन
bohemya	बोहेमिया
komiser	आयुक्त
komiser	कमिश्नर
komiser	लेफ्टिनेंट
usul	प्रक्रियात्मक
kumanda	कंट्रोल
kumanda	नियंत्रण
kumanda	रिमोट
kumanda	नियंत्रक
kumanda	दूरस्थ
çalınan	चोरी
çalınan	चुराया
tadı	स्वाद
termodinamik	ऊष्मागतिकी
mesajları	संदेश
reddedildi	अस्वीकृत
reddedildi	झुठलाया
etkilidir	प्रभावी
yeşim	जेड
tankları	टैंक
iman	विश्वास
iman	आस्था
iman	ईमान
iman	मानना
arkadaşım	dost
arkadaşım	मित्र
arkadaşım	दोस्त
tat	स्वाद
farklılıkları	मतभेद
farklılıkları	भिन्नताएं
sera	ग्रीनहाउस
yukarda	ऊपर
yukarda	अरदास
mani	उन्माद
gelişi	आगमन
özü	निकालें
ücretli	सशुल्क
fonksiyonel	कार्यात्मक
anten	एंटीना
figür	फिगर
figür	आकृति
taraflar	पहलू
taraflar	किनारा
kanarya	कैनरी
nijer	निगर
nijer	नाइजर
baskılar	संस्करण
neşeli	हंसमुख
neşeli	हर्षित
neşeli	जॉली
neşeli	प्रसन्न
neşeli	मैरी
neşeli	आनन्द
turları	टुर
nota	व्याख्या
nota	नोट
kurbağa	टोड
kurbağa	मेंढक
kurbağa	टॉड
üçlemesi	त्रयी
ördek	डक
ördek	बतख
ördek	बत्तख
yargıç	जज
yargıç	मजिस्ट्रेट
yargıç	न्यायधीश
yargıç	फैसला
yargıç	न्यायाधीश
kayma	स्लाइडिंग
kayma	स्लिप
sınırsız	असीम
sınırsız	असीमित
sınırsız	अनलिमिटेड
sınırsız	अंतहीन
sıfat	सक्रिय
sıfat	क्रियाशील
sıfat	विशेषण
dikenli	कंटीले
müstakil	विलग
değiştirilebilir	परिवर्तनीय
tutma	अवधारण
tutma	स्तंभन
kamboçya	कंबोडिया
kamboçya	कम्बोडिया
yıldızlı	तारक
yıldızlı	तारा
yıldızlı	स्ट्रक्चर
yıldızlı	स्टार
yıldızlı	तारों
yıldızlı	तारे
tescil	पंजीकरण
tescil	रजिस्ट्रेशन
gayret	प्रयास
gayret	प्रयत्न
akrabası	रिश्तेदार
akrabası	संबंधी
akrabası	सापेक्ष
çimen	लॉन
çimen	घास
çimen	ग्रास
nesneleri	वस्तु
nesneleri	ऑब्जेक्ट
nesneleri	वस्तुएँ
derisi	त्वचा
derisi	चमड़ी
derisi	स्किन
grev	स्ट्राइक
grev	हमलों
grev	हड़ताल
kumar	जुआ
kumar	जुए
tavan	छत
siteler	साइटें
siteler	वेबसाइटों
siteler	वेबसाईट
siteler	साइट्स
siteler	वेबसाइटें
siteler	वेबसाइट्स
siteler	साइट
alın	लो
alın	माथे
alın	मिलेंगी
alın	पाएँ
alın	लें
alın	ले
mezarları	क़ब्रों
boşanma	तलाक
boşanma	तलाक़
kızgın	नाराज़
kızgın	नाराज
kızgın	क्रोधित
kızgın	गुस्सा
kızgın	एंग्री
karışıklık	भ्रम
karışıklık	गड़बड़
karışıklık	पंगा
ergen	किशोरावस्था
ergen	टीन
alfabetik	वर्णमाला
ayrica	भी
gündem	चर्चित
gündem	रुझान
gündem	कार्यसूची
bileşen	घटक
bileşen	अवयव
havuz	पूल
rüşvet	रिश्वत
rüşvet	घूस
rüşvet	घूसखोरी
vitamin	विटामिन
memeliler	स्तनधारियों
çiçekli	पुष्पक
zihin	मन
zihin	दिमाग
kayısı	खुबानी
smaç	डंक
kürk	फर
bacak	टांग
bacak	पैर
bacak	टाँगे
bacak	पैरों
bacak	लेग
sıradışı	असाधारण
sıradışı	असामान्य
verim	दक्षता
verim	कार्यकुशलता
belirtilmiş	उल्लेखित
belirtilmiş	निर्दिष्ट
ayçiçeği	सूरजमुखी
annem	माँ
muhafazakâr	रूढ़िवादी
algılama	डिटेक्शन
algılama	बोध
antropoloji	मानवशास्त्र
sıradaki	अगला
çalışanlar	कर्मचारियों
çalışanlar	स्टाफ
çalışanlar	कर्मचारी
çalışanlar	स्टाफ़
oto	ऑटो
oto	स्वतः
oto	स्वचालित
tasfiye	शुद्धिकरण
tasfiye	परिसमापन
tasfiye	समापन
mozaik	मोज़ेक
teknikler	तकनीक
teknikler	तकनीकों
avro	यूरो
avro	यूरोपियन
yaratılmış	निर्मित
yaratılmış	बनाए
yaratılmış	बनाया
nazlı	नाजुक
çapa	एंकर
çapa	कुदाल
çapa	लंगर
akıcı	धाराप्रवाह
akıcı	धड़ल्ले
kolaylık	आसानी
seçenekleri	फंक्शन्स
seçenekleri	विकल्प
fay	दोष
fay	कसूर
itham	आरोपों
süreçleri	प्रक्रियाएँ
süreçleri	प्रक्रिया
süreçleri	प्रक्रियाओं
ant	शपथ
ant	प्रण
parçacıkları	अणु
parçacıkları	कणों
parçacıkları	कण
hangisi	जिससे
sentetik	सिंथेटिक
amca	चाचा
amca	अंकल
amca	ताऊ
amca	मामा
komşusu	पड़ोसन
komşusu	पड़ोसी
alttaki	तल
alttaki	बॉटम
alttaki	नीचे
yırtıcı	परभक्षी
entelektüel	बौद्धिक
etkilendi	प्रभावित
irtifa	ऊँचाई
dinle	सुनें
dinle	सुनो
yürek	हृदय
yürek	दिल
yürek	ह्रदय
başkaları	अन्य
kampüs	कैम्पस
kampüs	कैंपस
kafes	पिंजरा
kafes	जाली
kafes	पिंजरे
kafes	पिंजरों
aleyhinde	विरुद्ध
aleyhinde	विरूद्ध
aleyhinde	खिलाफ
berber	नाई
maraton	मैराथन
kleopatra	क्लियोपेट्रा
eğitimli	प्रशिक्षित
eğitimli	शिक्षित
samimi	निरे
samimi	आरामदेह
samimi	निष्कपट
samimi	ईमानदार
samimi	आरामदायक
samimi	अंतरंग
akrep	वृश्चिक
akrep	बिच्छू
heyecan	रोमांच
heyecan	उत्तेजना
heyecan	रोमांचक
heyecan	ट्विटर
heyecan	ट्वीटर
heyecan	उत्साहजनक
çal	खेल
çal	कैलोरी
çal	चोरी
fuar	प्रदर्शनी
fuar	मेलों
fuar	उचित
fuar	एक्सपो
fuar	मेला
fuar	मेले
fuar	फेयर
kaset	टेप
kaset	कैसेट
varlıklar	संपत्ति
varlıklar	एसेट
bağlanma	संबंध
bayramlar	छुट्टियों
bayramlar	छुट्टियाँ
bayramlar	छुट्टियां
bayramlar	अवकाश
mesajlar	संदेश
mesajlar	ग्रन्थ
söyleşi	साक्षात्कार
söyleşi	इंटरव्यू
kutbu	ध्रुव
aristo	अरस्तू
lav	लावा
doğruluk	सटीकता
doğruluk	परिशुद्धता
doğruluk	सच
doğruluk	सच्चाई
doğruluk	सत्य
doğruluk	शुद्धता
destan	दास्तान
destan	महाकाव्य
destan	एपिक
fren	ब्रेक
dahili	विस्तार
dahili	आतंरिक
dahili	आन्तरिक
dahili	आंतरिक
dahili	एक्सटेंशन
emlak	गुण
emlak	संपत्ति
emlak	सम्पत्ति
emlak	प्रॉपर्टी
emlak	एस्टेट
alim	विद्वान
tepeler	चोटियों
tepeler	हिल्स
tepeler	पार्ट्स
tepeler	पहाड़ियाँ
tepeler	चढे
senelik	वार्षिक
senelik	सालाना
sokrates	सुकरात
yavrular	शावक
yavrular	चूजों
dağıtıcı	डीलर
dağıtıcı	वितरक
karşılaştırma	तुलना
promosyon	तरक्की
promosyon	प्रचार
promosyon	प्रोमो
promosyon	प्रमोशन
rekorlar	रिकॉर्ड
cihat	जिहाद
cihat	जिहादी
eşek	गधा
eşek	गधे
eşek	गधों
istenmeyen	अनचाहा
istenmeyen	अनचाहे
istenmeyen	अवांछित
istenmeyen	अनावश्यक
istenmeyen	अवांछनीय
durdu	रोका
ayar	सेटिंग
ayar	ट्यूनिंग
ayar	समायोजन
dağıtılan	वितरित
şifre	कोड
şifre	संहिता
şifre	पासवर्ड
şifre	कूटशब्द
materyal	पदार्थ
materyal	वस्तु
materyal	सामग्री
yengeç	केकड़े
yengeç	केकड़ा
yengeç	कर्कट
yengeç	कैंसर
yengeç	कर्क
imparatoriçe	सम्राज्ञी
adımı	चरण
adımı	स्टेप
adımı	कदम
terzi	दर्जी
sebepleri	कारण
sebepleri	कारणों
adaylığını	उम्मीदवारी
işaretler	सिगनल
işaretler	सिग्नल
işaretler	लक्षण
düşünme	सोच
iner	उतरता
ağlar	नेट
ağlar	नेटवर्क
ağlar	संजाल
moral	मनोबल
besleme	फ़ीड
besleme	फीड
tereyağı	बटर
tereyağı	मक्खन
elçilik	दूतावास
özerklik	स्वायत्तता
kola	कोक
kola	कोला
evlenmek	निकाह
çarpıcı	तेजस्वी
tutucu	होल्डर
tutucu	रूढ़िवादी
ekin	क्रॉप
ekin	फ़सल
ekin	फसलें
ekin	काटें
ekin	फसलों
ekin	फसल
taliban	तालिब
persler	फारसियों
içli	भावपूर्ण
sıkıştırma	संपीडन
sıkıştırma	संकुचन
arkadaşlık	दोस्ती
arkadaşlık	मित्रता
üreticileri	निर्माताओं
şarj	चार्जर
şarj	प्रभार
şarj	चार्ज
şarj	चार्जिंग
zekeriya	ज़करिया
dolaşan	रोमिंग
arnavutça	अल्बानियाई
ünlüler	हस्ती
ünlüler	हस्तियाँ
furkan	मानदंड
sunum	प्रस्तुतीकरण
sunum	प्रस्तुतिकरण
sunum	प्रस्तुति
burs	छात्रवृत्ति
burs	स्कॉलरशिप
moleküller	अणुओं
ihtimal	सम्भावना
uysal	नम्र
uysal	आज्ञाकारी
ölüler	मुर्दे
ölüler	मर
pil	बैटरी
drakula	ड्रैकुला
eklemeler	परिवर्धन
müfettiş	इंस्पेक्टर
müfettiş	दरोगा
müfettiş	अधीक्षक
müfettiş	महालेखापरीक्षक
şöhret	कीर्ति
şöhret	शोहरत
şöhret	प्रसिद्धि
şöhret	सुर्खी
şöhret	हस्ती
şöhret	ख्याति
şöhret	प्रतिष्ठा
folklor	लोकगीत
çeşitliliği	किस्में
çeşitliliği	विविधता
güneşli	सनी
değişmiş	परिवर्तित
değişmiş	बदला
burjuva	बुर्जुआ
şelalesi	जलप्रपात
şelalesi	झरना
şelalesi	प्रपात
kararsız	अस्थिर
kararsız	अनिश्चित
kararsız	अनिर्णय
iskelet	कंकाल
telsiz	रेडियो
makyaj	श्रंगार
makyaj	बदलाव
makyaj	श्रृंगार
makyaj	मेकअप
arayüz	इंटरफ़ेस
arayüz	इंटरफेस
arayüz	जीयूआई
arayüz	अंतरफलक
oyunculuğu	एक्टिंग
oyunculuğu	अभिनय
patenci	स्केटर
eksi	ऋण
aritmetik	गणित
