les	เดอะ
privilège	อภิสิทธิ์
enveloppe	ซอง
frapper	ชน
frapper	ตี
frapper	จีบ
frapper	เคาะ
frapper	ถล่ม
symétrie	สมมาตร
vole	ฟลาย
vole	บิน
palme	ฝ่ามือ
palme	ปาล์ม
équitation	ขี่
tardif	สาย
tardif	ช้า
tardif	ดึก
biographiques	ชีวประวัติ
violette	ม่วง
violette	ไวโอเล็ต
ions	ไอออน
plâtre	โยน
plâtre	เฝือก
plâtre	ปูน
spectaculaire	งดงาม
desservis	เสิร์ฟ
prières	ภาวนา
magicien	มายากล
citoyenneté	พลเมือง
amas	คลัสเตอร์
pèse	ชั่ง
multimédia	มัลติมีเดีย
recherché	ต้องการ
maximal	สูงสุด
bouddha	พระพุทธเจ้า
animés	การ์ตูน
voleur	ขโมย
voleur	โจร
agression	ก้าวร้าว
brûlé	ไหม้
brûlé	เผา
commandés	สั่ง
détruites	ทำลาย
interdits	แบน
naître	เกิด
moutons	แกะ
lent	ช้า
lent	ช้าๆ
lent	ชะลอ
virage	ย่อ
particule	อนุภาค
pâle	ซีด
tige	ก้าน
baleine	วาฬ
baleine	ปลาวาฬ
définis	นิยาม
définis	กำหนด
tas	กอง
muscles	กล้าม
reproduit	แพร่
minier	เหมือง
directs	โดยตรง
directs	ตรง
colombe	พิราบ
comète	ดาวหาง
jordanie	จอร์แดน
géométrique	เรขาคณิต
salé	เค็ม
salé	เกลือ
cris	ร้องไห้
gastronomie	อาหาร
solitude	เหงา
examens	รีวิว
examens	ข้อสอบ
examens	วิจารณ์
examens	สอบ
australiens	ออสเตรเลีย
touchant	แตะ
touchant	สัมผัส
touchant	ซึ้ง
mariés	แต่งงาน
enchères	ประมูล
requin	ฉลาม
vides	ว่างๆ
vides	ว่าง
précisé	ระบุ
rouleau	ม้วน
rouleau	กลิ้ง
poussière	ฝุ่น
capitalisme	ทุนนิยม
méchant	ร้าย
méchant	ผู้ร้าย
méchant	แย่
méchant	เลว
négociant	พ่อค้า
gymnaste	ยิมนาสติก
requis	ต้องการ
dubaï	ดูไบ
accroître	เพิ่ม
mortier	ครก
amants	คู่รัก
herbes	สมุนไพร
harpe	ฮาร์ป
harpe	พิณ
hébergement	ที่พัก
géologue	ธรณีวิทยา
écritures	คัมภีร์
orage	พายุ
réfléchir	คิด
transparence	โปร่งใส
transparence	โปร่งแสง
transparence	โปร่ง
météorologiques	อุตุนิยมวิทยา
fixes	ตายตัว
fixes	ซ่อมแซม
trésors	สมบัติ
récepteur	ผู้รับ
cubain	คิวบา
écarts	แพร่
réparations	ซ่อมแซม
réparations	ซ่อม
écluse	ล็อค
écluse	ล็อก
incendies	ไฟ
incendies	เพลิง
ajoutés	เพิ่ม
positifs	บวก
muraille	กำแพง
prends	เอา
prends	รับ
légales	กฎหมาย
fidji	ฟิจิ
dîner	ดินเนอร์
raisin	องุ่น
âne	ลา
poignée	จัดการ
poignée	กำ
poignée	รับมือ
météorologique	อุตุนิยมวิทยา
excepté	ยกเว้น
colle	วาง
colle	แปะ
opportunité	โอกาส
peinte	วาด
peinte	ทาสี
favoris	ชอบ
favoris	ขวัญใจ
distributeur	จำหน่าย
réparer	แก้
réparer	ซ่อมแซม
réparer	ซ่อม
réparer	แก้ไข
boutons	ปุ่ม
boutons	กระดุม
receveur	ผู้รับ
libanais	เลบานอน
enregistrées	บันทึก
falaises	หน้าผา
joyeux	สุขใจ
joyeux	แฮปปี้
joyeux	ดีใจ
pitié	เมตตา
pitié	ปราณี
pitié	สงสาร
éléphant	ช้าง
fabriqués	ทำให้
fabriqués	ผลิต
minerai	แร่
palestinien	ปาเลสไตน์
noix	ถั่ว
boutiques	ร้าน
coucher	นอน
rocheux	โยก
rocheux	หิน
rocheux	ร็อค
légères	เบา
vendues	ขาย
lits	เตียง
lits	ที่นอน
aurore	รุ่งอรุณ
transférer	โอน
peindre	ทาสี
déformation	บิดเบือน
alliée	สัมพันธมิตร
alliée	พันธมิตร
souligner	ไฮไลท์
souligner	ไฮไลต์
souligner	เน้น
annonces	ประกาศ
annonces	โฆษณา
milles	ไมลส์
milles	ไมล์
douleurs	ปวด
imagerie	ภาพถ่าย
tailles	ขนาด
tailles	ไซส์
pouces	ยกนิ้ว
pouces	นิ้ว
pointes	หนาม
lier	เชื่อม
employeur	นายจ้าง
secte	ลัทธิ
tambour	กลอง
modifiés	แก้ไข
éclat	สะเก็ด
recommande	แนะนำ
charger	โหลด
physiquement	ร่างกาย
synthétique	สังเคราะห์
palestiniens	ปาเลสไตน์
singes	ลิง
converti	แปลง
loisir	สันทนาการ
sentiers	หาง
pertinente	เกี่ยวข้อง
barreau	บาร์
barreau	แถบ
vaches	นมวัว
vaches	วัว
logos	โลโก้
aiguille	เข็ม
ruisseaux	ลำน้ำ
ruisseaux	ลำธาร
épais	หนา
épais	หนาๆ
tomba	เผลอ
trimestre	ไตรมาส
considération	พิจารณา
formelle	ทางการ
héréditaire	สืบทอด
héréditaire	กรรมพันธุ์
ambitieux	ทะเยอทะยาน
sérieuse	จริงจัง
approuve	อนุมัติ
exposer	เปิดโปง
exposer	นิทรรศการ
reportages	รายงาน
plancher	พื้น
convertir	แปลง
coller	วาง
coller	แปะ
magiques	ขลัง
magiques	วิเศษ
poing	กำปั้น
poing	ปั้น
poing	หมัด
canne	เฆี่ยน
onglet	แท็บ
apprenti	ศิษย์
apprenti	ฝึกงาน
refusée	ปฏิเสธ
équipages	พิม
habituel	ปกติ
attachée	แนบ
écoulement	ไหล
écoulement	กระแส
cultes	ศาสนา
cultes	ลัทธิ
assainissement	สุขาภิบาล
piles	แบตเตอรี่
dédiés	ทุ่มเท
satisfait	พอใจ
conquis	พิชิต
faucon	เหยี่ยว
secs	แห้งๆ
secs	แล้ง
secs	แห้ง
analogue	คล้าย
significatif	สำคัญ
taureaux	กระทิง
bah	เอ้อ
bah	ดี
bah	ก็
bah	ก้อ
bah	อืม
bah	เออ
mouche	ฟลาย
mouche	บิน
gentil	สวย
dessiner	วาด
soliste	เดี่ยว
sèches	แห้งๆ
sèches	แล้ง
sèches	แห้ง
génétiques	พันธุกรรม
antiquités	โบราณ
géorgien	จอร์เจีย
joli	สวยๆ
joli	สวย
contestée	ท้า
contestée	พิพาท
magistrats	กรรมการ
fondement	มูลนิธิ
fondement	รากฐาน
intelligent	ฉลาด
dispersion	กระจาย
dispersion	โปรย
saisie	ชัก
braves	กล้า
comptable	บัญชี
ève	อีฟ
publicités	โฆษณา
soirées	ค่ำ
soirées	เย็น
larmes	น้ำตา
pénale	อาชญากร
pénale	อาชญากรรม
sondages	โพล
sondages	โพลล์
capitaux	ทุน
capitaux	พระนคร
acceptent	ยอมรับ
vêtement	อาภรณ์
vêtement	เสื้อผ้า
cépages	องุ่น
exilé	เนรเทศ
corne	แตร
conquérir	พิชิต
conquérir	เอาชนะ
réagir	โต้ตอบ
réagir	ปฏิกิริยา
repéré	พบเห็น
curiosité	สงสัย
énormes	ใหญ่
chargement	โหลด
facture	บิล
boucles	ลูป
boucles	วน
plantations	ไร่
plantations	ปลูก
forcer	แรง
forcer	บังคับ
extraire	คลาย
querelle	ทะเลาะ
abstention	ขันติ
mince	บาง
mince	บางๆ
mince	ผอม
isolés	แยก
isolés	ฉนวน
péché	บาป
latéraux	ข้าง
latéraux	ไซด์
latéraux	ด้าน
peints	วาด
peints	ทาสี
pensais	คิด
cuisson	ขนมอบ
fondements	รากฐาน
fondements	ฐาน
tortues	เต่า
squelette	โครง
fossile	ดึกดำบรรพ์
fossile	ฟอสซิล
fossile	ซากดึกดำบรรพ์
bouteilles	ขวด
lauréats	ผู้รับ
indiennes	อินเดีย
balises	แท็ก
anarchistes	อนาธิปไตย
effacer	ชัดเจน
effacer	ลบ
effacer	เคลียร์
effacer	ล้าง
alliances	พันธมิตร
cascades	น้ำตก
recueillir	สะสม
dinosaure	ไดโนเสาร์
psychiatre	จิตแพทย์
oublie	ลืม
virtuel	เสมือน
spécialités	พิเศษ
générer	สร้าง
emprunté	ยืม
unie	ยูไนเต็ด
unie	สามัคคี
arrondi	รอบ
arrondi	กลม
arrondi	กลมๆ
suppléant	ทดแทน
rideau	ม่าน
potentiels	ศักยภาพ
papes	โป๊ป
mortel	มรณะ
meme	เดียวกัน
meme	แม้แต่
meme	แม้
meme	แม้น
meme	แม้ว่า
attributs	คุณลักษณะ
comptabilité	บัญชี
jeté	โยน
jeté	เฝือก
jeté	ละทิ้ง
indirectement	อ้อม
nus	โล่ง
nus	เปลือย
koweït	คูเวต
pavillons	ธงชาติ
pavillons	ธง
délit	อาชญากรรม
justesse	แม่นยำ
groenland	กรีนแลนด์
syrienne	ซีเรีย
révèlent	เผย
coins	มุม
insultes	ดูถูก
apportant	การนำ
limitées	จำกัด
ver	หนอน
vélos	จักรยาน
cliniques	คลินิก
congolais	คองโก
soupe	ซุป
réclamations	บ่น
émotions	อารมณ์
consonne	พยัญชนะ
pétition	คำร้อง
temporaires	ชั่วคราว
boissons	ดื่ม
finlandaise	ฟินแลนด์
intéressés	สนใจ
souffrance	ปวด
souffrance	ทรมาน
poursuites	โจทก์
viol	ข่มขืน
radiophonique	วิทยุ
informé	แจ้ง
investir	ลงทุน
chèvre	แพะ
dangereuses	อันตราย
trouvées	เจอ
trouvées	พบ
respecté	นับถือ
pensant	คิด
sobre	สร่าง
incapacité	พิการ
déléguée	ตัวแทน
chateau	ปราสาท
suggéré	แนะ
suggéré	แนะนำ
souche	ตอ
positives	บวก
nativité	ประสูติ
cuirassés	เรือรบ
souhait	หวัง
étroites	แคบ
content	ดีใจ
volontiers	เต็มใจ
libéralisme	เสรีนิยม
filet	เน็ต
filet	ตาข่าย
filet	สุทธิ
filet	ถ้วน
abeilles	ผึ้ง
passions	ตัณหา
passions	กิเลส
tuberculose	วัณโรค
essentiels	สำคัญ
buisson	บุช
longueurs	ยาว
millier	พัน
mépris	ดูถูก
tres	มาก
inférieurs	ด้อย
embranchement	สาขา
ordinaires	สามัญ
ordinaires	ธรรมดา
posent	ท่า
posent	โพส
iranienne	อิหร่าน
carnets	ไดอารี่
investisseurs	นายทุน
sacrés	ศักดิ์สิทธิ์
pontifical	สันตะปาปา
émotion	อารมณ์
escadrille	ฝูงบิน
liquides	เหลว
liquides	ของเหลว
transférés	โอน
escadrons	ฝูงบิน
consoles	คอนโซล
doué	พรสวรรค์
reconnaissant	กตัญญู
sorcières	แม่มด
éditer	แก้ไข
volcans	ภูเขาไฟ
tranquille	เงียบ
royauté	ราชวงศ์
devoirs	หน้าที่
devoirs	การบ้าน
superbe	สวยงาม
superbe	สวย
superbe	งามๆ
superbe	งดงาม
superbe	สวยๆ
ambassadeurs	ทูต
recueilli	สะสม
remplacées	แทนที่
heureuse	สุขใจ
heureuse	แฮปปี้
heureuse	ดีใจ
étés	ซัมเมอร์
mixage	มิกซ์
mixage	ผสม
actualités	ข่าวสาร
actualités	ข่าว
océans	มหาสมุทร
inquiète	ห่วง
inquiète	กังวล
vus	suv
civique	พลเมือง
tuiles	กระเบื้อง
orphelin	กำพร้า
once	ออนซ์
permanents	ถาวร
ciment	ปูน
oxyde	ออกไซด์
nue	โล่ง
nue	เปลือย
enclos	คอก
méridional	ใต้
coréens	เกาหลี
voyez	ดู
voyez	เห็น
stationnement	จอด
rituels	พิธีกรรม
fermier	เกษตรกร
fermier	ชาวนา
fermier	ชาวไร่
escaliers	บันได
violentes	รุนแรง
veine	เส้นเลือด
veine	ตะเข็บ
mouches	ฟลาย
mouches	แมลงวัน
mouches	บิน
vierges	เวอร์จิน
vierges	จิ้น
dictateur	เผด็จการ
caméras	กล้อง
masculins	ผู้ชาย
masculins	บุรุษ
masculins	ชาย
souffrant	ทรมาน
nains	แคระ
goutte	วาง
goutte	ดรอป
goutte	เก๊าท์
goutte	หย่อน
goutte	หยด
épaisse	หนา
épaisse	หนาๆ
minéral	แร่
bienheureux	เป็นสุข
bienheureux	พร
câbles	เคเบิล
câbles	เคเบิ้ล
câbles	เบิ้ล
poulet	เจี๊ยบ
poulet	ไก่
prévision	พยากรณ์
bibliothécaire	บรรณารักษ์
fermés	ปิด
pornographiques	อนาจาร
valet	แจ๊ก
valet	แจ็ค
valet	แจ๊ค
valet	แจ็ก
évacuer	อพยพ
dictionnaires	พจนานุกรม
boules	ลูกบอล
boules	ชาม
rude	หยาบ
rude	ขรุขระ
rude	ลำบาก
neutres	ฉนวน
amicale	มิตร
habitudes	นิสัย
homosexuel	เกย์
chère	ถึง
chère	ที่รัก
craint	ห่วย
entrevue	สัมภาษณ์
conservatrice	อนุรักษนิยม
dominicain	โดมินิกัน
résiste	ขัดขืน
résiste	ต้านทาน
puce	ชิพ
puce	ชิป
fantaisie	หรู
fantaisie	จินตนาการ
fantaisie	แฟนซี
humeur	อารมณ์
suivies	ตาม
noel	คริสต์มาส
orphelins	กำพร้า
psychiatrique	จิตเวช
célébrité	ดัง
célébrité	เกียรติยศ
forcée	บังคับ
exécute	ประหาร
fusils	ปืน
guilde	สมาคม
conseillé	แนะนำ
démarrage	เริ่ม
psychiatrie	เวชศาสตร์
psychiatrie	จิตเวช
psychiatrie	จิตเวชศาสตร์
compté	นับ
angélique	เทวดา
angélique	นางฟ้า
expérimentation	ทดลอง
manuels	คู่มือ
catastrophes	หายนะ
aiguilles	เข็ม
ridicule	สาระ
prolongé	ยืนยาว
manquant	หาย
manquant	ขาด
souviens	จดจำ
baiser	จูบ
contesté	ท้า
contesté	พิพาท
apprécier	ซาบซึ้ง
échanger	สลับ
échanger	แลก
tiges	แท่ง
assassiner	สังหาร
assassiner	ฆ่า
chargées	โหลด
aimée	รัก
aimée	ถูกใจ
guérison	รักษา
hélices	ใบพัด
plantation	ปลูก
perses	เปอร์เซีย
perles	ประคำ
perles	ไข่มุก
reconnaissent	จำ
adjudant	จ่า
israéliens	อิสราเอล
intervenants	ลำโพง
millimètres	มิลลิเมตร
nain	แคระ
canonique	บัญญัติ
prototypes	ต้นแบบ
attachés	แนบ
ose	ท้า
ose	กล้า
accidentellement	บังเอิญ
accidentellement	เผลอ
pelouse	หญ้า
pelouse	ถิ่น
bulgares	บัลแกเรีย
cavité	โหว่
cavité	โพรง
brouillard	หมอก
septentrional	เหนือ
géante	ยักษ์
chantée	ซุง
chantée	ซอง
élimine	ขจัด
contrebasse	แบ
contrebasse	แบส
contrebasse	แบต
contrebasse	เบส
aigu	เฉียบพลัน
désastre	หายนะ
protestation	ประท้วง
stages	ฝึกงาน
séparément	แยก
joyeuse	สุขใจ
joyeuse	ดีใจ
joyeuse	ร่าเริง
joyeuse	แฮปปี้
joyeuse	เริงร่า
joyeuse	รื่นเริง
ruraux	ชนบท
chênes	โอ๊ค
chênes	โอ๊ต
laurier	ลอเรล
uniques	เอกลักษณ์
clefs	คีย์
clefs	กุญแจ
drogues	ยา
divisés	หาร
secrètement	ลับๆ
secrètement	แอบ
maquette	รุ่น
maquette	โมเดล
cuve	ถัง
cuve	แท็งค์
sexes	เพศ
érudit	บัณฑิต
cassette	เทป
arêtes	ขอบ
ciné	ภาพยนตร์
ciné	ภาพยนต์
ciné	หนัง
essayant	พยายาม
énoncé	คำแถลง
fourrure	ขน
araignée	แมงมุม
trucs	สิ่งของ
trucs	ทิป
temporel	ขมับ
conducteurs	ไดรเวอร์
lisse	เรียบ
héroïque	พระเอก
aéronefs	อากาศยาน
prévoir	ทำนาย
mélanges	มิกซ์
restants	เหลือ
nages	เมดเลย์
soutiens	สนับสนุน
soutiens	รองรับ
merveilleux	วิเศษ
entourent	ล้อม
mécanicien	กลไก
mécanicien	กลศาสตร์
symétrique	สมมาตร
absurde	สาระ
sélectionnée	เลือก
mat	แม็ท
mat	แมท
mat	แมตต์
mat	แมต
mat	แมทท์
mat	แม็ต
périphériques	อุปกรณ์
frein	เบรก
frein	เบรค
floraison	ดอก
floraison	บลูม
floraison	บาน
arête	ขอบ
invente	ประดิษฐ์
elfes	เอลฟ์
fraude	ฉ้อโกง
dot	สินสอด
satirique	เสียดสี
voleurs	ขโมย
voleurs	โจร
mange	ทาน
mange	กิน
arène	สังเวียน
cuisinier	เชฟ
cuisinier	หุง
cuisinier	ปรุง
cuisinier	ครัว
fier	ภูมิใจ
amies	เพื่อนๆ
amies	เพื่อน
souple	ยืดหยุ่น
agrandi	ขยาย
croient	ศรัทธา
croient	เชื่อ
carrosserie	ร่าง
carrosserie	ร่างกาย
carrosserie	กาย
espérer	หวัง
espérer	โฮป
diplômée	บัณฑิต
cône	กรวย
cône	โคน
coucou	สวัสดี
argumentation	อาร์กิวเมนต์
éclair	แฟลช
éclair	สายฟ้า
éclair	ฟ้าผ่า
automatiques	อัตโนมัติ
blindage	เกราะ
pourpre	ม่วง
rapidité	ด่วน
rapidité	รวดเร็ว
rapidité	ความเร็ว
rapidité	ไว
rapidité	เร็ว
danser	เต้น
danser	เต้นรำ
sécheresse	แล้ง
bulles	ฟอง
concorde	คอร์ด
habituelle	ปกติ
abandonnés	ร้าง
mâts	ขั้ว
mâts	เสา
saisi	คร่า
nouveautés	ใหม่
nouveautés	นิว
nouveautés	ข่าวสาร
nouveautés	ข่าว
terrasses	ระเบียง
accueillant	ต้อนรับ
urgences	ภาวะฉุกเฉิน
urgences	ฉุกเฉิน
boue	โคลน
côtières	ชายฝั่ง
épaules	ไหล่
épaules	บ่า
idéale	อุดมคติ
démo	สาธิต
tache	คราบ
persuadé	ชักชวน
offerte	เสนอ
négatifs	ฟิล์ม
négatifs	ติดลบ
négatifs	ลบ
mémé	ยาย
protestations	ประท้วง
soudain	ทันใด
soudain	กะทันหัน
célébrités	ดัง
manuelle	คู่มือ
désordre	ยุ่งเหยิง
désordre	เลอะเทอะ
désordre	วุ่นวาย
hérité	สืบทอด
freinage	เบรก
freinage	เบรค
consentement	ยินยอม
honte	เสียดาย
honte	ละอาย
barré	กีดกัน
entières	จำนวนเต็ม
déjeuner	เที่ยง
tromper	โกง
poupée	ตุ๊กตา
admettre	ยอมรับ
chers	ถึง
chers	ที่รัก
samouraï	ซามูไร
manqué	คิดถึง
manqué	พลาด
bombay	ไบ
approuvée	อนุมัติ
aiment	เหมือน
aiment	แบบ
aiment	ไลค์
aiment	อย่าง
aiment	ถูกใจ
aiment	ชอบ
freins	เบรก
freins	เบรค
énigme	ปริศนา
capteurs	เซ็นเซอร์
diamants	เพชร
diamants	ไดมอนด์
naine	แคระ
sédiments	ตะกอน
prospère	รุ่งเรือง
croates	โครเอเชีย
panier	ตะกร้า
panier	เกวียน
adèle	อเดล
adèle	อะเดล
réalités	เรียลลิตี้
verser	เท
rythmes	จังหวะ
hommages	ส่วย
hommages	บรรณาการ
commencée	เริ่ม
tarifs	อัตรา
tarifs	ราคา
conquêtes	ชัยชนะ
serviteur	บ่าว
pulmonaire	ปอด
fromages	ชีส
instabilité	ผันผวน
fermiers	เกษตรกร
fermiers	กสิกร
fermiers	ชาวไร่
génère	สร้าง
cochon	หมู
éventail	แฟน
éventail	แฟนๆ
éventail	พัดลม
fluides	ของเหลว
mensonge	โกหก
enfermé	ล็อค
enfermé	ล็อก
adoration	บูชา
adoration	นมัสการ
thérapie	บำบัด
couvertures	ผ้าห่ม
écorce	เห่า
intervenant	ลำโพง
cabane	กระท่อม
cabane	โดยสาร
commerçant	พ่อค้า
tranchées	เฉือน
briser	พัก
enquêter	สืบสวน
renvoi	อ้างอิง
limités	จำกัด
pouce	ยกนิ้ว
sales	สกปรก
faciles	ง่าย
faciles	ง่ายๆ
faciles	ง่ายดาย
lèvres	ปาก
lèvres	ลิป
ennemies	ศัตรู
ennemies	ข้าศึก
partitions	คะแนน
exclusif	พิเศษ
lointain	รีโมท
lointain	ไกล
courriel	อีเมล์
courriel	อีเมล
attends	รอ
syrien	ซีเรีย
débits	เดบิต
bénédiction	อวยพร
bénédiction	พร
corail	ปะการัง
neutrons	นิวตรอน
ethnie	ชาติพันธุ์
prolonger	ขยาย
mongols	มองโกเลีย
coûteux	แพงๆ
coûteux	แพง
balcon	ระเบียง
céramiques	เซรามิค
précieuses	ล้ำค่า
déduit	อนุมาน
maitre	อาจารย์
vieillissement	ริ้ว
enterrement	ฝัง
signant	เซ็น
sévères	สาหัส
sévères	รุนแรง
tablettes	แท็บเล็ต
vedettes	ดาว
vedettes	ดวงดาว
vedettes	แนะนำ
vedettes	ดารา
rate	ม้าม
aïn	อัยน์
avertissements	เตือน
couvertes	ปกคลุม
couvertes	ครอบคลุม
navigateurs	บราวเซอร์
miroirs	กระจกเงา
miroirs	กระจก
souffert	ประสบ
souffert	ทรมาน
touchée	สัมผัส
rondes	รอบ
rondes	กลม
rondes	กลมๆ
furieux	โกรธ
furieux	โมโห
gars	พวก
gars	กาย
harcèlement	ก่อกวน
mongol	มองโกเลีย
sympathie	เห็นใจ
jalousie	อิจฉา
jalousie	หึง
jalousie	ริษยา
genoux	เข่า
api	api
congé	ทิ้ง
interrompu	ขัดจังหวะ
ascenseur	ลิฟท์
ascenseur	ยก
caoutchouc	ยาง
bêta	เบต้า
pathologie	พยาธิ
pornographique	อนาจาร
salarié	พนักงาน
salarié	ลูกจ้าง
adeptes	แฟนๆ
rigide	แข็ง
démocratiques	ประชาธิปไตย
impair	แปลก
appréciation	ประเมิน
inconscient	จิตใต้สำนึก
éléphants	ช้าง
mât	เสา
passeport	หนังสือเดินทาง
vietnamien	เวียดนาม
bail	เช่า
libraire	บรรณารักษ์
expérimenté	ประสบ
rampe	คลาน
schémas	แผนผัง
capteur	เซ็นเซอร์
défis	ท้าทาย
planté	ปลูก
corbeau	อีกา
familier	คุ้น
familier	คุ้นๆ
macao	มาเก๊า
essentielles	สำคัญ
appréciée	ซาบซึ้ง
appréciée	ชื่นชม
interrompue	ขัดจังหวะ
menton	คาง
menton	ชิน
idéologique	อุดมการณ์
idéologique	ลัทธิ
paysanne	ชาวนา
paysanne	ชาวไร่
achats	ชอปปิ้ง
achats	ซื้อ
appuyé	สนับสนุน
rangées	แถว
poterie	เครื่องปั้นดินเผา
pneumatiques	ยาง
étudiée	ศึกษา
arithmétique	เลขคณิต
arithmétique	คณิต
capitaines	มาสเตอร์
peintes	วาด
peintes	ทาสี
bouddhistes	พระพุทธ
bouddhistes	พุทธ
abris	ที่พัก
végétal	โรงงาน
végétal	ต้นไม้
végétal	ผัก
végétal	พืช
modifiées	แก้ไข
néant	นิล
hollandaise	ดัตช์
semestre	เทอม
agrément	อนุมัติ
maj	กะเทย
maj	กะ
délicate	บอบบาง
mousse	โฟม
échelles	ตาชั่ง
échelles	เกล็ด
pixels	พิกเซล
profonds	ลึก
reines	ควีน
reines	ราชินี
potentielle	ศักยภาพ
agrandir	ซูม
agrandir	ขยาย
jumelles	แฝด
jumelles	ฝาแฝด
notoire	ฉาวโฉ่
controversée	แย้ง
effacement	ลบ
statique	คงที่
statique	สถิตย์
offerts	เสนอ
bloquée	บล็อก
bloquée	บล็อค
célibataire	โสด
convois	ขบวน
violons	ไวโอลิน
rangée	แถว
topographie	ภูมิประเทศ
icônes	ไอคอน
icônes	คอน
abeille	ผึ้ง
abeille	บี
fermement	มั่น
filtres	กรอง
oie	ห่าน
hybrides	ลูกผสม
demandée	ร้องขอ
creuser	ขุด
détaillées	ละเอียด
votée	โหวต
projections	ทิพย์
hache	ขวาน
productivité	ประสิทธิผล
productivité	ประสิทธิภาพ
productivité	ผลผลิต
artisanale	หัตถกรรม
manipuler	จัดการ
manipuler	รับมือ
égales	เท่ากับ
grenouille	กบ
huiles	น้ำมัน
requins	ฉลาม
explorateurs	สำรวจ
préliminaires	เล้าโลม
secrétaires	เลขานุการ
dormir	หลับ
dormir	นอน
embuscade	ซุ่ม
vérifie	ยืนยัน
bol	ชาม
cohérent	สอดคล้อง
indonésien	อินโดนีเซีย
colombienne	โคลอมเบีย
colombienne	โคลัมเบีย
noé	นูร
noé	นู่
noé	นู
cartouches	ตลับ
houille	ถ่านหิน
houille	ถ่าน
régression	ถดถอย
athlétique	นักกีฬา
ancre	สม
ancre	สมอ
temporelle	ขมับ
ennemie	ศัตรู
ennemie	ข้าศึก
dés	ลูกเต๋า
dés	เต๋า
regrette	เสียดาย
regrette	เสียใจ
meuble	เฟอร์นิเจอร์
enfers	ยมโลก
oms	ผู้
oms	ใคร
significatifs	สำคัญ
compteur	มิเตอร์
compteur	เคาน์เตอร์
compteur	เมตร
jumeau	แฝด
jumeau	ฝาแฝด
gâteau	เค๊ก
gâteau	เค้ก
souterrains	ใต้ดิน
aveugles	บอด
aveugles	ตาบอด
blocages	บล็อก
cérébrale	สมอง
insulte	ดูถูก
sélectionner	เลือก
chocs	ช็อค
chocs	ช๊อค
chocs	ช็อก
chocs	ช็อต
revêtement	เคลือบ
tactiques	ยุทธวิธี
tactiques	กลยุทธ์
verbes	กริยา
solidaire	สามัคคี
bovins	ปศุสัตว์
bovins	วัว
chilienne	ชิลี
comptoir	เคาน์เตอร์
toilettes	ส้วม
raisins	องุ่น
contingent	จัดสรร
octets	ไบต์
digue	เขื่อน
perle	ลูกปัด
appliqués	ประยุกต์
avortement	ทำแท้ง
avortement	แท้ง
pompes	ปั๊ม
évaluations	คะแนน
pyramides	พีรามิด
pyramides	พีระมิด
litre	ลิตร
négatives	ติดลบ
négatives	ลบ
médiocre	คนจน
médiocre	ยากจน
cachés	ซ่อน
oubliés	ลืม
envoyées	ส่ง
controversé	แย้ง
épave	ซาก
uniformes	ยูนิฟอร์ม
autorisées	อนุญาต
gothiques	กอธ
clin	กะพริบ
réduites	ลด
dany	เดนี
transférées	โอน
coordonner	ประสาน
plaintes	บ่น
douanes	ศุลกากร
saveur	ชิม
saveur	รสชาติ
saveur	รสนิยม
saveur	รส
cale	ลิ่ม
cale	สลิ่ม
affiché	โพสต์
étudiés	ศึกษา
turques	เติร์ก
turques	ตุรกี
fusées	จรวด
fusées	พลุ
protagoniste	ตัวเอก
électron	อิเล็กตรอน
multiplie	ทวีคูณ
multiplie	คูณ
tigres	เสือ
tigres	เสือก
jourdain	จอร์แดน
balise	แท็ก
sirène	เงือก
sirène	ไซเรน
stables	มั่นคง
stables	เสถียรภาพ
testé	ทดสอบ
processeurs	ซีพียู
processeurs	โปรเซสเซอร์
exilés	เนรเทศ
agressif	ดุดัน
agressif	ก้าวร้าว
tribut	ส่วย
tribut	บรรณาการ
séduit	ล่อลวง
disputées	พิพาท
avancés	ก้าวหน้า
moniteur	จอภาพ
taper	พิมพ์
taper	ชนิด
taper	ประเภท
fiancé	หมั้น
libellé	ป้าย
legs	มรดก
clémence	เมตตา
clémence	ปราณี
bactérie	แบคทีเรีย
idéaux	อุดมคติ
souches	ก้าน
ballons	ลูกบอล
ballons	ลูกโป่ง
ballons	บอลลูน
ambigu	คลุมเครือ
brûler	ไหม้
brûler	เผา
tempêtes	พายุ
tempêtes	วายุ
célébrations	ฉลอง
raté	คิดถึง
raté	พลาด
junte	uprising
parcelle	พัสดุ
parcelle	วางแผน
parcelle	พล็อต
côtier	ชายฝั่ง
dentaire	ฟัน
ambiguïté	คลุมเครือ
autoritaire	เผด็จการ
délicat	บอบบาง
souffrir	ทรมาน
simplifié	ประยุกต์
angoisse	วิตก
libanaise	เลบานอน
abstrait	นามธรรม
rivage	ชายฝั่ง
rivage	ฝั่ง
guérir	หาย
guérir	เยียวยา
guérir	รักษา
suspendue	ระงับ
cadeaux	พรสวรรค์
autoriser	อนุญาต
diviser	แบ่ง
diviser	แยก
caveau	สุสาน
honorer	เกียรติ
honorer	เกียรติยศ
laver	ล้าง
récoltes	พืช
récoltes	พืชพันธุ์
retraits	ถอน
entrepôt	โกดัง
bahreïn	บาห์เรน
abonnement	ติดตาม
abonnement	สมัคร
myriam	แมรี่
myriam	แมรี
sapin	ต้นไม้
sapin	ต้น
sapin	ฟิ
séminaires	สัมมนา
adjointe	ปลัด
attirent	ดึงดูด
épuisé	เหนื่อย
