年	イヤー
診所	診療所
大膽	ボールド
大膽	太字
感知	知覚
違規	違反
鈣	カルシウム
關節	関節
煤礦	石炭
宣揚	説教
學期	用語
學期	学期
占卜	占い
官司	訴え
官司	訴訟
侵蝕	侵食
後勤	物流
後勤	ロジスティック
固體	固体
寄宿	住宅地
寄宿	乗車
寄宿	搭乗
寄宿	住宅
芝麻	ゴマ
芝麻	胡麻
瓷器	磁器
勐	ムアン
諜	スパイ
訂單	オーダー
訂單	注文
訂單	命令
特權	特権
漁民	漁師
徵求	勧誘
痕跡	トレース
柏木	柏木
猩猩	ゴリラ
猩猩	オランウータン
證人	証人
日內瓦	ジュネーヴ
日內瓦	ジュネーブ
梅森	メイソン
女巫	魔女
女巫	ウィッチ
擁抱	ハグ
擁抱	抱擁
擁抱	抱っこ
西邊	ウェスト
西邊	ウエスト
西邊	西部
滑行	グライド
出國	海外
陣列	配列
陣列	アレイ
耐心	忍耐
耐心	我慢
耐心	根気
紡織	織物
紡織	繊維
紡織	テキスタイル
潛水	潜る
潛水	ダイビング
竇	イヌ
事前	あらかじめ
吸引力	アトラクション
甘蔗	サトウキビ
哭泣	泣く
哭泣	泣き
哭泣	クライ
賭博	賭博
賭博	賭け事
賭博	ギャンブル
功效	効能
成型	モールディング
腫瘤	腫瘍
酷刑	拷問
口服	口頭
嚴謹	厳重
展品	展示
仰光	ヤンゴン
豁免	免責
豁免	免除
豁免	免疫
史詩	エピック
史詩	叙事詩
推斷	推論
暹羅	シャム
暹羅	サイアム
鑄造	鋳造
淮海	淮海
刪去	削除
礦物	鉱物
麻醉	麻酔
攝政	摂政
芳香	香り
芳香	アロマ
民謠	フォーク
民謠	バラード
民謠	バラッド
明文	明示
服務業	サービス
守衛	衛兵
守衛	ガード
氣球	風船
氣球	気球
氣球	バルーン
遣返	送還
一幕	現場
一幕	シーン
一幕	場面
摸	タッチ
摸	触る
推論	推論
投放	配達
投放	配送
投放	デリバリー
投放	配信
神學院	神学校
瀋陽	瀋陽市
艾瑪	エマ
類比	類推
類比	類似
類比	アナログ
忠孝	忠孝
雅加達	ジャカルタ
通宵	一晩
通宵	一泊
對照	コントラスト
膨脹	膨張
營利	営利
營利	利益
營利	収益
良心	良心
位移	変位
招標	柔らかい
招標	テンダー
招標	勧誘
傳道	説教
雨傘	アンブレラ
花生	ピーナッツ
閃光	グリッター
閃光	キラキラ
閃光	フラッシュ
和弦	和音
子爵	子爵
削減	裁断
削減	切り取り
削減	切り傷
削減	カット
視察	検問
視察	検査
髮型	ヘアー
髮型	髪の毛
髮型	毛髪
髮型	ヘア
髮型	ヘアスタイル
髮型	髪型
髮型	髪形
殘酷	残酷
牧場	牧草
牧場	牧場
單身	独身
單身	シングル
大自然	自然
大自然	ネイチャー
犀	サイ
雇用	雇う
悲傷	悲しい
悲傷	悲しみ
僧侶	モンク
僧侶	僧侶
恐嚇	脅迫
沒收	没収
粉紅	ナデシコ
粉紅	ピンク
反向	リバース
北九州	北九州
浴	入浴
浴	風呂
感恩	感謝
生氣	怒り
星期天	日曜
星期天	日曜日
工房	コボ
塵埃	砂塵
塵埃	ダスト
塵埃	ほこり
平滑	スムーズ
平滑	スムース
平滑	滑らか
加速器	加速器
側面	側面
穆爾	ムーア
薄弱	衰弱
薄弱	弱い
指明	指定
諸葛	諸葛
宙斯	ゼウス
野獸	ビースト
野獸	野獣
填充	埋める
填充	中身
填充	パディング
水分	水分
縫	縫う
縫	縫製
縫	裁縫
高分子	高分子
反省	リフレクション
反省	反射
敲	ノック
頂端	トップ
頂端	上部
角落	コーナー
淋巴	リンパ
郵輪	クルーズ
燈光	明るい
燈光	軽い
燈光	ライト
瑪利亞	マリア
瑪利亞	マリヤ
太陽能	ソーラー
儲備	リザーブ
反對派	野党
藤本	藤本
舵	ヘルム
講話	スピーチ
講話	音声
離任	送信
離任	発信
激發	励起
激發	鼓舞
激發	インスパイア
禁忌	タブー
假說	仮説
邪教	カルト
醚	エーテル
孢子	胞子
噴	スプレー
榮耀	グローリー
偽裝	カモフラージュ
偽裝	変装
家園	家路
波動	変動
層次	レベル
矽	シリコン
矽	ケイ素
繡	刺繍
匹茲堡	ピッツバーグ
笨	バカ
少了	少ない
康復	ヒーリング
康復	更生
康復	リハビリ
康復	回復
康復	再生
康復	回収
康復	リカバリ
康復	リハビリテーション
大院	化合物
布希	ブッシュ
欺騙	欺瞞
欺騙	浮気
欺騙	カンニング
磁性	磁性
內政	インテリア
內政	内装
內政	内面
內政	内部
花朵	フラワー
花朵	お花
造訪	訪問
炸藥	ダイナマイト
皮革	皮革
皮革	レザー
徒弟	弟子
徒弟	見習い
下限	フロア
牛仔	カウボーイ
親戚	親族
親戚	親戚
親戚	相対
勘探	試掘
勘探	探検
追查	トレース
疑慮	疑念
上學	スクール
上學	学校
窯	ウェア
乳房	乳房
乳房	母乳
流血	出血
凍	凍結
諾亞	ノア
歸屬	帰属
館長	キュレーター
偷偷	こっそり
毫克	ミリグラム
骨折	骨折
骨折	破壊
泳池	プール
舉例	実例
舉例	用例
灰姑娘	シンデレラ
牙買加	ジャマイカ
迦太基	カルタゴ
渡假	休暇
渡假	バケーション
渡假	バカンス
偏差	偏差
偏差	バイアス
陰影	シェイド
陰影	シャドー
陰影	シャドウズ
陰影	日陰
陰影	シャドウ
陰影	シェード
鱷魚	ワニ
鱷魚	クロコダイル
幾內亞	ギニア
籽	種子
籽	シード
付款	支払う
付款	支払
付款	決済
付款	支払い
白銀	シルバー
水牛	バファローズ
護航	エスコート
護航	護送
共生	共生
厭惡	嫌悪
黑幫	ギャング
師父	マスター
瑞穗	瑞穂
瑞穗	みずほ
寶寶	ベイビー
寶寶	赤ちゃん
線索	手がかり
車庫	車庫
車庫	ガレージ
損傷	損傷
損傷	怪我
損傷	損害
損傷	外傷
損傷	被害
損傷	ダメージ
缺口	ギャップ
缺口	隙間
精華	エッセンス
精華	本質
分流	トリアージ
分流	迂回
分流	転用
分流	流用
蟒	ニシキヘビ
力學	力学
工匠	職人
處罰	処罰
處罰	ペナルティ
名聲	評判
序幕	前奏曲
序幕	プロローグ
代理商	代理人
代理商	代理店
代理商	エージェント
代理商	エージェンシー
舒適	居心地
舒適	慰め
舒適	コージー
舒適	快適
嘲笑	モック
充電	充電
充電	チャージ
充電	課金
鎳	ニッケル
哲也	テツ
飛翔	ハエ
飛翔	飛ぶ
飛翔	フライング
飛翔	フライ
礦業	鉱業
地勢	地形
人馬座	サジタリウス
谷地	谷間
谷地	バレー
桃子	モモ
桃子	桃子
桃子	ピーチ
桃子	ももこ
電纜	電線
電纜	ケーブル
蝨	シラミ
田野	フィールド
田野	フィールズ
腐敗	汚職
少數民族	少数
無聊	つまらない
無聊	退屈
藉口	言い訳
藉口	いいわけ
女朋友	ガールフレンド
顎	あご
顎	口蓋
酒館	パブ
酒館	居酒屋
政治學	政治
郊外	郊外
草甸	メドウズ
供給	供給
供給	サプライ
請願	請願
荒漠	砂漠
荒漠	デザート
潟湖	ラグーン
偽造	贋作
偽造	鍛造
偽造	偽造
鹿特丹	ロッテルダム
好奇	好奇心
好奇	興味津々
盎司	オンス
放逐	亡命
放逐	流罪
利息	利息
利息	利子
口述	口述
物料	材料
物料	マテリアル
物料	素材
打壓	抑圧
蟻	アリ
耦合	継手
砂岩	砂岩
石英	石英
珍藏	秘蔵
辯護	防御
辯護	ディフェンス
辯護	抗弁
辯護	防衛
波浪	ウェーブ
波浪	波動
超自然	超自然
成龍	ジャッキー
血清	血清
小澤	小沢
凜	りん
愛人	恋人
各區	ディストリクト
瓶子	ボトル
清明	清明
前列腺	前立腺
無奈	無力
小米	雑穀
化妝	化粧
化妝	メイク
演示	デモ
演示	実演
演示	デモンストレーション
游擊隊	パルチザン
倡議	イニシアチブ
盒子	ボックス
勉強	辛うじて
孟子	孟子
液態	液体
法郎	フラン
棄權	放棄
棄權	棄権
博弈	ゲーム
百分比	パーセント
百分比	パーセンテージ
百分比	割合
製造業	製造業
妥協	妥協
動議	モーション
解雇	却下
解雇	解雇
解雇	解任
解雇	免職
解雇	棄却
狙擊手	スナイパー
鍋爐	ボイラー
沙丘	砂丘
沙丘	デューン
會津	会津
奉獻	奉納
奉獻	専用
奉獻	献身
川上	川上
禮堂	講堂
藥品	ドラッグ
藥品	医学
藥品	薬物
盔	ヘルメット
全職	フルタイム
清新	フレッシュ
寧波	寧波市
太極	太極拳
太極	太地
雇主	事業主
升起	上昇
吃了	食べる
創始	創設
詐騙	詐欺
莓	ラズベリー
偷渡	密航
偷渡	密輸
任用	任命
任用	選任
任用	予約
任用	任用
地下水	地下水
階梯	梯子
階梯	階段
階梯	はしご
階梯	ハシゴ
階梯	ラダー
黃蜂	ハチ
煙火	花火
有序	従卒
反彈	バウンス
反彈	リバウンド
屏障	障壁
屏障	バリア
節點	ノード
姿勢	ポーズ
姿勢	姿勢
孤兒	孤児
週四	木曜日
週四	木曜
船塢	ドック
船塢	ドッキング
黨派	パルチザン
協奏曲	コンチェルト
協奏曲	協奏曲
碉堡	バンカー
葬禮	葬式
葬禮	葬儀
儒學	儒教
寶座	玉座
電子郵件	メール
電子郵件	メールアドレス
跡象	サイン
高能	エネルギッシュ
招聘	募集
招聘	求人
加速度	加速
加速度	加速度
喇叭	ホルン
喇叭	ホーン
喇叭	クラクション
貝勒	ベイラー
貝勒	ベル
不平等	不平等
不平等	不等式
晶體	クリスタル
晶體	結晶
開花	開花
開花	ブルーム
熵	エントロピー
廉價	安い
空心	中空
音訊	音声
音訊	オーディオ
桂林市	桂林市
叛逆	反乱
密封	シール
密封	封印
密封	アザラシ
密封	押印
密封	印章
快車	急行
快車	エクスプレス
警衛	ガード
信賴	信頼
彌撒	質量
彌撒	ミサ
神道	神道
撞球	プール
撞球	ビリヤード
後援	バックアップ
鼓舞	激励
鼓舞	奨励
關稅	関税
關稅	風習
上頜	上顎
定性	定性的
讀取	読書
讀取	読み込み
讀取	読み取り
讀取	読む
讀取	読み
紙幣	紙幣
調動	動員
獨唱	ソロ
獨唱	ソリスト
十字軍	十字軍
體力	強度
體力	体力
平均值	平均
不敗	無敗
興奮	ワクワク
興奮	興奮
興奮	わくわく
神龍	ドラゴン
紫外線	紫外線
大介	大介
大介	大輔
申報	宣言
申報	申告
投注	賭け
鯊魚	サメ
大腦	脳みそ
孤獨	孤独
孤獨	寂しい
單字	単語
單字	言葉
單字	ワード
套房	スイート
老兵	獣医
老兵	退役軍人
心態	考え方
過濾	ろ過
過濾	フィルター
過濾	フィルタ
過濾	濾過
黃道	ゾディアック
黃道	黄道
駕駛艙	コックピット
甘地	ガンジー
救護	救急車
加法	添加物
蒸氣	スチーム
蒸氣	蒸気
天命	運命
提問	疑問
提問	質問
遼寧	遼寧省
斜坡	ランプ
斜坡	斜面
斜坡	傾き
斜坡	スロープ
輪椅	車いす
輪椅	車椅子
袋鼠	カンガルー
開羅	カイロ
服從	服従
服從	従う
水力	水力
水力	ハイドロ
向日葵	ひまわり
援軍	援軍
轉讓	転送
轉讓	割り当て
轉讓	乗り換え
轉讓	代入
轉讓	移転
轉讓	譲渡
反對黨	野党
博愛	友愛
早餐	朝食
肉體	肉体
緯度	緯度
靈活	フレキシブル
靈活	柔軟
靈活	柔軟性
薩姆	サム
扣留	拘留
凍結	フリーズ
凍結	凍結
凍結	フローズン
副本	部数
副本	コピー
粥	おかゆ
橫向	水平
水壩	ダム
雄心	野心
雄心	野望
幼蟲	幼虫
幼蟲	幼生
癱瘓	麻痺
航運	配送
開關	切り替え
開關	スイッチ
邦聯	連盟
主婦	主婦
填寫	埋める
疣	いぼ
疣	イボ
扣除	値引き
錄取	入園
錄取	入場
錄取	入学
肯亞	ケニア
扔	投げる
硫化	硫化物
母音	母音
巧合	偶然
代謝	代謝
堪薩斯	カンザス
戰地	戦場
進食	食べる
新兵	リクルート
上線	オンライン
涅槃	ニルヴァーナ
涅槃	涅槃
老年人	先輩
幸存者	サバイバー
水災	洪水
貂	ミンク
煎	フライ
遙控	リモート
輝煌	ブリリアント
石榴	ザクロ
多餘	エクストラ
多餘	冗長
多餘	超過
美學	美学
堅強	濃い
堅強	強い
政客	政治家
季刊	四半期
水母	クラゲ
電阻	レジスタンス
電阻	抵抗
震動	振動
煞車	ブレーキ
必要性	必要性
堅決	確固たる
平房	バンガロー
元氣	元気
薪水	給与
薪水	俸給
薪水	給料
釀酒	醸造
多面體	多面体
後果	帰結
薪資	給与
薪資	俸給
薪資	給料
埋伏	待ち伏せ
抵押	担保
扣押	押収
扣押	差押え
元老院	元老院
美化	造園
配方	公式
配方	数式
備忘錄	メモ
備忘錄	覚書
許可證	免許
許可證	許可証
許可證	ライセンス
許可證	許可
巴塞隆納	バルセロナ
墜	ペンダント
流體	流体
強硬	厳しい
強硬	タフ
素質	品質
素質	クオリティ
素質	画質
素質	資質
伯父	おじ
伯父	伯父
伯父	アンクル
伯父	おじさん
伯父	叔父
突變	突然変異
突變	ミュータント
塞內加爾	セネガル
模具	カビ
椅子	いす
椅子	チェア
椅子	椅子
琥珀	アンバー
琥珀	琥珀
慾望	欲望
慾望	性欲
插座	ソケット
聖徒	セインツ
聖徒	聖徒
愛好	趣味
肥胖	肥満
象牙	象牙
墜落	落下
菊花	デイジー
氙	キセノン
駭客	ハッカー
漂	浮動
漂	フローティング
失明	失明
神田	神田
病房	ウォード
突尼西亞	チュニス
平野	平野
劇作家	劇作家
熊貓	パンダ
縱火	放火
頭條	見出し
族裔	民族
正直	整合性
寫信	書き込む
寫信	書き込み
寫信	書く
彈珠	ビー玉
彈珠	大理石
乙烯	エチレン
乙烯	ビニール
鈉	ナトリウム
硒	セレン
傷心	悲しい
衣物	被服
衣物	洋服
扶手	手すり
今夜	今夜
今夜	トゥナイト
今夜	今晩
敦促	衝動
固態	固体
染料	染める
染料	染料
避難	避難
鴉片	アヘン
延誤	遅延
延誤	ディレイ
界線	境界
螺旋槳	プロペラ
獲利	営利
獲利	利益
獲利	収益
領事	執政官
領事	領事
愛滋病	エイズ
托管	ホスティング
托管	主催
國度	王国
無窮	無限
無窮	無限大
無窮	インフィニット
加固	強化
新生代	新生代
藻類	藻類
打字	タイピング
巫師	魔法使い
巫師	ウィザード
美咲	美咲
美咲	みさき
美咲	三崎
玩偶	人形
釉	グレーズ
寫入	執筆
寫入	筆記
寫入	書き込む
寫入	書き込み
寫入	書く
鈔	紙幣
貧困	貧困
黑社會	ギャング
粉末	パウダー
粉末	粉末
義工	ボランティア
過境	トランジット
矩形	矩形
矩形	長方形
矩形	四角形
貪	欲張り
野蠻	野蛮
野蠻	サベージ
火腿	ハム
脆	サクサク
謬誤	誤謬
毆打	アサルト
毆打	暴行
毆打	鼓動
暴徒	暴徒
暴徒	サグ
暴徒	モブ
壁畫	フレスコ
壁畫	壁画
士氣	士気
大社	大社
職能	関数
職能	機能
爵士樂	ジャズ
女童	ガールズ
暴行	無惨
援引	呼び出し
蘑菇	キノコ
蘑菇	きのこ
蘑菇	マッシュルーム
牲畜	家畜
底片	ネガ
信玄	信玄
氧氣	酸素
傑克遜	ジャクソン
石墨	黒鉛
原告	原告
梵蒂岡	バチカン
寮國	ラオス
騷亂	暴動
蠟筆	クレヨン
弱點	衰弱
弱點	弱点
淺野	浅野
午餐	ランチ
午餐	昼食
增益	利得
亞當斯	アダムス
亞當斯	アダムズ
匙	スプーン
徘徊	放浪
徘徊	さまよう
可樂	コーラ
可樂	コーク
摺疊	折りたたみ
蝸牛	カタツムリ
鷺	サギ
奮鬥	格闘
奮鬥	闘争
東風	東風
軍閥	武将
蜂蜜	はちみつ
蜂蜜	蜂蜜
蜂蜜	ハニー
油畫	絵画
稱謂	指定
瑕疵	欠陥
燈籠	ランタン
燈籠	提灯
受益	給付
受益	利益
異性	異性愛者
俯衝	潜る
俯衝	ダイビング
扶梯	エスカレーター
活著	アライブ
烹飪	料理
烹飪	クッキング
烹飪	調理
檸檬	レモン
摩登	モダン
前所未有	前例
裝修	リフォーム
旅途	旅行
救濟	浮き彫り
救濟	レリーフ
配給	配給
配給	レーション
叛徒	裏切り者
群組	グループ
群組	集団
跟蹤	ストーカー
跟蹤	トラッキング
天國	天国
梵語	サンスクリット
喝酒	ドリンク
喝酒	飲み物
喝酒	飲む
檀香山	ホノルル
處置	処分
處置	廃棄
警探	刑事
工作站	ワークステーション
曲率	曲率
草稿	ドラフト
草稿	下書き
量度	測定
量度	計測
按摩	マッサージ
獵戶座	オリオン
獵戶座	オライオン
林地	疎林
寓言	寓話
變異	バリエーション
變異	突然変異
變異	変奏曲
變異	ミュータント
欄位	フィールド
欄位	フィールズ
領事館	領事館
曆法	カレンダー
饒舌	ラップ
忽視	無視
為甚麼	なぜ
應變	変形
誓言	宣誓
顆粒	粉じん
顆粒	パーティクル
顆粒	粒子
效用	ユーティリティー
效用	効用
效用	ユーティリティ
瀝青	アスファルト
清單	リスト
夜總會	ナイトクラブ
保養	整備
保養	メンテナンス
奶油	バター
奶油	クリーム
家庭教師	ガヴァネス
審訊	審判
審訊	取調べ
審訊	裁判
審訊	公判
審訊	トライアル
騷動	騒動
萃取	エキス
壓迫	抑圧
壓迫	弾圧
跨度	スパン
填補	埋める
填補	中身
木偶	パペット
丁香	クローブ
政令	布告
政令	条例
甄選	セレクション
甄選	選択
甄選	選考
困惑	紛らわしい
困惑	混同
困惑	混乱
困惑	ややこしい
外人	アウトサイダー
聖地亞哥	サンティアゴ
營地	キャンプ
石橋	石橋
壓倒性	圧倒的
大綱	概略
大綱	概説
大綱	アウトライン
中繼	リレー
透鏡	レンズ
背包	リュック
背包	リュックサック
樂天	ロッテ
素描	スケッチ
舅舅	おじ
舅舅	伯父
舅舅	アンクル
舅舅	おじさん
舅舅	叔父
大同市	大同市
石首魚	キングフィッシュ
融化	融解
融化	溶ける
嫉妒	嫉妬
舉重	重量挙げ
邂逅	出会い
邂逅	遭遇
赤字	赤字
共存	共存
放大器	アンプ
現況	ステータス
現況	近況
鬍子	ひげ
鬍子	口ひげ
鬍子	口髭
油脂	グリース
麻美	麻美
擠	スクイーズ
貝多芬	ベートーヴェン
強姦	強姦
強姦	レイプ
棕櫚	パーム
棕櫚	手のひら
棕櫚	ヤシ
流星雨	メテオ
流星雨	流星群
秘書處	事務局
點心	スナック
梯度	グラデーション
梯度	勾配
批發	卸売
勒索	脅迫
勒索	恐喝
和睦	ハーモニー
和睦	調和
突顯	見どころ
突顯	ハイライト
浴室	浴室
浴室	トイレ
浴室	風呂
僱員	社員
僱員	職員
牛角	ホルン
牛角	ホーン
牛角	クラクション
鎂	マグネシウム
附帶	付随
附帶	担保
附帶	附帯
行進	行軍
獨奏	ソロ
獨奏	ソリスト
山陽	山陽
敏捷	アジリティ
敏捷	アジャイル
自豪	自慢
自豪	プライド
自豪	傲慢
自豪	誇らしい
自豪	誇り
天花板	天井
致電	通話
致電	コール
報仇	報復
報仇	リベンジ
報仇	復讐
可變	可変
可變	変数
丙酮	アセトン
刑罰	処罰
刑罰	ペナルティ
漫遊	ローミング
債券	結合
債券	ボンド
山洞	洞窟
中介	ブローカー
折射	屈折
課室	教室
藝術品	美術
藝術品	アート
藝術品	芸術
頭盔	ヘルメット
飽和	飽和
飽和	彩度
異形	エイリアン
同學會	同窓会
同學會	再会
畫廊	ギャラリー
耕作	農業
籃	バスケット
籃	かご
稅務	租税
稅務	税金
哥倫布	コロンブス
西瓜	スイカ
印章	シール
印章	封印
印章	切手
印章	スタンプ
印章	アザラシ
印章	押印
印章	印章
丸子	ボール
永生	不老不死
迷信	迷信
負荷	ロード
負荷	読み込み
負荷	読み込む
威士忌	ウイスキー
威士忌	ウィスキー
靜態	スタティック
熱火	ヒート
土豆	じゃがいも
土豆	ポテト
土豆	ジャガイモ
塗鴉	落書き
塗鴉	グラフィティ
蜱	ダニ
收縮	縮小
收縮	陣痛
收縮	収縮
彈簧	スプリング
公示	宣伝
公示	広報
自制	手作り
自制	自家製
鎧甲	装甲
鎧甲	アーマー
丸山	丸山
忠實	忠実
豬肉	豚肉
豬肉	ポーク
狹義	狭い
中風	ストローク
馬尾	ポニーテール
崇高	尊い
飛躍	飛躍
均勻	制服
均勻	ユニフォーム
未遂	未遂
遺忘	忘却
謹慎	注意
歌舞伎	歌舞伎
控制權	コントロール
錘	ハマー
錘	ハンマー
篩選	フィルター
篩選	スクリーニング
篩選	フィルタ
篩選	選考
香草	バニラ
博覽	エキスポ
劫掠	略奪
重逢	同窓会
重逢	再会
噴泉	噴水
裸露	全裸
裸露	ヌード
絕地	ジェダイ
變態	変態
預估	予測
預估	予報
預估	推定
預估	予言
預估	見積もり
渾	フン
盲人	盲人
盲人	ブラインド
羚羊	アンテロープ
田納西州	テネシー
綠化	緑化
泗水	スラバヤ
鉀	カリウム
火藥	パウダー
火藥	粉末
火藥	火薬
盧布	ルーブル
遺失	ロスト
爆裂	バースト
爆裂	爆裂
心智	メンタル
羊毛	ウール
羊毛	フリース
泥土	土壌
泥土	ダート
多哥	トーゴ
激動	ワクワク
激動	興奮
激動	わくわく
刺刀	銃剣
造假	贋作
造假	偽造
畫像	ポートレート
畫像	肖像
畫像	縦長
輪迴	転生
所有者	オーナー
所有者	所有者
解碼	デコード
解碼	解読
園藝	ガーデニング
園藝	庭園
園藝	園芸
幻象	蜃気楼
閃耀	シャイニング
閃耀	磨き
流利	流暢
信使	メッセンジャー
監測	モニタ
監測	モニター
監測	監視
監測	モニタリング
濱田	浜田
創世	ジェネシス
怨恨	恨み
羽球	バドミントン
鴞	ふくろう
鴞	フクロウ
征服者	征服者
絲帶	リボン
開朗	陽気
戶籍	住所
限期	締切
限期	締め切り
限期	期限
名流	有名人
名流	セレブリティ
引渡	引渡し
盔甲	装甲
盔甲	アーマー
太監	宦官
鈦	チタン
斷裂	骨折
斷裂	破壊
著陸	着陸
著陸	上陸
佛教徒	仏教
佛教徒	仏教徒
釘	ネイル
延後	延期
猶他	ユタ
水管	パイプ
水管	パイプス
脖子	ネック
開車	ドライブ
班長	分隊
沙子	砂塵
秋海棠	ベゴニア
比對	一致
比對	マッチ
比對	マッチング
化妝品	化粧
化妝品	メイク
形容詞	形容詞
可逆	可逆
創傷	トラウマ
創傷	外傷
產卵	産卵
含義	意味
地毯	絨毯
地毯	じゅうたん
地毯	ラグ
地毯	カーペット
地毯	敷物
鼻音	鼻音
長門	長門
一致性	一貫性
維生素	ビタミン
營救	レスキュー
營救	救助
冥王	ハーデース
韃靼	タタール
加沙	ガザ
勘察	測量
再婚	再婚
古蘭經	コーラン
古蘭經	クルアーン
檢索	取得
美德	美徳
斬首	斬首
教訓	レッスン
教訓	教訓
教訓	授業
妊娠	妊娠
孫女	孫娘
猶他州	ユタ
男朋友	彼氏
男朋友	ボーイフレンド
護送	エスコート
護送	護送
橘色	オレンジ
租戶	テナント
戈壁	ゴビ
暗戀	クラッシュ
撒哈拉	サハラ
畸形	変形
天明	天明
墳墓	墓所
墳墓	墓穴
校正	補正
校正	校正
校正	訂正
校正	修正
接吻	キス
接吻	接吻
江河	河川
發酵	発酵
石灰	石灰
石灰	ライム
有效率	効率
製圖	マッピング
製圖	写像
空洞	中空
手錶	時計
手錶	腕時計
本能	本能
冷凍	フリーズ
冷凍	凍結
冷凍	フローズン
分居	分離
分居	別居
堅固	固体
賺取	獲得
賺取	稼ぐ
薪酬	給与
薪酬	報酬
罪惡	シン
催眠	睡眠薬
催眠	催眠
自動化	オートメーション
大都市	メトロポリス
大都市	大都市
品味	味見
品味	味覚
洗手間	浴室
洗手間	便器
洗手間	トイレ
洗手間	風呂
審計	監査
更少	少ない
赫爾辛基	ヘルシンキ
爬升	登る
漂浮	浮動
漂浮	フローティング
漂浮	フロート
身後	後ろ
修飾	修飾
笑容	スマイル
笑容	笑顔
遊說	ロビー
內在	内側
內在	インナー
內在	内面
內在	インサイド
侏儒	小人
侏儒	ミゼット
侏儒	ドワーフ
通話	通話
通話	コール
人行道	歩道
人行道	舗装
老公	ダンナ
同班同學	クラスメート
同班同學	同級生
搶劫	強盗
咽	咽頭
飢餓	飢餓
飢餓	飢え
飢餓	空腹
人魚	マーメイド
人魚	人魚
批次	バッチ
舒服	快適
殺戮	キリング
靜止	停滞
負載	ロード
負載	読み込み
負載	読み込む
集群	クラスタ
道場	道場
兌換	交換
兌換	利用
無論如何	とにかく
裝載	ロード
裝載	読み込み
裝載	読み込む
裝載	ローディング
阿爾卑斯山	アルプス
阿爾卑斯山	アルプス山脈
假的	フェイク
視力	光景
視力	視力
十字路口	十字路
十字路口	交差点
婁	ルー
神童	神童
煙草	たばこ
煙草	タバコ
獎盃	トロフィー
酵母	酵母
農夫	農家
誇張	誇張
稠密	濃密
傷口	傷口
門徒	弟子
槳	パドル
轉運	トランス
掠奪	略奪
馬克思主義	マルクス主義
異端	異端
異端	異説
相識	知人
相識	知り合い
牧野	牧野
展覽會	展示
濾波器	フィルター
濾波器	フィルタ
前沿	フロンティア
對流	対流
精子	精液
精子	精子
青銅	ブロンズ
青銅	青銅
賓州	ペンシルバニア
過時	時代遅れ
蒲公英	たんぽぽ
蒲公英	タンポポ
負傷	負傷
馬術	馬術
烏鴉	レイヴン
烏鴉	カラス
烏鴉	クロウ
交錯	交代
交錯	交互
牆壁	ウォール
淨化	粛清
淨化	パージ
淨化	浄化
香味	香り
香味	アロマ
今後	フューチャー
今後	将来
今後	未来
無盡	インフィニット
洛基	ロッキー
白血病	白血病
仙境	フェアリーランド
雞蛋	エッグ
激勵	インセンティブ
激勵	鼓舞
激勵	インスパイア
激勵	インスピレーション
等效	同値
等效	同等
處女	ヴァージン
處女	処女
孟買	ムンバイ
孟買	ボンベイ
大米	ライス
大米	ご飯
代詞	代名詞
挑釁	挑発
翻修	リフォーム
舊的	オールド
舊的	古い
一切都	全て
一切都	すべて
中級	中間
中級	中級
鹹	塩辛い
獾	アナグマ
圍牆	ウォール
圍牆	フェンス
調解	あっせん
調解	調停
資歷	資格
鋼琴家	ピアニスト
泡泡	バブル
擔憂	心配
通緝	求む
園林	庭園
眼鏡蛇	コブラ
降解	劣化
潮濕	水分
潮濕	しっとり
潮濕	湿気
老鷹	イーグルス
老鷹	ワシ
老鷹	イーグル
被動	パッシブ
腳踏車	自転車
腳踏車	バイク
桐生	桐生
視角	遠近法
視角	遠近
視角	視点
憎恨	憎しみ
憎恨	嫌い
憎恨	憎悪
林業	農林
林業	林業
露營	キャンプ
罰金	罰金
手腕	手首
女高音	ソプラノ
鈔票	紙幣
陌生	よそ者
素食	ヴィーガニズム
素食	ベジタリアン
清算	清算
清算	弁済
海藻	昆布
海藻	藻類
海藻	コンブ
海藻	ワカメ
海藻	海藻
褲	パンツ
褲	ズボン
液化	液化
胡蜂	ハチ
胡蜂	スズメバチ
望月	望月
考古學	考古学
火化	火葬
嵌入式	組み込み
嵌入式	組込み
宴會	ごちそう
宴會	パーティ
宴會	パーティー
宴會	宴会
打電話	通話
打電話	コール
海鮮	シーフード
海鮮	魚介類
飄	浮動
飄	フローティング
彩票	宝くじ
彩票	抽選
雙眼	アイズ
車輪	ホイール
車輪	車輪
悲痛	悲しみ
頭腦	マインド
頭腦	脳みそ
嚴肅	深刻
石膏	ギプス
石膏	出演
石膏	キャスト
石膏	漆喰
偏離	偏差
笑話	ジョーク
笑話	冗談
花冠	カローラ
吸煙	喫煙
吸煙	スモーク
控訴	クレーム
控訴	苦情
仁慈	マーシー
仁慈	慈悲
愚蠢	バカ
科長	チーフ
標準化	標準化
緊湊	コンパクト
村子	村落
村子	ヴィレッジ
抵消	オフセット
束縛	緊縛
字串	ストリング
趨向	トレンド
趨向	流行
概要	概略
概要	概説
概要	アウトライン
性愛	性別
性愛	セックス
拘禁	拘禁
拘禁	留置
拘禁	収容
拘禁	勾留
哈爾濱	ハルビン
不朽	不老不死
鼠疫	ペスト
鼠疫	疫病
餅乾	cookie
