年	año
標語	eslóganes
標語	consigna
標語	lema
摩天大樓	rascacielos
雙邊	bilaterales
雙邊	bilateral
雙邊	bilateralmente
迷失	perdidos
迷失	perdidas
迷失	perdido
迷失	perdida
迷失	perdió
警務	policía
警務	policia
警務	policías
仙女座	andrómeda
橘子	naranjas
橘子	naranja
橘子	anaranjado
死亡率	mortalidad
歌聲	cantos
歌聲	cantando
歌聲	cantar
歌聲	canto
散射	dispersión
症候群	síndrome
布加勒斯特	bucarest
污水	saneamiento
污水	efluentes
污水	alcantarillado
存款	deposito
存款	depósito
存款	deposite
存款	depósitos
存款	depositar
存款	yacimientos
獨裁	autocracia
獨裁	dictadura
宮廷	palacio
想象	imaginar
想象	imagina
想象	imagínate
想象	imaginación
祈禱	orar
祈禱	orando
祈禱	rezo
祈禱	oraciones
祈禱	plegarias
祈禱	rezar
祈禱	rezando
祈禱	plegaria
祈禱	ora
祈禱	oración
祈禱	rezos
祈禱	oracion
相容	compatibles
相容	compatibilidad
廚師	cocina
廚師	cocinero
廚師	cocinera
廚師	cocinar
天王星	urano
王冠	corona
王冠	coronas
營養	nutricional
營養	nutrientes
營養	nutrición
凝聚	cohesión
橡膠	gomas
橡膠	goma
橡膠	caucho
教義	credo
教義	enseñanzas
教義	doctrina
教義	credos
扳機	disparador
扳機	gatillo
探險	aventuras
探險	expedición
探險	aventura
探險	expediciones
區塊	bloques
區塊	cuadras
區塊	bloque
區塊	cuadra
區塊	bloquear
區塊	bloqueo
亞熱帶	subtropicales
地道	tunel
地道	túneles
地道	túnel
所羅門	salomón
腕	muñeca
附上	adjuntar
附上	adjunta
架次	incursiones
機長	capitana
機長	capitán
機長	capitan
聲援	solidario
聲援	solidaridad
聲援	solidarios
聲援	solidaria
核子	nucleares
殘餘	remanentes
殘餘	remanente
莖	tallo
雨林	selva
廢棄	abandonados
廢棄	abandonadas
廢棄	abandono
廢棄	abandonado
廢棄	abandonada
檢視	ver
檢視	vista
檢視	visualización
檢視	vistas
學說	doctrinas
學說	doctrina
大提琴	chelo
大提琴	violonchelo
加熱	calentado
加熱	acalorado
加熱	calefacción
加熱	calentamiento
加熱	climatizada
加熱	calor
還原	restaura
還原	restablecer
還原	revertir
還原	restaurar
暴風	tempestad
暴風	tormenta
華沙	varsovia
誘惑	seducción
誘惑	tentación
誘惑	tentaciones
掃描	escaneo
掃描	escáner
掃描	escaneado
掃描	escáneres
掃描	escaneos
掃描	exploraciones
掃描	escanear
掃描	digitalización
法典	códice
壺	olla
壺	maceta
壺	macetas
壺	tarros
壺	ollas
壺	cazuelas
壺	tetera
壺	jarra
電報	telegrama
電報	telégrafo
蒸	humeante
升降機	ascensor
升降機	elevadores
升降機	elevador
升降機	ascensores
機密	confidencial
機密	confidenciales
城牆	muros
城牆	murallas
城牆	paredes
諾曼	normandos
環礁	atolones
環礁	atolón
散布	dispersión
斐濟	fiyi
潛在	potenciales
潛在	potencial
呼叫	vocación
呼叫	llamar
呼叫	llama
呼叫	llamada
呼叫	llame
呼叫	llamando
硝酸	nitrato
硝酸	nitratos
嵌入	incrustado
出血	sangrando
出血	sangra
出血	sangrado
出血	sangrar
出血	hemorragias
出血	hemorragia
烤	hornear
烤	asado
烤	asar
口腔	desembocadura
口腔	boca
口腔	orales
港灣	puerto
港灣	puertos
時鐘	relojes
時鐘	reloj
時鐘	relojería
牽引	tracción
滑翔	planeo
滑翔	deslizarse
論點	discusiones
論點	alegaciones
論點	argumentos
論點	argumentación
論點	argumento
左邊	izquierdo
左邊	izquierda
勇氣	valentía
勇氣	coraje
勇氣	valor
喵	miau
天線	antena
天線	antenas
絕望	desesperado
絕望	desesperanza
絕望	desesperadas
絕望	desesperación
絕望	desesperada
絕望	desesperados
摩納哥	mónaco
格言	lema
格言	máxima
腐	podredumbre
伏特	voltios
敵對	hostilidad
敵對	hostil
敵對	hostiles
卡賓槍	carabina
出處	origen
出處	procedencia
電磁	electromagnéticas
電磁	electromagnética
電磁	electromagnético
電磁	electromagnéticos
瘋	loco
瘋	locura
瘋	locos
瘋	loca
金子	oro
金子	dorada
金子	dorado
贏	gano
贏	gane
贏	triunfo
贏	ganar
贏	gana
開除	despido
開除	destitución
開除	desestimación
災害	desastre
災害	catástrofes
災害	catástrofe
災害	desastres
持久	perdurable
持久	duraderas
持久	duraderos
持久	duradero
持久	duradera
永久性	permanencia
字元	personaje
字元	caracteres
字元	personajes
字元	carácter
字元	caracter
晚餐	cenas
晚餐	cena
晚餐	cenar
捐助	donativos
捐助	donaciones
濕地	marismas
濕地	humedal
濕地	humedales
濕地	pantanos
獵物	presas
獵物	presa
東正教	ortodoxo
東正教	ortodoxia
東正教	ortodoxos
東正教	ortodoxas
東正教	ortodoxa
燕子	traga
燕子	tragar
燕子	golondrina
燕子	golondrinas
鄰居	vecinas
鄰居	prójimo
鄰居	vecino
鄰居	vecina
鄰居	vecinos
會計師	contables
會計師	contador
會計師	contable
會計師	contadores
橢圓	elíptica
橢圓	elipse
追逐	persigue
追逐	persecución
君士坦丁	constantino
美式足球	futbol
美式足球	fútbol
天然氣	gasolina
天然氣	gases
方塊	plazas
方塊	cuadrada
方塊	cubitos
方塊	cubos
方塊	cuadrados
方塊	cubo
方塊	cuadrado
方塊	plaza
均衡	saldo
均衡	equilibrados
均衡	equilibrar
均衡	balanza
均衡	equilibrado
均衡	equilibrada
均衡	equilibrio
均衡	equilibradas
均衡	balanceo
掃	barrido
掃	barrer
掃	barriendo
叢林	jungla
叢林	selva
慶典	festejo
慶典	celebración
慶典	celebraciones
藏文	tibetanos
藏文	tibetano
藏文	tibetana
藏文	tíbet
色素	pigmento
色素	pigmentos
膝	rodillas
膝	rodilla
保管	custodia
院系	facultades
省長	prefecto
省長	gobernadora
省長	gobernador
粗糙	duro
粗糙	áspero
粗糙	áspera
粗糙	gruesa
激情	apasionado
激情	apasionados
激情	pasion
激情	pasión
激情	apasionada
珍貴	precioso
珍貴	preciosos
珍貴	preciosas
珍貴	preciosa
嚴厲	áspero
門票	pasaje
門票	billete
門票	billetes
門票	boleto
門票	entradas
門票	boletos
通航	navegables
通航	navegable
毒素	toxinas
毒素	toxina
轎車	limusinas
轎車	sedán
轎車	limusina
獅子座	león
經濟學家	economista
經濟學家	economistas
輸送	transportadores
輸送	transportador
約瑟	josé
愛心	cuidando
愛心	cariñoso
約旦	jordán
約旦	jordania
赦免	perdones
赦免	indultos
性行為	sexualidad
性行為	sexuales
性行為	sexos
性行為	sexo
地下室	sótano
地下室	subsuelo
地下室	sotano
昨天	ayer
兄妹	hermanos
應對	afrontando
詳情	detalles
詳情	detalle
生殖	reproductores
生殖	reproducción
生殖	reproductiva
生殖	procreación
生殖	reproductor
十個	rte
十個	diez
交配	apareamiento
投射	proyección
漢城	seúl
藥用	medicinales
酸性	ácido
酸性	acidez
酸性	ácidos
酸性	acido
展望	prospectiva
展望	previsión
展望	perspectivas
展望	perspectiva
展望	visión
多明尼加	dominicano
多明尼加	dominicanos
多明尼加	dominicana
週年紀念	aniversario
世系	linaje
世系	ascendencia
世系	descenso
世系	descendencia
猴子	monos
猴子	mono
猴子	monito
抬	ascensor
抬	levantar
可信	creíble
可信	creíbles
俄文	rusos
俄文	rusia
俄文	ruso
俄文	rusas
俄文	rusa
揭示	revelador
揭示	reveladora
揭示	revela
揭示	revelan
揭示	revelando
揭示	revelar
反駁	rebatir
反駁	refutación
反駁	refutar
前景	prospectos
前景	prospecto
前景	perspectivas
妄想	paranoicos
妄想	paranoia
妄想	delirante
妄想	paranoica
妄想	paranoico
妄想	delirio
成年人	adultos
成年人	adulta
成年人	adulto
大炮	cañon
大炮	cañón
大炮	cañones
大炮	artillería
明智	sabias
明智	sabios
明智	sabia
明智	sabio
抽籤	empate
抽籤	sorteo
抽籤	dibuja
抽籤	dibujar
椅	silla
椅	cátedra
椅	sillas
椅	sillones
聖人	santo
聖人	santa
聖人	santos
聖人	san
阿瑟	arturo
捕獲	capturando
捕獲	captura
捕獲	capturar
捕獲	capturas
捕獲	capturan
聽眾	oyentes
聽眾	oyente
蒜	ajos
蒜	ajo
居所	residencia
優點	ventaja
優點	ventajas
優點	provecho
優點	méritos
思維	pensamiento
思維	pensando
思維	pensar
計程車	taxis
布魯塞爾	bruselas
歸還	restitución
失業	paro
失業	desempleada
失業	desempleados
失業	parados
失業	desempleado
失業	desempleo
砷	arsénico
野生動物	fauna
天花	viruela
昂貴	caros
昂貴	caro
昂貴	caras
昂貴	costoso
大麻	marihuana
大麻	maleza
大麻	hierba
大麻	yerba
可疑	sospechoso
可疑	sospechosa
小丑	payaso
小丑	bromista
小丑	comodín
小丑	guasón
小丑	payasos
抗生素	antibióticos
抗生素	antibiótico
專營	franquicia
專營	franquicias
字面	literales
自轉	rotación
大通	persigue
大通	persecución
怪人	raro
破碎	roto
破碎	destrozados
破碎	destrozada
破碎	rota
破碎	quebrado
破碎	rotos
破碎	destrozado
語氣	tono
語氣	tonos
老年	mayores
隔離	aislamiento
隔離	aislados
隔離	cuarentena
隔離	aislada
隔離	aislado
隔離	aisladas
隔離	segregación
砸	aplastar
生病	enfermo
生病	enferma
生病	enfermas
生病	enfermos
中位數	mediana
摔跤	lucha
證書	certificados
證書	certificado
山脊	cresta
惡作劇	travesura
惡作劇	travesuras
惡作劇	broma
佈局	trazado
佈局	disposición
拳擊	boxeo
青蛙	ranas
青蛙	rana
青蛙	sapo
青蛙	sapos
高效	eficientemente
高效	eficiente
高效	eficientes
高效	eficaz
探險家	exploradora
探險家	exploradores
探險家	explorador
拖延	dilaciones
拖延	dilación
拖延	tardanza
拖延	demora
拖延	retrasos
拖延	retraso
拖延	demoras
拖延	retardo
伴隨	acompañe
伴隨	acompañan
伴隨	acompañamiento
伴隨	acompañando
伴隨	acompañar
伴隨	acompaña
骨灰	cenizas
安息	dep
安息	pir
預留	reservados
預留	reservada
預留	reservado
震撼	sacudió
搶救	rescate
搶救	salvar
搶救	salvamento
商家	comerciante
商家	mercaderes
商家	comerciantes
商家	mercader
商家	mercante
執照	licencias
執照	licencia
煩惱	molesto
煩惱	problemas
脊椎動物	vertebrados
混合物	mezcla
混合物	mezclas
粉紅色	rosado
粉紅色	rosa
粉紅色	rosada
軍營	cuartel
軍營	barracones
軍營	barraca
軍營	cuarteles
軍營	barracas
軍營	barracón
先例	precedentes
先例	precedente
頸部	cuello
脆弱	fragilidad
脆弱	vulnerables
脆弱	frágil
脆弱	frágiles
定制	personalizado
定制	personaliza
定制	personalizada
定制	costumbre
定制	costumbres
定制	personalizados
定制	personalizar
定制	personalización
火花	chispas
火花	chispa
脈衝	pulsos
脈衝	pulso
脈衝	legumbres
脈衝	leguminosas
電器	aparatos
電器	aparato
電器	electrodomésticos
客房	habitaciones
客房	habitación
客房	salas
客房	cuartos
協和	concordia
伸展	estiramiento
伸展	estirar
伸展	tramo
餐飲	restauración
餐飲	cenar
餐飲	comedor
餐飲	cenando
亞馬遜	amazonia
亞馬遜	amazonas
亞馬遜	amazona
亞馬遜	amazonía
微弱	desmayarse
微弱	desmayo
微弱	tenue
眼淚	desgarro
眼淚	lágrima
眼淚	lagrimas
眼淚	llanto
眼淚	lágrimas
特赦	amnistía
電影院	teatro
電影院	teatros
電影院	cine
電影院	cines
休假	dejar
海牙	haya
口音	acento
領導者	dirigentes
領導者	líderes
領導者	lider
領導者	lideres
領導者	dirigente
領導者	líder
言語	palabras
肢	miembro
肢	extremidades
肢	extremidad
王座	trono
拆解	desmantelamiento
拆解	desmontaje
容忍	tolerancia
容忍	tolerada
容忍	tolerado
四重奏	cuarteto
州際公路	interestatal
州際公路	interestatales
核糖	ribosa
偏好	preferencia
偏好	preferidos
偏好	prefería
偏好	preferencias
偏好	preferida
偏好	preferido
糖果	dulces
糖果	caramelos
糖果	golosinas
糖果	caramelo
糖果	dulce
山寨	casita
山寨	cabaña
擾動	disturbios
擾動	perturbación
擾動	disturbio
擾動	perturbaciones
利潤	beneficios
利潤	utilidades
利潤	beneficio
利潤	rentabilidad
利潤	provecho
利潤	ganancias
利潤	ganancia
範例	ejemplos
範例	ejemplo
範例	paradigma
弊	contras
弊	convictos
弊	estafas
施政	gobernación
施政	gobierno
施政	gobernanza
施政	gobernabilidad
切換	cambiando
切換	alternar
切換	conmutación
切換	interruptor
切換	conmutar
瘟疫	plaga
瘟疫	peste
瘟疫	pestilencia
蚜	pulgón
公關	publicista
捍衛	defenderme
捍衛	defendiendo
捍衛	defiendan
捍衛	defender
奔跑	correr
奔跑	corriendo
奔跑	ejecutando
括號	paréntesis
括號	corchetes
括號	soportes
震驚	impactantes
震驚	conmocionada
震驚	conmocionado
震驚	impactante
震驚	conmoción
震驚	chocante
震驚	choque
震驚	sorprendido
震驚	impactado
貨櫃	envase
貨櫃	recipiente
貨櫃	contenedores
貨櫃	recipientes
貨櫃	contenedor
協作	colaboración
協作	colaboraciones
協作	colabore
協作	colabora
協作	colaborativo
協作	colaborar
郵件	correspondencia
郵件	correo
無視	ignorar
無視	ignorando
無視	ignoran
無視	desprecio
無視	ignora
無視	indiferencia
無視	ignoren
代理人	apoderado
代理人	agentes
代理人	agente
代理人	mandatario
材質	materiales
呂宋	luzón
美味	sabrosas
美味	sabrosos
美味	delicioso
美味	rico
美味	sabrosa
美味	riquísimo
美味	deliciosos
美味	deliciosas
美味	deliciosa
美味	sabroso
虧損	déficit
虧損	pérdida
虧損	perdidas
虧損	pérdidas
虧損	perdida
熔	derretir
熔	fundido
熔	fundir
口袋	bolsillos
口袋	bolsillo
蜜蜂	abeja
蜜蜂	abejas
吸入	inhala
吸入	inhalar
吸入	inhalación
硫磺	azufre
硫磺	sulfuro
快艇	lancha
療法	terapia
療法	terapias
包機	fletado
注意力	atención
注意力	atencion
狐狸	zorro
狐狸	zorros
石灰岩	caliza
站立	parados
鼓吹	predica
鼓吹	predicar
鼓吹	abogar
鼓吹	abogando
吞噬	devorando
風車	molinos
風車	molino
同化	asimilados
同化	asimilado
同化	asimilar
同化	asimilación
對峙	confrontación
對峙	enfrentamiento
常年	perennes
常年	perenne
鍋	olla
鍋	maceta
鍋	macetas
鍋	tarros
鍋	ollas
鍋	cazuelas
職責	deberes
職責	deber
孵化	escotilla
孵化	incubación
孵化	incubar
文藝復興	renacentista
文藝復興	renacimiento
忠誠	leal
忠誠	fieles
忠誠	leales
忠誠	fiel
忠誠	lealtad
忠誠	fidelidad
祖國	patria
供電	electricidad
四肢	extremidades
視窗	ventanillas
視窗	ventana
視窗	ventanilla
視窗	ventanas
視窗	escaparate
抗原	antígenos
抗原	antígeno
老化	envejecido
老化	envejecer
老化	envejeciendo
老化	envejecimiento
守護者	guardián
守護者	guardianes
守護者	tutores
守護者	guardiana
守護者	tutor
經紀人	corredor
槍口	hocico
槍口	bozal
仇恨	odiar
仇恨	odios
仇恨	odio
矮人	enano
矮人	enanos
矮人	enana
不規則	irregulares
穩定性	estabilidad
混沌	desmadre
混沌	caos
鑰匙	clave
鑰匙	llave
鑰匙	llaves
鑰匙	claves
鑰匙	tecla
世襲	hereditaria
世襲	hereditario
櫻桃	cerezo
櫻桃	cerezas
櫻桃	cereza
執事	diácono
哀悼	condolencias
哀悼	pésame
哀悼	luto
哀悼	condolencia
哀悼	duelo
摩托車	motocicleta
摩托車	motocicletas
摩托車	motos
摩托車	moto
加重	agravados
加重	agravada
加重	agravado
加重	agravantes
加重	agravante
地雷	minas
大亨	magnate
安慰	reconfortante
安慰	confort
安慰	consuelo
安慰	comodidad
乾燥	seca
乾燥	secado
乾燥	secando
乾燥	seco
乾燥	secar
乾燥	secos
點數	puntos
點數	créditos
警示	alerta
警示	alertas
潛力	potenciales
潛力	potencial
開墾	regeneración
勞倫斯	lorenzo
班級	clase
班級	clases
長年	perennes
長年	perenne
低溫	hipotermia
低溫	criogénico
推算	extrapolación
送出	envíe
送出	mandar
送出	enviar
管理者	gerente
管理者	gestores
管理者	administradores
管理者	directivos
管理者	directores
管理者	gestor
管理者	gerentes
管理者	administrador
委派	asignación
委派	cesión
聚焦	centrándose
聚焦	enfoque
聚焦	centrar
聚焦	foco
聚焦	concentración
後宮	harén
誤導	engañosa
誤導	engañoso
誤導	equivocada
工地	sitio
特質	rasgo
腎	riñones
腎	renales
腎	riñón
回憶錄	memorias
鈎	garfio
鈎	ganchos
鈎	gancho
鈎	enganche
鈎	anzuelo
觸發	gatillo
觸發	desencadenó
觸發	desencadenar
觸發	desencadena
觸發	disparador
仁愛	benevolencia
香水	perfumes
香水	fragancia
香水	fragancias
美式	americano
美式	americana
美式	estadounidense
美式	americanos
診所	clínicas
診所	clinica
診所	clínica
大膽	audaz
大膽	negrita
大膽	atrevido
胚胎	embrión
胚胎	embriones
胚胎	embrionarias
感知	perciba
感知	percepción
感知	percibir
感知	perciben
感知	percepciones
違規	brecha
違規	incumplimiento
違規	violación
違規	infracción
鈣	calcio
民主化	democratización
關節	porros
關節	porro
關節	articulación
關節	conjunta
關節	articulaciones
淡出	fundido
淡出	desvanecerse
煤礦	hulla
煤礦	carbón
宣揚	predica
宣揚	predicar
學期	semestre
學期	término
占卜	adivinación
官司	pleito
官司	demanda
侵蝕	erosión
後勤	logística
後勤	logístico
固體	sólida
固體	sólido
固體	sólidos
固體	macizo
寄宿	residencial
寄宿	residenciales
寄宿	abordar
寄宿	abordaje
寄宿	embarque
寄宿	embarcar
寄宿	abordando
鼻子	nariz
芝麻	sésamo
瓷器	porcelana
諜	espía
諜	espías
諜	espiar
訂單	pedido
訂單	encargos
訂單	ordenes
訂單	órdenes
訂單	pedidos
訂單	ordenar
訂單	encargo
訂單	orden
特權	privilegios
特權	atribuciones
特權	prerrogativas
特權	privilegio
漁民	pescadores
漁民	pescador
徵求	solicitando
水解	hidrólisis
痕跡	rastros
痕跡	trazas
痕跡	vestigios
痕跡	trazos
猩猩	gorilas
猩猩	gorila
猩猩	simios
猩猩	orangután
猩猩	simio
證人	testigo
證人	testimonio
證人	testigos
日內瓦	génova
日內瓦	ginebra
梅森	albañil
本體	ontología
女巫	brujo
女巫	bruja
擁抱	abrazo
擁抱	abrazos
擁抱	abrazar
擁抱	mimos
西邊	occidental
西邊	oeste
西邊	occidente
滑行	planeo
滑行	deslizarse
出國	extranjero
陣列	matrices
陣列	matriz
耐心	paciencia
紡織	textiles
紡織	textil
紡織	tejidos
潛水	picada
潛水	bucear
潛水	picado
潛水	inmersión
潛水	submarinismo
潛水	buceo
合法性	legitimidad
合法性	legitimación
合法性	legalidad
竇	seno
竇	perros
竇	sinusal
竇	perro
竇	perrita
擾亂	interrupción
吸引力	atractivos
吸引力	atractiva
吸引力	atractivas
吸引力	atractivo
吸引力	apelando
吸引力	atracción
甘蔗	bastón
甘蔗	caña
哭泣	llorando
哭泣	llorar
哭泣	llanto
哭泣	grito
哭泣	llantos
哭泣	llora
賭博	juego
賭博	apostando
賭博	apuestas
賭博	apuesta
賭博	apostar
功效	eficacia
成型	moldeado
成型	formando
成型	moldeo
成型	moldear
腫瘤	tumor
紀律	disciplina
紀律	disciplinas
酷刑	tortura
酷刑	torturas
口服	orales
廣東話	cantones
廣東話	cantonés
嚴謹	estrictas
嚴謹	rigurosa
嚴謹	estricto
嚴謹	estrictos
嚴謹	estricta
三叉戟	tridente
展品	exhibición
展品	exhibiciones
展品	exposición
展品	exposiciones
展品	exponer
仰光	rangún
豁免	excepciones
豁免	exenciones
豁免	inmunidades
豁免	inmunidad
豁免	exención
史詩	épico
史詩	épica
推斷	extrapolación
推斷	inferencia
花絮	curiosidades
花絮	trivial
暹羅	siameses
鑄造	fundición
鑄造	colada
刪去	eliminar
刪去	borrar
刪去	suprimir
礦物	minerales
麻醉	anestésico
麻醉	anestesia
加深	profundizado
加深	profundización
加深	profundizando
加深	profundizar
加深	profundiza
攝政	regente
芳香	aromáticas
芳香	fragancia
芳香	aromáticos
芳香	aromático
民謠	baladas
民謠	balada
明文	explícitas
明文	explícita
明文	explícitos
明文	explícito
服務業	servicios
守衛	guardias
守衛	guardia
守衛	guarda
守衛	guardas
氣球	globo
氣球	globos
氣球	balones
籃板	rebotes
遣返	repatriación
倫理	ético
倫理	éticos
倫理	ética
倫理	éticas
一幕	escena
摸	tacto
摸	toque
摸	toques
推論	inferencias
推論	corolario
推論	inferencia
投放	entrega
投放	parto
投放	entregas
神學院	seminario
憲政	constitucionalidad
憲政	constitucional
憲政	constitucionales
類比	análogo
類比	analogías
類比	analógico
類比	análoga
類比	análogos
類比	analógica
類比	analogía
雅加達	yakarta
對照	contrastes
對照	contraste
膨脹	expansión
膨脹	ampliación
營利	beneficios
營利	beneficio
營利	rentabilidad
營利	provecho
營利	ganancias
營利	ganancia
良心	consciencia
良心	conciencia
位移	desplazamientos
位移	desplazamiento
招標	tierna
招標	licitación
招標	licitaciones
招標	tiernos
招標	tierno
傳道	predica
傳道	predicar
波羅的海	báltica
波羅的海	bálticos
波羅的海	báltico
雨傘	paraguas
雨傘	sombrillas
雨傘	sombrilla
花生	maní
花生	cacahuete
花生	cacahuetes
閃光	brillo
閃光	destello
和弦	acorde
和弦	acordes
子爵	vizconde
削減	cortar
削減	corten
削減	corta
削減	cortes
削減	recortes
削減	corte
視察	inspecciones
視察	inspección
髮型	peinado
髮型	pelo
髮型	cabellos
髮型	cabello
叛變	motín
殘酷	brutales
殘酷	crueldad
殘酷	crueles
牧場	rancho
牧場	pasto
牧場	pastos
單身	sencillo
單身	soltera
單身	soltero
大自然	naturaleza
犀	rinoceronte
犀	rinocerontes
九個	nueve
雇用	contratando
雇用	alquiler
雇用	contrataciones
雇用	contratación
雇用	contratar
悲傷	tristezas
悲傷	tristes
悲傷	triste
悲傷	tristeza
僧侶	monjes
僧侶	monje
拂	batidor
恐嚇	intimidaciones
恐嚇	intimidación
沒收	confiscados
沒收	incautación
沒收	decomiso
沒收	confiscadas
沒收	confiscación
沒收	confiscado
粉紅	rosado
粉紅	rosa
粉紅	rosada
反向	revertir
反向	invertir
反向	revés
反向	reverso
反向	inversa
反向	reversa
分身	altera
原油	crudos
原油	cruda
原油	tosco
原油	crudo
原油	bruto
浴	bañera
浴	baño
浴	baños
浴	bañarse
感恩	agradecida
感恩	agradecidos
感恩	agradecido
感恩	gratitud
感恩	agradecimiento
生氣	enfadada
生氣	enojada
生氣	enfadado
生氣	enojado
星期天	domingos
星期天	domingo
塵埃	polvo
平滑	suavizar
平滑	liso
平滑	alisado
平滑	suave
加速器	acelerador
弩	ballesta
側面	flancos
側面	flanco
薄弱	débiles
薄弱	debilidades
薄弱	débil
薄弱	debilidad
指明	especifique
指明	especificar
指明	precisar
指明	especifica
謊言	mentiras
謊言	mentira
謊言	miente
謊言	mientes
謊言	mentir
野獸	bestia
填充	rellena
填充	llenando
填充	rellenar
填充	llenar
填充	relleno
填充	llena
填充	llenado
起因	causas
起因	causa
水分	humedad
縫	cosiendo
縫	coser
縫	costura
高分子	polímero
高分子	polímeros
反省	reflejo
反省	introspección
反省	reflexionar
反省	reflexión
飛越	sobrevuelo
飛越	sobrevuelos
敲	toc
頂端	cima
頂端	arriba
角落	esquinas
角落	rincones
角落	esquina
角落	rincón
淋巴	linfático
淋巴	linfáticos
狂熱	fanatismo
郵輪	cruceros
郵輪	crucero
燈光	ligera
燈光	ligero
燈光	luces
燈光	luz
瑪利亞	maría
抗衡	contrapeso
太陽能	solares
儲備	reservas
儲備	reservar
儲備	reserva
反對派	oposiciones
反對派	oposición
反對派	opositores
舵	timón
池塘	estanque
池塘	laguna
講話	discurso
離任	saliente
離任	salientes
激發	estimula
激發	estimule
激發	inspiran
激發	estimular
激發	inspirar
激發	inspira
禁忌	prohibido
禁忌	tabú
禁忌	prohibidas
禁忌	prohibidos
禁忌	prohibida
禁忌	tabúes
假說	hipótesis
邪教	secta
邪教	culto
醚	éter
醚	éteres
孢子	esporas
孢子	espora
噴	aerosol
噴	rociar
噴	pulverización
榮耀	gloria
偽裝	disfraces
偽裝	disimular
偽裝	disfrazar
偽裝	camuflaje
偽裝	disfraz
鳩	paloma
叛軍	rebeldes
叛軍	rebelde
家園	patria
波動	fluctuación
波動	fluctuaciones
波動	inestable
波動	volátil
波動	volatilidad
波動	volátiles
波動	inestabilidad
層次	nivel
層次	capas
矽	silicio
矽	silicona
繡	bordados
繡	bordado
閘門	compuertas
笨	estúpida
笨	estúpidos
笨	estúpido
少了	menos
康復	valorización
康復	curación
康復	sanación
康復	rehabilitación
康復	recuperación
大院	compuestos
大院	compuestas
大院	compuesto
布希	arbusto
莊園	mansión
欺騙	decepción
欺騙	tramposo
欺騙	engañando
欺騙	trampa
欺騙	engañar
欺騙	engaños
欺騙	engaño
磁性	magnetismo
磁性	magnéticos
磁性	magnético
磁性	magnéticas
磁性	magnética
內政	interiores
花朵	flores
花朵	flor
造訪	visitando
造訪	visita
造訪	visitas
造訪	visitar
炸藥	explosivo
炸藥	explosivas
炸藥	explosivos
炸藥	explosiva
炸藥	dinamita
皮革	piel
皮革	cuero
皮革	cueros
古人	antiguos
徒弟	discípulo
徒弟	discípulos
徒弟	aprendiz
徒弟	aprendices
下限	piso
下限	suelo
下限	planta
牛仔	vaquero
牛仔	vaqueros
親戚	relativa
親戚	familiares
親戚	pariente
親戚	parientes
親戚	relativo
勘探	exploraciones
勘探	exploración
勘探	prospección
結晶	cristalización
追查	rastreo
疑慮	duda
疑慮	dudas
疑慮	dudar
疑慮	dudo
上學	escuela
上學	colegio
窯	hornos
紅十字會	cicr
乳房	mama
乳房	seno
乳房	pecho
乳房	pechos
乳房	senos
乳房	pechuga
正宗	auténtico
正宗	auténticos
正宗	auténtica
正宗	autentica
正宗	autentico
流血	sangrando
流血	sangrado
流血	sangrar
流血	hemorragias
流血	hemorragia
凍	helada
凍	congelación
凍	congelamiento
諾亞	noé
下落	paradero
歸屬	reconocimiento
歸屬	atribución
感興趣	interesada
感興趣	interesadas
感興趣	interesado
感興趣	interesados
鹽水	salinas
鹽水	salino
鹽水	salina
館長	conservadora
館長	curador
館長	conservador
偷偷	escondidas
毫克	miligramos
骨折	fracturas
骨折	fractura
骨折	fracturado
史學	historiografía
泳池	alberca
泳池	piscina
泳池	billar
舉例	ejemplos
切除	escisión
黏	pegajosa
黏	pegajoso
灰姑娘	cenicienta
主宰	dominan
主宰	domina
主宰	dominar
迦太基	cartago
渡假	vacaciones
偏差	desviaciones
偏差	parcialidad
偏差	desvío
偏差	sesgo
偏差	desviación
陰影	sombras
陰影	sombra
驚訝	sorprendido
驚訝	sorprendidos
驚訝	sorprendida
鱷魚	cocodrilo
鱷魚	cocodrilos
殘骸	naufragio
籽	semilla
籽	semillas
付款	desembolsos
付款	sueldo
付款	pagar
付款	paga
付款	pague
付款	pagos
付款	desembolso
付款	pago
白銀	plata
白銀	plateado
水牛	búfalos
水牛	búfalo
面部	faciales
護航	escoltas
護航	acompañamiento
護航	acompañante
護航	escolta
護航	acompañantes
各部	ministerios
共生	simbiótica
共生	simbiosis
厭惡	disgustado
厭惡	aversión
厭惡	asco
厭惡	disgusto
孫子	nietos
孫子	nieto
黑幫	pandillas
黑幫	bandas
黑幫	gángster
黑幫	mafioso
黑幫	gánster
師父	máster
師父	amo
師父	maestro
寶寶	bebé
寶寶	nena
寶寶	nene
寶寶	bebe
線索	pistas
線索	pista
車庫	garaje
車庫	cochera
綠黨	verdes
無畏	temerario
無畏	valiente
無畏	intrépido
損傷	lesiones
損傷	daño
損傷	herida
損傷	perjuicio
損傷	lesión
損傷	daños
缺口	brecha
缺口	vacíos
缺口	brechas
缺口	lagunas
列舉	enumeración
精華	esencia
分流	distracción
分流	derivación
分流	desvío
分流	diversión
分流	desviación
刮	arañazo
刮	rasguño
刮	rasca
蟒	pitón
發起人	iniciador
發起人	iniciadores
口語	hablada
口語	hablado
力學	mecánicas
力學	mecánicos
力學	mecánica
工匠	artesanos
工匠	artesano
