से	از
क्लिप	کلیپ
रिश्तेदारों	خویشان
रिश्तेदारों	خویشاوندان
रिश्तेदारों	نزدیکان
पारदर्शिता	شفاف
पारदर्शिता	شفافیت
पारदर्शिता	آلفا
अजमल	اجمل
रफ़ी	رفیع
अव्यक्त	ضمنی
उन्नीस	نوزده
नीना	نینا
थाइलैंड	تایلند
बेक	پخت
बेक	طبخ
बेक	بک
सौजन्य	تواضع
सौजन्य	ادب
गौरवशाली	بزرگوار
अनार	انار
पहिये	چرخ
विस्कॉन्सिन	ویسکانسین
नेपियर	نپر
सुसंगत	همدوس
प्राइम	نخست
प्राइम	پرایم
रशीद	رشید
रशीद	راشد
यूरोपा	اروپا
गुमराह	افسار
गुमराह	گمراه
झींगा	میگوی
झींगा	میگو
झींगा	خرچنگ
ट्रेल	دنباله
दरवाजों	درها
ठिकाना	سرا
लसीका	لنف
क़यामत	رستاخیز
यमराज	یما
यमराज	یاما
मेस्सी	مسی
सुजाता	سوجاتا
वक्रता	انحنا
वक्रता	انحنای
दुश्मनी	انیمه
दुश्मनी	خصومت
इस्माइल	اسماعیل
सादा	ساده
रोजाना	روزانه
रोजाना	دیلی
रिया	ریا
ताओ	تائو
साझेदार	شریک
साझेदार	همتای
साझेदार	همکار
साझेदार	شرکا
सेकण्ड	دومی
सेकण्ड	دوم
सेकण्ड	ثانیه
कैसीनो	کازینو
कैसीनो	کازینوی
एडिटर	ویرایشگر
मनोचिकित्सा	رواندرمانی
पार्टनर	شریک
पार्टनर	همکار
सोलोमन	سولومون
सोलोमन	سلیمان
लेटर	نامهای
लेटर	نامه
लेटर	حرف
गिनीज	گینس
कोबरा	کبرا
कोबरा	کبری
ड्रग्स	مواد
जूही	جوهی
कैंडी	نبات
कैंडी	کندی
कैंडी	آبنبات
फ़ीड	خوراندن
फ़ीड	تغذیه
माफ़ी	بخشش
माफ़ी	مغفرت
माफ़ी	استغفار
माफ़ी	عفو
माफ़ी	آمرزش
बिखर	رانش
बिखर	دریفت
हैरिसन	هریسون
हंटर	شکارچی
हंटर	هانتر
सख्ती	اکیداً
सख्ती	اکیدا
असम्भव	غیرممکن
असम्भव	ناممکن
कोलंबो	کلمبو
ज्ञानकोष	دانشنامه
अर्क	ساپ
लिंडा	لیندا
अंधा	نابینا
अंधा	کور
विज़ुअल	بصری
विज़ुअल	دیداری
विज़ुअल	تصویری
मनमोहक	برازنده
मनमोहक	ظریف
नीत्शे	نیچه
प्रभावकारिता	اثربخشی
मैप	نقشه
मैप	نگاشت
बूंद	قطره
बूंद	افت
काव्यात्मक	شاعرانه
मेहराब	طاق
मेहराब	آرچ
कोयल	فاخته
कोयल	کوکو
हेरफेर	دستکاری
व्युत्क्रम	وارون
आध्यात्मिकता	روحانیت
आध्यात्मिकता	معنویت
फेंग	فنگ
आला	آلا
आला	الا
राजमार्गों	بزرگراه
मेसन	میسون
मेसन	میسن
गांठ	گره
सुनहरी	زرین
सुनहरी	گلدن
सुनहरी	طلائی
सुनहरी	طلایی
उज्ज्वल	یکدست
उज्ज्वल	درخشان
पत्राचार	مکاتبه
पत्राचार	مکاتبات
शिष्टाचार	رسوم
शिष्टाचार	ادب
शिष्टाचार	آداب
करम	کرم
बगीचा	باغچه
बगीचा	بهشت
बगीचा	باغ
बगीचा	گاردن
कूटनीति	دیپلماسی
कूटनीति	سیاست
हाजी	حاجی
पाशा	پاشا
सु	سودوکو
केंद्रक	هسته
यूसुफ	یوزف
यूसुफ	ژوزف
यूसुफ	جوزف
यूसुफ	یوسف
दैवीय	اوراکل
दुर्दशा	مخمصه
बैठना	بنشینم
वियोग	محرومیت
वियोग	سوگ
चुपचाप	بیصدا
शिल्पकार	صنعتگران
शिल्पकार	تراشان
अनुमत	مجاز
एंजाइमों	آنزیم
चू	چو
मित्रा	میترا
फायदेमंद	سودمند
फायदेमंद	مفید
दीना	دینا
गांधार	گنداره
हिप्पी	هیپی
क्राई	گریه
मीटिंग	دیدار
मीटिंग	جلسه
मीटिंग	ملاقات
हॉर्स	اسب
जोड़ें	افزودن
राइडर्स	سواران
जोहान	یوهان
फ़िरोज़	فیروز
जूलियस	ژولیوس
जूलियस	جولیوس
टीना	تینا
प्रतिवादी	متهم
प्रतिवादी	آنتاگونیست
कोटिंग	دورانی
घोंसला	آشیانه
घोंसला	لونه
घोंसला	لانه
स्पैम	هرزنامه
स्पैम	اسپم
पल्स	پولسار
पल्स	نبض
पल्स	پالس
पल्स	تپش
पल्स	ضربان
डेल्फी	دلفی
टिम्बरलेक	تیمبرلیک
गोलियाँ	نماها
एरिज़ोना	آریزونا
हस्ताक्षरित	امضا
हैरान	سرگشته
लांच	پرتاب
ब्राउनिंग	برونینگ
चौराहे	تقاطع
चौराहे	چهارراه
सरिता	ساریتا
देओल	دیول
निर्बल	ضعیف
निर्बल	ناتوان
निर्बल	سست
निर्बल	خفیف
निर्बल	سخی
निर्बल	ضعیفی
कू	کو
स्लोवाकिया	اسلواکی
रातों	شب
रातों	شبهای
रातों	شبها
रातों	شبا
ताला	قفل
हैप्पी	مبارک
हैप्पी	شاد
हैप्पी	خوشحال
हैप्पी	خوش
हैप्पी	خوشبخت
कूलिंग	سرمایش
जीवनशैली	استایل
जानलेवा	قاتل
मण्डप	پاویون
विशाखापट्टनम	ویساکاپاتنام
सीरियाई	سوری
सीरियाई	سوریه
जामुन	شقایق
हुबली	هوبلی
झोऊ	ژو
टर्मिनेटर	نابودگر
जूट	چتایی
गोबिंद	گوبیند
सिने	کاین
क्राइम	جرم
क्राइम	جرایم
क्राइम	جنایت
क्राइम	جُرم
लातिन	لاتین
मिग	میکویان
मलाया	مالایا
उस्मान	عثمان
पिट्सबर्ग	پیتزبورگ
हास	هاس
हनन	حنان
हनन	هانان
परमिट	اجازه
स्कैनिंग	پایش
स्कैनिंग	پویش
फ़ार्म	مزارع
फ़ार्म	مزرعه
फ़ार्म	فارم
बोल्ड	جسور
बोल्ड	توپر
आनुपातिक	متناسب
सेर	سِر
बर्कशायर	برکشر
दवाई	طب
दवाई	دارو
दवाई	داروها
दवाई	پزشکی
हेराल्ड	هرالد
हॉरर	وحشت
हॉरर	ترسناک
एड़ी	پاشنه
अप्रयुक्त	عادت
धन्य	مبارک
कत्ल	قتل
लापरवाही	رها
आपूर्तिकर्ता	بازرگانان
गुमनाम	گمنام
गुमनाम	ناشناس
ह्यूस्टन	هیوستون
ह्यूस्टन	هاستون
ह्यूस्टन	هوستون
एंगेल्स	انگلس
फ़सल	برش
हिमालयी	هیمالیا
मच्छरों	پشه
सोंग	اهنگ
सोंग	ترانه
सोंग	آهنگ
सोंग	نغمه
सोंग	آواز
पियर्स	پیرس
झाड़	هیت
धुलाई	شستشوی
धुलाई	شستشو
धुलाई	واش
धुलाई	شستن
कराधान	مالیات
लेखाकार	حسابدار
निर्वहन	ترخیص
निर्वहन	ترشح
शॉप	مغازه
शॉप	فروشگاه
शॉप	خرید
शॉप	فروشی
डो	داو
ईसप	ازوپ
टेलिफोन	تلفن
सोफिया	سوفیا
अभिलेखागार	بایگانی
अभिलेखागार	آرشیو
स्वचालन	خودکارسازی
पाब्लो	پابلو
लेवी	لوی
आइकन	شمایل
आइकन	نماد
आप्रवासियों	مهاجرین
आप्रवासियों	مهاجران
फाटक	گیت
फाटक	دروازه
फाटक	دری
मनोचिकित्सक	روانپزشک
संपीडित	فشرده
बुलेट	گلوله
बुलेट	فشنگ
प्लेन	هواپیمای
प्लेन	هواپیما
प्लेन	هواپیمایی
टेरेसा	ترزا
टेरेसा	تریسا
टेरेसा	ترسا
हकीम	حکیم
पेरासिटामोल	استامینوفن
उलझन	آشفته
उलझन	پریشان
उलझन	مارپیچ
उलझन	هزارتو
उलझन	هزارتوی
उलझन	سردرگم
उलझन	گیج
ईराक	عراق
कमांडो	کماندو
कमांडो	تکاور
जाग	بیدار
जाग	بیداری
मारता	میکشد
मारता	میکشه
कीप	قیف
सिलिकेट	سیلیکات
अकबरपुर	اکبرپور
कैथोड	کاتد
क्रीमिया	کریمه
शाहरुख़	تیموری
परिभाषाएं	تعاریف
आवश्यकताएँ	نیازها
आवश्यकताएँ	نیازهای
बांदा	باندا
जकार्ता	جاکارتا
पॉलिश	لهستانی
किल	بکش
किल	کشتن
किल	بکشم
किल	بکشی
आरामदायक	دنج
आरामदायक	راحتی
आरामदायक	راحت
रिपोर्टर	گزارشگر
पंक्तियां	سطرها
पंक्तियां	صف
पंक्तियां	طراح
पंक्तियां	نگارنده
पंक्तियां	خطوط
श्राफ	شرف
चीयर्स	سلامتی
चीयर्स	نوش
झुका	سجده
झुका	تعظیم
चुंबकत्व	مغناطیس
किडमैन	کیدمن
चंचल	بازیگوش
प्राधिकृत	مجاز
लिनेन	کتان
स्की	اسکی
बैंग	بنگ
कुष्ठ	جذام
गोदाम	انبار
स्थितियाँ	مکانهای
स्थितियाँ	مواضع
स्थितियाँ	محلهای
स्थितियाँ	مکانها
स्थितियाँ	موقعیتهای
आर्यभट्ट	آریابهاتا
साइबेरियाई	سیبری
अज़रबैजान	اذربایجان
अज़रबैजान	آذربایجان
फेंका	انداخت
निपुणता	مهارت
निपुणता	مهارتی
उड़न	پرواز
उड़न	پروازی
सिंगर	خواننده
रंगभेद	آپارتاید
बारबाडोस	باربادوس
प्रतिबिम्ब	انعکاس
प्रतिबिम्ब	نگاره
प्रतिबिम्ब	بازتاب
प्रतिबिम्ब	تصویر
वेई	وی
अर्नोल्ड	آرنولد
विदरस्पून	ویترسپون
देवदार	سدار
संरचित	بنا
हर्मन	هارمن
हर्मन	هرمان
प्रतिबाधा	امپدانس
लिबर्टी	لیبرتی
अम्बाला	امبالا
स्लोवेनिया	اسلوونی
फिलिस्तीन	فلسطینی
फिलिस्तीन	فلسطین
टकीला	تکیلا
सातवाँ	هفتم
सातवाँ	هفتمین
महानता	عظمت
क्लेन	کلین
क्लेन	کلاین
स्वयंसेवी	داوطلب
तख्तापलट	کودتا
तख्तापलट	کودتای
कीटिंग	کیتینگ
एल्बा	البا
पीक	اوج
पीक	قله
एन्क्रिप्शन	رمزگذاری
एन्क्रिप्शन	رمزنگاری
पतझड़	پاییز
पतझड़	افتادن
पतझड़	پائیز
पतझड़	سقوط
पतझड़	خزان
पतझड़	پاییزی
रोरी	روری
हरमन	هارمن
हज	حاج
हज	نورالله
हज	حج
जोनास	جوناس
ऊष्मागतिकी	ترمودینامیک
इमली	تمر
शेफर्ड	چوپان
शेफर्ड	شبان
शेफर्ड	چوپانی
ट्रिब्यून	تریبون
शुई	شویی
लहरें	موجها
लहरें	امواج
लहरें	موجی
निगल	چلچله
निगल	پرستوی
निगल	پرستو
होश	حواس
अदरक	زنجبیل
टोबैगो	توباگو
अनुपलब्ध	گمشده
सब्जियां	سبزیجات
बर्खास्त	عزل
टाइटेनियम	تیتانیوم
मुक्केबाज़ी	بکس
मुक्केबाज़ी	بوکس
प्लाजा	پلازا
ओज़ोन	ازون
ओज़ोन	اوزون
सामंतवाद	بودیسم
अभिसरण	همگرایی
क्लोरोफिल	سبزینه
पिकअप	پیکاپ
गुफ़ा	غاری
गुफ़ा	غار
बद्री	بدری
बेहोशी	گیجه
साफ्टवेयर	نرمافزار
लचीले	انعطاف
सिंक	روشویی
सिंक	سینک
सिंक	همگامی
टैब	تب
टैब	زبانه
उपलब्धियाँ	کامیابی
उपलब्धियाँ	دستاوردهای
उपलब्धियाँ	موجود
सायरस	سایرس
सायरस	سیروس
सायरस	سایروس
सायरस	کوروش
तबला	طبلا
हयात	حیات
हयात	هایت
आपदाओं	فجایع
आपदाओं	حوادث
वेयर	ور
वेयर	ویر
इंडोनेशियाई	اندونزیایی
मिलिट्री	نظامی
मिलिट्री	ارتش
मिलिट्री	ارتشی
स्लॉट	شکافها
स्लॉट	شکاف
ढीला	شُل
ढीला	شل
आंतों	روده
वासना	هوس
वासना	شهوت
नाइजर	نیجر
बेरियम	باریم
डकैती	سرقت
डकैती	دزدی
आर्केड	آرکید
सैमसंग	سامسونگ
मज़दूर	کارگری
मज़दूर	کارگر
दृश्यता	نمایانی
दृश्यता	دید
विश्लेषकों	تحلیلگران
रॉबिन्सन	رابینسون
मार्को	مارکو
उपकार	لطفی
बरतन	ظروف
बरतन	رگها
क्रीक	نهر
क्रीक	کریک
फ़ैशन	فشن
फ़ैशन	مُد
फ़ैशन	مد
सॉफ्ट	نرمی
सॉफ्ट	سافت
सॉफ्ट	نرمه
सॉफ्ट	نرم
सॉफ्ट	ملایم
आक्रमणकारियों	مهاجم
आक्रमणकारियों	مهاجمین
आक्रमणकारियों	متجاوزین
आक्रमणकारियों	مهاجمان
आक्रामकता	پرخاشگری
आक्रामकता	تجاوز
जेसिका	جسیکا
माराडोना	مارادونا
डेरेक	درک
पेशाब	ادرار
पेशाब	شاش
पेशाब	جیش
विलासिता	عیاشی
रिज	ریج
असंगति	تناقض
बुलबुले	حباب
बुलबुले	لاستیک
बुलबुले	لاستیکی
धारामापी	گالوانومتر
दफ्तर	دفتر
दफ्तर	اداره
क्रिसलर	کرایسلر
छिपकली	مارمولک
छिपकली	سوسمار
लातविया	لتونی
इंटरव्यू	مصاحبه
माल्टा	مالت
हंसी	خنده
कथकली	کاتاکالی
चरमोत्कर्ष	اوج
तुल्यकालिक	همگام
भोला	لال
भोला	گنگ
आयशा	عایشه
आयशा	آیشا
कुम्हार	پاتر
फिनिश	فنلاندی
फिनिश	فنلاند
गंदगी	چرک
गंदगी	کثافات
गंदगी	پلیدی
सूचनाएँ	اعلان
अभिमान	غرور
अभिमान	پراید
अभिमान	تکبر
बुलबुल	خرمابلبلان
हास्यास्पद	مسخره
दावत	درمانش
दावत	درمان
टीन	نوجوانی
टीन	نوجوان
टीन	تین
परवीन	پروین
जमाल	جمال
जातिगत	نژادی
भुखमरी	قحطی
लकीर	خط
साइरस	سایرس
साइरस	سیروس
साइरस	سایروس
साइरस	کوروش
मारियो	ماریو
गुणन	ضرب
रिबन	نواری
रिबन	روبان
उपाख्यान	ملودرام
एल्ड्रिन	آلدرین
अगासी	آغاسی
बादामी	بادامی
सैटेलाइट	ماهواره
सैटेलाइट	ماهوارهای
जिन्दा	زنده
आस्तिक	مؤمن
नान	نان
नान	نن
रीडिंग	احادیث
कैनन	کانن
कूल	خنک
कूल	خونسرد
मलेशियाई	مالزیایی
मलेशियाई	مالزی
मलेशियाई	iran
ट्रांजिस्टर	ترانزیستور
अभिशाप	لعن
अभिशाप	نفرین
बतिस्ता	باتیستا
पर्थ	پرت
नर्म	نرمی
नर्म	سافت
नर्म	نرمه
नर्म	نرم
नर्म	ملایم
श्मिट	اشمیت
जनरेटर	ژنراتور
जनरेटर	زا
जनरेटर	مولد
बैंकॉक	بانکوک
खजूर	خرمایی
खजूर	نخل
लॉज	لژ
सुलेमान	سولومون
सुलेमान	سلیمان
पद्मिनी	پادمینی
चाड	چاد
चाड	چد
संपीडन	تراکم
चिश्ती	چشتی
सद्भाव	هارمونی
सद्भाव	هماهنگی
जूल्स	جولز
जूल्स	ژول
पेप्सी	پپسی
रबी	ربیع
फेरी	گذرگاه
फेरी	فری
फेरी	معبر
अवांछनीय	نامطلوب
डुबकी	غواصی
डुबकी	شیرجه
कैप्सूल	محفظه
कैप्सूल	فینیکس
कैप्सूल	کپسول
बहा	روان
प्रक्रियाएँ	فرایندهای
गोंडवाना	گوندوآنا
दस्ताने	دستکش
डेमोक्रेट	دموکراتها
डेमोक्रेट	دمکرات
डेमोक्रेट	دموکرات
फ़्रेंच	فرانسه
फ़्रेंच	فرنچ
फ़्रेंच	فرانسوی
विंस्टन	وینستون
रोवर	روور
कील	کیل
कील	وج
गोडोट	گودو
माइक्रोवेव	مایکروویو
सफारी	صفری
सफारी	سافاری
हैलोवीन	هالووین
रचने	دسیسه
विल्हेम	ویلهلم
न्यायधीश	داوری
न्यायधीश	قاضی
पश्चाताप	توبه
पश्चाताप	پشیمانی
पश्चाताप	پشیمان
पश्चाताप	حسرت
पश्चाताप	تاسف
बेनेट	بنت
हेलेन	هلن
डलास	دالاس
डेमो	دمو
यार	رفیق
प्रतिकारक	پادزهر
डर्बी	داربی
डर्बी	دربی
लड़कियां	دختران
लड़कियां	دخترها
स्ट्रीमिंग	جریان
कैंटोना	کانتونا
बछड़े	گوساله
क्रिएटिव	خلاق
क्रिएटिव	خلاقانه
क्रिएटिव	خلاقیت
सेरेना	سرنا
सेरेना	سرینا
मनाही	ممنوعه
मनाही	حرام
मनाही	ممنوع
सत	نشسته
सत	بلندای
सत	نشست
सत	نشستند
सत	نشستم
क्लर्क	کارمند
समागम	جفتگیری
साराभाई	سربهی
टोली	تیم
टोली	تیمی
रोपण	کاشتن
रोपण	کاشت
बेंच	نیمکت
झुण्ड	گله
प्रदर्शनकारियों	معترضان
प्रदर्शनकारियों	معترضین
जोधा	جوداپور
वसीयत	وصیت
वसीयत	وصیتنامه
निष्पक्षता	بیطرفی
सारस	درنای
सारस	درنا
सारस	جرثقیل
सारस	کرین
वेश्या	هوکر
खोजें	جستجو
खोजें	جستجوهای
सुनना	شنوایی
जेली	ژله
लोभ	طمع
लोभ	حرص
अश्वेतों	سیاهان
गैजेट	گجت
भंवर	گرداب
भंवर	گردابی
कैंप	اردو
कैंप	کمپ
कैंप	اردوگاه
कैंप	چادر
नशीले	اسموکی
ग्रंथसूची	کتابشناسی
मिलावट	امنیتی
मिलावट	حراست
मिलावट	امنیت
कैडिलैक	کادیلاک
चांदनी	مهتاب
यात्राएं	زیارت
यात्राएं	سفرها
यात्राएं	حج
यात्राएं	سفرهای
मणिपुरी	مانیپور
हमलावरों	مهاجمان
फतह	فتاح
टूल्स	ابزارهای
टूल्स	ابزارها
टूल्स	ابزار
दाना	دنا
दाना	دینا
दाना	دانا
मुद्राएँ	مطرح
लैला	لیلا
जॉन्स	جانز
फ़ाइनल	نهائی
फ़ाइनल	نهایی
फ़ाइनल	فاینال
फ़ाइनल	آخرین
फ़ाइनल	پایانی
उल्लू	جغد
उल्लू	بوف
कैडमियम	کادمیم
सुराग	سرنخی
सुराग	سرنخ
टिप	نوک
टिप	نکته
टिप	انعام
इवांस	اوانس
इवांस	ایوانز
इवांस	اوانز
इवांस	اونز
इवांस	اونس
टाइगर्स	ببرها
टाइगर्स	ببرهای
हाईवे	بزرگراه
हाईवे	اتوبان
एयरटेल	ایرتل
हत्यारा	قاتل
ससेक्स	ساسکس
कांग	کنگ
कांग	کانگ
युनेस्को	یونسکو
दयालु	خیراندیش
दयालु	بخشندگی
दयालु	مهربانانه
दयालु	مهربان
दयालु	خیرخواه
दयालु	کرامت
दयालु	گرامی
होंठ	لب
होंठ	لبها
कुएं	ولز
गंतव्यों	مقاصد
सेलेनियम	سلنیوم
नाले	زهکشی
मार्ले	مارلی
जेनिफर	جنیفر
मेंढक	قورباغه
इंपीरियल	امپراتوری
इंपीरियल	سلطنتی
इंपीरियल	امپراطوری
हकीकत	واقعیت
कार्ट	کرت
कार्ट	ارابه
कार्ट	گاری
कार्ट	چرخ
रीना	رینا
गुर	حقه
मासूम	بیگناه
मासूम	بیگناهی
मासूम	معصوم
उल्का	شهابی
उल्का	شهاب
संगोष्ठी	سمینار
तोर	تور
चिंतक	متفکر
यूरेशिया	اوراسیا
क्लूनी	کلونی
तृणमूल	ترینامول
इक़बाल	اقبال
जूलिया	جولیا
वॉट	وات
रोटरी	تبخیر
बशीर	بشیر
पापी	گناهکار
अजनबी	غریبه
रुके	ماند
रुके	درنگ
ट्रांसपोर्ट	ترابری
ट्रांसपोर्ट	انتقال
अपवर्तन	انکسار
अनुक्रिया	پاسخگویی
अनुक्रिया	پاسخ
अनुक्रिया	واکنش
ब्लूम	بلوم
ब्लूम	شکوفایی
ब्लूम	شکوفه
जैतून	زیتونی
जैतून	آلیو
जैतून	زیتون
बज	باج
टायलर	تایلر
स्पंदन	لرزش
स्पंदन	ارتعاش
मर्म	پاکدامنی
मर्म	پاکدامن
मर्म	عفیف
प्रतिद्वंद्वियों	مخالفان
कोठरी	پستو
कोठरी	کابینت
कोठरी	کمد
कोठरी	گنجه
सरन	ساران
सेरा	سرا
रामानुजन	رامانوجان
कूल्हे	هیپ
कूल्हे	باسن
पामीर	پامیر
अपरदन	فرسایش
आज़म	اعظم
धीरज	تسلیت
धीरज	استقامت
चयनात्मक	گزیده
चयनात्मक	گزینشی
स्टेन	استن
कोरी	کوری
वर्धन	سازی
त्रुटियां	گناهان
त्रुटियां	خطاهای
त्रुटियां	خطاست
त्रुटियां	خطاها
रेस्टोरेंट	رستورانی
रेस्टोरेंट	رستوران
गोर	گور
नंगे	عریان
नंगे	لختی
नंगे	برهنه
नंगे	لخت
पादुकोण	پادوکونه
दिलों	دل
दिलों	دلها
चीते	پلنگی
चीते	پلنگ
चीते	یوزپلنگ
दोस्ताना	خودی
दोस्ताना	دوستانه
समकालिक	همگام
प्रशिक्षु	مبتدی
प्रशिक्षु	کارآموز
प्रशिक्षु	شاگرد
त्रुटियाँ	خطاهای
त्रुटियाँ	خطاست
त्रुटियाँ	خطاها
चिनाई	بنایی
प्यारा	بامزه
प्यारा	ناز
प्यारा	جذاب
बूम	بوم
जमने	انجماد
इम्फाल	ایمفال
ऑरलैंडो	اورلاندو
असद	اسد
दोआब	دوآب
विरह	تفکیک
विरह	جدایی
विरह	فراق
विरह	جداسازی
उग्रवादी	جهادی
बोर्नियो	بورنئو
कंसोल	کنسول
अगरतला	اگرتلا
सर्जिकल	جراحی
कैम	کم
कैम	کَم
नियति	سرنوشتی
नियति	تقدیر
नियति	سرنوشت
रिकार्डिंग	ضبط
रिकार्डिंग	رکوردینگز
अंधविश्वास	خرافات
अंधविश्वास	خرافه
कैसेट	کاست
रहस्यवाद	عرفان
रहस्यवाद	تصوف
इला	ایلا
ऑर्केस्ट्रा	ارکستر
ऑर्केस्ट्रा	نوازندگان
डायलिसिस	دیالیز
पड़ोसियों	همسایه
पड़ोसियों	همسایگان
यूजर	کاربر
फ्लक्स	شار
मनीषी	بینا
एरिना	آرنا
परतें	لایه
केमिकल	شیمیایی
मूड	حوصله
मूड	حالت
पैगंबर	پیغمبر
पैगंबर	پیامبر
पैगंबर	پیغمبری
कबाब	کباب
हामिद	حمید
वडोदरा	وادودارا
ग्रेगरी	گرگوری
ग्रेगरी	گریگوری
एस्टोनिया	استونی
यूगोस्लाविया	یوگسلاوی
ट्राम	تراموا
कपाड़िया	کاپادیا
सेमप्रास	سمپراس
डेवी	دیوی
बत्ती	چراغی
बत्ती	چراغها
बत्ती	چراغ
बत्ती	لامپ
सादी	سعدی
अवसंरचना	ساختار
अवसंरचना	سازه
अवसंरचना	زیرساخت
फिंगर	فینگر
फिंगर	انگشتش
फिंगर	انگشت
टैटू	تاتو
टैटू	خالکوبی
हैती	هائیتی
स्पाइस	چاشنی
स्पाइस	ادویه
रॉयल्स	استاده
प्रदूषक	میانجی
प्रदूषक	آلودگی
प्रदूषक	میانجیگری
बोतलों	بطری
घुमाया	چرخیده
घुमाया	چرخش
फीनिक्स	فینیکس
फीनिक्स	سیمرغ
फीनिक्स	فونیکس
फीनिक्स	فینکس
फीनिक्स	ققنوس
टोन	شدتی
टोन	لحن
टोन	تون
माटी	ماتی
अखण्ड	اخند
मुस्तफा	مصطفی
मल्लिका	مالیکا
मसूद	مسعود
समयरेखा	گاهشمار
फौजी	نظامی
फौजी	ارتش
फौजी	ارتشی
नस	ناس
चेर	چر
चेर	شر
मूलाधार	پایه
विपत्ति	فاجعه
विपत्ति	مصیبتی
विपत्ति	حادثه
विपत्ति	مصیبت
मेट	ماته
मेट	میت
गुर्दा	قلوه
गुर्दा	کلیه
चूहा	موش
चूहा	موشی
चूहा	ماوس
संज्ञान	معرفت
संज्ञान	شناخت
कॉर्ड	کورد
किस्से	داستانها
रोस्टर	فهرست
वज्र	صاعقه
वज्र	واجرای
उद्यमियों	کارآفرین
बाज	شاهین
बाज	فالکون
किरगिज़	قرقیزی
बोसॉन	بوزون
हाशमी	هاشمی
फीडबैक	بازخورد
सुपरस्टार	سوپراستار
ऋणी	مدیون
कस	تنگه
कस	سفت
बेग	التماس
टोड	وزغ
निकोल	نیکول
निकोल	نیکل
साहा	ساها
क्रैश	کراش
क्रैश	سقوط
क्रैश	فروپاشی
लौ	شراره
लौ	شعله
निवृत्त	بازنشسته
निवृत्त	بازنشست
दुर्भाग्यवश	متاسفانه
दुर्भाग्यवश	بدبختانه
दुर्भाग्यवश	متأسفانه
धमाका	بلاست
धमाका	دمیدن
धमाका	خروش
धमाका	انفجار
बैंगन	بادمجان
बैंगन	بادنجان
सटा	مجاور
कज़ाख़	قزاقی
सिएरा	سیرا
केला	موز
केला	موزی
सुलह	توافق
सुलह	مصالحه
सुलह	سازش
जेरेमी	جرمی
कृष्णन	کریشنان
देवल	دیول
पेप्टाइड	پپتید
पगड़ी	عمامه
संडे	یکشنبه
संडे	ساندی
मार्जरीन	مارگارین
प्रपत्र	شکل
प्रपत्र	فرم
कार्यकुशलता	کارایی
कार्यकुशलता	بازده
बिल्लियों	گربه
ब्रेल	بریل
मुखौटा	ماسک
मुखौटा	نقاب
चुनौतीपूर्ण	چالش
सूरजमुखी	آفتابگردان
जैक्स	جکس
डाल्टन	دالتون
सलेम	سلم
सलेम	سیلم
सलेम	سالم
सलेम	سلیم
ठेकेदार	پیمانکار
ठेकेदार	پیمانکاری
कॉलर	قلاده
कॉलर	یقه
कॉलर	داعی
रैना	راینا
असतत	ناپیوسته
पॉलिमर	بسپار
पॉलिमर	پلیمر
खरब	تریلیون
चमेली	یاس
चमेली	یاسمن
चमेली	جاسمین
ट्यूडर	تودور
जवानी	جوانان
जवानी	جوانی
अफ़गानिस्तान	افغانستان
लहजा	لهجه
लहजा	آکسان
धो	شستشو
धो	واش
धो	شستن
टंकी	سدها
टंकी	حوض
स्थिरीकरण	پایدارسازی
स्थिरीकरण	تثبیت
कछुआ	لاکپشت
फुटबाल	فوتبال
स्टॉकहोम	استکهلم
परोपकार	ایثار
अमन	امان
रिकी	ریکی
मुस्कान	لبخند
मुस्कान	بخند
मुस्कान	تبسم
धुंधला	محو
धुंधला	تیرگی
धुंधला	لکه
पोकीमॉन	پوکمون
गीला	خیس
गीला	مرطوب
बिपाशा	بیپاشا
लिव	لیو
गाम्बिया	گامبیا
दावेदार	مدافع
उभयलिंगी	هرمافرودیت
गिलहरी	سنجاب
डिम्पल	دیمپل
तैराक	شناگر
दुखद	غمگین
दुखद	دردناک
दुखद	دردآور
दुखद	غم
दुखद	ناراحتی
नाजुक	حیاتی
नाजुक	ظریف
नाजुक	شکننده
नाजुक	بحرانی
नाजुक	انتقادی
काजी	قاضی
रोलर	راهسازی
गुड़िया	عروسک
गुड़िया	عروسکی
लालसा	اشتیاق
अलिंद	دهلیز
वीरगति	شهید
कम्यून	کمون
इरफ़ान	عرفان
मिल्टन	میلتون
चुनना	انتخاب
अजाक्स	آژاکس
मार्कर	ماژیک
मार्कर	نشانگر
मंसूर	منصور
जूता	کفش
ट्रांसफर	انتقال
अल्ट्रासाउंड	سونوگرافی
अल्ट्रासाउंड	فراصوت
राइडर	سوار
राइडर	موتورسواری
राइडर	سوارکار
किड	کید
निक्सन	نیکسون
सक्रियण	فعالسازی
श्रोणि	لگنی
जुर्म	جرم
जुर्म	جرایم
जुर्म	جنایت
जुर्म	جُرم
साक्षर	باسواد
स्पीच	سخنرانی
स्पीच	گفتار
बेकन	بیکن
भुज	بوج
निर्जलीकरण	دهیدراسیون
टारनटिनो	تارانتینو
रोनाल्डिन्हो	رونالدینیو
ट्रांसमीटर	فرستنده
ज़हर	مسموم
ज़हर	زهر
दादरा	دادرا
मेज़	میز
मेज़	سفره
मेज़	جدول
पूर्वावलोकन	پیشنمایش
डोरी	تسمه
कनिंघम	کانینگهام
गोडसे	گودسه
बवंडर	تورنادو
बवंडर	گردباد
