から	از
クロウ	کلاغ
クロウ	کرو
丁寧	مؤدبانه
丁寧	مودب
丁寧	مؤدب
丁寧	مودبانه
驚異	عجایب
驚異	شگفتیهای
阿南	انان
派閥	حزبی
パケット	پاکت
未定	شاید
未定	شایدم
意欲	تمایل
子音	همخوان
指輪	حلقه
指輪	انگشتر
指輪	رینگ
ジャンヌ	ژان
証明書	گواهینامه
証明書	گواهی
五島	گوتو
末裔	نوادگان
ボウル	کاسه
競泳	شنای
競泳	شنا
競泳	شناگران
競泳	شناگر
クローバー	شبدر
鎌田	کاماتا
過半数	اکثریت
経理	حسابداری
経理	حسابرسی
硫黄	گوگرد
硫黄	سولفور
卸売	عمده
フランチェスコ	فرانچسکو
預金	سپرده
捕食	طعمه
捕食	درندگان
捕食	درنده
捕食	شکارش
捕食	صیاد
捕食	غارتگر
ヘルメット	کلاه
雅彦	ماساهیکو
スパーク	اسپارک
スパーク	جرقه
発作	تشنج
抽象	چکیده
抽象	انتزاعی
穏やか	نرم
穏やか	ملایم
フィリップス	فیلیپس
ケニア	کنیا
寄生	انگل
寄生	انگلی
意匠	طراحی
意匠	دیزاین
意匠	طرح
弾道	بالستیک
弾道	مسیر
弾道	پرتابی
ダーラン	ظهران
デフォルト	پیشفرض
ドジャース	داجرز
ソープ	صابون
ユネスコ	یونسکو
ナノ	نانو
スチール	استیل
スチール	فولادی
スチール	فولاد
茶色	قهوهای
茶色	براون
解像度	دقت
解像度	وضوح
ロドリゲス	رودریگز
ラオス	لائوس
デュオ	دوو
リビア	لیبی
ジェネレーション	نسل
ランス	لنس
支配人	مدیر
クリニック	مطب
クリニック	موسسات
クリニック	کلینیک
クリニック	درمانگاه
キッチン	آشپزخانه
レイプ	تجاوز
ベータ	بتا
クイン	کوئین
クイン	کویین
没収	مصادره
真珠	پرل
真珠	مرواریدی
真珠	پرند
真珠	مروارید
赤外線	فروسرخ
マカオ	ماکائو
スカート	دامن
マシュー	ماتیو
マシュー	متیو
チャリティー	صدقه
チャリティー	خیریه
チャリティー	زکات
ウェルズ	ولز
ジェファーソン	جفرسون
ウィスコンシン	ویسکانسین
カタカナ	کاتاکانا
貴子	تاکاکو
淳一	جونیچی
岩石	سنگها
買う	بخرید
買う	خرید
買う	بخرم
投げる	پرتاب
盗賊	راهزن
盗賊	سارق
盗賊	راهزنی
盗賊	دزدان
シュトラウス	اشتراوس
親戚	نسبی
親戚	خویشان
親戚	خویشاوندان
親戚	نزدیکان
乱れ	اغتشاش
乱れ	آشفتگی
乱れ	تلاطم
シモン	سیمون
シモン	سایمن
シモン	سایمون
羽根	پر
羽根	پرم
イルカ	دلفین
バーク	بارک
バーク	برک
バーク	پارس
アンサンブル	همای
かご	سبد
孤児	یتیمان
孤児	یتیم
孤児	یتیمی
ホープ	امید
ホープ	امیدوارم
ホープ	هوپ
ホープ	امیدی
アームストロング	آرمسترانگ
皮肉	طنز
皮肉	طعنه
皮肉	کنایه
テクニカル	تکنیکی
テクニカル	فنی
書記官	کارمند
蝦夷	ازو
絞り	روزنه
拷問	شکنجه
ルル	لولو
アクセル	اکسل
清掃	پاکیزگی
清掃	تمیزی
清掃	نظافت
排水	زهکشی
ダコタ	داکوتای
ダコタ	داکوتا
ヘレン	هلن
タック	تاک
タック	توک
ウリ	خربزه
天候	هوای
天候	هوا
却下	برکناری
シド	سید
シド	ساید
名取	ناتوری
スローガン	شعار
綾瀬	آیاسه
負債	بدهی
バルカン	بالکان
バルカン	وولکان
承諾	پذیرش
承諾	رضایت
承諾	قبولی
承諾	پذیرفتن
添付	پیوستن
添付	پیوست
ポーズ	ژست
ポーズ	پوز
ルック	نگاهی
ルック	ببین
カルシウム	کلسیم
克服	ذلت
荒廃	آفت
事由	مناطقی
和歌	واکا
ジュリア	جولیا
調停	میانجی
調停	مصالحه
調停	میانجیگری
ボウリング	بولینگ
プリメーラ	پریمرا
コソボ	کوزوو
ジャッキー	جکی
マディソン	مدیسون
毎時	ساعتی
ポピュラー	محبوبه
ポピュラー	محبوب
ポピュラー	عامه
鋼鉄	استیل
鋼鉄	فولادی
鋼鉄	فولاد
パンフレット	بروشور
パンフレット	رساله
パンフレット	جزوه
メーター	متر
メーター	کنتور
リンダ	لیندا
組み立て	محفل
組み立て	مجلس
組み立て	مجمع
基底	پایه
陽一	یویچی
有名人	سلبریتی
有名人	مشاهیر
経費	هزینه
ハーバー	بندرگاه
ハーバー	هاربر
ミルウォーキー	میلواکی
超過	مازاد
超過	افراط
超過	فزون
インテリア	درونی
インテリア	داخلی
公使	وزیران
公使	وزیری
公使	وزیر
公使	وزرا
公使	وزرای
ジョッキー	جوکی
キリスト教徒	نصارا
キリスト教徒	مسیحیان
キリスト教徒	کریستین
キリスト教徒	کریستیان
キリスト教徒	مسیحی
キリスト教徒	کریستن
リヴァプール	لیورپول
スコープ	دامنه
児島	کوجیما
制裁	تحریمها
制裁	تحریم
制裁	تحریمهای
バックアップ	پشتیبانی
バックアップ	پشتیبان
ステファン	اشتفان
ステファン	استفن
ステファン	استیفن
スーダン	سودان
細い	لاغری
細い	نازک
細い	لاغر
エキス	چکیده
エキス	استخراج
メッツ	متس
憲章	منشور
憲章	چارتر
正雄	ماسائو
キティ	پیشی
敦子	آتسوکو
ねじ	پیچ
バースト	شکفتن
バースト	بغض
母方	مادرانه
警部補	ستوان
正治	ماساهارو
諸侯	سروران
スキャンダル	رسوایی
トンプソン	تامپسون
トンプソン	تامسون
テラス	تراس
キプロス	قبرس
ナイジェリア	نیجریه
ターナー	ترنم
ターナー	ترنر
調和	هارمونی
調和	هماهنگی
タニア	تانیا
笑う	خندان
笑う	خندیدم
笑う	بخند
笑う	خنده
笑う	خندیدن
アゼルバイジャン	اذربایجان
アゼルバイジャン	آذربایجان
サントス	سانتوس
マインド	ذهن
知多	چیتا
ベオグラード	بلگراد
ミゲル	میگل
ミゲル	میگوئل
チューナー	تیونینگ
元老院	سنای
元老院	سنا
銘柄	برند
銘柄	براند
見通し	پراسپکت
見通し	دورنمای
肺炎	الریه
三角形	مثلث
クジラ	وال
クジラ	نهنگ
レーニン	لنین
叫び	جیغ
ヴュルテンベルク	وورتمبرگ
ハープ	چنگ
ソプラノ	سوپرانو
知人	اشنا
知人	آشنایان
北京市	پکن
アミノ酸	آمینه
アミノ酸	آمینو
遂に	بلاخره
遂に	سرانجام
遂に	بالاخره
ムード	حوصله
ムード	حالت
パブリッシング	انتشار
パブリッシング	نشر
山岡	یامائوکا
薬局	داروسازی
薬局	داروخانه
薬局	داروئی
ジョヴァンニ	جیووانی
ジョヴァンニ	جووانی
カラス	کلاغ
カラス	کرو
模倣	تقلید
ウォルト	والت
発酵	تخمیر
伯父	عمو
伯父	عموی
伯父	دایی
トマト	گوجه
騒音	نویز
英明	حکیمی
英明	فرزانه
英明	حکیم
英明	خردمند
流す	سیفون
流派	مدارس
エステル	استر
エステル	استل
ノーマル	عادی
ノーマル	طبیعی
ノーマル	نرمال
ノーマル	معمولی
布施	فیوز
インタフェース	واسط
インタフェース	رابط
遺物	مصنوعات
遺物	مصنوعی
ナチュラル	طبیعی
ボヘミア	بوهم
紡績	چرخان
紡績	چرخیدن
ディアス	دیاز
チャイナ	چین
こだわり	وسواس
こだわり	عقده
ディフェンダー	مدافع
入国	مهاجرت
代理人	مامور
代理人	کارگزار
代理人	نماینده
代理人	مأمور
レンツ	لنز
売春	فاحشگی
ドリル	مته
ドリル	حفاری
ドリル	دریل
話し合い	بحثش
話し合い	بحث
スターリング	استرلینگ
ヘルシンキ	هلسینکی
アーノルド	آرنولد
ハノーファー	هانوفر
製造業	ساخت
製造業	تولید
製造業	تولیدی
宣告	جمله
宣告	حکم
マフィア	مافیا
マフィア	مافیای
マフィア	مافیایی
正平	شوهئی
ルビ	یاقوت
金髪	بلوند
小野田	اوندا
ヴィオラ	ویولا
ヴィオラ	بنفشه
胞子	هاگ
開花	گلدار
ジュール	جولز
ジュール	ژول
反動	ارتجاعی
賀茂	کامو
ナミ	نامی
回帰	پسرفت
回帰	رگرسیون
アンカー	بایستد
アンカー	گویندگی
アンカー	لنگر
ネバダ	نوادا
溶接	جوشکاری
近似	تقریبی
近似	تقریب
ビクトリア	ویکتوریا
給付	منفعت
給付	سودی
給付	سود
給付	نفع
環礁	آتول
手動	راهنما
手動	دستی
マキシ	ماکسی
パルス	ضربان
パルス	نبض
パルス	پالس
パルス	تپش
レオナルド	لئوناردو
許諾	مجوز
許諾	اجازه
まゆ	ابرو
カオス	آشفتگی
カオス	آشوب
マネージメント	مدیریت
ハングル	هانگول
セクシー	سکسی
発光	درخشش
発光	براق
発光	درخشان
発光	درخشیدن
ちび	تاینی
ちび	ریز
ダウ	داو
注ぐ	بریزید
注ぐ	محبّت
カーネル	هسته
電線	کابل
電線	کابلی
スペンサー	اسپنسر
居酒屋	میخانه
居酒屋	میکده
ギルバート	گیلبرت
隆盛	تاکاموری
興奮	هیجان
台地	فلات
パルマ	پارما
パルマ	پالما
日数	روزای
日数	روزهای
日数	روزها
日数	روزهایی
日数	روزگار
機密	رازداری
機密	محرمانه
未遂	تلاش
未遂	تلاشها
未遂	تلاشهای
クライアント	مشتری
クライアント	موکلین
クライアント	موکل
クライアント	کارخواه
衣笠	کینوگاسا
掃除	نظافت
微生物	میکروارگانیسمها
ウシ	چهارپایان
ウシ	گله
ソマリア	سومالی
穀物	حبوبات
穀物	دانه
穀物	گندم
パオ	پائو
音色	شدتی
抜粋	برگزیده
山名	یامانا
保育園	مهدکودک
シンポジウム	سمپوزیوم
美香	میکا
ブランデンブルク	براندنبورگ
エドガー	ادگار
ローラー	راهسازی
トラスト	تراست
トラスト	توکل
トラスト	اعتماد
フラット	فلت
フラット	مسطح
アニメーター	پویانما
ジョーカー	جوکر
受け入れる	پذیرش
受け入れる	قبول
迫撃砲	خمپاره
シェフ	سرآشپز
シェフ	آشپز
歯車	دنده
歯車	گیر
俊夫	توشیو
パスワード	گذرواژه
パスワード	پسورد
十勝	توکاچی
メカニック	مکانیک
申告	اعلام
申告	اعلان
赤ちゃん	عزیزم
赤ちゃん	نوزادان
赤ちゃん	بچه
赤ちゃん	جیگر
細分	زیربخش
金井	کانای
壱岐	ایکی
スクロール	طومار
スクロール	لغزش
スクロール	کتیبه
会う	دیدار
会う	ملاقات
弾頭	کلاهک
セクター	سکتور
セクター	بخش
濃い	قوی
減らす	کاهش
ショパン	شوپن
トロンボーン	ترومبون
ネック	نک
ネック	گردن
ストライキ	اعتصاب
最低限	کمینه
最低限	کمترین
レター	نامهای
レター	نامه
レター	حرف
回廊	دالان
プレゼン	ارائه
プレゼン	مجری
モスク	مسجد
モスク	مسجدی
モスク	مساجد
ルーカス	لوکاس
プライド	غرور
プライド	پراید
プライド	تکبر
テロリスト	تروریستها
テロリスト	تروریستی
テロリスト	تروریست
バーンズ	سوختگی
バーンズ	بارنز
バーンズ	بارنس
バーンズ	برنز
管理人	سرپرست
管理人	مدیر
持ち込み	حمل
持ち込み	بیاورید
持ち込み	بیاورد
持ち込み	آوردن
美智子	میچیکو
波動	موج
波動	موجی
エアバス	ایرباس
スペック	مشخصات
スペック	ذره
ボリス	بوریس
サンバ	سامبا
原告	شاکی
チキン	جوجه
チキン	مرغ
チキン	مرغی
インデックス	شاخص
インデックス	نمایه
さおり	سائوری
中道	میانه
頼朝	یوریتومو
ピックアップ	پیکاپ
コールド	سرما
コールド	سرد
コールド	سرماخوردگی
プライス	بهایی
プライス	قیمت
プライス	قیمتش
プライス	قیمتی
プライス	پرایس
プライス	بهای
ハロルド	هارولد
ハロルド	هرولد
待遇	درمانش
待遇	معالجه
待遇	درمان
北極	قطبی
フレンチ	فرانسه
フレンチ	فرنچ
フレンチ	فرانسوی
すごい	عالی
すごい	عالیه
吹雪	کولاک
ライプツィヒ	لایپزیگ
日比谷	هیبیا
アダムズ	آدامز
アダムズ	ادامز
ジュース	آبمیوه
ジュース	شربت
ルージュ	روژ
痴漢	صراط
ギルド	صنف
ニュルンベルク	نورنبرگ
ブラザー	داداش
ブラザー	برادر
チューリッヒ	زوریخ
内線	افزونه
内線	پسوند
ルクス	لوکس
浅い	سطحی
カブ	شلغم
カブ	توله
パウル	پال
パウル	پل
パウル	پاول
パウル	پائول
故人	مرحوم
ハンドボール	هندبال
オークス	اوکس
エッグ	تخمک
エッグ	تخم
更生	توانبخشی
更生	نوسازی
更生	اعاده
スキン	پوستی
スキン	پوست
ピンチ	نیشگون
まさし	ماساشی
パース	پرت
エマ	اِما
ヌード	لخت
ヌード	برهنه
ヌード	برهنگی
ヌード	لختی
公害	آلودگی
コペンハーゲン	کپنهاگ
りんご	سیب
りんご	اپل
ヒカル	هیکارو
インフルエンザ	آنفولانزا
インフルエンザ	سرماخوردگی
インフルエンザ	آنفلوآنزا
イラ	ایلا
関税	تعرفه
オーボエ	ابوا
毒性	مسمومیت
メカニズム	مکانیسم
メカニズム	مکانیزم
ファンタジア	فانتازیا
やさしい	ساده
やさしい	راحت
やさしい	آسان
燃える	سوزاندن
燃える	سوختن
イヌ	سگ
イヌ	سگی
苦しみ	رنج
キノコ	قارچ
キノコ	قارچها
グラン	گرن
厚い	ضخیم
厚い	کلفت
ヤンキー	یانکی
飛躍	جهش
飛躍	کبیسه
ボア	بوآ
麻痺	فلجی
麻痺	فلج
オリンピア	المپیا
クラウス	کلاوس
クラウス	کراوس
証人	ناظر
証人	شهادت
証人	شاهدی
証人	گواه
証人	شاهدین
証人	شاهدان
証人	شاهد
賞賛	ستایش
賞賛	تحسین
賞賛	حمد
賞賛	سپاس
シリアル	حبوبات
シリアル	سریالهای
シリアル	غلات
シリアル	سریالی
シリアル	متوالی
子育て	والدین
ウィンドウ	پنجره
水分	رطوبت
バーバラ	باربرا
バーバラ	باربارا
遊ぶ	بازی
遊ぶ	پخش
決済	اجری
決済	توافق
決済	سازش
決済	پرداختی
決済	اسکان
決済	قرارگاه
決済	پرداخت
決済	دستمزد
サニー	سانی
サニー	آفتابی
嫉妬	حسود
嫉妬	حسادت
嫉妬	غیور
嫉妬	رشک
嫉妬	حسودی
なつみ	ناتسومی
ディスコ	دیسکو
相川	آیکاوا
ブタ	خوک
ノーマン	نورمن
尾翼	تیل
尾翼	دم
尾翼	دمش
退却	نشینی
悪意	کینه
オタク	مشنگ
オタク	کوش
オタク	گیک
オタク	اسکول
伝導	رسانندگی
受け取る	دریافت
アーロン	آرون
アンチ	ضد
ベストセラー	پرفروشترین
ピコ	پیکو
タックル	تکل
素敵	قشنگه
素敵	قشنگ
素敵	خوبی
思想家	متفکران
ピクセル	پیکسل
たまに	گهگاه
外科医	جراح
伝送	انتقال
伝送	مخابره
木戸	کیدو
トロイ	تروا
トロイ	تروی
翔子	شوکو
面会	دیدارش
タンカー	تانکر
気体	گس
気体	گاز
処罰	تنبیه
処罰	مجازات
ロータス	لوتوس
ロータス	نیلوفر
キャンセル	لغو
血統	نژاد
血統	وراثت
不完全	ناقص
山手	یامانوته
ウィキ	ویکی
リスボン	لیسبون
剥奪	محروم
掘削	حفاری
ボリビア	بولیوی
棄却	برکناری
悪夢	کابوس
チェルシー	چلسی
ナンシー	نانسی
カタール	ریال
カタール	قطر
解読	رمزگشایی
やまと	یاماتو
出血	خونریزی
タンゴ	تنگو
タンゴ	تانگو
濡れ	خیس
濡れ	مرطوب
ロンド	راندو
台北市	تایپه
諮問	مشاوره
諮問	مشورت
火事	آتش
火事	آتشسوزی
火事	آتیش
慎太郎	شینتارو
正夫	ماسائو
ジュリエット	ژولیت
ジュリエット	جولیت
マクラーレン	مکلارن
赤道	استوا
クウェート	کویت
疲労	خستگی
疲労	فرسودگی
国々	کشورها
タコ	اختاپوس
内訳	بهمنی
ジャイアント	غول
バディ	بادی
バディ	رفیق
出願	کاربرد
出願	کاربردی
ウォーレン	وارن
銃弾	گلوله
銃弾	فشنگ
妥協	توافق
妥協	مصالحه
妥協	سازش
ピストン	پیستون
鉄拳	تکن
雅美	ماسامی
グラミー	گرمی
グラミー	گورامی
抗体	پادتن
トモ	تومو
風船	بالون
風船	بالن
風船	بادکنک
おばさん	عمه
おばさん	خاله
リターン	بازگشت
ユーラシア	اوراسیایی
安定性	ثبات
安定性	پایداری
コメディアン	کمدین
フェリックス	فلیکس
フェリックス	فیلیکس
副官	آجودان
エレクトロニクス	الکترونیک
パトロール	پاترول
パトロール	گشتی
パトロール	گشت
クレーター	دهانه
キャピタル	سرمایه
キャピタル	پایتخت
チャット	گپی
チャット	گپ
高句麗	گوگوریو
糖尿病	دیابت
エルフ	الف
バーガー	برگر
バーガー	همبرگر
カリウム	پتاسیم
サバイバル	بقا
サバイバル	بقای
サバイバル	بقاء
シックス	شیش
シックス	سیکس
シックス	شش
蛍光	فلورسنت
蛍光	فلورسنس
可愛い	خوشگله
可愛い	بامزه
可愛い	ناز
可愛い	خوشگل
可愛い	خیلی
可愛い	جذاب
スピリット	روح
スピリット	روحی
スピリット	اسپریت
グアム	گوام
民兵	مجاهدین
側室	صیغه
ルター	لوتر
共鳴	تشدید
ジュリアン	جولین
ジュリアン	جولیان
受領	رسید
チャーチル	چرچیل
ロフト	لافت
まゆみ	مایومی
湯川	یوکاوا
シャム	سیامی
シャム	شم
モモ	پیچ
モモ	هلو
モモ	مومو
デンバー	دنور
感度	حساسیت
正午	ظهر
正午	نیمروز
ドレスデン	درسدن
欠席	غیاب
欠席	غیبت
欠席	غایب
口座	حساب
説教	خطابه
説教	وعظ
説教	موعظه
説教	برسان
説教	خطبه
連想	انجمنی
フルーツ	میوه
カウンティ	کانتی
カウンティ	شهرستانهای
カウンティ	شهرستان
返済	بازپرداخت
チャネル	کانالهای
チャネル	کانالها
チャネル	مجرا
チャネル	مجرای
チャネル	چنل
チャネル	کانال
淳子	جونکو
尾根	ریج
知子	توموکو
ウェスタン	غربی
ウェスタン	وسترن
スキャン	پایش
スキャン	پویش
スキャン	اسکن
敬意	مراعات
敬意	احترام
オリエンタル	شرقی
オリエンタル	خاوری
鋭い	تیز
鋭い	شارپ
鋭い	هشیار
鋭い	تیزی
お茶	چای
お茶	چایی
クローズ	نزدیک
クローズ	بستن
ワープ	تار
ダイナマイト	دینامیت
コリンズ	کالینز
飲む	بنوشید
飲む	نوشیدن
飲む	بنوش
飲む	آشامیدنی
オークション	مزایده
オークション	حراج
オークション	حراجی
モンロー	مونرو
芥川	آکوتاگاوا
トラップ	تله
トラップ	دامی
トラップ	دام
ローテーション	چرخش
プリズム	منشور
ポット	قوری
ポット	دیگ
ハチ	زنبورها
ハチ	زنبورهای
テンション	تنش
テンション	کشش
ジャスト	فقط
フォーカス	تمرکز
フォーカス	کانون
ナムコ	نامکو
分化	مشتق
ウエスタン	غربی
ウエスタン	وسترن
ラトビア	لتونی
酢酸	استات
スタンプ	بکوب
スタンプ	پایت
スタンプ	کنده
スタンプ	تمبر
スタンプ	مهر
激戦	درنده
おいしい	خوشمزه
おいしい	جالبه
停滞	ساکن
停滞	ایستا
スリップ	لغزش
茂雄	شیگئو
カブス	توله
クルーザー	رزمناو
クルーザー	ناو
アーカンソー	آرکانزاس
パッド	پد
パッド	لایی
板垣	ایتاگاکی
マナー	رسوم
マナー	ادب
マナー	آداب
バットマン	بتمن
裁定	حکمرانی
タイル	کاشی
螺旋	پیچه
螺旋	مارپیچ
ホフマン	هافمن
レジスタ	ثبات
ピュア	پاک
ピュア	ناب
ピュア	خالص
蒸留	مقطر
蒸留	تقطیر
フレイ	فری
ミッドフィールダー	هافبک
ブーツ	پوتین
ブーツ	چکمه
出版物	چاپخانه
出版物	نشریات
ヒューズ	هیوز
ヒューズ	فیوز
問い合わせ	پرس
問い合わせ	مکرر
連帯	همبستگی
連帯	اتحاد
ポーター	پرتر
ポーター	پورتر
帰宅	آغازه
帰宅	وطن
帰宅	خونه
帰宅	خانه
メイキング	ساختن
エフェクト	آثار
エフェクト	جلوه
エフェクト	تأثیر
エフェクト	اثر
エフェクト	تاثیرات
エフェクト	اثرات
エフェクト	تأثیرات
デス	مرگ
バター	کره
結核	سل
ヨルダン	جردن
ヨルダン	اردن
ヨルダン	اردنی
ヨルダン	جوردن
コバルト	کبالت
ソフトボール	سافتبال
起業	کارآفرینی
起業	کارآفرین
欠陥	نقص
欠陥	عیب
欠陥	کاستی
欠陥	خلل
未完	ناتمام
コブラ	کبرا
コブラ	کبری
シスター	خواهری
シスター	خواهرش
シスター	خواهر
グリル	گریل
脂肪	چاقی
脂肪	چربی
脂肪	تپل
脂肪	چاق
アーネスト	ارنست
眠る	خوابم
眠る	خواب
天台宗	تندای
アスレチック	ورزشکار
アスレチック	ورزشی
アスレチック	اتلتیک
エミー	اِمی
エミー	امی
エミー	ایمی
迫害	فتنه
良一	ریویچی
左近	ساکون
勧誘	حاجت
勧誘	غلام
手数料	شهریه
手数料	مزد
手数料	تصدی
手数料	کمیسیون
手数料	اجرت
手数料	دستمزد
バドミントン	بدمینتون
陶器	سفال
陶器	سفالی
スクリプト	دستنوشته
トライアングル	مثلث
溶岩	گدازه
異端	ارتداد
真似	تقلید
フン	هون
ハス	لوتوس
ハス	نیلوفر
メグ	مگ
ボールド	جسور
ボールド	توپر
トッド	تاد
入浴	حمام
ハング	آویزان
ハング	چسبید
ハング	آویخته
流体	مایع
流体	سیال
流体	شاره
流体	مایعات
ジュネーヴ	ژنو
ハーバート	هربرت
お菓子	شیرینی
未完成	ناتمام
未完成	ناقص
圭介	کیسوکه
オシ	آش
ブレーメン	برمن
宮澤	میازاوا
チューブ	لوله
林業	جنگلداری
祐介	یوسوکه
シグナル	سیگنال
シグナル	انتن
シグナル	علامت
シグナル	سیگنالهای
オリーブ	زیتونی
オリーブ	آلیو
オリーブ	زیتون
面接	مصاحبه
ダイエット	رژیم
ダイエット	رژیمی
ダブリン	دابلین
ダブリン	دوبلین
信念	اعتقادات
信念	عقاید
信念	ایمانی
信念	ایمان
信念	اعتقاد
信念	باورهای
信念	ایمانش
スチュアート	استوارت
スチュアート	استارت
スチュアート	سوارت
ワイヤー	وایر
ワイヤー	سیم
ワイヤー	کابل
アルブレヒト	آلبرشت
バレル	بشکه
サンティアゴ	سانتیاگو
雅人	ماساتو
碑文	حکاکی
碑文	کتیبه
一樹	کازوکی
ブルターニュ	بریتنی
審判員	داور
さゆり	سایوری
スレッド	رشته
スレッド	مکالمات
スレッド	نخ
スレッド	گفتگوی
スレッド	مکالمه
スレッド	گفتگو
正和	شووا
麻布	آزابو
ドラキュラ	دراکولا
ルネ	رنه
桟橋	اسکله
亜鉛	فلز
亜鉛	روی
グラハム	گراهام
正博	ماساهیرو
デューク	دیوک
デューク	دوک
語彙	واژگان
ソナー	سونار
充電	اتهام
充電	انها
充電	شارژ
充電	سوختگیری
バーミンガム	بیرمنگام
マイヤー	مایر
マイヤー	میر
リリー	لیلی
大工	کارپنتر
大工	نجار
停泊	لنگر
ワクチン	واکسن
監獄	زندانهای
監獄	زندان
監獄	زندانها
デラウェア	دلاویر
デラウェア	دلاور
売る	فروش
売る	بفروشید
売る	بفروش
破片	آوار
夜叉	یاشا
桃園	تائویوان
ペーター	پطرس
ペーター	پتر
ペーター	پیتر
買い物	خرید
既婚	متاهل
既婚	ازدواج
陽性	مثبت
チョーク	گچ
エコー	اکو
エコー	پژواک
同調	همنوایی
スイング	نوسان
スイング	تاب
コミュニティー	امت
コミュニティー	جامعه
コミュニティー	انجمن
コミュニティー	اجتماع
コミュニティー	ملتی
施策	سیاستهای
トラクター	تراکتورسازی
トラクター	تراکتور
カリスマ	جذبه
吹く	طوفانی
分泌	ترشح
和光	واکو
驚き	سوپرایز
驚き	غافلگیری
驚き	سورپرایز
ジェフリー	جفری
廃墟	خراب
廃墟	ویران
廃墟	ویرانی
廃墟	هلاکت
深度	عمق
配当	توزیع
故意	ارادی
故意	عمداً
故意	عمد
故意	عمدی
ニコ	نیکو
クロム	کروم
生き方	استایل
預言	نبوت
預言	پیشگویی
パスポート	گذرنامه
パスポート	پاسپورت
カロリー	کالری
消化	گوارش
消化	هضم
ヘビ	مارهای
ヘビ	ماره
ヘビ	مار
ヘビ	مارها
膨張	انبساط
膨張	بسط
膨張	گسترش
バッジ	نشان
残酷	ظالمانه
残酷	ظالم
ペナルティ	پنالتی
ペナルティ	مجازات
フェンス	پرچین
フェンス	حصاری
フェンス	حصار
フェンス	نرده
船員	ملوان
フォレスト	جنگل
フォレスト	جنگلی
フォレスト	فارست
クラッチ	کلاچ
クラッチ	ریش
見習い	کارآموز
見習い	شاگرد
黙示録	آخرالزمان
黙示録	مکاشفه
メソッド	روشهای
メソッド	روش
メソッド	متد
スランプ	افت
スギ	سدار
賭博	قمار
賭博	قماربازی
コップ	فنجان
コップ	جام
コップ	جامی
コップ	کاپ
視界	نمایانی
視界	دید
ニッケル	نیکل
反響	اکو
反響	پژواک
川本	کاواموتو
プラットホーム	سکو
プラットホーム	سکوی
スーザン	سوسن
スーザン	سوزان
ハイチ	هائیتی
洗浄	شستشوی
洗浄	شستن
洗浄	نظافت
洗浄	شستشو
不祥事	رسوایی
委任	فرمانی
委任	هیات
委任	هیئت
祭壇	قربانگاه
祭壇	محراب
スライダー	لغزان
スライダー	لغزنده
シエラ	سیرا
新一	شینیچی
手当	مستمری
手当	مقرری
ボローニャ	بولونیا
ヤギ	گوت
ヤギ	بزغاله
ヤギ	بز
ヤギ	بزه
ワークショップ	کارگاه
ワーグナー	واگنر
ワーグナー	وگنر
金庫	ایمن
金庫	امن
金庫	امان
消耗	سایش
被告人	متهم
バトン	باتون
睡眠	خوابم
睡眠	خواب
洗濯	رختشویی
洗濯	رخت
洗濯	شستشو
洗濯	شستشوی
洗濯	لباسشویی
洗濯	شستن
ツル	درنای
ツル	درنا
ツル	جرثقیل
ツル	کرین
リヒャルト	ریچارد
裏側	عقب
裏側	باز
裏側	برگشت
裏側	پشت
レズビアン	لزبین
芸者	گیشا
チャップリン	چاپلین
吸気	استنشاق
祝福	درود
祝福	برکات
祝福	مبارک
祝福	صلوات
祝福	نعمتی
祝福	نعمت
林檎	سیب
林檎	اپل
視力	بینایی
ロナルド	رونالد
ランニング	دویدن
ランニング	اجرا
ランニング	روان
高尾	تاکائو
届出	اخطار
届出	اعلان
届出	اطلاعیه
レスキュー	نجات
土居	دوای
委嘱	هیات
委嘱	هیئت
委嘱	تصدی
委嘱	کمیسیون
アンドレア	آندرا
アンドレア	آندریا
パンダ	پاندای
パンダ	پاندا
ハク	هق
冗談	شوخی
冗談	جوک
お気に入り	محبوب
トゥルー	راست
トゥルー	درست
トゥルー	حقیقی
ヨット	کرجی
シェーン	شین
ダイナミック	پویا
ダイナミック	دینامیک
ダイナミック	پویای
ダイナミック	داینامیک
ラバウル	رابائول
陶芸	سفال
陶芸	سفالی
エリオット	الیوت
まみ	مامی
フットサル	فوتسال
ストライカー	مهاجم
ストライカー	استرایکر
真木	مکی
真木	ماکی
ハンプシャー	همپشایر
テント	چادری
テント	چادر
テント	خیمه
リソース	منابع
リソース	منبع
粛清	پاکسازی
崇拝	پرستش
崇拝	عبادت
ワトソン	واتسون
値段	بهایی
値段	قیمت
値段	قیمتش
値段	قیمتی
値段	پرایس
値段	بهای
藤森	فوجیموری
快適	راحتی
快適	راحت
ロベール	روبرت
ロベール	رابرت
ロベール	روبر
バスケ	بسکتبال
獣医	دامپزشک
獣医	دامپزشکی
ヴァージン	باکرگی
ヴァージン	ویرجین
ヴァージン	باکره
和音	کورد
帝政	امپراتوری
帝政	امپراطوری
帝政	امپایر
動揺	آشفته
動揺	ناراحت
タブレット	تبلت
タブレット	لوح
麻酔	موضعی
ジュエル	جواهر
ジュエル	جواهری
サンチェス	سانچز
目的地	مقصد
オーラ	هاله
オーラ	آئورا
ディープ	اعماق
ディープ	عمیق
ディープ	ژرف
マリアナ	ماریانا
アマゾン	آمازون
義雄	یوشیو
年数	سالها
