年	год
懸	висит
頒布	обнародован
浪潮	прилив
浪潮	волна
浪潮	волны
盈利	прибыль
盈利	прибыли
盈利	доходность
盈利	выгодные
盈利	выгодно
過渡	переходы
過渡	переход
傳教士	миссионер
傳教士	миссионеры
表揚	хвала
每個人	все
每個人	каждый
每個人	всех
每個人	всем
目睹	свидетелями
濕	мокрые
濕	мокрый
濕	мокрая
獲准	допускается
獲准	разрешены
獲准	разрешена
獲准	разрешено
摩西	моисей
摩西	мозес
降級	понижение
降級	понизить
降級	понижения
降級	понизили
網際網路	интернет
遠藤	эндо
戶外	открытый
文憑	аттестат
文憑	дипломы
文憑	диплом
氨基酸	амино
脊椎	позвоночник
脊椎	позвоночника
空缺	вакансии
空缺	вакансий
空缺	вакансия
空缺	вакантные
阻擋	блокирование
阻擋	блокирует
阻擋	блокировка
巡邏	патрульные
巡邏	патрули
巡邏	патруль
巡邏	патрулирование
睡	сон
睡	спят
睡	спи
睡	спать
睡	спит
溴	брома
扭力	момент
蛋糕	пирожки
蛋糕	пирог
蛋糕	торт
蛋糕	пирожные
蛋糕	торты
流出	отток
沙巴	сабах
對待	угощение
對待	лечить
崇德	вирджил
過期	истекает
過期	истек
庇護	убежище
庇護	убежища
恐慌	паника
恐慌	панику
恐慌	паники
前輩	старший
前輩	старшая
海嘯	цунами
旋風	циклона
旋風	озона
旋風	вихрь
殘疾	инвалидность
殘疾	инвалид
殘疾	инвалидности
殘疾	отключен
殘疾	отключена
聖地牙哥	сантьяго
推定	презумпцию
推定	презумпция
推定	презумпции
處決	исполнение
處決	казнь
處決	казни
自傳	автобиография
自傳	биография
自傳	биографии
自傳	биографию
哇	вау
哇	ого
病患	пациента
病患	пациентов
病患	пациенты
病患	пациентка
病患	пациент
碳酸	карбонат
漁業	рыболовства
漁業	рыбалка
漁業	рыболовство
硼	бора
硼	бор
命中	ударил
命中	хит
大野	оно
杜鵑	кукушка
杜鵑	рододендрон
大理石	мрамор
撥款	распределение
撥款	ассигнования
炭	углерода
炭	уголь
炭	углерод
特效	последствия
特效	эффекты
特效	эффект
疑問	сомнения
疑問	сомневаться
疑問	сомнение
疑問	сомнений
步驟	ступеньки
步驟	шаг
步驟	этапы
步驟	шаги
大洲	континентов
大洲	континенте
大洲	континент
大洲	континентах
縮小	сузить
縮小	уменьшить
縮小	психиатр
縮小	узких
縮小	узкие
縮小	узкий
衡量	меру
衡量	измерить
衡量	измерение
衡量	мера
衡量	измерения
內陸	внутреннего
高興	счастливая
高興	счастливые
高興	счастлива
高興	счастливый
高興	счастлив
電路	схемы
電路	цепи
電路	цепь
墓園	кладбище
間隔	промежуток
間隔	интервал
間隔	интервалы
海岸線	побережье
海岸線	берег
海岸線	береговая
擢	миу
詩歌	поэзия
詩歌	стихи
善良	доброту
善良	доброта
善良	доброты
善良	добрая
流失	дренаж
流失	отток
氧化物	оксидов
氧化物	оксид
正方形	площадь
正方形	квадратный
正方形	квадрат
保守派	консерваторы
保守派	консервативные
判刑	предложение
判刑	приговорил
判刑	приговоры
判刑	приговорен
判刑	приговор
判刑	приговора
剪輯	редактирования
剪輯	редактирование
剪輯	ролик
剪輯	монтаж
剪輯	зажим
剪輯	клип
灶	печь
灶	плита
灶	очаг
複數	множественное
英勇	храбрость
氯化	хлорид
印度教	индуистских
印度教	индуизм
外貌	появление
外貌	внешность
短缺	дефицит
短缺	нехватка
音節	слогов
音節	слог
傻	глупая
傻	дурачок
傻	дурак
傻	глупо
傻	глупый
傻	дура
跳躍	прыгнуть
跳躍	прыжок
跳躍	прыгать
跳躍	скачок
跳躍	прыжки
測驗	проверка
測驗	тест
測驗	испытание
測驗	тестирование
測驗	испытания
測驗	тесты
伯德	птица
伯德	птичка
伯德	бёрд
伯德	птицы
峽谷	ущелье
峽谷	каньон
峽谷	каньоны
傳聞	слух
傳聞	слухи
飼養	разведения
氣壓	давление
戰區	театр
液體	жидкости
液體	жидкостей
液體	жидкость
液體	жидкий
回顧	ссылаясь
回顧	напоминая
住宿	размещение
住宿	проживание
信念	веру
信念	вере
信念	осуждение
信念	убеждение
信念	убежденность
信念	вера
槍擊	съемка
槍擊	съёмки
槍擊	стрельба
荷馬	гомер
落地	посадка
落地	посадки
落地	посадку
墓碑	надгробии
墓碑	надгробие
國歌	гимн
彈頭	боеголовки
彈頭	пулю
彈頭	пуля
彈頭	боеголовок
內心	внутренней
內心	внутренняя
內心	изнутри
內心	внутрь
內心	внутреннее
內心	внутри
內心	внутренний
新鮮	свежий
新鮮	свежая
新鮮	свежие
新鮮	свежее
沼澤	болота
沼澤	марш
沼澤	болото
直立	ханифа
圍攻	осада
圍攻	осады
表情	выражение
幻影	мираж
幻影	призрак
氟化	фторид
遙遠	дальний
遙遠	отдаленных
各式	ассортимент
塑像	статуи
塑像	статуя
牛肉	говядина
樓梯	ступеньки
樓梯	лестницы
樓梯	лестнице
樓梯	лестница
狩獵	охоты
狩獵	охота
狩獵	хант
專科	специальности
專科	специальностей
穩	стабильный
穩	устойчивый
等候	жду
等候	ждем
等候	ожидание
等候	ждать
等候	ждём
下屬	подчиненных
動機	мотивы
動機	мотивация
動機	мотивации
動機	мотив
軌跡	трек
軌跡	траектории
軌跡	дорожка
軌跡	локус
軌跡	трека
軌跡	след
風景	ландшафт
風景	пейзаж
風景	ландшафта
風景	пейзажи
滴	капля
滴	кап
滴	капли
滴	капель
昏迷	кому
微型	миниатюра
微型	микро
海豹	печать
樓上	наверх
樓上	наверху
大廳	фойе
大廳	лобби
大廳	холл
大廳	зал
神廟	храм
界限	границы
斯德哥爾摩	стокгольмской
斯德哥爾摩	стокгольм
日誌	дневник
日誌	журнал
喊	кричать
基準	ориентиры
基準	ориентиром
花瓣	лепестки
花瓣	лепесток
蜥蜴	ящерица
蜥蜴	ящериц
袍	мантии
總和	сумма
著作權	авторство
熱心	энтузиазм
熱心	энтузиазмом
安倍	абэ
安倍	эйб
放射	излучение
放射	радиологии
放射	радиоактивности
放射	радиоактивный
放射	радиация
放射	радиации
放射	радиоактивные
放射	радиоактивных
開支	расходы
平板	планшет
平板	таблетки
平板	скрижали
摩擦	трения
摩擦	тереть
摩擦	руб
敵方	враг
敵方	враги
理工學院	политехнический
繁榮	процветания
繁榮	бум
繁榮	благосостояние
繁榮	процветание
輪胎	шин
輪胎	шины
輪胎	шина
延期	продление
延期	расширение
延期	продления
延期	расширения
肺炎	пневмония
親屬	родственников
親屬	родственники
衍生物	производных
擴散	распространения
醬	соус
珠寶	украшения
珠寶	драгоценности
珠寶	украшение
斧	топор
尼加拉瓜	никарагуа
非凡	чрезвычайные
非凡	чрезвычайных
非凡	чрезвычайный
焊接	сварка
焊接	уэлд
焊接	сварных
國防軍	исо
獎學金	стипендии
獎學金	стипендий
獎學金	стипендию
獎學金	стипендия
偵查	разведка
偵查	разведывательный
視訊	видео
阻礙	препятствие
侄子	племянника
侄子	племянник
墳	могила
墳	серьезную
資本主義	капиталистической
資本主義	капитализм
辛苦	жестко
辛苦	жёсткий
辛苦	тяжело
辛苦	сложно
辛苦	трудно
有毒	ядовитые
有毒	токсичные
有毒	токсичных
排水	дренажа
排水	дренаж
奇異	экзотических
雉	фазан
慢性	хронические
慢性	хроническая
慢性	хронической
馬達	мотор
馬達	двигатели
光榮	славный
光榮	слава
光榮	славу
胡椒	перец
胡椒	пеппер
自信	доверие
自信	уверенно
自信	уверены
自信	уверенность
自信	уверен
邊疆	рубеж
邊疆	граница
殖民者	колонистов
染色體	хромосома
染色體	хромосомы
枕	подушку
枕	подушка
寺廟	храм
寺廟	храмы
相交	пересечение
相交	пересечения
鈾	уран
伴侶	партнер
伴侶	товарищ
伴侶	партнёр
伴侶	напарник
電荷	обвинение
電荷	заряд
廚房	кухне
廚房	кухни
廚房	кухня
溫柔	нежный
溫柔	нежная
溫柔	нежно
溫柔	нежные
紳士	джентльмен
潮汐	прилив
潮汐	приливов
事變	происшествие
事變	инцидента
事變	инцидент
抒情	лирическое
愛麗絲	алиса
愛麗絲	элис
申訴	жалоба
申訴	жалобы
蔓延	распространяется
蔓延	разрастание
燈塔	маяк
加勒比	карибского
陡	крутых
無名	безымянный
血腥	кровавые
血腥	кровавая
血腥	кровавый
粉碎	разбить
醜聞	скандал
插圖	иллюстрации
骨頭	кость
骨頭	костей
骨頭	кости
經理人	управляющий
經理人	менеджер
堡壘	крепость
堡壘	бастион
堡壘	форт
工資	заработная
工資	зарплата
工資	оклады
工資	окладов
工資	оклад
憲兵	жандармов
憲兵	жандармерии
犀牛	носорог
犀牛	носорогов
思想家	мыслителей
思想家	мыслитель
乘車	поездка
乘車	ездить
寂寞	одинок
寂寞	одиночество
寂寞	одиноко
寂寞	одинокая
寂寞	одинокий
花卉	цветочки
花卉	цветы
花卉	цветочные
庭院	дворе
庭院	двор
樞紐	узлы
仙女	феи
仙女	фея
蘇維埃	советского
蘇維埃	советский
蘇維埃	советские
蘇維埃	советская
煙花	фейерверки
煙花	салют
煙花	фейерверк
筋	сухожилия
安藤	андо
和諧	гармонию
和諧	гармонии
和諧	гармония
撤消	отозвать
室外	снаружи
室外	вне
室外	открытый
鵝	гусь
鵝	гуси
刺殺	убийство
彈劾	импичмента
彈劾	импичмент
坐標	координации
坐標	координаты
坐標	координировать
永恆	вечный
永恆	вечной
永恆	вечности
永恆	вечная
永恆	вечное
永恆	вечность
津貼	надбавки
津貼	пособия
津貼	пособие
破解	трещина
甲殼類	ракообразных
捲	ролл
卡車	грузовик
卡車	грузовики
麻雀	воробьев
麻雀	воробей
阻力	сопротивления
阻力	сопротивление
關懷	уход
關懷	забота
關懷	уходу
關懷	заботливый
沙拉	салат
耳朵	ухо
耳朵	уха
耳朵	уши
熔岩	лава
啟發	вдохновил
盧森堡	люксембург
盧森堡	люксембурга
疼痛	боль
疼痛	боли
疼痛	болью
鷗	чайка
佔有	хранение
佔有	владение
佔有	обладание
獨家	эксклюзивный
獨家	эксклюзивные
獨家	исключительной
冥王星	плутон
掩護	обложку
掩護	прикрытие
掩護	обложки
掩護	обложка
掩護	покрытия
鈍	блант
復原	восстановление
復原	оздоровление
復原	восстановления
真主	аллах
清潔	чистые
清潔	чистой
清潔	чисто
清潔	очистить
清潔	чистка
清潔	чистота
清潔	уборки
清潔	чистоты
清潔	очистка
清潔	чистый
清潔	чистая
清潔	уборка
長壽	долголетия
友誼	дружба
友誼	дружбы
多元化	диверсификации
多元化	диверсификация
多元化	разнообразия
多元化	плюрализм
多元化	многообразие
多元化	разнообразие
多元化	плюрализма
友善	дружеские
友善	дружественных
友善	дружелюбный
山麓	предгорье
山麓	пьемонт
甜蜜	сладкая
甜蜜	сладкие
甜蜜	сладкий
瘦	тонкие
瘦	тонкая
瘦	тощий
瘦	слим
瘦	тонкий
甲烷	метан
甲烷	метана
優質	качество
書法	каллиграфии
船員	экипаж
船員	экипажа
船員	команда
稀少	скудной
稀少	скудные
山羊	коз
山羊	козел
山羊	коза
山羊	козлы
山羊	козёл
丟	бросить
丟	бросок
雪梨	сидни
雪梨	сидней
財團	консорциум
財團	консорциума
批量	навалом
消化	пищеварение
消化	дайджест
消化	пищеварительной
成效	эффективность
樹木	дерево
樹木	деревья
樹木	деревьев
陶器	керамика
租賃	аренды
租賃	прокат
租賃	лизинг
租賃	аренда
租賃	аренду
凱撒	цезарь
馬達加斯加	мадагаскара
馬達加斯加	мадагаскар
告別	прощайте
告別	прощание
告別	прощай
胖	жир
胖	толстый
胖	толстая
胖	жирный
狹窄	сузить
狹窄	стеноз
狹窄	узких
狹窄	узкие
狹窄	узкий
裁決	вердикт
裁決	постановление
裁決	приговор
無力	бессилен
節省	сбережений
節省	сохранение
節省	спасение
節省	экономия
節省	сбережения
磚	кирпичи
磚	кирпич
磚	брик
利率	ставка
利率	оцените
高大	высокие
高大	высокий
高大	высокая
水下	подводная
水下	подводного
水下	подводные
意向	намерения
意向	наклона
意向	намерение
壓制	пресечения
壓制	пресечение
壓制	подавление
壓制	репрессии
壓制	репрессий
進度	прогресс
重溫	переживать
指稱	утверждение
指稱	утверждения
指稱	обвинения
哺乳動物	млекопитающих
爺爺	деда
爺爺	дед
爺爺	дедушка
突襲	рейды
突襲	рейд
突襲	налет
情侶	парочку
情侶	пар
情侶	парочка
情侶	парам
情侶	пара
情侶	пары
情侶	любовники
情侶	пару
示範	модели
示範	демонстрации
示範	демо
示範	модель
示範	демонстрация
示範	образец
示範	демонстрацию
保全	сохранение
保全	сохранения
保全	сохранять
宮殿	дворец
智力	разведка
智力	интеллектуальной
智力	разведки
智力	интеллектуальная
智力	интеллект
渡口	паром
糾紛	спор
糾紛	споры
糾紛	спора
發光	световой
發光	светятся
發光	блеск
發光	светится
發光	чистка
結盟	альянс
阿拉伯語	арабский
阿拉伯語	арабская
異議	возражение
異議	возражаю
異議	возражения
異議	протестую
係數	коэффициентов
係數	коэффициенты
係數	коэффициент
抱怨	жаловаться
抱怨	жалуется
窮	бедных
窮	бедный
窮	бедные
窮	бедная
投球	подача
銀色	серебряный
銀色	сильвер
銀色	серебро
鞘	ножны
小牛	тельца
訪談	собеседования
訪談	интервью
訪談	беседы
訪談	беседа
訪談	собеседование
口味	вкус
口味	вкусы
揚州	янчжоу
就職	инаугурации
人性	человечности
人性	человечество
人性	человечность
噴發	извержения
噴發	извержение
饒	рао
失誤	ошибки
溶解	растворяются
溶解	распустить
公報	коммюнике
主觀	субъективности
主觀	субъективных
桃源	таоюань
天平	шкалы
天平	весы
外國人	иностранец
外國人	пришельцы
外國人	иностранцы
外國人	иностранцев
外國人	инопланетяне
反感	отвращение
反感	противно
神仙	феи
神仙	фея
李子	сливы
腸	кишки
腸	кишечник
腸	кишечника
腸	колбаса
腸	сосиски
鹼	щелочной
鹼	щелочных
石板	планшет
石板	листа
秋山	акияма
液晶	жк
福爾摩斯	холмс
君主制	монархии
野心	амбициозных
野心	амбиции
別墅	вилла
別墅	виллы
幅度	диапазоны
印地安人	индейцев
印地安人	индейцы
籠	клетка
籠	клетку
監管	надзора
監管	надзор
顯示器	отображение
顯示器	отображения
顯示器	показ
有害	вредные
有害	вредных
銀河系	галактике
銀河系	галактика
銀河系	гэлакси
罰款	штрафы
葡萄糖	глюкозы
鋰	лития
劍橋	кембридж
詛咒	проклятье
詛咒	проклятие
達拉斯	даллас
徒步	поход
草莓	клубника
奶奶	бабушка
補償	возмещение
補償	компенсация
補償	возмещения
教父	крестный
蝙蝠俠	бэтмен
輕微	незначительные
輕微	незначительное
廁所	ванная
廁所	туалет
廁所	унитаз
廁所	ванную
廁所	ванной
葉子	лист
葉子	йоко
葉子	листьев
葉子	оставляет
葉子	листья
激進	радикальные
激進	радикально
乙醇	этанола
有罪	виновен
有罪	виновны
禮拜	поклонение
禮拜	поклоняться
樣式	стили
樣式	стайлз
樣式	стилей
樣式	стиль
遷徙	миграция
遷徙	миграции
交響樂團	симфония
抄襲	плагиат
海倫	хелен
海倫	элен
螢	ин
讀音	произношение
聖殿	храм
聖殿	базилика
空格	пробелы
空格	пространства
郵票	марка
郵票	марки
多瑙河	дунай
阿爾及利亞	алжира
阿爾及利亞	алжире
阿爾及利亞	алжир
騷擾	преследования
騷擾	преследование
騷擾	притеснения
騷擾	домогательства
冷卻	охлаждения
攝影機	фотоаппарат
攝影機	камеру
攝影機	камера
拜訪	посещения
拜訪	посещение
皇宮	дворец
法老	фараон
法老	фараона
微小	крошечные
微小	крошечный
出版商	издатель
出版商	издательство
出版商	издателей
精美	изысканный
溫和	нежная
溫和	умеренные
溫和	мягкой
溫和	умеренности
溫和	нежный
溫和	умеренных
溫和	нежно
公升	литров
公升	литр
公升	литра
相對論	относительности
對面	противоположное
對面	напротив
香料	специй
香料	специи
悼念	трауре
悼念	дань
悼念	должное
辣椒	перец
辣椒	пеппер
賭場	казино
國徽	герб
國徽	эмблемы
悲劇	трагедия
悲劇	трагическая
悲劇	трагедии
悲劇	трагические
悲劇	трагических
悲劇	трагический
鎖定	заблокирован
鎖定	замок
鎖定	заблокировать
鎖定	заперта
鎖定	блокировка
租金	ренты
租金	прокат
租金	аренда
租金	аренду
光輝	сияние
喀麥隆	камеруна
喀麥隆	камерун
喀麥隆	камеруне
誤解	недоразумение
誤解	заблуждение
誤解	недопонимание
誤解	недоразумений
彎曲	изогнутый
溫暖	тепло
溫暖	тепла
溫暖	тёплый
溫暖	теплая
溫暖	теплый
溫暖	теплые
解剖	расслоение
解剖	вскрытия
解剖	вскрытие
解剖	анатомии
神像	гато
手套	перчатки
手套	перчатку
硬幣	монеты
硬幣	монета
硬幣	монету
朝代	династия
朝代	династии
你好	привет
你好	здравствуйте
耕地	пахотные
皂	мыло
承包商	подрядчиков
承包商	подрядчика
承包商	подрядчик
承包商	подрядчики
草坪	газоны
草坪	газон
草坪	лужайке
方舟	арк
方舟	ковчег
編譯	составлен
編譯	собранная
編譯	компиляция
編譯	компиляции
編譯	собранные
編譯	подборка
鉛	свинца
鉛	ведущая
鉛	свинец
鉛	ведущие
鞭	кнут
錐	конус
界定	определяя
界定	определить
界定	определение
界定	определяющие
氣溫	температуру
氣溫	температура
氣溫	температуры
概括	обобщение
日光	дневное
馬賽	марсель
彈性	эластичный
彈性	гибкие
彈性	эластичность
彈性	гибкий
彈性	гибкость
彈性	гибко
彈性	гибкой
長老	старейшин
長老	старший
長老	старшая
長老	старейшины
野牛	буффало
野牛	бизон
特許	уступки
特許	концессий
特許	концессии
盾牌	щиты
盾牌	щит
走私	контрабанда
走私	контрабанды
走私	контрабандой
走私	контрабанду
紀念館	мемориал
戒指	кольца
戒指	кольцо
戒指	ринг
祭司	священник
祭司	священника
握手	рукопожатие
酒井	сакаи
乘法	умножение
繪圖	рисование
繪圖	графики
繪圖	рисунки
繪圖	рисунок
繪圖	картирования
繪圖	графика
繪圖	чертежи
乙酸	ацетат
大屠殺	резня
大屠殺	холокост
大屠殺	бойня
大屠殺	холокоста
食堂	столовой
劫持	угнать
劫持	похищение
劫持	угон
劫持	похищения
誓	присягой
誓	обет
誓	клятва
基座	пьедестал
損壞	вред
損壞	повреждены
損壞	убытки
損壞	ущерба
損壞	повреждение
損壞	повреждена
損壞	поврежден
損壞	ущерб
損壞	повреждено
損壞	повреждения
專長	специальности
專長	специализация
專長	специальностей
專長	специальность
羅素	расселл
羅素	рассел
基底	субстрата
基底	подвал
基底	подвале
骨架	скелет
更正	исправления
更正	поправка
更正	исправление
更正	коррекция
特種部隊	спецназ
叻	лат
密西西比州	миссисипи
標語	слоган
標語	лозунги
標語	девиз
標語	лозунг
摩天大樓	небоскреб
雙邊	двустороннее
雙邊	двусторонняя
雙邊	двусторонние
雙邊	двусторонних
雙邊	двусторонний
迷失	потерян
迷失	потеряна
迷失	потерянный
迷失	потерял
迷失	проиграл
警務	полицейские
警務	полиции
警務	полицейский
警務	полиция
仙女座	андромеда
橘子	апельсины
橘子	оранжевое
橘子	оранжевый
橘子	апельсин
川口	кавагути
死亡率	смертность
歌聲	поют
歌聲	пение
歌聲	поет
歌聲	пою
歌聲	петь
散射	рассеяние
散射	разброс
症候群	синдром
布加勒斯特	бухаресте
污水	стоков
污水	канализации
存款	вклады
獨裁	диктаторского
獨裁	диктатуры
朝倉	асакура
宮廷	дворец
想象	воображение
想象	воображения
祈禱	молитву
祈禱	молится
祈禱	помолиться
祈禱	молитва
祈禱	молитвы
祈禱	молись
祈禱	молиться
相容	совместимо
相容	совместима
相容	совместимость
相容	совместимы
相容	совместим
廚師	кук
廚師	готовить
廚師	шеф
廚師	повар
廚師	приготовить
天王星	уран
王冠	короны
王冠	крон
王冠	корона
王冠	корону
營養	питание
營養	питания
橡膠	резиновые
教義	учения
教義	доктрины
教義	доктрина
教義	крид
教義	учение
扳機	курок
探險	приключения
探險	приключение
探險	экспедиции
探險	экспедиция
區塊	блоков
區塊	блок
區塊	блокировать
區塊	заблокировать
區塊	блоки
區塊	блокировка
亞熱帶	субтропических
地道	туннелях
地道	туннели
地道	тоннель
地道	туннель
所羅門	соломона
所羅門	соломон
所羅門	соломоновых
腕	запястье
腕	запястья
附上	приложить
附上	прилагаются
附上	закрытых
附上	прикрепить
附上	вложить
附上	прилагается
機長	капитан
聲援	солидарности
聲援	солидарность
核子	ядерная
核子	ядерные
莖	стволовых
廢棄	бросил
廢棄	оставленные
廢棄	оставления
檢視	просмотреть
檢視	просмотра
檢視	просмотр
檢視	посмотреть
檢視	вид
學說	доктрина
學說	доктрины
學說	доктрин
大提琴	виолончели
加熱	тепло
加熱	тепла
加熱	подогревом
加熱	жара
加熱	отопление
還原	восстановить
還原	восстанавливать
暴風	шторм
暴風	гроза
暴風	буря
巴頓	паттон
華沙	варшава
華沙	варшаве
誘惑	соблазн
誘惑	искушение
掃描	сканирования
掃描	сканирование
法典	кодекс
壺	горшок
壺	кувшин
壺	чайник
壺	кастрюли
電報	телеграф
升降機	лифт
升降機	поднимает
機密	конфиденциальной
機密	конфиденциально
城牆	стены
城牆	стенки
城牆	стен
芭蕾舞	балет
諾曼	норман
環礁	атолле
散布	разброс
斐濟	фиджи
潛在	потенциальная
潛在	потенциал
呼叫	позвонить
呼叫	звонок
呼叫	звонить
呼叫	призвание
呼叫	звоните
硝酸	нитрата
嵌入	вложение
嵌入	встроенный
出血	кровотечения
出血	кровотечение
烤	печь
烤	жаркое
口腔	рот
口腔	устно
口腔	устный
口腔	устное
口腔	устные
港灣	гаваней
港灣	гавань
港灣	гавани
港灣	харбор
時鐘	часы
牽引	тяги
論點	довод
論點	доводы
論點	аргументы
論點	аргумент
菊池	кикути
左邊	осталось
左邊	левой
左邊	налево
左邊	слева
左邊	оставил
勇氣	смелость
勇氣	храбрость
勇氣	мужество
喵	мяу
天線	антенна
天線	антенны
絕望	отчаяние
絕望	отчаянные
摩納哥	монако
格言	девиз
格言	максим
甘肅	ганьсу
伏特	вольт
敵對	враждебности
敵對	враждебность
敵對	враждебные
敵對	враждебной
敵對	враждебно
敵對	противник
出處	происхождения
出處	происхождение
電磁	электромагнитной
瘋	сумасшедшая
瘋	безумно
瘋	сумасшествие
瘋	сумасшедший
瘋	безумие
金子	золотой
金子	золото
金子	золотая
金子	золотые
贏	победа
贏	выиграть
贏	победить
開除	увольнение
開除	увольнения
災害	бедствие
災害	катастрофа
災害	бедствия
持久	прочный
持久	прочного
永久性	постоянство
字元	персонажи
字元	символов
字元	символ
字元	характер
字元	персонаж
字元	символы
字元	персонажей
晚餐	ужин
晚餐	обед
豆腐	тофу
捐助	пожертвования
山茶	камелия
濕地	заболоченных
濕地	водно
獵物	добыча
獵物	добычу
東正教	православной
東正教	православие
燕子	ласточки
燕子	проглотить
鄰居	соседка
鄰居	соседями
鄰居	соседи
鄰居	сосед
會計師	бухгалтеров
會計師	бухгалтер
會計師	бухгалтера
橢圓	эллипс
橢圓	эллиптические
橢圓	овал
追逐	чейз
追逐	преследование
追逐	погоня
君士坦丁	константин
美式足球	футбол
天然氣	газа
天然氣	газ
天然氣	бензин
方塊	куб
方塊	площадь
方塊	кубик
方塊	квадраты
方塊	квадратный
方塊	квадрат
均衡	баланс
均衡	выравнивания
均衡	сбалансированный
均衡	остаток
均衡	равновесия
均衡	сбалансированного
均衡	сбалансированное
均衡	равновесие
叢林	джунгли
叢林	джунглях
慶典	торжество
慶典	празднование
慶典	праздник
藏文	тибетский
色素	пигмент
宣教	дава
膝	колена
膝	колено
膝	колени
保管	стражей
院系	факультетов
省長	губернатор
省長	префект
粗糙	грубый
粗糙	жесть
激情	страстный
激情	страстно
激情	страсть
激情	страсти
擦音	спирант
珍貴	драгоценные
珍貴	прелесть
珍貴	драгоценный
珍貴	драгоценных
嚴厲	суровых
嚴厲	суровые
嚴厲	суровый
門票	билет
門票	билеты
長春	чанчунь
通航	судоходных
毒素	токсинов
毒素	токсины
轎車	лимузин
轎車	седан
俄亥俄	огайо
獅子座	лео
獅子座	лев
經濟學家	экономисты
經濟學家	экономист
經濟學家	экономистов
輸送	конвейер
約瑟	иосиф
約瑟	джозеф
約瑟	жозеф
愛心	уход
愛心	забота
愛心	уходу
愛心	заботливый
約旦	иордания
約旦	иорданию
約旦	джордан
約旦	иордании
約旦	иордан
赦免	помилования
赦免	помилование
性行為	секс
性行為	сексуальность
地下室	подвал
地下室	подвале
昨天	вчера
昨天	вчерашний
佛法	дхарма
詳情	детали
詳情	подробности
詳情	деталь
生殖	репродуктивного
生殖	размножения
十個	десять
十個	десятка
交配	спаривания
交配	мат
交配	приятель
小川	огава
冰球	хоккей
投射	проекция
漢城	сеуле
漢城	сеул
藥用	лечебные
藥用	лекарственных
藥用	лекарственные
酸性	кислотности
酸性	кислота
酸性	кислоты
酸性	кислой
展望	перспективы
展望	видение
展望	зрение
展望	перспектива
多明尼加	доминиканской
多明尼加	доминиканская
週年紀念	годовщины
週年紀念	годовщину
週年紀念	годовщина
週年紀念	юбилей
世系	спуск
猴子	обезьянка
猴子	обезьяны
猴子	обезьяна
抬	лифт
抬	поднять
歐文	ирвинг
歐文	оуэн
俄文	русская
俄文	русские
俄文	российская
俄文	русский
揭示	раскрывает
反駁	опровержение
反駁	опровергнуть
前景	перспективы
前景	проспект
前景	перспектива
妄想	паранойя
妄想	заблуждение
妄想	бред
成年人	взрослые
成年人	взрослый
成年人	взрослая
成年人	взрослых
冬青	холли
空前	беспрецедентно
空前	беспрецедентный
空前	беспрецедентное
空前	беспрецедентные
大炮	пушки
大炮	артиллерия
大炮	артиллерийские
大炮	пушка
大炮	артиллерийский
明智	мудро
明智	мудрый
明智	мудрые
明智	мудрое
抽籤	нарисовать
抽籤	рисовать
抽籤	ничья
抽籤	привлечь
椅	кресла
椅	кресло
椅	стулья
椅	стул
椅	председатели
椅	председатель
聖人	святые
聖人	святой
聖人	сент
聖人	сен
聖人	святых
聖人	святая
阿瑟	артура
阿瑟	артур
捕獲	захвата
捕獲	захват
聽眾	слушатели
聽眾	слушателей
聽眾	слушатель
蒜	чеснок
居所	проживание
居所	резиденция
優點	преимущество
優點	преимущества
思維	мышление
思維	думаю
計程車	такси
布魯塞爾	брюссель
布魯塞爾	брюсселе
歸還	реституции
失業	безработным
失業	безработица
失業	безработный
失業	безработицы
失業	безработных
失業	безработные
砷	мышьяк
野生動物	дикой
天花	оспы
昂貴	дорого
昂貴	дорогие
昂貴	дорогое
大麻	трава
大麻	марихуаны
大麻	траву
大麻	каннабиса
可疑	подозрительных
可疑	подозрительные
可疑	подозрительный
可疑	подозрительно
小丑	клоун
小丑	шутник
抗生素	антибиотики
抗生素	антибиотик
專營	франшизы
專營	франшиза
關島	гуам
字面	буквально
自轉	вращение
自轉	вращения
自轉	ротации
大通	чейз
大通	погоня
怪人	чудак
破碎	сломан
破碎	сломана
破碎	вдребезги
語氣	тон
老年	старшая
老年	старше
隔離	сегрегация
隔離	изоляция
隔離	карантин
隔離	сегрегации
隔離	изоляции
隔離	изолированных
砸	разбить
生病	больна
生病	болен
生病	больным
生病	больные
生病	больная
生病	больной
中位數	среднее
摔跤	борьба
摔跤	бороться
高爾夫球	гольф
證書	справка
證書	сертификаты
證書	свидетельство
證書	сертификат
濟南	цзинань
山脊	хребет
山脊	ридж
惡作劇	розыгрыш
佈局	макет
佈局	макеты
拳擊	бокс
青蛙	лягушка
青蛙	лягушки
青蛙	лягушек
面板	панель
面板	панели
高效	эффективная
高效	эффективный
高效	эффективного
高效	эффективное
高效	эффективно
探險家	исследователь
探險家	исследователи
拖延	проволочек
拖延	задержка
拖延	задержки
伴隨	сопровождающих
伴隨	сопровождать
骨灰	прах
骨灰	пепел
安息	разорвать
安息	рип
預留	защищены
震撼	потрясли
商家	торговцы
商家	торговец
商家	торгового
執照	лицензий
執照	лицензия
執照	лицензии
煩惱	беды
煩惱	раздражает
煩惱	неприятности
鮑威爾	пауэлл
脊椎動物	позвоночных
混合物	смесь
混合物	смесей
混合物	смеси
