और	وال
हिंसक	عنيفة
गेंदबाजी	البولينج
गेंदबाजी	البولينغ
ढाका	دكا
सेवाएँ	الخدمات
सेवाएँ	خدمات
तलाक	مطلقة
तलाक	طلاق
तलाक	الطلاق
तलाक	مطلق
आक्सीजन	الاوكسجين
आक्सीजन	الاكسجين
राजनयिक	الدبلوماسي
राजनयिक	دبلوماسية
राजनयिक	الدبلوماسية
राजनयिक	دبلوماسي
एजेंसियों	وكالات
एजेंसियों	الوكالات
ब्रूस	بروس
बैठने	اجلس
कवच	درعا
कवच	تميمة
कवच	درع
ड्यूक	ديوك
ड्यूक	دوق
दूत	السفير
दूत	السفيرة
दूत	سفير
अनुष्ठान	الطقوس
अनुष्ठान	طقوس
राष्ट्रमंडल	كومنولث
राष्ट्रमंडल	الكومنولث
तार्किक	منطقي
महामारी	الاوبئة
महामारी	الوباء
महामारी	وباء
मीर	مير
पिक्चर्स	صور
पिक्चर्स	الصور
साइकिल	الدراجات
साइकिल	دراجات
साइकिल	الدراجة
साइकिल	دراجة
कामयाब	ناجح
कामयाब	الناجحة
कामयाब	ناجحة
विजयी	منتصرا
क्वांटम	كمي
साहस	الشجاعة
साहस	شجاعة
व्याप्त	منتشر
सुसज्जित	مفروشة
ओल्ड	قديمه
ओल्ड	قديم
ओल्ड	عجوز
ओल्ड	قديمة
ओल्ड	القديم
ज़रा	زارا
निंदा	لوم
निंदा	ندين
थकान	متعب
थकान	تعب
थकान	التعب
थकान	متعبة
थकान	تعبت
कोट	اقتبس
कोट	الاقتباس
कोट	معطف
कोट	المعطف
कोट	اقتباس
अपमान	الاهانة
अपमान	الذل
घोर	صارخ
मूवी	الفلم
मूवी	الافلام
मूवी	الفيلم
मूवी	افلام
मूवी	فيلم
मेटल	معدن
मेटल	المعادن
मेटल	المعدن
मेटल	معدني
मेटल	معادن
प्रोफाइल	التشكيلة
ब्रिज	بريدج
ब्रिज	الجسور
ब्रिज	جسور
ब्रिज	الجسر
ब्रिज	جسر
पाणिनि	بانيني
ताज	التاج
ताज	تاج
ताज	كراون
व्याख्यान	محاضرة
व्याख्यान	محاضرات
व्याख्यान	المحاضرات
व्याख्यान	المحاضرة
परजीवी	الطفيليات
परजीवी	الطفيلي
चिकित्सीय	طبي
चिकित्सीय	الطبية
चिकित्सीय	طبية
चिकित्सीय	الطبي
रोबोट	روبوت
रोबोट	الروبوت
ज़्यादातर	غالبا
नागरिकता	المواطنة
नागरिकता	الجنسية
नागरिकता	مواطنة
समृद्धि	الرخاء
समृद्धि	الازدهار
अक्तूबर	اكتوبر
एक्ट	التصرف
एक्ट	الفعل
एक्ट	التمثيل
जोकर	مهرج
जोकर	المهرج
जोकर	جاك
जोकर	الجوكر
मित्रों	اصدقاء
मित्रों	صديقان
मित्रों	الاصدقاء
निमित्त	سبب
निमित्त	السبب
भवनों	البنايات
भवनों	مباني
भवनों	المباني
भवनों	مبان
आज़ाद	ازاد
छठे	السادس
छठे	السادسة
छठे	سادس
छठे	سادسا
पठन	تلاوة
कोयले	الفحم
कोयले	فحم
करण	كاران
विचारक	مفكر
कास्त्रो	كاسترو
आकाशगंगा	مجرة
आकाशगंगा	غالاكسي
आकाशगंगा	المجرة
टक्कर	اصطدام
टक्कर	الاصطدام
टक्कर	تصادم
गुणा	الضرب
गुणा	تكاثر
समायोजन	ضبط
समायोजन	تعديلات
समायोजन	التكيف
समायोजन	التعديلات
समायोजन	التسويات
प्रायोजित	ممول
बाली	بالي
संदिग्ध	مشبوهة
संदिग्ध	مريب
संदिग्ध	المشبوهة
हां	نعم
हां	بلى
हां	حاضر
हां	اجل
राह	طريقة
राह	الطريق
राह	طريقه
राह	الطريقة
कंक्रीट	الاسمنت
कंक्रीट	ملموسة
कंक्रीट	الخرسانة
जिंदगी	الحياة
जिंदगी	حياة
जिंदगी	الحياه
शिया	الشيعة
शिया	الشيعية
अकेला	وحيدة
अकेला	وحيد
अकेला	وحدي
अकेला	وحده
अकेला	الانفرادي
अकेला	لوحدي
अकेला	عزباء
अकेला	وحيدا
अकेला	عازب
अकेला	انفرادي
उपनगरीय	ضاحية
वंचित	المحرومين
वंचित	حرمت
बाबर	بابور
प्रांतों	محافظات
प्रांतों	الاقاليم
प्रांतों	محافظة
प्रांतों	اقليم
प्रांतों	المحافظات
प्रांतों	المحافظة
प्रांतों	المقاطعة
प्रांतों	المقاطعات
प्रांतों	الاقليم
प्रांतों	مقاطعة
ह्रदय	قلبا
ह्रदय	قلب
ह्रदय	القلب
मॉडलिंग	نمذجة
मॉडलिंग	النمذجة
चाप	قوس
पन्ना	الزمرد
मरीजों	مرضى
मरीजों	المرضى
खुश	سعيده
खुश	هابي
खुश	يسعد
खुश	سعيد
खुश	سعيدة
दरों	معدلات
दरों	المعدلات
हंस	غوس
फायदा	مزية
फायदा	ميزة
फायदा	استحقاق
फायदा	الاستحقاق
फायदा	الميزة
फायदा	منفعة
भरोसा	الثقة
भरोसा	ثقة
क्रय	شراء
फेफड़ों	رئة
फेफड़ों	الرئة
फेफड़ों	الرئتين
झुकाव	الانحناء
झुकाव	الميل
झुकाव	الميلان
बाजारों	الاسواق
बाजारों	اسواق
लीप	القفزة
लीप	قفزة
अपहरण	خطف
अपहरण	الخطف
अपहरण	اختطاف
अपहरण	الاختطاف
धमकी	الاساءة
धमकी	مضايقة
धमकी	المضايقة
धमकी	التنمر
मेहनत	صعب
मेहनत	بجد
मेहनत	صعبة
थाईलैंड	تايلند
थाईलैंड	تايلاند
पर्याय	مرادف
बहुतायत	الوفرة
बहुतायत	وفرة
चाँदी	فضة
चाँदी	فضي
चाँदी	الفضة
चाँदी	سيلفر
चाँदी	فضية
वर्णक्रम	طيف
वर्णक्रम	الطيف
प्रायोगिक	تجريبي
प्रायोगिक	تجريبية
राक्षस	وحوش
राक्षस	وحش
राक्षस	عفريت
राक्षस	شيطان
राक्षस	الوحوش
राक्षस	الوحش
ग्रे	غراي
ग्रे	رمادي
ग्रे	جراي
ग्रे	الرمادي
ग्रे	رمادية
शाकाहारी	نباتي
शाकाहारी	النباتي
शाकाहारी	نباتية
श्वास	التنفس
श्वास	يتنفس
पोल	استطلاعات
पोल	استطلاع
पोल	الاستطلاع
गारंटी	الضمانة
गारंटी	الضمان
गारंटी	ضمان
गारंटी	مضمون
गारंटी	مضمونة
निर्भरता	الاعتماد
निर्भरता	التبعية
निर्भरता	تبعية
तंग	تانغ
तंग	ضيق
तंग	ضيقة
तंग	تانج
तंग	تضييق
प्रतिरूप	التشابه
प्रतिरूप	الشبه
चीजें	الامور
चीजें	اشياء
चीजें	امور
चीजें	الاشياء
योनि	المهبل
योनि	كس
योनि	بوسي
योनि	مهبل
कांच	الزجاج
कांच	زجاجي
कांच	زجاج
कराची	كراتشي
शस्त्र	سلاح
शस्त्र	السلاح
शस्त्र	الاسلحة
शस्त्र	اسلحة
राजू	راجو
गुलाबी	وردي
गुलाबी	وردية
गुलाबी	الوردي
इलेक्ट्रॉनिक्स	الالكترونيات
ब्राउज़र	المتصفح
ब्राउज़र	متصفح
बियर	جعة
बियर	البيرة
बियर	الجعة
बियर	بيرة
गान	النشيد
गान	نشيد
सातवीं	سابعا
सातवीं	السابعة
सातवीं	السابع
सातवीं	سابع
पुरूष	الذكر
पुरूष	ذكرا
पुरूष	الذكور
पुरूष	ذكر
पुरूष	ذكور
सिंधु	السند
लाइट	نور
लाइट	فاتح
लाइट	خفيف
लाइट	ضوء
लाइट	الخفيفة
लाइट	النور
अभिव्यक्त	اعرب
मेहरा	مهرا
महा	مها
महा	ماها
ऑस्कर	اوسكار
ऑस्कर	الاوسكار
बाएँ	يسار
बाएँ	اليسار
इंजनों	القاطرات
स्टीफन	ستيفين
स्टीफन	ستيفن
ब्लूज़	البلوز
रूपांतरित	تحويل
रूपांतरित	المحولة
रूपांतरित	تحول
कांस्य	البرونز
दिलचस्पी	مهتم
दिलचस्पी	مهتما
दिलचस्पी	مهتمة
दिलचस्पी	المهتمة
वृत्ति	المهنة
वृत्ति	مهنة
महिलाएँ	النساء
महिलाएँ	اناث
महिलाएँ	السيدات
महिलाएँ	سيداتي
महिलाएँ	سيدات
महिलाएँ	نساء
महिलाएँ	الاناث
महिलाएँ	المراة
व्यंजनों	الوصفات
व्यंजनों	وصفات
आचार	اخلاقيات
आचार	اخلاق
आचार	الاخلاق
मापदंड	المعايير
मापदंड	معايير
काच	الزجاج
काच	زجاجي
काच	زجاج
युवाओं	الشباب
युवाओं	شب
ट्रेड	الحرف
मलय	الملايو
मलय	ماليزيا
मलय	الملاوية
मलय	الماليزية
सीमेंट	الاسمنت
डिज़्नी	ديزني
गोलाकार	الجولة
गोलाकार	دائري
गोलाकार	تعميم
गोलाकार	مستديرة
गोलाकार	كروية
गोलाकार	التعميم
सिकंदर	الكساندر
सिकंदर	الكسندر
सिकंदर	الاسكندر
सिकंदर	اليكساندر
टोक्यो	طوكيو
भाग्य	القدر
भाग्य	الحظ
भाग्य	حظ
भाग्य	قدر
भाग्य	المصير
भाग्य	مصير
भाग्य	ثروة
बैल	الثور
सावधानी	الحذر
मारिया	ماريا
स्वीकार्य	سوات
दिनांक	موعد
दिनांक	الموعد
दिनांक	تاريخ
दिनांक	التاريخ
योगी	يوغي
गुट	فصيل
गुट	زمرة
प्रतिस्थापन	استبدال
प्रतिस्थापन	بديل
प्रतिस्थापन	البديل
प्रतिस्थापन	احلال
प्रतिस्थापन	بدائل
प्रतिस्थापन	البدائل
प्रतिस्थापन	الاستبدال
रोज़	اليومية
रोज़	يومية
रोज़	الوردة
रोज़	وردة
रोज़	يوميا
रोज़	روز
रोज़	اليومي
आर्मी	الجيش
आर्मी	جيش
ब्लेक	بلايك
ब्लेक	بليك
ब्लेक	البلوز
गर्भवती	حامل
गर्भवती	حبلى
गर्भवती	الحوامل
गंभीरता	شدة
गंभीरता	الجدية
सोशल	اجتماعية
सोशल	الاجتماعية
सोशल	اجتماعي
सोशल	الاجتماعي
खरीदा	اشترى
खरीदा	اشتريت
विवादों	منازعات
विवादों	نزاعات
विवादों	المنازعات
विवादों	النزاعات
लीड्स	ليدز
सिगरेट	سجائر
सिगरेट	السجائر
सिगरेट	سيجارة
सिगरेट	السيجارة
मुद्रण	طباعة
मुद्रण	الطباعة
सूट	البدل
सूट	البدلة
सूट	البدلات
सूट	بدلات
सूट	بذلة
सूट	حلة
सूट	بدلة
हिंद	هند
शान	شان
प्रविष्ट	يدرج
प्रविष्ट	تدرج
प्रविष्ट	ادراج
प्रविष्ट	ادرج
वुड्स	غابات
वुड्स	الغابات
बर्फ़	سنو
बर्फ़	جليد
बर्फ़	الثلج
बर्फ़	الجليد
बर्फ़	ثلج
मरुस्थल	الصحراء
मरुस्थल	صحراء
विवादित	الخلافية
बताई	اخبرت
बिल्डिंग	البناية
बिल्डिंग	البناء
बिल्डिंग	بناء
बिल्डिंग	مبنى
बिल्डिंग	المبنى
क्रमिक	تدريجي
क्रमिक	تدريجية
क्रमिक	التدريجي
अल्पसंख्यक	الاقليات
अल्पसंख्यक	اقليات
अल्पसंख्यक	اقلية
अल्पसंख्यक	الاقلية
बर्मी	البورميين
बर्मी	بورما
ट्रक	الشاحنات
ट्रक	شاحنة
ट्रक	الشاحنة
ट्रक	شاحنات
डीन	العميد
डीन	دين
डीन	عميد
कब्र	القبر
कब्र	قبر
फर्श	ارضية
फर्श	الارضية
फर्श	طابق
फर्श	الطابق
पैकेज	طرد
पैकेज	الطرد
पैकेज	حزمة
पैकेज	حزم
पैकेज	الحزمة
पैकेज	رزمة
पैकेज	الحزم
प्रतियोगी	المتسابقين
प्रतियोगी	المتسابق
मोती	اللؤلؤة
मोती	بيرل
मोती	اللؤلؤ
यूरो	اليورو
यूरो	باليورو
यूरो	يورو
लिटिल	قليل
लिटिल	الصغير
लिटिल	القليل
तम्बाकू	تبغ
तम्बाकू	التبغ
परिपक्व	ناضجة
परिपक्व	ناضج
उष्ण	الاستوائية
हरित	خضر
हरित	الاخضر
हरित	خضراء
हरित	اخضر
लेडी	السيدة
लेडी	سيدة
दया	اللطف
दया	الشفقة
दया	الرحمة
दया	ميرسي
दया	مرسي
दया	رحمة
दया	الطيبة
दया	شفقة
टेक्स्ट	النص
टेक्स्ट	نصوص
टेक्स्ट	نص
कांगो	الكونغو
इरादा	النية
इरादा	نية
आशीर्वाद	نعمة
आशीर्वाद	برك
आशीर्वाद	النعم
आशीर्वाद	بركات
अवतरण	الانزال
ओजोन	الاوزون
ग्रिड	شبكة
ग्रिड	الشبكة
सुप्रीम	العليا
अनन्त	الابدي
अनन्त	ابدي
मॉल	مولات
मॉल	مول
यूनेस्को	اليونسكو
सामरिक	استراتيجي
सामरिक	الاستراتيجي
लास	لاس
त्रिपुरा	تريبورا
आस्ट्रिया	النمسا
आस्ट्रिया	نمساوية
आस्ट्रिया	نمساوي
आस्ट्रिया	النمساوية
आस्ट्रिया	النمساوي
रिपब्लिकन	جمهوري
बगैर	بدون
सपना	حلم
सपना	احلم
सपना	نحلم
सपना	الحلم
वेन	واين
वेन	وين
उत्तराधिकार	ارث
उत्तराधिकार	ميراث
उत्तराधिकार	خلافة
उत्तराधिकार	الميراث
उत्तराधिकार	الوراثة
उत्तराधिकार	الارث
उत्तराधिकार	الخلافة
कारावास	سجن
कारावास	السجن
आयुक्त	المفوضة
आयुक्त	مفوضة
आयुक्त	مفوض
आयुक्त	المفوض
उत्तरदायित्व	مسؤولية
उत्तरदायित्व	المساءلة
उत्तरदायित्व	المسؤولية
उत्तरदायित्व	مساءلة
विद्रोही	المتمرد
विद्रोही	المتمردين
विद्रोही	متمردة
विद्रोही	متمرد
बैठा	جلس
बैठा	قاعد
बैठा	جالسة
बैठा	جلست
बैठा	جالس
बैठा	الجلوس
परमेश्वर	اللهم
परमेश्वर	الله
स्टर्लिंग	ستيرلينغ
फीफा	فيفا
इंजेक्शन	الحقن
इंजेक्शन	حقن
इंजेक्शन	الحقنة
दूतावास	سفارة
दूतावास	السفارة
चुनी	منتخب
चुनी	انتخب
चुनी	المنتخب
चुनी	المختار
चुनी	مختار
प्राइवेट	الخاصة
प्राइवेट	الخاص
प्राइवेट	خاص
प्राइवेट	خاصة
चित्रकारी	الرسم
चित्रकारी	لوحة
चित्रकारी	اللوحة
बेसबॉल	البيسبول
बेसबॉल	بيسبول
निकटवर्ती	بالجوار
निकटवर्ती	قريب
निकटवर्ती	مجاور
निकटवर्ती	بالقرب
उदर	بطن
उदर	البطن
झीलों	البحيرات
लय	ايقاعات
लय	ايقاع
लय	الايقاع
फायर	حريق
फायर	نار
फायर	النار
हैमिल्टन	هاملتون
हैमिल्टन	هاميلتون
ऑर्डर	ترتيب
ऑर्डर	الاوامر
ऑर्डर	النظام
ऑर्डर	اوامر
ऑर्डर	طلب
ऑर्डर	الطلبات
ऑर्डर	طلبات
ऑर्डर	الطلب
ऑर्डर	امر
किलोग्राम	كيلوجرام
किलोग्राम	كيلوغرام
स्त्रोत	المصادر
स्त्रोत	مصادر
स्त्रोत	مصدر
स्त्रोत	المصدر
टेप	شريط
टेप	الشريط
भूविज्ञान	الجيولوجيا
खैर	حسنا
वाइरस	فيرس
वाइरस	الفيروس
वाइरस	فيروسات
वाइरस	فيروس
वाइरस	الفيروسات
रबर	مطاطية
रबर	المطاط
सिग्नल	اشارات
सिग्नल	اشارة
सिग्नल	الاشارات
सिग्नल	الاشارة
गाथा	ساجا
सूक्ष्मदर्शी	المجهر
सुंदरता	جمال
सुंदरता	الجمال
यहूदियों	يهود
यहूदियों	اليهود
फाइल	ملف
फाइल	الملف
निकोलस	نيكولاس
आठवीं	الثامنة
आठवीं	ثامنا
आठवीं	الثامن
मूर्तियाँ	التماثيل
मूर्तियाँ	تماثيل
मिसाइल	القذائف
मिसाइल	قذائف
मिसाइल	صواريخ
मिसाइल	صاروخ
मिसाइल	الصاروخ
मिसाइल	القذيفة
मिसाइल	قذيفة
मिसाइल	الصواريخ
अर्थशास्त्री	اقتصادي
उद्यमी	مقاول
जोड़ों	الازواج
जोड़ों	ازواج
परिपूर्ण	مثالي
परिपूर्ण	مثالية
परिपूर्ण	ممتاز
परिपूर्ण	الكمال
सन्त	سانت
कवरेज	الشمول
कवरेज	تغطية
कवरेज	التغطية
उपग्रहों	الساتل
उपग्रहों	ساتل
उपग्रहों	السواتل
नम	رطب
नम	رطبة
परमात्मा	الالهي
परमात्मा	الالهية
वाक्यांश	سلسلة
वाक्यांश	خيط
वाक्यांश	العبارات
वाक्यांश	عبارات
वाक्यांश	السلسلة
मकबरा	القبر
मकबरा	نصب
मकबरा	الضريح
मकबरा	قبر
मकबरा	ضريح
मकबरा	مقبرة
मकबरा	المقبرة
मकबरा	النصب
विशेषण	صفة
विशेषण	الصفة
शशि	شاشي
सराहना	التقدير
सराहना	يقدر
सराहना	نقدر
सराहना	اقدر
सराहना	قدرت
सराहना	تقدر
मार्केट	سوق
मार्केट	السوق
मंगलवार	الثلاثاء
किताबें	الكتب
किताबें	كتب
हिटलर	هتلر
सीख	التعلم
सीख	تعلم
सीख	تتعلم
सीख	تعلموا
सीख	يتعلم
कैबिनेट	الوزارة
वैन	الشاحنات
वैन	فان
वैन	شاحنات
वैन	الفان
विस्फोटक	المتفجرة
विस्फोटक	الانفجار
विस्फोटक	متفجر
विस्फोटक	المتفجرات
विस्फोटक	انفجار
विस्फोटक	متفجرة
विस्फोटक	متفجرات
वृत्तचित्र	الوثائقي
वृत्तचित्र	وثائقي
आपातकालीन	طوارئ
आपातकालीन	الطوارئ
सनातन	الابدي
सनातन	ابدي
तुर्क	الترك
तुर्क	تورك
तुर्क	تركيا
संकर	المختلطة
संकर	الهجين
संकर	هجين
प्रो	الاستاذ
प्रो	مؤيد
प्रो	محترف
प्रो	برو
बोस्टन	بوسطن
स्तन	ثدي
स्तन	صدور
स्तन	صدر
स्तन	الثدي
स्तन	الصدر
स्तन	الصدور
लिखकर	الكتابه
लिखकर	الكتابة
लिखकर	كتابة
लिखकर	اكتب
पेपर	الورق
पेपर	ورقة
पेपर	ورق
पेपर	الورقة
सल्तनत	السلطنة
सल्तनत	سلطنة
वाटर	مياه
वाटर	الماء
वाटर	ماء
वाटर	المياه
सूरी	سوري
प्रथाओं	اتفاقيات
प्रथाओं	الاتفاقيات
नाईट	فارس
नाईट	الفارس
रॉ	الخام
रॉ	خام
रॉ	نيئة
औरत	امراة
औरत	المراة
यश	ياش
चाँद	قمر
चाँद	القمر
निकासी	الترخيص
निकासी	اخلاء
निकासी	اجلاء
भूटान	بوتان
जॉनसन	جونسون
जॉनसन	جونسن
त्रिकोण	مثلثات
त्रिकोण	مثلث
त्रिकोण	المثلث
साइबेरिया	سيبيريا
हिंदुओं	الهندوس
सारांश	موجز
सारांश	الموجز
सारांश	ملخص
सारांश	الملخص
नियामक	المنظم
संवेदनशीलता	حساسية
संवेदनशीलता	الحساسية
सुगंधित	معطر
एहसास	ادركت
एहसास	ادرك
दूरस्थ	البعيد
दूरस्थ	بعيد
करेगी	راح
करेगी	سوف
करेगी	ويل
अपराधों	جرائم
अपराधों	الجريمة
अपराधों	جريمة
अपराधों	الجرائم
लौकिक	الكونية
शिक्षकों	الاساتذة
शिक्षकों	معلمين
शिक्षकों	المعلمين
शिक्षकों	المدرسون
शिक्षकों	المعلمون
मेजबान	المضيف
मेजबान	مضيف
मेजबान	المضيفة
संतुष्ट	راضي
संतुष्ट	راض
संतुष्ट	راضية
संतुष्ट	رضيت
दूरबीन	منظار
बालू	ساند
बालू	الرمل
बालू	الرمال
बालू	رمل
बालू	رمال
चार्ज	مشحونة
चार्ज	تهمة
चार्ज	التهمة
इक्विटी	انصاف
इक्विटी	الانصاف
लोड	حمولة
लोड	حمل
लोड	تحميل
लोड	التحميل
मणि	ماني
उद्धरण	اقتباسات
उद्धरण	اقتباس
उद्धरण	اقتبس
उद्धरण	الاقتباس
मार्क्सवादी	ماركسي
मार्क्सवादी	الماركسية
नकली	زائف
नकली	مزيف
नकली	مزيفة
नकली	وهمية
पूर्वानुमान	توقع
पूर्वानुमान	التنبؤات
पूर्वानुमान	التنبؤ
पूर्वानुमान	التوقعات
पूर्वानुमान	تنبؤات
पूर्वानुमान	توقعات
पूर्वानुमान	التوقع
समझे	تفهم
समझे	فهم
समझे	فاهم
समझे	افهم
वक्ता	متكلم
वक्ता	المتحدث
वक्ता	متحدث
वक्ता	المتكلم
स्वयंसेवक	المتطوعين
स्वयंसेवक	التطوع
स्वयंसेवक	متطوع
स्वयंसेवक	متطوعو
स्वयंसेवक	متطوعين
स्वयंसेवक	متطوعي
स्वयंसेवक	المتطوعون
स्वयंसेवक	تطوع
ईंट	الماس
ईंट	طوب
ईंट	الالماس
ईंट	بريك
दस्तावेज़	الوثيقة
दस्तावेज़	المستند
दस्तावेज़	الوثائق
दस्तावेज़	المستندات
दस्तावेज़	وثائق
दस्तावेज़	وثيقة
दस्तावेज़	مستندات
दस्तावेज़	مستند
परिश्रम	الحرص
परिश्रम	الاجتهاد
ड्रैगन	التنين
ड्रैगन	تنين
रोजर	روجر
स्कैन	المسح
स्कैन	مسح
हान	هان
पेट्रोल	البنزين
पेट्रोल	بنزين
इंटरफेस	مترجم
इंटरफेस	التدخل
इंटरफेस	واجهة
इंटरफेस	الواجهة
इंटरफेस	المترجم
नायिका	بطل
नायिका	البطل
नायिका	بطلة
नायिका	البطلة
फॉक्स	فوكس
फॉक्स	ثعلب
फॉक्स	الثعلب
हड़ताल	اضراب
हड़ताल	الاضراب
हड़ताल	الضربة
यमन	اليمن
स्टैनफोर्ड	ستانفورد
चार्ली	شارلي
चार्ली	تشارلى
चार्ली	تشارلي
पेशी	العضلات
पेशी	عضلة
पेशी	عضلات
पेशी	العضلة
मीरा	ميرا
स्टोरी	قصة
स्टोरी	قصه
स्टोरी	القصة
स्टोरी	حكاية
स्टोरी	ستوري
सिपाही	الجندى
सिपाही	الجندي
सिपाही	جندي
कमांडर	القائد
कमांडर	قائد
फ्लैश	وميض
फ्लैश	الوميض
फ्लैश	تطفو
फ्लैश	فلاش
निरन्तर	مستمر
निरन्तर	متواصل
निरन्तर	متواصلة
निरन्तर	مستمرة
संग	سانغ
संग	سانج
जिमी	جيمي
जिमी	جيمى
मुलायम	الناعمة
मुलायम	ناعم
मुलायम	ناعمة
मुलायम	لينة
दही	اللبن
दही	لبن
दही	الزبادي
अमीरात	الامارة
अमीरात	امارة
अमीरात	الامارات
एंटी	مناهضة
सहयोगियों	الزملاء
सहयोगियों	زملاء
महिमा	المجد
महिमा	مجد
शेक्सपियर	شكسبير
शेक्सपियर	شيكسبير
दर्शाती	المعارض
दर्शाती	معارض
मिथुन	الجوزاء
रूट	طرق
रूट	دروب
रूट	روت
रूट	جذر
रूट	الجذر
रूट	جذور
फिलिप्स	فيليبس
समझाने	فسر
समझाने	اشرح
समझाने	شرح
सार्वभौमिक	عالمية
सार्वभौमिक	العالمية
डाक्टर	دكتور
डाक्टर	طبيب
डाक्टर	الطبيب
डाक्टर	الدكتور
डाक्टर	دكتورة
व्यर्थ	عبثا
महाद्वीपीय	القارئ
महाद्वीपीय	القاري
इस्तीफा	الاستقالة
इस्तीफा	استقالة
गिरा	السقوط
गिरा	سقوط
गिरा	اسقط
गिरा	الخريف
ध्येय	اسباب
ध्येय	الاسباب
ध्येय	سبب
ध्येय	السبب
ध्येय	هدف
ध्येय	المرمى
ध्येय	الهدف
ताइवान	تايبيه
ताइवान	تايوان
पल	لحظات
पल	اللحظة
पल	اللحظات
डाले	دايلي
उच्चतर	الاعلى
उच्चतर	اعلى
अभिनेताओं	الفعاليات
अभिनेताओं	الممثلون
अभिनेताओं	فعاليات
अभिनेताओं	ممثلون
अत्याचार	فظائع
अत्याचार	الفظائع
बहाव	تنجرف
बहाव	الانجراف
दाँत	سن
दाँत	السن
इंकार	ارفض
गोपनीयता	الخصوصية
गोपनीयता	السرية
गोपनीयता	خصوصية
वार्ड	وارد
वार्ड	ورد
वार्ड	عنبر
क्लार्क	كلارك
मास्को	موسكو
रकम	المبالغ
रकम	مبالغ
चूना	الجيري
आपत्ति	الاعتراضات
आपत्ति	الاعتراض
आपत्ति	اعتراضات
आपत्ति	اعتراض
विपक्ष	المعارضة
विपक्ष	المعارضون
विपक्ष	معارضة
दीवान	ديوان
डब	داب
मतदाता	الناخبين
मतदाता	مصوت
मतदाता	الناخبون
मतदाता	المصوتين
प्रवर्तक	المروج
प्रवर्तक	مروج
सूखी	الجافة
सूखी	جافة
सूखी	جاف
चेहरा	وجه
चेहरा	الوجه
चेहरा	واجه
भूकम्प	الزلزال
भूकम्प	زلزال
प्रधानता	اولويات
प्रधानता	الاولوية
जला	الحرق
जला	بحرق
जला	احرق
जला	حرق
शिष्यों	تلاميذ
पूर्वजों	الاجداد
वाल्व	صمام
वाल्व	الصمام
भाषाई	لغويا
भाषाई	لغوية
भाषाई	لغوي
धोखा	الغش
धोखा	يغش
धोखा	غش
दाता	المانح
दाता	المتبرع
दाता	متبرع
दाता	المعطي
दाता	المانحة
किंग्स	الملوك
किंग्स	ملوك
नेटवर्किंग	للتواصل
नेटवर्किंग	التواصل
हटाना	الحذف
हटाना	ازالة
अर्जेंटीना	الارجنتين
परिप्रेक्ष्य	منظور
परिप्रेक्ष्य	المنظور
इंसान	الانسان
इंसान	انسان
इंसान	بشري
इंसान	بشرية
सूडान	السودان
अलगाव	عزلة
अलगाव	العزلة
अलगाव	العزل
स्पर्धा	المتنافسة
वादा	دك
वादा	عدني
वादा	الوعد
वादा	وعد
चालीस	اربعون
चालीस	اربعين
चालीस	الاربعين
उपवास	الصيام
अप्रत्यक्ष	ضمنا
अप्रत्यक्ष	ضمني
अप्रत्यक्ष	الضمنية
अप्रत्यक्ष	ضمنيا
अप्रत्यक्ष	ضمنية
मंत्रियों	الوزراء
मंत्रियों	وزراء
सौदा	الاتفاق
सौदा	صفقة
सौदा	اتفاق
सौदा	الصفقة
सौदा	التعامل
सुनवाई	السمع
सुनवाई	سماع
विजेताओं	الفائزون
विजेताओं	الفائزين
बुधवार	الاربعاء
पीस	طحن
पीस	القطعة
पीस	قطعة
प्रतियां	نسخ
प्रतियां	النسخ
कार्यकर्ताओं	عمال
कार्यकर्ताओं	العمال
कार्यकर्ताओं	الناشطين
कार्यकर्ताओं	العاملون
कार्यकर्ताओं	النشطاء
कार्यकर्ताओं	نشطاء
सीमाएँ	حدود
सीमाएँ	الحدود
सीमाएँ	النطاقات
सीमाएँ	نطاقات
समाजों	الجمعيات
समाजों	مجتمعات
समाजों	المجتمعات
इथियोपिया	اثيوبيا
मालिकों	مالكو
मालिकों	المروجين
स्थानिक	المكاني
अधिकांशतः	غالبا
हीरा	الماس
हीरा	الماسة
हीरा	ماسة
हीरा	دايموند
किनारों	الحواف
डॉट	دوت
डॉट	نقطة
संध्या	الغسق
संध्या	مساء
संध्या	حواء
संध्या	عشية
संध्या	المساء
संध्या	ايف
मिशेल	ميتشيل
मिशेल	ميشيل
मिशेल	ميتشل
मोटा	دهن
मोटा	السمين
मोटा	سميك
मोटा	بدين
मोटा	سميكة
मोटा	الدهون
मोटा	سمين
अंकन	الوسم
वरदान	نعمة
सलमान	سلمان
दुख	البؤس
आर्यों	اريان
फ्रेडरिक	فريدريك
प्लग	سدادة
मानद	فخري
नमी	الرطوبة
संग्रहण	المخزن
संग्रहण	المجموعة
संग्रहण	التشكيلات
संग्रहण	المجموعات
संग्रहण	التخزين
संग्रहण	تحصيل
संग्रहण	مجموعات
संग्रहण	جمع
संग्रहण	التحصيل
संग्रहण	تخزين
संग्रहण	مخزن
संग्रहण	مجموعة
राष्ट्रवाद	القومية
राष्ट्रवाद	قومية
समर्पण	تكريس
काबुल	كابل
काबुल	كابول
फिलहाल	حاليا
आलोचनात्मक	حرج
आलोचनात्मक	الحرجة
आलोचनात्मक	حرجة
