மற்றும்	и
வாரிசுகள்	наследник
மரியானா	мариана
ஜெஃப்ரி	джеффри
ஜெஃப்ரி	джефри
லூசியா	люсии
லூசியா	люсия
சாட்சிகள்	свидетелям
சாட்சிகள்	свидетели
சாட்சிகள்	свидетелей
விறகு	дрова
கடன்களை	долги
கேட்ஸ்	коты
கேட்ஸ்	кошки
கேட்ஸ்	кошек
கேட்ஸ்	гейтс
கேட்ஸ்	ворота
மைக்கலாஞ்சலோ	микеланджело
மகளின்	дочка
மகளின்	дочь
வளைவுகள்	кривые
டட்லி	дадли
கடி	укусить
கடி	укус
ஸ்கேன்	сканирование
கற்பிக்க	научить
கற்பிக்க	учить
கற்பிக்க	преподавать
சஹாரா	сахара
சஹாரா	сахары
சஹாரா	сахаре
நேட்டோ	нато
மெஸ்ஸி	месси
கிராபிக்ஸ்	графики
கிராபிக்ஸ்	графика
டாங்	тан
டாங்	данг
உனது	ваша
உனது	твой
உனது	твоя
உனது	ваше
உனது	ваш
உனது	ваши
வெளிப்படுத்தல்	раскрытия
வெளிப்படுத்தல்	раскрытие
நெருக்கம்	сжатия
உண்பது	ем
ஜொனாதன்	джонатан
அனுபவித்து	наслаждается
ஈர	мокрые
ஈர	мокрый
ஈர	мокрая
அனுப்புதல்	отправка
இரகசியம்	секрет
இரகசியம்	секретная
இரகசியம்	тайна
இரகசியம்	секретный
இரகசியம்	конфиденциальной
இரகசியம்	конфиденциально
உண்ணாவிரதம்	поста
தட்பவெப்பநிலை	климата
தட்பவெப்பநிலை	климат
எரித்திரியா	эритрея
எரித்திரியா	эритрее
எரித்திரியா	эритреи
ரோட்ஸ்	роудс
நாக்	пилить
நாக்	стук
நாக்	стучать
எலக்ட்ரானிக்	электронный
எலக்ட்ரானிக்	электронная
எலக்ட்ரானிக்	электронные
எலக்ட்ரானிக்	электронное
சூடி	джуди
வதந்திகள்	слухи
கற்றாழை	алоэ
வாக்குறுதி	обещаю
வாக்குறுதி	обещание
விசாரணைகள்	запросы
விசாரணைகள்	расследований
விசாரணைகள்	расследования
விசாரணைகள்	справки
விசாரணைகள்	расследование
மேட்ரிக்ஸ்	матрица
மேட்ரிக்ஸ்	матрицу
மேட்ரிக்ஸ்	матрицы
அறநெறி	морали
அறநெறி	мораль
முன்னோட்டம்	обзор
சாவி	ключ
சாவி	ключевых
பிடிக்கவில்லை	неприязнь
சிறுவயது	детства
சிறுவயது	детство
உருகி	предохранитель
நினைவிடம்	мемориал
நாண்	аккорд
ஜோஷ்	джоша
ஜோஷ்	джош
தினந்தோறும்	ежедневно
தினந்தோறும்	ежедневный
தினந்தோறும்	ежедневная
கல்லூரியை	колледж
கல்லூரியை	коллегия
பரிந்துரைக்க	рекомендовать
பரிந்துரைக்க	предложить
பரிந்துரைக்க	предлагать
பரிந்துரைக்க	предложите
முல்லர்	мюллер
தீர்மானங்கள்	резолюции
தீர்மானங்கள்	решения
குற்றங்களை	преступления
குற்றங்களை	правонарушения
டைட்டன்	титан
பிராண்ட்	бренда
பிராண்ட்	бренд
இலவங்கப்பட்டை	корицы
நொடி	сек
தட்டுகள்	тарелки
தட்டுகள்	пластины
சீரம்	сыворотка
இசைக்கலைஞர்கள்	музыкантов
இசைக்கலைஞர்கள்	музыканты
விட்டாலும்	хотя
பெர்னான்டோ	фернандо
பிக்சல்	пиксель
பிக்சல்	элемент
உக்கிர	интенсивности
உக்கிர	интенсивность
மனைவிகள்	жёны
மனைவிகள்	жены
மனைவிகள்	жён
மனைவிகள்	жен
மூழ்கியது	затопило
சாயல்	тень
சாயல்	тени
சாயல்	оттенок
சாயல்	затенение
பெர்லினில்	выдержки
ஜெரோம்	джером
தாரிக்	тарик
தனிமை	одинок
தனிமை	одиночество
தனிமை	одиноко
தனிமை	одинокая
தனிமை	одинокий
பூசன்	пусане
பாசுபேட்டு	фосфат
டக்கர்	такер
பெராக்சைடு	пероксида
வெயிலில்	расслабиться
போலியான	фальшивка
போலியான	фальшивые
போலியான	фальшивый
போலியான	подделка
வீடியோவில்	видео
முனைப்பு	инициатива
அடித்துக்	поражает
வெள்ளத்தில்	становясь
வெள்ளத்தில்	став
சந்திப்புகள்	совещания
சந்திப்புகள்	встречи
சந்திப்புகள்	заседания
சந்திப்புகள்	собрания
சந்திப்புகள்	назначения
கரோல்	кэрол
கரோல்	кароль
தோரியம்	тория
தருக்க	логическое
தருக்க	логично
பைலட்	экспериментальных
பைலட்	пилот
நிரப்பும்	заполнение
நிரப்பும்	наполнения
நகங்கள்	гвозди
நகங்கள்	ногти
சோனகர்	мавров
ஒட்டகம்	верблюда
விந்தை	детка
கட்டில்	кровать
கட்டில்	кровати
கட்டில்	постель
ரான்	рона
ரான்	рон
மன்	манн
விக்கிமேனியா	викимании
பிரித்தானிக்கா	британника
மர்மமான	загадочная
மர்மமான	таинственный
மர்மமான	загадочный
ஜில்	джилл
ஜில்	джил
நிலவுகள்	спутники
நிலவுகள்	луны
நிலவுகள்	лун
ஆதரவாளர்	сторонников
ஆதரவாளர்	поддерживающие
ஆதரவாளர்	сторонник
ஆதரவாளர்	сторонники
அசிசி	ассизи
ஸ்பா	спа
ஜெரார்ட்	джеррард
பூக்களை	цветы
பூக்களை	цветочки
கைதி	заключенных
கைதி	тюрьме
கைதி	заключенные
கைதி	заключённый
கைதி	заключенный
கைதி	тюрьма
நிமிடத்திற்கு	минута
நிமிடத்திற்கு	минуту
நேபாளி	непальский
உலகங்கள்	миров
உலகங்கள்	миры
முறைகேடு	надругательство
முறைகேடு	злоупотребления
முறைகேடு	злоупотребление
பவுண்ட்	фунт
மரடோனா	марадона
நாடகாசிரியர்	драматург
இணக்கமான	совместимо
இணக்கமான	совместима
இணக்கமான	совместимость
இணக்கமான	совместимы
இணக்கமான	совместим
ஸ்மார்ட்	умная
ஸ்மார்ட்	смарт
ஸ்மார்ட்	умные
ஸ்மார்ட்	умный
கொடு	дайте
கொடு	отдать
கொடு	дать
கொடு	дай
கானல்	мираж
கோனார்	конор
கலந்தாய்வு	консультирование
கலந்தாய்வு	консультация
நீராற்பகுப்பு	гидролиз
மாலுமி	моряк
சுங்க	таможня
அதிருப்தி	неудовлетворительным
அதிருப்தி	неудовлетворительными
அதிருப்தி	недоволен
ஓட்டும்	вождение
ஓட்டும்	вождения
சன்ஸ்	солнц
ரியாத்	рияде
கார்ப்பரேட்	корпоративный
கார்ப்பரேட்	корпоративное
கார்ப்பரேட்	корпоративной
கார்ப்பரேட்	корпоративные
இடுப்பில்	имея
அடுத்தது	следующая
அடுத்தது	следующий
அடுத்தது	далее
விஞ்சிய	трансцендентальной
தியாகிகள்	мученик
நோயியல்	патологии
முழங்கால்	колена
முழங்கால்	колено
ஏரோது	ирод
உதவிகரமாக	полезные
உதவிகரமாக	полезное
உதவிகரமாக	полезно
உதவிகரமாக	полезный
டிரினிடாட்	тринидад
ஹெர்பர்ட்	герберт
சல்மா	сальма
கேரியர்	носитель
கேரியர்	перевозчик
கேரியர்	перевозчика
பேசவும்	говори
பேசவும்	разговор
பேசவும்	говорите
பேசவும்	говорить
பேசவும்	поговорить
பேசவும்	разговоры
கினபாலு	кинабалу
தொட்டிகள்	кастрюли
உறைந்த	замороженные
உறைந்த	заморожены
பருவமழை	муссон
நிறைவேறியது	выполнено
நிறைவேறியது	выполнены
சில்லை	амадина
கால்களும்	ступни
கால்களும்	ноги
கால்களும்	стопы
சால்	сэл
பறிமுதல்	конфисковали
சும்மா	просто
சும்மா	только
இஸ்தான்புல்	стамбул
இஸ்தான்புல்	стамбуле
காசிம்	касим
செலுத்தல்	лента
செலுத்தல்	корма
செலுத்தல்	ленту
செலுத்தல்	ленте
உதவித்தொகை	стипендии
உதவித்தொகை	стипендию
உதவித்தொகை	стипендия
வெலிங்டன்	веллингтон
பென்ஸ்	пенсов
ஹெல்த்	здоровья
ஹெல்த்	здравоохранения
ஹெல்த்	здравоохранение
ஹெல்த்	здоровье
நத்தை	улитка
பாவ்	лапу
சட்டவிரோதமாக	незаконной
சட்டவிரோதமாக	незаконные
சட்டவிரோதமாக	незаконный
சட்டவிரோதமாக	нелегально
சட்டவிரோதமாக	незаконная
சட்டவிரோதமாக	незаконно
சட்டவிரோதமாக	незаконное
பேசுபவர்கள்	диктора
அலசி	опишите
அலசி	описать
வெளியிடப்படவில்லை	неопубликованные
மோதிரம்	кольца
மோதிரம்	кольцо
மோதிரம்	ринг
நிறைவுற்றது	завершил
நிறைவுற்றது	завершена
நிறைவுற்றது	закончили
நிறைவுற்றது	завершен
நிறைவுற்றது	завершено
நிறைவுற்றது	закончил
குண்டுவெடிப்பு	взрыв
குண்டுவெடிப்பு	бомбардировки
புகார்கள்	жалобы
சீருடை	униформа
சீருடை	форму
சீருடை	форма
பதப்படுத்தப்பட்ட	обработки
பதப்படுத்தப்பட்ட	обработанных
பிளேட்டோ	платон
ஒரியா	ория
தன்னியக்க	автоматического
தன்னியக்க	автоматический
தன்னியக்க	автоматическое
தன்னியக்க	автоматическая
தன்னியக்க	автоматически
தன்னியக்க	автоматические
ஆர்ப்பாட்டம்	демонстрацию
ஆர்ப்பாட்டம்	демонстрации
ஆர்ப்பாட்டம்	демонстрация
லாம்	лам
கிருமிகள்	микробы
நீட்டி	внутр
கடந்தது	прошлом
கடந்தது	прошедшее
கடந்தது	прошлые
கடந்தது	прошлое
ஹெய்டி	гаити
பதிமூன்று	тринадцать
ஸ்பென்சர்	спенсер
அப்பு	всу
மெட்டா	мета
பார்க்கிறார்	просмотр
பார்க்கிறார்	просмотра
எதிர்ப்புகள்	протесты
தூக்கமின்மை	бессонница
ஒளிர்வு	яркость
ஆலிவ்	оливковое
ஆலிவ்	олив
செருமேனியம்	германий
பொதுவானவை	общие
பொதுவானவை	генерал
அட்கின்சன்	аткинсон
இசுட்ரோன்சியம்	стронция
அகரவரிசை	алфавитный
அகரவரிசை	алфавит
காரல்	карл
இனிமையான	сладкая
இனிமையான	сладкие
இனிமையான	сладкий
கதி	кэти
கதி	кейти
ஓப்	оп
மலர்களை	цветы
மலர்களை	цветочки
வேட்டையாடி	охотник
வேட்டையாடி	хантер
நினைவாற்றல்	воспоминание
நினைவாற்றல்	памяти
நினைவாற்றல்	память
அபூ	абу
பாங்காக்	бангкок
பாங்காக்	бангкоке
புளூட்டோ	плутон
புடவை	сари
பைகள்	мешки
பைகள்	пакеты
பைகள்	сумки
காண்பிக்கிறது	отображение
காண்பிக்கிறது	отображается
வைக்கிங்	викинги
வைக்கிங்	викинг
டயானா	диана
ஹீலியம்	гелий
எண்பது	восемьдесят
உணர்கிறேன்	чувствую
உணர்கிறேன்	ощущение
உணர்கிறேன்	чувство
உணர்கிறேன்	чувствовать
உணர்கிறேன்	ощущения
அரைத்து	смешивание
நீரூற்று	фонтан
சூரியகாந்தி	подсолнечника
மறைக்கப்பட்ட	скрытая
மறைக்கப்பட்ட	скрытые
மறைக்கப்பட்ட	скрытый
மறைக்கப்பட்ட	скрыто
மறைக்கப்பட்ட	скрыты
மாடியில்	пол
மாடியில்	этаж
பிராட்வே	бродвей
எர்வின்	эрвин
ஆண்டிமனி	сурьмы
கார்ல்சன்	карлсон
உறுதிப்பாடு	подтверждение
கேத்தரின்	кэтрин
கேத்தரின்	екатерина
கேத்தரின்	катерина
கேத்தரின்	катрин
சந்து	пробелы
பேப்பர்	бумаги
பேப்பர்	бумага
அரிஸ்டாட்டில்	аристотель
தாலிபான்	талибана
தாலிபான்	талибан
மன்னிக்கவும்	прости
மன்னிக்கவும்	извините
கிழவன்	периферического
அதிசயங்கள்	чудес
அதிசயங்கள்	чудеса
கார்பைடு	карбид
ஐயன்	ион
சொல்லப்பட்டது	заявил
ஈரோஸ்	эрос
பழமைவாத	консервативные
ஏஞ்சல்	ангела
ஏஞ்சல்	ангел
ஏஞ்சல்	анхель
கறையான்	термитов
வடிவமைப்பாளர்கள்	дизайнеров
வடிவமைப்பாளர்கள்	дизайнеры
லிஸ்பன்	лиссабон
சங்	чунг
சங்	пели
சங்	пела
சங்	пел
கார்சியா	гарсиа
கார்சியா	гарсия
ஒண்டாரியோ	онтарио
அகன்று	порвал
சயனைடு	цианид
கற்பூரம்	камфорное
வஸ்தோக்	восток
வாத்தியம்	инструментальной
சாண்டா	санта
சாண்டா	санту
சாம்பியா	замбия
சாம்பியா	замбии
மானியங்கள்	субсидии
கராத்தே	карате
யாருடைய	чей
யாருடைய	чье
யாருடைய	чьи
யாருடைய	чья
போரா	бора
அட்மிரல்	адмирал
போதனைகள்	учения
போதனைகள்	учение
கட்டளையை	командование
கட்டளையை	команда
கட்டளையை	командования
அட்லாண்டா	атланте
கோப்	кобб
கோப்	справиться
பீன்	бобы
பீன்	бин
பீன்	фасоль
மில்டன்	милтон
தொடர்பில்லாத	офлайн
புளோரன்ஸ்	флоренция
புளோரன்ஸ்	флоренс
புளோரன்ஸ்	флоренции
மேஜிக்	магия
மேஜிக்	волшебство
மேஜிக்	волшебная
நொதுமி	нейтрон
கழுகுகள்	орлы
இடம்பெயர்ந்த	перемещенных
உள்ளீடுகள்	записи
தொடுதல்	прикоснуться
தொடுதல்	прикосновение
வேதனை	наказание
நைட்ரோ	нитро
கோக்	кокс
கோக்	кола
கோக்	кок
கோக்	кокаин
தயாரிப்பை	произведение
தயாரிப்பை	товар
தயாரிப்பை	продукт
தயாரிப்பை	продукта
தயாரிப்பை	изделие
வார்ப்பு	рамки
வார்ப்பு	шаблон
விரும்புகிறார்	хочет
தெரசா	тереза
ஓயா	оя
செலவாகும்	цена
செலவாகும்	стоимость
செலவாகும்	затраты
ஜெரால்ட்	джеральд
டிரைவர்	водителя
டிரைவர்	водитель
டிரைவர்	драйвер
சுகம்	пользуются
சுகம்	приятного
சுகம்	наслаждаться
தாங்	вонг
கஞ்சா	каннабиса
குறிமுறை	код
நிராகரிக்கப்பட்டது	отказался
நிராகரிக்கப்பட்டது	отверг
நிராகரிக்கப்பட்டது	отклонен
நிராகரிக்கப்பட்டது	отклонено
நிராகரிக்கப்பட்டது	отклонил
நிராகரிக்கப்பட்டது	отклонена
நிராகரிக்கப்பட்டது	отклонила
நிராகரிக்கப்பட்டது	отклонили
காரணமும்	причина
பொலோனியம்	полоний
பேரி	груша
சேவையகம்	принимающая
சேவையகம்	сервер
சேவையகம்	принимающих
சேவையகம்	сервера
உருப்படி	товар
உருப்படி	пункт
முகாம்கள்	лагерях
முகாம்கள்	лагерей
முகாம்கள்	лагеря
ராக்கி	рокки
ரூனி	руни
எரிப்பு	уволен
எரிப்பு	уволены
எரிப்பு	уволили
எரிப்பு	уволена
ஹுசைன்	хуссейн
ஹுசைன்	хусейн
வடிவமைப்புக்	формирование
வடிவமைப்புக்	формировании
ஜூ	джу
சோதி	проверьте
சோதி	проверка
சோதி	проверить
சோதி	чек
பூல்	пул
பூல்	бильярд
பூல்	бассейн
ரீயூனியன்	воссоединение
சாப்ளின்	чаплин
பனியாறு	ледник
ஐதர்	хайдер
பிரின்ஸ்டன்	принстон
அணுகு	доступ
அணுகு	доступа
ராமா	рама
ஈமு	евс
வெனிசுலா	венесуэлы
வெனிசுலா	венесуэла
மெரினா	марина
இருமுனையம்	диод
ஐவரி	айвори
காகா	кага
காகா	гага
நியோ	нео
டங்கன்	дункан
கதாநாயகி	героиня
காதுகள்	уши
கவர்ந்த	занимает
பாட்டன்	батон
பாட்ரிக்	патрика
பாட்ரிக்	патрик
மலாவி	малави
தோழமை	стипендии
தோழமை	стипендий
தோழமை	братство
தோழமை	стипендия
தோழமை	товарищества
பந்தம்	факел
அம்பர்	эмбер
பதாகை	баннер
பதாகை	знамя
வெள்ளெலி	хомяк
பிரபலமானவை	популярных
பிரபலமானவை	популярные
பிரபலமானவை	популярная
பிரபலமானவை	популярный
பிரபலமானவை	популярное
செல்டிக்	кельтские
வெல்ஸ்	скважины
வெல்ஸ்	уэллс
வான்கூவர்	ванкувере
தாதுக்கள்	минералов
மோடம்கள்	модемы
தாலாட்டு	племянники
நிக்கல்சன்	николсон
யூரி	юрий
கையிருப்பு	кпк
கிக்	удар
மிட்செல்	митчел
மிட்செல்	митчелл
கொலைகள்	убийства
சமச்சீரற்ற	асимметричной
நொண்டி	отстой
விண்கலத்தில்	астронавтов
நவீன்	навин
செம்மறி	овца
செம்மறி	овцы
செம்மறி	овец
ப்ரோ	профи
சில்க்	шелк
நினைத்துக்	мышление
நினைத்துக்	думаю
கத்தோலிக்கர்கள்	католики
கத்தோலிக்கர்கள்	католиков
கிரேஸ்	благодать
கிரேஸ்	грейс
கிரேஸ்	грэйс
கலைஞன்	артист
கலைஞன்	художник
கலைஞன்	исполнитель
மீசை	усы
கருணாநிதியின்	уволен
கருணாநிதியின்	отклонил
சட்டவியல்	юриспруденции
யோசுவா	джошуа
தினங்கள்	дней
தினங்கள்	дни
ஊகம்	спекуляции
பிடித்தமான	любимое
பிடித்தமான	любимые
பிடித்தமான	любимый
பிடித்தமான	любимая
யமன்	яма
ரேடார்	радар
ஹனோய்	ханое
பிறரை	другие
பிறரை	прочие
கிங்டம்	королевство
கிங்டம்	царство
தான்சானியா	танзания
தான்சானியா	танзании
லெஸ்	лес
லெஸ்	лез
உறைந்து	замораживание
உறைந்து	заморозить
உறைந்து	замораживания
லில்	лил
நேரடியாகச்	непосредственно
நேரடியாகச்	напрямую
பிலிப்பினோ	филиппинских
ஈராக்சைடு	диоксида
தவறிய	уронил
பகிர்தல்	обмена
ஒன்றாய்	вместе
விபத்துக்கள்	аварии
விபத்துக்கள்	дтп
விபத்துக்கள்	происшествия
விபத்துக்கள்	аварий
பார்க்கிறேன்	смотрим
பார்க்கிறேன்	наблюдаю
பார்க்கிறேன்	смотрю
மெல்	мэл
மெல்	мел
டேன்	дейн
முதுகுநாணி	хордовые
ஆசிரமத்தில்	ашрам
நிர்வாண	голые
நிர்வாண	голая
நிர்வாண	голый
பாதங்கள்	лапки
பாதங்கள்	лапы
பாதங்கள்	ноги
பாதங்கள்	ступни
பாதங்கள்	стопы
புனைபெயர்	псевдоним
பிளமேன்கோ	фламенко
கோஷ்	гош
கோரல்	коралловых
தண்டின்	ловец
தூசி	пыль
தூசி	пыли
புதையல்	сокровище
புதையல்	сокровища
புதையல்	клад
அரைக்கோளம்	полушарии
அரைக்கோளம்	полушария
அரைக்கோளம்	полушарие
பூன்	бун
ஹமாஸ்	хамас
நீள்வட்டம்	эллипс
லட்சுமணன்	лакшмана
காட்டப்பட்ட	отображается
காட்டப்பட்ட	выставлены
காட்டப்பட்ட	показано
காட்டப்பட்ட	отображаться
வியட்நாமிய	вьетнама
புதிது	новые
புதிது	новинка
புதிது	новая
புதிது	новое
புதிது	новый
புதிது	новых
சாக்	зак
கண்டிப்பான	строгое
கண்டிப்பான	строго
கண்டிப்பான	строгие
கண்டிப்பான	строгая
கண்டிப்பான	строгий
கண்டிப்பான	строгого
ஐஸ்லாந்து	исландии
ஐஸ்லாந்து	исландия
அன்புள்ள	дорогие
அன்புள்ள	дорогой
அன்புள்ள	дорогая
இதயத்தை	сердце
இதயத்தை	сердцу
உயர்வாக	выше
கண்ணே	красотки
கண்ணே	крошки
கண்ணை	глаз
கண்ணை	око
கூட்டாளிகள்	сообщников
ஒரிஜினல்	оригинал
ஒரிஜினல்	оригинальная
ஒரிஜினல்	оригинальные
ஒரிஜினல்	оригинально
ஒரிஜினல்	первоначального
ஒரிஜினல்	оригинальный
ஜூனோ	джуно
சோம்பல்	ленивый
சோம்பல்	лень
கிரீக்	греков
கிரீக்	греки
கிரீக்	греческий
கிரீக்	греческая
என்ஜின்	движок
என்ஜின்	мотор
என்ஜின்	двигатель
என்ஜின்	двигателя
உள்நோக்கம்	намерение
இதழும்	лепесток
சூழ்ச்சி	сюжет
சூழ்ச்சி	участок
சூழ்ச்சி	заговор
அசன்	асан
ஆடம்பர	роскошь
ஆடம்பர	люкс
பேசுகிறார்கள்	разговоры
அம்புகள்	стрелки
அம்புகள்	стрелы
பயனற்ற	бесполезный
குவாம்	гуам
கோமஸ்	гомес
சான்றிதழ்கள்	справка
சான்றிதழ்கள்	сертификаты
சான்றிதழ்கள்	свидетельство
சான்றிதழ்கள்	сертификат
மறுத்தல்	проигнорировать
மறுத்தல்	игнорировать
கிளிக்	клик
கிளிக்	нажмите
கிளிக்	щелчок
ஸ்ட்ரீம்	ручей
ஸ்ட்ரீம்	поток
தாடை	челюсть
தாடை	челюсти
பதிவாளர்	секретарь
பதிவாளர்	секретаря
பதிவாளர்	регистратор
வெல்ச்	уэлч
ஓவன்	печь
ஓவன்	духовке
ஓவன்	оуэн
மறுக்க	устоять
மறுக்க	отказаться
மறுக்க	отказать
மறுக்க	отказывать
மறுக்க	сопротивляться
அடையாளங்களை	достопримечательности
இணையதளங்கள்	сайты
கார்டு	карту
கார்டு	аккорд
கார்டு	карта
கார்டு	карточка
வீடியோக்கள்	видео
பட்ஜெட்	бюджет
அனிதா	анита
பென்னெட்	беннет
பென்னெட்	беннетт
மிசூரி	миссури
சோங்	чонг
ரீவ்ஸ்	ривз
பக்கவாதம்	инсульт
சுமாராக	достойной
சுமாராக	достойная
சுமாராக	приличный
சுமாராக	достойный
கடவுச்சொல்	пароль
மாவை	тесто
எழுகிறது	растущая
கவனத்துடன்	внимательным
சென்ட்	запах
சென்ட்	цент
சென்ட்	аромат
நண்பகல்	полдень
அப்துர்	абдур
சியாட்டில்	сиэтл
சியாட்டில்	сиэтле
உலகமயமாதல்	глобализация
கோர்ன்	корн
டேனிஷ்	датский
டேனிஷ்	дании
கௌரவம்	честь
கொலம்பிய	колумбийский
கொலம்பிய	колумбии
டர்னர்	тёрнер
டர்னர்	тернер
சுமையை	бремя
வியாபாரி	продавец
வியாபாரி	поставщик
எதிர்ப்பாளர்கள்	протестующих
எதிர்ப்பாளர்கள்	протестующие
பிரமிட்	пирамида
உதய	растущая
தூசு	корзина
தூசு	мусор
சுரங்கப்பாதை	метро
பெங்	пэн
திறந்திருக்கும்	открыто
திறந்திருக்கும்	открытая
திறந்திருக்கும்	открытый
திறந்திருக்கும்	открыть
காண்டாமிருகம்	носорог
ரேஞ்சர்ஸ்	рейнджеры
சிங்கங்கள்	львы
சிங்கங்கள்	львов
பழக்கத்தை	режим
சாளரம்	окна
சாளரம்	окно
திருடி	воровство
திருடி	кража
பேஸ்பால்	бейсбол
கியா	кия
ஷியா	шиитов
ஷியா	шиитского
ஆணைகள்	инструкции
ஆணைகள்	инструкция
நின்றுகொண்டு	стоя
நின்றுகொண்டு	стою
மெல்போர்ன்	мельбурне
பூட்டு	замок
பூட்டு	разблокировать
பூட்டு	заблокировать
பூட்டு	блокировка
அடைக்கப்பட்ட	чучело
அடைக்கப்பட்ட	чучела
நிக்கி	никки
நிக்கி	ники
காடை	перепел
அனுமதிக்கப்பட்டது	одобрено
அனுமதிக்கப்பட்டது	одобрена
அனுமதிக்கப்பட்டது	допускается
அனுமதிக்கப்பட்டது	утверждено
அனுமதிக்கப்பட்டது	одобрен
அனுமதிக்கப்பட்டது	разрешены
அனுமதிக்கப்பட்டது	утвержден
அனுமதிக்கப்பட்டது	разрешено
அப்பாவி	невинная
அப்பாவி	невинных
அப்பாவி	наивно
அப்பாவி	невинный
அப்பாவி	наивный
அப்பாவி	невинные
பேகன்	языческие
பேகன்	язычники
உள்ளுணர்வு	интуиция
உள்ளுணர்வு	инстинкты
உள்ளுணர்வு	инстинкт
உள்ளுணர்வு	интуиции
போர்வை	покрывало
போர்வை	одеяло
வெளிறிய	бледный
பெனின்	бенин
பெனின்	бенине
அனாதை	приют
அனாதை	сирот
அனாதை	сирота
அனாதை	сироту
அனாதை	сироты
அசுரர்கள்	монстров
அசுரர்கள்	монстры
அசுரர்கள்	чудовища
குறுகலான	узкие
குறுகலான	сузить
குறுகலான	узкий
குறுகலான	узких
விருப்பங்கள்	избранные
விருப்பங்கள்	опции
விருப்பங்கள்	нравится
விருப்பங்கள்	предпочтения
விருப்பங்கள்	преференций
விருப்பங்கள்	варианты
விருப்பங்கள்	параметры
விருப்பங்கள்	любит
விருப்பங்கள்	лайки
விருப்பங்கள்	любимых
விருப்பங்கள்	вариантов
விருப்பங்கள்	избранное
செசில்	сесил
அழைக்கிறோம்	звонок
அழைக்கிறோம்	звонить
அழைக்கிறோம்	призвание
மனிதரும்	человеческое
மனிதரும்	человек
மனிதரும்	человека
மனிதரும்	человеческая
சாத்தான்	сатана
சாத்தான்	дьявол
செதில்	чешуйчатый
தேவையா	нужно
தேவையா	потребность
தேவையா	нужна
சாடி	сади
வாங்	ван
யூஜின்	юджин
யூஜின்	евгений
முனையங்கள்	терминалов
தண்டர்	гром
யீ	йи
பிரேக்	тормоза
பிரேக்	тормоз
ரூச்	руж
பாலஸ்தீனம்	палестину
பாலஸ்தீனம்	палестина
பாலஸ்தீனம்	палестины
பரபரப்பான	сенсация
எதிர்வரும்	ближайшие
எதிர்வரும்	предстоящий
எதிர்வரும்	предстоящих
எதிர்வரும்	предстоящие
காதிர்	кадир
பயணிக்கிறது	паруса
பயணிக்கிறது	парус
லின்னேயஸ்	линней
நம்பும்	доверять
நம்பும்	доверие
நம்பும்	довериться
தொங்க	хун
தொங்க	повесили
மால்டா	мальте
மால்டா	мальты
மால்டா	мальта
காஃபி	кофе
புகாரி	бухари
வழிகாட்டும்	руководящих
உத்தரவாதம்	гарантию
உத்தரவாதம்	гарантировано
உத்தரவாதம்	гарантированное
உத்தரவாதம்	гарантирует
உத்தரவாதம்	гарантируется
உத்தரவாதம்	гарантия
உத்தரவாதம்	гарантии
உத்தரவாதம்	гарантировать
உத்தரவாதம்	гарантирую
சவ்வு	мембрана
ஞாபகம்	помню
ஞாபகம்	помнишь
ஞாபகம்	помним
ஞாபகம்	запомнить
ஞாபகம்	помни
ஞாபகம்	помните
தெற்கத்திய	южные
தெற்கத்திய	южное
தெற்கத்திய	южной
தெற்கத்திய	южный
தெற்கத்திய	южная
அடியோடு	снести
பரவாயில்லை	получше
பரவாயில்லை	лучше
பங்களாதேஷ்	бангладеш
வொயேஜர்	вояджер
வினையை	кэндис
ஃபேஷன்	моды
ஃபேஷன்	мода
ஃபேஷன்	модные
ஃபேஷன்	модный
அளவிடப்பட்ட	измеряется
அளவிடப்பட்ட	измеренная
நள்ளிரவு	полночь
முடுக்கி	ускорение
முடுக்கி	ускорения
முடுக்கி	ускоритель
வீடுபேறு	мокшанский
சேர்க்கைகள்	дополнения
சேர்க்கைகள்	добавления
கினியா	гвинеи
கினியா	гвинея
கினியா	гвинею
கினியா	гвинее
துக்கம்	трауре
கொட்டைகள்	орешки
கொட்டைகள்	орехи
ரிக்கி	рикки
ரிக்கி	рики
ஸ்பெக்ட்ரம்	спектра
ஸ்பெக்ட்ரம்	спектр
சீமாட்டி	леди
சீமாட்டி	дама
அதிர்வுகள்	вибрации
உரிமங்கள்	лицензий
உரிமங்கள்	лицензии
மாதந்தோறும்	ежемесячно
மாதந்தோறும்	ежемесячные
மாதந்தோறும்	месячные
மாதந்தோறும்	ежемесячный
கூழ்ம	коллоидной
மெசொப்பொத்தேமியா	месопотамии
பண்டு	банту
புணரும்	дико
சாத்	чед
சாத்	саад
சாத்	чаде
சாத்	чад
தீங்கிழைக்கும்	вредные
தீங்கிழைக்கும்	вредных
நாகரீகம்	моды
நாகரீகம்	мода
நாகரீகம்	модные
நாகரீகம்	модный
ஸ்டைல்	стиль
அலுவலகப்	канцелярия
அலுவலகப்	кабинет
அலுவலகப்	офис
கொசுக்கள்	комаров
நிலக்கடலை	орешек
நிலக்கடலை	арахис
கருத்தரங்கில்	симпозиум
ஓட்டை	дырка
ஓட்டை	дыру
ஓட்டை	дыра
விசித்திரமான	странная
விசித்திரமான	странный
விசித்திரமான	странно
விசித்திரமான	странные
விசித்திரமான	странное
கொச்சின்	кочин
பறத்தல்	живописной
விளையாடு	играйте
விளையாடு	играй
