और	и
सक्रियण	активации
श्रोणि	таза
जुर्म	преступление
जुर्म	преступность
जुर्म	преступления
चे	че
साक्षर	грамотных
स्पीच	речь
स्पीच	речи
निर्जलीकरण	обезвоживание
टारनटिनो	тарантино
रोनाल्डिन्हो	роналдиньо
ट्रांसमीटर	передатчик
ज़हर	яд
मेज़	стол
मेज़	таблица
वारंट	ордер
वारंट	ордера
डोरी	ремень
हेर	герр
कनिंघम	каннингем
उदासीनता	апатия
उदासीनता	пренебрежение
उदासीनता	безразличие
बवंडर	торнадо
बदख़्शान	бадахшан
अज़ीज़	азиз
स्टीवंस	стивенс
तौल	взвесить
एली	эли
एली	илай
वट	ндс
हाइड्रोक्लोरिक	соляной
ल्यूक	люка
ल्यूक	люк
गंदे	грязно
गंदे	грязная
गंदे	грязные
गंदे	грязный
मिसाइलों	ракет
मिसाइलों	ракеты
कार्बाइड	карбид
हैकर	хакер
हैकर	хакеры
कॉकपिट	кабине
स्तनों	грудь
स्तनों	груди
प्रर्दशित	отображение
प्रर्दशित	показ
बारा	бара
मलाई	сливки
मलाई	крем
तिथियाँ	даты
तिथियाँ	финики
धाबी	даби
हॉपकिंस	хопкинс
दुरूपयोग	надругательство
दुरूपयोग	злоупотребления
दुरूपयोग	злоупотребление
केंद्रीकृत	централизованной
केंद्रीकृत	централизованное
मानवशास्त्र	антропологии
पुनर्विचार	переосмыслить
मुक्केबाज	боксеры
भावनाएँ	чувства
प्रज्वलन	зажигания
डेंटल	стоматологические
इलेक्ट्रिकल	электрические
इलेक्ट्रिकल	электрическая
इलेक्ट्रिकल	электрических
इलेक्ट्रिकल	электрический
मज़ा	веселье
मज़ा	весело
मज़ा	кайф
मज़ा	прикольно
मज़ा	веселые
हेलेना	елена
हेलेना	елены
हेलेना	хелена
फॉस्फोरस	фосфора
ऑटोमोटिव	автомобильная
ऑटोमोटिव	автомобильной
शवों	трупы
शवों	трупов
छिलके	пил
अधर्म	неверие
समितियां	комитеты
प्रदर्शनियों	выставки
विंची	винчи
पोर्श	порше
उपदंश	сифилис
सय्यद	сеид
विलंबित	задерживается
विलंबित	задержка
मकड़ी	паук
मकड़ी	пауки
होस्टिंग	хостинг
लीना	лина
कढ़ाई	вышивка
कढ़ाई	вышитые
स्पार्टाकस	спартак
हेक्टर	гектор
अंत्येष्टि	похороны
वादे	обещает
वादे	обещания
सीसे	свинца
सीसे	ведущая
सीसे	свинец
सीसे	ведущие
सब्सिडी	субсидии
स्वनिम	фонема
कोहनी	локоть
साम्यवादियों	коммунисты
साम्यवादियों	коммунистов
ट्विंकल	мерцание
प्राग	праге
प्राग	прага
रूमी	руми
टेम्पल	храм
कारतूस	патроны
परिवर्धन	дополнения
परिवर्धन	изменение
परिवर्धन	изменения
परिवर्धन	модификация
परिवर्धन	модификации
परिवर्धन	добавления
माफिया	мафия
माफिया	мафии
वर्जिनिया	вирджиния
भाग्यशाली	лаки
भाग्यशाली	счастливая
भाग्यशाली	повезло
भाग्यशाली	счастливчик
सल्फ्यूरिक	серной
सिकल	серп
भूमध्यसागरीय	средиземноморья
भूमध्यसागरीय	средиземноморье
असभ्य	грубая
असभ्य	грубый
असभ्य	грубо
छवियां	картинки
छवियां	образы
छवियां	изображения
गैंग	банда
काश्मीर	кашмире
सोलो	соло
पेंसिल	карандаш
गर्भनिरोधक	контрацепции
निकोल्सन	николсон
लड़ाइयों	сражения
लड़ाइयों	битв
लड़ाइयों	битвы
पैंथर	пантера
फेल	провал
पके	спелые
मिकी	мики
मिकी	майки
मिकी	микки
नमन	дань
नमन	должное
अप्रवासी	иммигрантов
प्राधिकारी	власти
गैलीलियो	галилео
द्विध्रुवी	биполярное
ऐलन	ален
ऐलन	аллен
अंतर्दृष्टि	статистику
अंतर्दृष्टि	статистика
दुआ	дуа
दुआ	молитва
दुआ	молитву
रीमा	рима
मैंगनीज	марганца
मिरर	зеркало
हिमपात	снегопад
डंक	данк
ट्रॉय	трой
टोकियो	токио
तारकीय	звёздный
फरार	сбежали
फरार	сбежала
फरार	сбежал
नृसिंह	нарасимха
बीर	бир
साई	сай
साई	саи
साई	пси
इंतजाम	договоренности
चिट्ठाजगत	блогосфере
बरॉक	барокко
बेटियों	дочери
बेटियों	дочерей
बेटियों	дочки
ट्रांसफॉर्मर	трансформаторов
भूस्खलन	оползней
दस्तक	стук
दस्तक	стучать
बाँधकर	повязку
टिकी	тики
ऐप्स	приложения
पिक्सल	пикселей
पिक्सल	пиксель
पिक्सल	элемент
उतरा	приземлился
प्रवासियों	мигранты
प्रवासियों	мигрантов
नाखून	гвозди
नाखून	ногти
अप्रकाशित	неопубликованные
एल्टन	элтон
अशांत	обеспокоен
अशांत	нарушена
लिंगों	полов
आवर्धन	увеличение
स्लेट	листа
ब्लिट्जक्रेग	блицкриг
लुसी	люси
मार्टी	марти
उड़ाया	пролетел
उड़ाया	летал
उड़ाया	прилетели
किरीट	корона
जुड़वा	близнецы
जुड़वा	близнец
ब्रिटनी	бриттани
लहजे	акцент
रफी	рафи
डक	дак
डक	утку
डक	утки
डक	утка
आजम	азам
आंसू	слезоточивый
आंसू	слезы
आंसू	слёзы
इथेनॉल	этанола
जिहाद	джихад
जेनी	дженни
अतिरंजित	преувеличены
ग्रेजुएट	выпускник
जमींदारी	дари
कामुकता	сексуальность
कामुकता	чувственность
स्तरीकरण	стратификации
फौरन	незамедлительно
फौरन	немедленно
स्टॉफ़ेनबर्ग	штауффенберг
दमा	астма
मकई	кукурузу
मकई	кукуруза
मकई	кукурузы
रेन	дождь
रेन	дожди
दोलक	осциллятор
अंधे	слеп
अंधे	слепой
अंधे	слепые
अंधे	ослеп
अंधे	слепая
कंडोम	презервативы
कंडोम	презервативов
कंडोम	презерватив
शेड	тени
शेड	тень
शेड	сарай
शेड	сарае
शेड	оттенок
गावों	деревни
गावों	деревень
फ्राइज़	картошку
फ्राइज़	фри
कली	бад
शहादत	мученичество
विदाई	прощайте
विदाई	прощание
विदाई	прощай
भूखंड	участки
भूखंड	участков
रबड़	резиновые
पार्ट	часть
पार्ट	частично
फ़ोटो	фотографии
फ़ोटो	фото
फ़ोटो	фотография
विषैला	ядовитая
आँसू	слезы
आँसू	слёзы
ओह	ой
ओह	упс
ओह	жесть
स्ट्राइक	забастовка
स्ट्राइक	забастовку
पार्षद	советник
उपास्थि	хрящ
स्टिक	держаться
स्टिक	палка
सम्मोहन	гипноз
आइडल	идол
ग्लोनास	глонасс
माइक्रोप्रोसेसर	микропроцессор
प्रताड़ित	преследованиям
इंटरैक्टिव	интерактивный
इंटरैक्टिव	интерактивного
इंटरैक्टिव	интерактивные
परामर्शदाता	консультанта
परामर्शदाता	советник
परामर्शदाता	консультантов
परामर्शदाता	консультанты
परामर्शदाता	консультант
पर्सी	перси
पक	пак
स्केच	скетч
स्केच	набросок
साम्प्रदायिक	общинных
नौटंकी	драма
नौटंकी	драмы
अक्साई	аксай
जालसाजी	подделки
जालसाजी	подделка
यांग	ян
यांग	янг
महाशय	джентльмен
बोलीविया	боливии
बोलीविया	боливия
साइटें	сайт
साइटें	сайтов
साइटें	сайты
कोपेनहेगन	копенгаген
कोपेनहेगन	копенгагене
डरते	страх
महापुरुष	махаяна
छायाकार	кинооператор
क्लस्टर	скопление
क्लस्टर	кассетных
हर्निया	грыжа
चेरी	вишни
चेरी	черри
दयनीय	жалкий
दयनीय	жалкие
दयनीय	жалко
खदानों	карьерах
बली	бали
प्लेबैक	воспроизведения
प्लेबैक	воспроизведение
डायनासोर	динозавр
रिच	богатые
रिच	богатых
रिच	богатый
रिच	богат
रिच	рич
रिच	богатая
बदलें	заменять
बदलें	перемены
बदलें	преобразовать
बदलें	заменить
बदलें	изменения
बदलें	изменение
बदलें	сменить
बदलें	изменить
बदलें	замена
पंछी	птички
पंछी	птица
पंछी	птиц
पंछी	бёрд
पंछी	птичка
पंछी	птицы
उम्मीदों	ожидания
तत्वावधान	эгидой
चालाक	трикстер
चालाक	валет
क्षत्रप	сатрап
आयतों	связи
आयतों	связь
आयतों	сообщения
आयतों	коммуникации
आयतों	откровения
आयतों	коммуникация
स्प्रिंग्स	спрингс
मलजल	канализации
वेम्बली	уэмбли
सैमुएल	сэмюэль
सैमुएल	самуэль
सैमुएल	сэмюэл
सुर्खियों	заголовки
पैच	патч
विषुव	равноденствие
कार्निवाल	карнавал
व्यक्तिवाद	индивидуализм
बॉर्डर	границу
बॉर्डर	границы
बॉर्डर	граница
सैलून	салон
सैलून	салоны
प्रणालीगत	системных
प्रणालीगत	системный
प्रणालीगत	системные
संक्षारण	коррозии
समलैंगिकता	гомосексуализм
मिलों	миллс
कोन	конус
लियोनार्ड	леонард
खर्चों	расходы
उभयचर	амфибия
बीजीय	алгебраическая
जैकब	джейкоб
जैकब	якоб
जैकब	яков
जैकब	иакова
स्नेहक	смазка
दीनार	динар
पिक	выберите
रूबी	руби
तिकड़ी	трио
साल्सा	сальса
क्लीवलैंड	кливленд
मॉरिशस	маврикий
महत्वाकांक्षा	амбиции
अंकुरित	цветёт
फ़रग़ना	ферганской
डेस्क	стол
डेस्क	столе
आफिस	канцелярия
आफिस	кабинет
आफिस	офис
जूरी	жюри
जूरी	присяжные
मूडी	муди
सुइट	люкс
डोमिनिकन	доминиканской
डोमिनिकन	доминика
डोमिनिकन	доминиканская
केसरिया	шафран
मूषक	мышь
मूषक	мышка
मूषक	мыши
रिक्टर	рихтер
गेस्ट	гостей
गेस्ट	гости
निर्यातक	экспортеров
फार्मेसी	аптеке
फार्मेसी	аптеки
फार्मेसी	аптека
पेटी	коробки
पेटी	ящики
गाल	щеке
गाल	щеки
कांटे	шипы
पावेल	павел
पावेल	пауэлл
अप्रतिम	изумительно
हराम	харам
हराम	запрещенные
हराम	запрещено
हराम	запрещена
हराम	запрещается
हराम	запретный
शहरीकरण	урбанизация
शहरीकरण	урбанизации
जेक	джейк
जेक	джейка
तोपें	пушки
तोपें	пушка
रावलपिंडी	равалпинди
व्यंग्यात्मक	сарказм
कैथी	кати
कैथी	кэти
प्रोटेस्टैंट	протестантизм
अंकल	дядя
अंकल	дядюшка
पिंकी	пинки
सर्किल	круг
ब्रैड	краткая
ब्रैड	хлеба
ब्रैड	хлеб
ब्रैड	краткое
ब्रैड	брэд
ब्रैड	бред
ब्रैड	кратко
छापामार	партизанские
साही	дикобраз
काठी	седло
बाते	вещи
सियोल	сеуле
सियोल	сеул
शर्म	стесняется
शर्म	застенчивый
शर्म	позор
शर्म	стыдно
शर्म	стыд
प्रत्युत्तर	ответы
स्टुडियो	студия
स्टुडियो	студии
डेब्यू	дебют
प्रेषक	отправителя
नवी	нави
सन्निकट	приблизительно
विंसलेट	уинслет
विधायकों	законодатели
विधायकों	законодателей
प्रिंसिपल	директор
मोनाको	монако
नूह	ной
नूह	ноа
नूह	ноя
नूह	нух
चेस	чейз
चेस	погоня
खाँसी	кашель
शार्क	акула
शार्क	акулы
शार्क	акул
बार्बी	барби
पांडुलिपियों	рукописи
अभिवादन	приветствие
बनाएँ	создайте
बनाएँ	создать
बनाएँ	создавать
बनाएँ	создание
झुकी	бент
रक्ताल्पता	анемия
ताना	тана
एल्गोरिथ्म	алгоритм
तैर	плавать
यर	яр
टाइल	плитки
साइनस	пазухи
दीर्घायु	долголетия
धुंध	туман
अरमानी	армани
संगतता	совместимость
यूआरएल	url
मिड	середина
मिड	середине
पाश	цикл
पाश	петля
परिशुद्धता	точности
परिशुद्धता	точность
कंधों	плечи
कोह	кох
गॉव	спальня
गॉव	спальни
गॉव	спальне
मशाल	факел
ताइपे	тайбэй
खट्टा	кислый
दुविधा	дилемма
समाजशास्त्रीय	социологических
हिस्पैनिक	испаноязычные
दूँ	отъезд
दूँ	отхода
थोरियम	тория
अस्तर	накладки
काय	кэй
काय	кей
ओसामा	усамы
मनोविश्लेषण	психоанализ
तुच्छ	незначительные
तुच्छ	незначительное
पार्लियामेंट	парламент
पोर्टो	порту
तारीफ	хвала
एप्लिकेशन	заявки
एप्लिकेशन	применения
एप्लिकेशन	приложения
एप्लिकेशन	заявка
एप्लिकेशन	применение
ट्रेस	след
ट्रेस	отследить
ब्लॉगर	блогеров
ब्लॉगर	блогер
लेविस	льюис
ट्रेंट	трент
भोर	дон
भोर	рассвете
भोर	рассвет
जिप्सम	гипс
नापसंद	неприязнь
मनीला	маниле
उदघाटन	инаугурации
ब्रुसेल्स	брюссель
ब्रुसेल्स	брюсселе
मजेदार	смешная
मजेदार	забавно
मजेदार	смешно
मजेदार	забавный
मजेदार	смешной
सलमा	сальма
न्युमैन	ньюман
पदचिह्न	след
अफवाहें	слухи
आठवां	восьмая
आठवां	восьмой
आठवां	восьмое
आभारी	благодарна
आभारी	благодарны
आभारी	благодарен
रोहन	рохан
स्कीइंग	лыжи
कर्नेल	ядро
कर्नेल	ядра
आरोह	маунт
आरोह	горы
आरोह	гора
पाइपलाइन	трубопровода
संतरे	апельсины
जूली	джули
जूली	жюли
सैंट	запах
सैंट	аромат
उलटा	вспять
उलटा	обратная
उलटा	обратный
उलटा	обратное
गुणसूत्रों	хромосомы
संग्राहक	контейнер
अंदाज़ा	угадать
अंदाज़ा	угадай
अंदाज़ा	думаю
रुस्तम	рустам
रुस्तम	рустом
फव्वारे	фонтан
वाकर	уолкер
वाकर	уокер
कोलंबस	колумб
ढलाई	кастинг
ऑस्टियोपोरोसिस	остеопороза
सेंसरशिप	цензуры
एंजेलो	анджело
एंजेलो	анжело
अनुभवजन्य	эмпирических
जेनरेटर	генератор
फायरिंग	увольнение
खोई	потерян
खोई	потеряна
खोई	потерянный
खोई	потерял
खोई	проиграл
आँकड़ा	крюк
आँकड़ा	хук
आँकड़ा	данных
आँकड़ा	данные
आँकड़ा	крючок
अभियोजन	обвинение
अभियोजन	преследование
विहित	предписано
मनमानी	произвольным
मनमानी	произвольные
मनमानी	произвольный
मनमानी	произвольное
मनमानी	произвольных
मनमानी	произвольно
प्रश्नावली	анкета
थॉम्पसन	томпсон
असंतृप्त	ненасыщенные
जॉय	радость
जॉय	джой
जॉय	радости
जॉय	джои
जॉय	джоуи
आंका	недооценивать
अस्पष्टता	безвестности
सिगनल	сигналы
रॅपन्ज़ेल	рапунцель
रामा	рама
द्वारों	гейтс
द्वारों	ворота
लालटेन	фонарь
लालटेन	фонарик
ज़ाकिर	закир
यूरेशियाई	евразийского
डिस्को	диско
तितलियों	бабочек
तितलियों	бабочки
पाइन	пайн
हवाना	гаване
इस्लामिया	исламизм
ब्लाइंड	слеп
ब्लाइंड	слепой
ब्लाइंड	слепые
ब्लाइंड	ослеп
ब्लाइंड	слепая
प्रदर्शक	отображение
प्रदर्शक	отображения
प्रदर्शक	показ
प्रदर्शक	отображает
मज़ार	могила
मज़ार	гробнице
प्रशीतन	охлаждения
जेम्सन	джеймсон
वितरकों	дистрибьюторов
हर्ट्ज़	герц
परिवर्धित	изменена
परिवर्धित	измененные
परिवर्धित	изменено
परिवर्धित	измененный
कंगारू	кенгуру
गाली	злоупотребления
गाली	надругательство
गाली	злоупотребление
गाली	злоупотреблений
गाली	грязь
गाली	грязи
थामस	томаса
थामस	томас
थामस	тома
हुमायूं	хумаюн
मिस्त्र	египет
एल्गोरिदम	алгоритм
अंतर्देशीय	внутреннего
आविष्कारों	изобретения
पडती	интенсивно
सम्मिलन	ассимиляции
संस्थापन	установка
संस्थापन	установки
नदिया	надя
मेक्सिकन	мексиканский
मेक्सिकन	мексиканская
मेक्सिकन	мексики
बिरसा	бирса
लुडविग	людвиг
घोस्ट	призраки
घोस्ट	призрак
घोस्ट	привидение
नन	монахинь
नन	монахиня
वांग	ван
वफादारी	лояльность
वफादारी	преданность
वफादारी	верность
लोन	ссуды
लोन	займы
लोन	кредиты
लोन	займов
वृक्षारोपण	плантации
रिचर्डसन	ричардсон
बल्लैक	баллак
न्यूट्रिनो	нейтрино
पसीने	пот
दक्षिणपश्चिम	юго
गोमांस	говядина
बजरी	гравий
गोर्की	горького
गोर्की	горький
शा	ша
लिस्बन	лиссабон
कैसर	кайзер
खींचता	тянет
पाव	пав
पाव	лапу
डिप्रेशन	депрессия
डिप्रेशन	депрессии
मोबाईल	мобильных
मोबाईल	мобильные
मोबाईल	мобильный
कछुए	черепахи
कछुए	черепах
हैम्पशायर	хэмпшир
एहसान	услуга
पनपने	процветать
यात्राएँ	поездки
अज्ञानता	невежество
अज्ञानता	незнание
जेफ़	джеф
जेफ़	джефф
राउल	рауль
बर्क	берк
बर्क	бёрк
गुफाएँ	пещеры
घृत	алоэ
गवाहों	свидетелям
गवाहों	свидетели
गवाहों	свидетелей
संरचनावाद	структурализм
डोम	купола
डोम	купол
डोम	дом
ट्रायल	испытания
आपत्तिजनक	наступательных
आपत्तिजनक	наступление
आपत्तिजनक	оскорбительно
अनिच्छा	неохотно
हारा	неудачник
हारा	хара
हैजा	холеры
मॉस	мосс
ख़रीदा	приобретенные
ख़रीदा	купил
चीर	разорвать
चीर	рип
चलेगा	лавры
बेचैन	нервная
बेचैन	нервный
बेचैन	тревожный
बेचैन	тревожно
इबादत	поклонение
इबादत	поклоняться
फ़ोल्डर	папки
फ़ोल्डर	каталоги
फ़ोल्डर	папок
फ़ोल्डर	папка
फ़ोल्डर	папку
लचीली	гибкие
लचीली	гибкий
लचीली	гибкость
लचीली	гибко
लचीली	гибкой
क्रिस्टी	кристи
हैदराबादी	хайдарабаде
जेसी	джесси
फ्रीस्टाइल	фристайл
शोधकार्य	исследовал
स्वार्थी	эгоистичный
रेजीमेंट	полк
रेजीमेंट	полка
अवेस्ता	авеста
कुटिया	коттедж
कुटिया	дача
जफर	джафар
जफर	зафар
ओडिसी	одиссея
कबूल	объятия
कबूल	признаться
कोपा	кубок
जैमी	джейме
सिम्पसन	симпсон
बाड़	ограждение
बाड़	забор
अराजकतावादी	анархист
लूसी	люси
माँस	мясо
माँस	мяса
गिरना	падает
गिरना	осенью
गिरना	упасть
गिरना	падение
गिरना	осень
प्रीफ़ेक्चर	префектуре
दादाजी	деда
दादाजी	дед
दादाजी	дедушка
आयोजक	организатор
आयोजक	организатора
आयोजक	организатором
भिखारी	нищий
दमनकारी	угнетения
साधू	садху
बेघर	бездомный
बेघर	бездомных
बेघर	бездомным
बेघर	бездомные
दस्ता	взвод
दस्ता	отряд
दस्ता	спасатели
दस्ता	команда
त्रिकोणमिति	тригонометрия
सिड	сид
मिठास	сладость
अफवाहों	слухи
ड्रेस	платье
पिंजरे	клетка
पिंजरे	клетки
पिंजरे	клетку
वीरा	вера
एसेक्स	эссекс
कामरूप	камарупа
रोजा	роза
रोजा	розу
हठ	упорство
हठ	стойкости
हठ	стойкость
हठ	настойчивость
गाडी	машина
गाडी	автомобиль
गाडी	машину
गाडी	вагон
टेरा	терра
संगमर्मर	мрамор
हाइड्रॉक्साइड	гидроксид
डॉक	док
ओटो	отто
लिपिड	липидов
देशवासियों	соотечественники
धारीदार	полосатый
रैक	стойка
भूखे	голодные
भूखे	голодная
भूखे	голодный
नम्रता	скромность
नम्रता	помилования
नम्रता	помилование
नम्रता	смирение
महती	минимизации
हांग	хун
हांग	хон
बर्ट	берт
बर्ट	бёрт
आयल	масло
आयल	нефть
आयल	нефти
रोबिन	робин
उपयोक्ता	пользователей
उपयोक्ता	пользователи
उपयोक्ता	пользователя
उपयोक्ता	пользователю
उपयोक्ता	пользователь
जुवेंटस	ювентус
क्वेस्ट	квест
बाँधने	ряды
बाँधने	бамбук
बाँधने	звания
रेने	рене
बंदियों	заключенные
बंदियों	задержанные
बंदियों	задержанных
बंदियों	заключенных
मस्त	круто
मस्त	крутые
मस्त	крутая
मस्त	классные
हेलमेट	шлем
सीम	симс
एलिसन	элисон
एलिसन	эллисон
टांग	ногу
टांग	нога
टांग	гэн
चर्चाएँ	дискуссии
चर्चाएँ	обсуждения
फ़्लैश	вспышка
फ़्लैश	флеш
फ़्लैश	флэш
अंतरफलक	интерфейс
अंतरफलक	интерфейсы
विषाद	горе
विषाद	скорбь
विषाद	печаль
विषाद	печали
इरादों	намерения
परंपराएं	традиций
परंपराएं	традиции
गुस्ताव	густав
चेन्नै	ченнаи
निर्धनता	бедность
निर्धनता	нищета
निर्धनता	нищету
निर्धनता	бедности
लॉन	газон
लॉन	лужайке
जारीकर्ता	эмитента
खिलाफत	халифата
बढ़ई	плотники
बढ़ई	карпентер
बढ़ई	плотника
इंटरएक्टिव	интерактивный
इंटरएक्टिव	интерактивного
इंटरएक्टिव	интерактивные
अंधेरा	темно
अंधेरा	темноту
अंधेरा	тёмный
अंधेरा	темноте
अंधेरा	темная
अंधेरा	тёмная
अंधेरा	мрак
अंधेरा	темнота
अंधेरा	тьму
अंधेरा	тьма
फाइलें	файлы
फाइलें	файлов
नोवाक	новак
कम्पास	компас
तनावपूर्ण	стресс
निकोटीन	никотин
ढक्कन	крышкой
ढक्कन	крышка
कुल्हाड़ी	топор
केरला	керала
मालुकू	малуку
गिल्बर्ट	гилберт
कमियां	недостатки
खालिद	халид
खालिद	халед
हत्याओं	убийства
चिंताएं	озабоченности
अतिशयोक्ति	гипербола
सूर्या	сурья
अवचेतन	подсознание
मधुमक्खियों	пчелы
शैडो	тени
श्रीमति	миссис
युन्नान	юньнань
परिक्रमण	вращение
परिक्रमण	ротации
परिक्रमण	рационально
परिक्रमण	вращения
परिक्रमण	рациональное
परिक्रमण	рационального
टकर	такер
तुषार	фрост
तुषार	мороз
प्रस्तुतकर्ता	ведущая
प्रस्तुतकर्ता	ведущий
विन्सेंट	винсент
कार्यकलाप	действия
कार्यकलाप	деятельность
कार्यकलाप	активность
वायलिन	скрипка
कोलोन	коломбо
किसका	чей
किसका	чье
किसका	чьи
किसका	чья
मांसल	мясистая
देवियाँ	богини
बड़ों	старейшины
बड़ों	старейшин
बैंकाक	бангкок
बैंकाक	бангкоке
यूक्रेनी	украинский
यूक्रेनी	украинские
यूक्रेनी	украинцы
यूक्रेनी	украинская
अदभुत	классная
अदभुत	поразительно
अदभुत	изумительно
अदभुत	удивительно
अदभुत	потрясающе
अदभुत	классные
अदभुत	круто
अदभुत	классно
अदभुत	потрясающая
गौरवपूर्ण	славный
प्रजनक	заводчик
रेट्रो	ретро
स्टार्क	старк
सफलताओं	успехи
बंदरों	обезьян
बंदरों	обезьяны
वीसा	визу
वीसा	виза
वीसा	визы
रामेसेस	рамсес
भौतिकवाद	материализм
कैरेक्टर	символ
कैरेक्टर	характер
कैरेक्टर	персонаж
अनुशंसित	рекомендуется
अनुशंसित	рекомендуемая
अनुशंसित	рекомендуемые
अनुशंसित	рекомендованные
अनुशंसित	рекомендовано
राफेल	рафаэль
प्रकीर्णन	рассеяние
समानार्थी	синоним
समानार्थी	синонимы
फेलोशिप	стипендии
फेलोशिप	братство
फेलोशिप	стипендий
फेलोशिप	стипендия
बुढ़ापे	старение
बुढ़ापे	старения
नोएल	ноэль
क़त्ल	убейте
रुचिकर	интересно
रुचिकर	интересует
रुचिकर	заинтересованная
रुचिकर	заинтересованным
रुचिकर	заинтересованные
रुचिकर	изящных
रुचिकर	заинтересованных
बोनापार्ट	бонапарт
स्नूकर	снукер
वोदका	водка
वोदका	водку
वोदका	водки
काँटे	шипы
मांसपेशियां	мышцы
मांसपेशियां	мускулы
चीचेन	чичен
बर्बादी	отходы
बर्बादी	отходов
हुड	гуд
हुड	капот
हुड	худ
पिकासो	пикассо
छुआ	тронут
छुआ	коснулся
छुआ	трогал
दिवालियापन	банкротства
आकांक्षाओं	устремления
आकांक्षाओं	чаяния
क्रियोल	креольский
व्यवस्थापक	администратором
व्यवस्थापक	администратора
व्यवस्थापक	администраторы
व्यवस्थापक	администратор
व्यवस्थापक	администраторов
गम	горе
गम	скорбь
गम	печаль
गम	печали
नवरातिलोवा	навратилова
प्रस्तुतिकरण	выступления
प्रस्तुतिकरण	представление
प्रस्तुतिकरण	презентация
प्रस्तुतिकरण	презентации
कोमा	кому
पोर्ट्रेट	портрет
मोनो	моно
हेनरिक	энрике
कर्मकाण्ड	ритуалы
खर्चे	расходы
तुर्किस्तान	туркестан
प्लाईवुड	фанеры
कोहेन	коэн
वाकई	реально
वाकई	действительно
टर्बो	турбо
वार्निश	лак
कोहरा	туман
समझदार	умный
सैंटियागो	сантьяго
गड्ढा	яму
गड्ढा	яма
बकवास	вздор
बकवास	чепуха
बकवास	чушь
बकवास	ерунда
कोसोवो	косово
एलसीडी	жк
धनवान	богатые
धनवान	богатых
धनवान	богатый
हैम	ветчина
बाना	бана
थियोडोर	теодор
स्टिंग	стинг
गुणगान	хвалит
गुणगान	хвала
ऑकलैंड	окленде
धुआँ	дым
पुजा	поклонение
पुजा	поклоняться
मेकअप	макияж
मेकअप	косметика
मेकअप	грим
हेरोइन	героина
हेरोइन	героин
हेस	гессен
आगर	агар
मोदिग्लिआनी	модильяни
बलवान	сильное
बलवान	сильна
बलवान	сильный
बलवान	сильная
बलवान	сильные
ईश	иш
अविस्मरणीय	незабываемые
इब्ने	ибн
डॉली	долли
व्यूह	фаланга
स्टैलोन	сталлоне
प्रूफ	доказательства
प्रूफ	доказательство
मिडलसेक्स	мидлсекс
ट्रैक्स	следы
ट्रैक्स	дорожки
ट्रैक्स	треки
एंड्रोमेडा	андромеда
शाफ्ट	шахта
शाफ्ट	шахту
पीसा	пиза
हॉर्न	рога
हॉर्न	хорн
हॉर्न	гудок
हॉर्न	рог
चमड़ी	кожа
चमड़ी	кожи
शौच	дефекации
ब्रांडेड	фирменных
लेक्स	лекс
रहस्यवादी	мистик
हेरोल्ड	гарольд
तनिक	наименее
तनिक	наименьшее
एसोसिएट	ассоциированных
कठबोली	сленг
त्रुटिपूर्ण	ошибочные
टनल	тоннель
टनल	туннель
अभिसारी	конвергентной
सेनेगल	сенегал
सेनेगल	сенегале
सेनेगल	сенегала
ब्रुनेई	бруней
मिखाइल	михаил
ईडन	иден
पताका	флаги
नाइटली	найтли
विज्ञापनदाता	рекламодателей
चालाकी	хитрый
दिमागी	психического
सरलीकरण	упрощения
सरलीकरण	упрощение
अलगाववादी	сепаратистских
त्रिमूर्ति	троица
बरमूडा	бермудских
शिफ्ट	сдвиги
शिफ्ट	смена
शिफ्ट	смены
शिफ्ट	смену
शिफ्ट	сдвиг
हेग	гааге
पैकिंग	упаковки
पैकिंग	упаковке
पैकिंग	упаковка
निशुल्क	свободный
निशुल्क	бесплатные
निशुल्क	свободно
निशुल्क	бесплатный
निशुल्क	свободной
निशुल्क	бесплатно
पंजों	коготь
राजकोष	казначейство
राजकोष	казначейства
मंगोलियाई	монголии
पारिभाषित	определена
पारिभाषित	определены
पारिभाषित	определено
पारिभाषित	определен
पास्ता	пасту
पास्ता	паста
पास्ता	макароны
ट्रैन	поезд
स्पेलिंग	написание
दरारों	трещины
सोनम	сонам
ब्रिगेडियर	бриг
ब्रिगेडियर	бригадир
मार्ट	март
प्रोस्टेट	простаты
टेरियर	терьер
बाइट्स	байт
अयोग्यता	дисквалификации
रपट	отчет
रपट	отчеты
रपट	отчёт
रपट	доклад
रपट	пожаловаться
रपट	доклады
प्रायद्वीपीय	полуострова
कनेक्ट	связаны
कनेक्ट	подключиться
कनेक्ट	соединение
कनेक्ट	подключение
कनेक्ट	связать
बंधी	связаны
प्रभुता	суверенитет
डेमन	демон
बुआ	тётушка
बुआ	тетя
बुआ	тётя
गुब्बारे	шарики
गुब्बारे	шары
फ़्रेम	рамки
फ़्रेम	кадр
फ़्रेम	рамку
अनिद्रा	бессонница
हैली	галлей
लैंग	лэнг
भेदन	прорыв
एक्सपो	экспо
निकारागुआ	никарагуа
लॉबी	фойе
लॉबी	лобби
बटेर	перепел
दालचीनी	корицы
ज़ारा	зара
नाडी	нади
कामा	кама
लीसेस्टर	лестер
श्रीमान	сер
श्रीमान	сэр
लदान	загрузка
लदान	погрузки
इरान	иран
क्लोन	клон
मैकमिलन	макмиллан
