ve	и
mitolojik	мифологических
orantılı	пропорционально
orantılı	пропорционального
gurur	горжусь
gurur	гордый
gurur	гордость
gurur	горд
gurur	гордыня
başlıyor	начало
başlıyor	начинает
başlıyor	начинаю
başlıyor	начиная
başlıyor	начинается
kesintisiz	непрерывного
potasyum	калия
potasyum	поташ
restorasyon	восстановление
restorasyon	восстановления
ziyareti	посещения
ziyareti	посещение
delil	доказательство
delil	улика
delil	улики
delil	доказательства
delil	доказательств
kentler	города
kentler	городов
izole	изолировать
izole	изоляция
izole	изоляции
izole	изолированы
izole	изолированных
senatör	сенатора
senatör	сенатор
varisi	наследника
varisi	наследник
olgun	зрелый
olgun	спелые
olgun	зрелость
olgun	зрелости
kendimi	себя
kendimi	сам
topal	хромой
topal	калека
topal	отстой
maymun	обезьянка
maymun	обезьяны
maymun	обезьяна
kabuğu	оболочка
toplandı	собранная
toplandı	собрались
toplandı	собранные
toplandı	собрано
toplandı	собрали
toplandı	собраны
ayrık	отдельных
cesaret	храбрость
cesaret	смелость
cesaret	кишки
cesaret	мужество
endişe	тревога
endişe	волноваться
endişe	озабоченность
endişe	волнуется
endişe	обеспокоенность
endişe	забота
endişe	беспокойство
endişe	обеспокоен
çoğul	множественное
öğle	ланч
öğle	полдень
öğle	обед
durur	прекращается
durur	останавливается
durur	остановки
oyuncak	игрушка
oyuncak	игрушки
oyuncak	игрушку
kaş	бровь
kaş	мускулы
kaş	кас
kaş	мышцы
kaş	бровей
kaş	мышца
kaş	брови
herodot	геродот
taşkent	ташкент
nepal	непала
problemler	проблемы
problemler	проблем
mezhep	культ
parantez	скобках
parantez	скобки
üstünlüğü	верховенство
üstünlüğü	превосходство
şerit	лейн
şerit	переулок
şerit	лэйн
şerit	полос
şerit	лента
şerit	полоса
şerit	стрип
zevk	удовольствия
zevk	наслаждение
zevk	удовольствие
açılışı	открытия
açılışı	открытие
hakimiyet	господства
hakimiyet	доминирование
hakimiyet	господство
elçisi	посланник
elçisi	посланником
ilhak	аннексии
atın	бросить
atın	бросили
atın	бросок
kopyası	скопировать
kopyası	копирование
kopyası	копия
kopyası	копировать
keşfetti	обнаружена
keşfetti	обнаружено
keşfetti	обнаружил
keşfetti	обнаруженные
keşfetti	обнаружен
katsayısı	коэффициент
tanı	диагноз
tanı	диагностических
tanı	диагностика
bangladeş	бангладеш
nakliye	грузовых
nakliye	перевозки
nakliye	судоходство
nakliye	доставка
nakliye	транспорт
nakliye	перевозка
sektör	промышленность
sektör	сектор
sektör	отрасль
sektör	промышленности
sektör	индустрия
arabası	корзину
büyüklük	величие
büyüklük	размеры
büyüklük	размер
büyüklük	масштабов
büyüklük	величина
kıyamet	армагеддон
kıyamet	апокалипсис
yem	приманка
yem	корма
yem	кормов
yem	ленте
yem	корм
yem	приманку
yem	лента
yem	ленту
terörist	террорист
terörist	террористических
terörist	террористов
terörist	террористы
şakir	шакир
ahlaki	моральная
ahlaki	мораль
ahlaki	моральный
tabur	батальона
tabur	батальон
kategorileri	категории
kategorileri	категорий
bulgular	выводы
ormanlar	джунгли
ormanlar	леса
kostüm	костюм
kostüm	костюмы
tavır	настрой
tavır	позиция
tavır	отношение
pasif	пассивной
anlık	мгновение
anlık	мгновенная
solist	солиста
belediyeler	муниципалитеты
belediyeler	муниципалитетов
gür	пышные
gür	густые
buyuk	большие
buyuk	большая
buyuk	биг
buyuk	большой
oturum	сеанс
oturum	сессии
oturum	заседание
oturum	сессия
arkası	позади
arkası	сзади
tamamıyla	полностью
tamamıyla	совершенно
tamamıyla	абсолютно
result	капля
yaratıcısı	создатель
yaratıcısı	творец
şikago	чикаго
arşivlenmiş	архив
ayrılık	разделительной
ayrılık	разделение
ayrılık	расставание
ayrılık	разлука
ayrılık	распад
ayrılık	разрыв
aletleri	приборы
aletleri	инструменты
istekleri	просьбы
istekleri	запросы
kabileler	племена
kabileler	племен
cümleler	фраз
cümleler	приговоры
cümleler	фразы
döngü	карусель
döngü	циклы
döngü	цикла
döngü	петля
döngü	цикл
uçaklar	самолеты
uçaklar	самолёт
uçaklar	самолета
uçaklar	плоскости
uçaklar	самолёты
uçaklar	самолет
uçaklar	авиация
atılmış	бросил
atılmış	выброшенных
atılmış	высланы
atılmış	исключили
vurgu	упор
vurgu	акцент
özgürlükler	свобод
özgürlükler	свободы
odaları	номера
odaları	комнаты
tekne	лодку
tekne	лодке
tekne	лодка
tekne	яхта
sıralı	последовательная
sıralı	последовательность
sıralı	последовательное
sıralı	последовательные
sıralı	последовательный
sıralı	последовательности
sıralı	последовательных
komşuları	соседями
komşuları	соседи
gezgin	путешественник
gezgin	странник
tuzlu	соленое
tuzlu	соленой
adayları	кандидаты
adayları	кандидатов
mesele	проблема
mesele	вопрос
mesele	выпуск
oğul	сын
oğul	сынок
bilgisayarlar	компьютеры
faktörler	факторы
nine	бабушка
nine	нана
elmalı	яблоко
elmalı	яблочный
sınırlar	границы
sınırlar	границ
sınırlar	пределы
ifadeleri	заявления
kolonisi	колония
kolonisi	колонии
zeka	разведка
zeka	разведки
zeka	остроумие
zeka	интеллект
yıldönümü	годовщину
yıldönümü	годовщина
yıldönümü	годовщины
yıldönümü	юбилей
sınıflar	занятия
sınıflar	классы
batum	батуми
girişimleri	попытки
girişimleri	инициативы
buldum	найдено
buldum	найдена
buldum	найдены
buldum	нашла
buldum	найден
dalgalar	волн
dalgalar	рябь
dalgalar	волны
musevi	еврей
musevi	еврейских
musevi	евреи
musevi	еврейские
musevi	еврейская
musevi	еврейский
antonius	энтони
antonius	антоний
flüt	флейта
harap	разбил
salı	вторник
salı	вт
atmak	бросать
bölük	компания
bölük	рота
bölük	взвод
bölük	отряд
bölük	эскадрилья
bölük	компании
bölük	спасатели
bölük	команда
tohum	семя
tohum	семян
tohum	семенной
tohum	семена
mutluluk	счастья
mutluluk	счастье
tayfun	тайфун
molekül	молекулярной
molekül	молекулы
dalgası	всплеск
madencilik	добычи
madencilik	майнер
madencilik	добыча
papaz	пастора
papaz	священника
papaz	викарий
papaz	пастор
papaz	священник
terminal	терминалов
bilişsel	когнитивные
yanma	сжигание
yanma	сжигания
yanma	горит
diger	другие
diger	другой
diger	другая
diger	другое
diger	прочие
fiil	глагол
sakatlık	вред
sakatlık	ранение
sakatlık	инвалидность
sakatlık	травма
sakatlık	травмы
sakatlık	инвалидности
ima	подразумевается
ima	подразумевает
yayılması	распространяется
magazin	журналы
magazin	журнал
tüketim	потребление
tüketim	потребления
fener	фонарь
fener	фонарик
fener	маяк
saraybosna	сараево
azalma	уменьшение
azalma	уменьшить
azalma	сокращение
dosyalar	файлы
dosyalar	файлов
patent	патенты
patent	патентов
tara	сканирование
oya	голоса
oya	голосов
gauss	гаусса
basılı	печатных
düzenle	редактировать
düzenle	изменить
düzenle	редактирование
düzenle	правка
dağıstan	дагестан
mantıksal	логическое
mantıksal	логика
mantıksal	логично
atomik	атомной
atomik	атомные
atomik	атомная
telekomünikasyon	телекоммуникаций
telekomünikasyon	связь
telekomünikasyon	телекоммуникации
telekomünikasyon	электросвязи
bölünmüş	сплит
bölünmüş	разделились
bölünmüş	раскол
bölünmüş	разделить
mineral	минералов
ortaklaşa	совместно
eşdeğer	эквивалентные
eşdeğer	эквивалент
tuğla	кирпичи
tuğla	кирпич
tuğla	брик
ekşi	кислый
bitişik	прилегающих
bitişik	прилегающие
kap	контейнер
kap	схватить
saçma	чепуха
saçma	абсурд
saçma	вздор
saçma	чушь
saçma	ерунда
saçma	нелепо
saçma	абсурдно
saçma	смешно
bakkal	продуктовый
idrar	моча
idrar	мочи
idrar	мочу
idrar	мочеполовой
finaller	финал
maliyet	расходы
maliyet	издержки
maliyet	цена
maliyet	стоимость
maliyet	затраты
muhasebe	учета
muhasebe	бухгалтера
muhasebe	бухгалтер
muhasebe	учет
muhasebe	бухгалтерские
paylaştı	опубликовано
paylaştı	поделилась
paylaştı	разделяет
paylaştı	разместил
paylaştı	поделился
paylaştı	опубликовал
paylaştı	поделились
eleştirmeni	критик
eleştirmeni	критика
mektuplar	письма
mektuplar	буквы
sindirim	пищеварение
sindirim	пищеварительной
tüccar	торговец
tüccar	трейдер
tüccar	торгового
motorlar	двигателей
motorlar	двигатели
pancar	свекла
pancar	свеклы
tacikistan	таджикистана
tacikistan	таджикистан
büyükler	старейшины
büyükler	взрослые
büyükler	взрослых
büyükler	старейшин
dolgu	заполнение
dolgu	наполнение
dolgu	наполнения
aydınlatma	освещение
aydınlatma	освещения
atık	отходы
atık	отходов
atık	сточных
taşınır	движется
taşımak	ношение
taşımak	неся
taşımak	нести
manço	манко
boşnak	боснийцев
boşnak	боснийских
temsili	представляющих
temsili	представляющее
temsili	представляющие
temsili	представительство
temsili	представляя
temsili	представляющий
telaffuz	произнести
telaffuz	произношение
yazlık	коттедж
yazlık	дача
nasır	насер
nasır	нассер
nasır	насир
kaplama	шпона
kaplama	покрытие
yasalar	законов
yasalar	законы
standartları	стандарты
standartları	нормы
eleman	элемент
dün	вчера
dün	вчерашний
tanıttı	введена
tanıttı	введен
tanıttı	введено
vaftiz	крещение
vaftiz	крестили
gelecekteki	будущие
gelecekteki	будущий
gelecekteki	будущая
gelecekteki	будущее
telli	строка
benzin	газа
benzin	газ
benzin	горючее
benzin	бензола
benzin	бензин
benzin	топливо
benzin	топлива
benzin	бензина
uzunlukta	длину
uzunlukta	протяженность
uzunlukta	длина
uzunlukta	продолжительность
açıklık	открытости
açıklık	открытость
açıklık	ясности
açıklık	разминированию
açıklık	ясность
açıklık	очистка
bağımsızlığı	независимости
bağımsızlığı	независимость
niçin	почему
niçin	зачем
ulaşılabilir	доступный
zorluk	трудности
zorluk	тяготы
zorluk	сложность
zorluk	трудность
huzur	мирная
huzur	мирного
huzur	мирный
huzur	мирные
huzur	мир
huzur	мира
huzur	мирное
huzur	спокойствие
gömülü	встроенный
gömülü	похоронили
gömülü	похоронен
simgeler	символы
simgeler	иконки
simgeler	символов
simgeler	значки
düşünceler	мысли
saatler	часов
saatler	часы
foto	фото
foto	фотография
kabuk	оболочка
kabuk	снаряды
kabuk	снарядов
kutlu	благословен
kabine	кабинета
kabine	кабинет
kabine	шкаф
marş	марш
marş	март
marş	марта
marş	гимн
gömüldü	похоронили
gömüldü	похоронен
kağanlığı	каганат
melez	гибридов
melez	смешанной
melez	гибрид
yeryüzü	земля
bağlılık	верность
bağlılık	обязательство
bağlılık	приверженность
bağlılık	лояльность
bağlılık	обязательства
bağlılık	преданность
sınırlıdır	ограниченная
sınırlıdır	ограниченное
sınırlıdır	ограниченный
sınırlıdır	ограниченные
çiftçilik	земледелия
işsizlik	безработицы
işsizlik	безработица
ihtiyaçları	потребности
ihtiyaçları	потребностей
fiyatı	прайс
fiyatı	цена
ekimi	трансплантации
ekimi	пересадка
akabinde	впоследствии
kombine	сочетании
kombine	комбинация
kombine	комбинации
kombine	сочетание
eğitimci	педагог
eğitimci	воспитатель
bakmak	ищу
bakmak	смотрю
çocukluğu	детства
çocukluğu	детство
oruç	поста
gerçi	хотя
belirtildi	указанных
belirtildi	указанное
belirtildi	указаны
belirtildi	указано
uzlaşma	примирение
uzlaşma	компромисса
uzlaşma	консенсуса
uzlaşma	примирения
uzlaşma	компромисс
uzlaşma	консенсус
kâr	прибыли
kâr	прибыль
fonu	фонд
çaylak	новичок
mühendisleri	инженеры
mühendisleri	инженеров
kökleri	корни
ortaklık	партнерства
ortaklık	филиал
ortaklık	партнерство
döngüsü	цикла
döngüsü	циклы
döngüsü	цикл
döngüsü	петля
met	метастазы
met	мет
mevlana	руми
dostlar	приятели
dostlar	друзей
dostlar	друзья
sarhoş	пьяный
sarhoş	пьяная
sarhoş	пьян
sarhoş	пьяные
sarhoş	пьяна
eğilimi	склонность
yankı	эко
yankı	эхо
sergiler	выставки
keşiş	монк
keşiş	монах
temsilci	представитель
temsilci	представителю
temsilci	агент
temsilci	представителя
yaratır	создает
yaratır	создается
sansür	цензуры
durağan	стабильное
durağan	стабильная
durağan	стабильной
durağan	стабильно
durağan	стабильный
faktör	фактор
faktör	фактором
faktör	коэффициент
sevinç	радости
sevinç	радость
sevinç	джой
canlılar	существа
yayıncı	издатель
yayıncı	издательство
yayıncı	телеведущий
tazminat	компенсация
tazminat	убытки
tazminat	ущерба
tazminat	возмещение
tazminat	ущерб
dışarıda	снаружи
dışarıda	вне
manzara	пейзаж
manzara	ландшафта
manzara	пейзажи
manzara	просмотр
manzara	просмотреть
manzara	ландшафт
manzara	посмотреть
manzara	вид
sitede	сайт
göçmenler	иммигрантов
göçmenler	мигранты
göçmenler	иммигранты
göçmenler	мигрантов
düğünler	свадеб
düğünler	свадьбы
yerleştirilmiş	посадил
anlayış	взаимопонимание
anlayış	понимание
anlayış	понимания
görünmez	невидимый
bileşenleri	компоненты
bileşenleri	компонентов
imkansız	невозможно
imkansız	невозможное
değirmen	милл
değirmen	миллс
inanan	верующим
inanan	верующий
valilik	губернатор
pensilvanya	пенсильвания
pensilvanya	пенсильвании
belirleyici	решительные
belirleyici	решающий
belirleyici	решительный
kil	клэй
kil	клей
kil	глины
ölümsüz	бессмертный
masum	невинных
masum	невинный
masum	невинные
masum	невинная
okyanusya	океании
truva	троян
truva	трой
yaya	пешеходов
yiyen	пожиратель
anavatan	родина
anavatan	отечество
okuyucu	читатель
binaların	зданий
binaların	здания
limon	лимонный
limon	лимоны
limon	лимон
limon	лайм
limon	лемон
filip	филлип
filip	филипп
filip	филип
yazıcı	принтер
yazıcı	принтеров
fıkıh	фикха
karayip	карибского
şampiyona	чемпионат
sinek	лети
sinek	мухи
sinek	летать
sinek	муха
sinek	мух
sinek	летит
yarbay	полковник
tutarlı	последовательная
tutarlı	последовательно
tutarlı	согласованной
mitoloji	мифология
anlaşılan	видимо
anlaşılan	очевидно
tükenmiş	исчерпаны
hipotez	гипотеза
çorba	супы
çorba	суп
suçlar	преступление
suçlar	преступность
suçlar	преступления
suçlar	правонарушения
büyücü	волшебник
büyücü	колдунья
büyücü	мастер
büyücü	колдун
büyücü	некромант
koku	запах
koku	аромат
umman	омана
umman	оман
kamyon	грузовик
kamyon	грузовики
kırılma	поломка
kırılma	преломления
kırılma	взлом
ayakları	ступни
ayakları	ноги
ayakları	стопы
ruanda	руанде
ruanda	руанда
yıkılmış	разрушены
işlevsel	функциональная
işlevsel	функциональные
işlevsel	функциональных
rehber	руководство
rehber	гид
rehber	проводник
rehber	руководства
davranışı	поведение
birleştirme	объединять
birleştirme	объединение
birleştirme	слияние
birleştirme	совместить
birleştirme	объединить
birleştirme	унификации
sonuncu	последние
sonuncu	последнее
sonuncu	последняя
sonuncu	последний
jesus	хесус
marksizm	марксизм
sloganı	девиз
uzatma	продление
uzatma	расширение
çalma	воспроизведения
çalma	воспроизведение
çalma	украсть
derinlik	глубины
derinlik	глубину
derinlik	глубин
derinlik	глубина
koza	кокон
masalı	сказка
geliri	поступления
geliri	выручка
kısımlar	секции
kısımlar	разделы
kazanç	заработок
kazanç	прибыли
kazanç	прибыль
kel	лысый
yaratık	иностранец
yaratık	тварь
yaratık	пришелец
yaratık	зверь
yaratık	чужой
yaratık	существо
yaratık	чудовище
botanik	ботаника
botanik	ботанический
denklemleri	уравнения
gidiyor	оставив
gidiyor	иду
gidiyor	едем
gidiyor	ухожу
gidiyor	оставляя
dinin	религия
dinin	религии
önlemler	предосторожности
önlemler	меры
öncelik	приоритет
başlamak	начало
başlamak	начиная
başlamak	начинаю
makul	разумный
makul	разумная
makul	разумное
makul	разумные
makul	разумно
sanayii	промышленность
sanayii	промышленный
sanayii	отрасль
sanayii	промышленные
sanayii	промышленности
sanayii	индустрия
sanayii	промышленных
tropik	тропический
tropik	тропических
tropik	тропические
komünizm	коммунизм
hokeyi	хоккей
varlıklı	богатые
varlıklı	богатых
varlıklı	богатый
sahneler	сцены
sahneler	пейзажи
uygulanabilir	применимо
bakımı	поддержание
bakımı	ведение
ömürlü	прочного
iddialar	претензии
iddialar	утверждения
iddialar	обвинения
yasaklandı	запрещенные
yasaklandı	запрещен
yasaklandı	запрещено
yasaklandı	запрещена
yasaklandı	запрещается
yasaklandı	запрещены
altta	низ
altta	снизу
altta	дно
eczacılık	аптеке
eczacılık	аптеки
eczacılık	аптека
eczacılık	фармацевтических
havayolları	авиалинии
havayolları	авиакомпания
havayolları	авиакомпании
kullanın	используйте
kullanın	использовать
kullanın	использование
kalbi	сердце
kalbi	сердцу
kupalar	кружки
çıktılar	вывод
çıktılar	мероприятия
çıktılar	выпуск
eşitliği	равенство
eşitliği	равноправие
eflak	валахии
seyrek	скудной
seyrek	нечасто
seyrek	редко
seyrek	редкие
seyrek	редкий
seyrek	редкая
seyrek	редкость
tecavüz	изнасиловал
tecavüz	изнасиловали
tecavüz	изнасилована
tecavüz	изнасилование
tecavüz	изнасилования
kazılar	раскопки
defne	залив
defne	бей
defne	лорел
defne	бэй
konuşur	говорит
afgan	афганская
afgan	афгани
afgan	афганские
afgan	афганцы
afgan	афганцев
afgan	афганских
afgan	афганский
bask	басков
tablolar	таблицы
tablolar	картины
tablolar	диаграммы
tablolar	столы
tablolar	живопись
tablolar	столики
deposu	хранилище
deposu	хранилища
jamaika	ямайки
jamaika	ямайка
otorite	полномочия
otorite	авторитет
hindu	индусы
hindu	хиндустани
tarihler	даты
tarihler	финики
bulvarı	авеню
bulvarı	бул
bulvarı	проспект
bulvarı	бульвар
komutanları	командиры
komutanları	командиров
enfeksiyon	инфекции
enfeksiyon	инфекций
enfeksiyon	инфекция
çoktan	уже
düğüm	узлы
düğüm	узел
düzenlemeleri	договоренности
düzenlemeleri	правки
formül	формулы
formül	формула
dominik	доминиканской
dominik	доминик
dominik	доминика
dominik	доминиканская
inek	корова
inek	коров
inek	ботан
inek	коровы
inek	ботаник
görüntüleme	просмотры
görüntüleme	взгляды
görüntüleme	просмотра
görüntüleme	просмотр
görüntüleme	мнения
görüntüleme	просмотров
avantaj	преимущество
avantaj	преимущества
kayalar	камни
kayalar	скалы
kayalar	валуны
gerçeklik	подлинности
gerçeklik	достоверность
gerçeklik	подлинность
gerçeklik	реализм
gerçeklik	реальность
gerçeklik	реальности
kablosuz	беспроводные
kablosuz	беспроводной
soldan	осталось
soldan	левой
soldan	налево
soldan	слева
soldan	оставил
onarım	восстановления
onarım	ремонт
onarım	восстановление
günlükler	журналы
günlükler	дневники
ücreti	плата
ücreti	плату
ücreti	гонорар
ücreti	цена
ücreti	стоимость
ücreti	затраты
kabak	сквош
arayüzü	интерфейс
kardinal	кардинал
enflasyon	инфляция
forumu	форум
forumu	форуме
hedefleri	целей
hedefleri	цели
sakız	хиос
denizaşırı	заморских
denizaşırı	зарубежные
lejyon	легион
müthiş	круто
müthiş	классно
müthiş	классная
müthiş	классные
dağılmış	разбросаны
adriyatik	адриатического
ofis	офис
ofis	офисы
ofis	кабинет
ofis	отделений
ofis	канцелярия
çizgili	полосы
çizgili	полосатый
elektronlar	электроны
ret	отказ
ret	неприятие
ret	отклонение
reel	настоящая
reel	настоящие
reel	настоящий
reel	реальные
kanallar	каналы
akut	острый
akut	острая
akut	острое
akut	острой
istikrarlı	стабильное
istikrarlı	последовательная
istikrarlı	стабильная
istikrarlı	стабильной
istikrarlı	стабильно
istikrarlı	стабильный
istikrarlı	последовательно
acımasız	жестокие
acımasız	безжалостным
acımasız	жестокое
acımasız	жестокий
acımasız	жестоко
acımasız	беспощадный
acımasız	жестокого
alım	купить
alım	покупать
filistinli	палестинских
filistinli	палестинский
filistinli	палестинцы
filistinli	палестинские
filistinli	палестинская
hacim	объём
hacim	громкость
hacim	объем
istiyor	хочет
hemşire	медсестра
hemşire	сестра
afet	бедствия
afet	бедствие
afet	катастрофы
afet	катастрофа
afet	катаклизма
afet	катастрофу
işlenmiş	обработки
işlenmiş	обработанных
işlenmiş	гравировкой
stüdyosu	студия
stüdyosu	студии
sığ	мелко
yapraklar	листьев
yapraklar	оставляет
yapraklar	листья
canavar	зверь
canavar	монстр
canavar	чудовище
bozuklukları	расстройств
bozuklukları	расстройства
fazladan	дополнительное
fazladan	дополнительные
fazladan	дополнительная
elbise	халат
elbise	платья
elbise	одежду
elbise	одежда
elbise	платье
kestane	каштаны
kestane	каштан
normandiya	нормандии
yonca	клевер
yonca	шемрок
yonca	люцерны
ekolojik	экологическая
ekolojik	экологическое
ekolojik	экологические
ekolojik	экологический
ekolojik	экологических
yükseliş	подъем
yükseliş	поднять
yükseliş	вознесения
yükseliş	лифт
yükseliş	восхождение
yürüyen	ходить
yürüyen	прогулки
tüp	трубка
tüp	трубку
panoramik	панорамный
profil	профиль
uyan	пробудить
ilanı	заявление
ilanı	декларация
astronomik	астрономических
güvercin	голуби
güvercin	голубь
meyveler	фрукт
meyveler	ягоды
meyveler	фрукты
meyveler	плоды
meyveler	плод
görünüşü	появление
görünüşü	внешность
seçenek	опции
seçenek	вариантов
seçenek	выбор
seçenek	варианты
seçenek	опция
seçenek	параметры
seçenek	вариант
palmiye	ладонь
palmiye	ладони
palmiye	палм
vatandaş	граждан
vatandaş	гражданина
vatandaş	граждане
vatandaş	гражданин
havuzu	пул
havuzu	бильярд
havuzu	бассейн
çirkin	уродливый
faktörü	фактор
faktörü	фактором
faktörü	коэффициент
büyükelçi	посла
büyükelçi	посол
ayrılma	разделение
ayrılma	разделительной
öldürme	убийства
öldürme	убийство
çamur	грязи
çamur	грязь
çamur	глины
çamur	клэй
çamur	клей
koşu	пробежки
koşu	бегать
koşu	бег
sürümleri	версий
sürümleri	версии
davut	дэвид
davut	давид
modu	режим
veliaht	дофин
korece	корейская
korece	корейском
korece	корейский
çimento	цемента
çimento	цемент
katedral	собор
manken	образец
manken	манекен
manken	модель
manken	модели
kaos	хаос
paylaşım	обмена
paylaşım	поделитесь
paylaşım	доля
paylaşım	разделить
paylaşım	размещения
paylaşım	поделиться
paylaşım	публикация
etkiledi	повлияла
savaştı	сражался
savaştı	сражались
kaçınılmaz	неизбежное
kaçınılmaz	неизбежно
kaçınılmaz	неизбежной
kaçınılmaz	неизбежность
kaçınılmaz	неизбежным
kalkış	отъезд
kalkış	выезд
kalkış	запуск
kalkış	пуск
kalkış	отход
kalkış	взлета
kalkış	отъезда
kalkış	отрыв
kıbrıslı	киприоты
kıbrıslı	киприотов
dişli	снаряжение
dişli	передач
dişli	зубы
dişli	зубов
aids	спид
talepleri	требования
talepleri	требует
sıkıntılar	беды
sıkıntılar	неприятности
sıkıntılar	невзгоды
çalı	буша
çalı	кустарник
çalı	буш
laik	светского
hamburger	бургер
sunmak	представляем
olgu	явление
olgu	феномен
sapma	отклонение
sapma	отклонения
küp	куб
küp	кубических
küp	кубик
asgari	минимальный
asgari	минимум
asgari	минимальные
asgari	минимальная
asgari	минимальным
asgari	минимальное
memeli	млекопитающих
bekliyorum	жду
bekliyorum	ждем
bekliyorum	ожидание
bekliyorum	ждать
bekliyorum	ждём
göstergesi	показатель
göstergesi	индикатор
kıyafet	одежду
kıyafet	одежда
kıyafet	одежды
kıyafet	наряд
girdiler	записи
çekilme	вывод
çekilme	снятие
gökyüzü	небеса
gökyüzü	неба
gökyüzü	скай
gökyüzü	небо
tüneli	тоннель
tüneli	туннель
aranan	хотела
aranan	набрал
aranan	хотел
aranan	разыскивается
aranan	набрала
aranan	набрали
yenileme	восстановления
yenileme	сброс
yenileme	сбросить
yenileme	восстановление
yenileme	ремонт
yenileme	реконструкция
davranışlar	поведение
finanse	финансируемые
finanse	финансы
finanse	финансируется
finanse	финансируемых
finanse	финансирование
taksi	такси
mülteci	беженца
mülteci	беженец
mülteci	беженцев
mülteci	беженцы
mafya	мафии
mafya	мафия
mafya	моб
mafya	толпа
bakteriler	бактерии
mozambik	мозамбике
mozambik	мозамбик
mozambik	мозамбика
göründü	появился
göründü	появилась
içecek	выпить
içecek	пей
içecek	напиток
içecek	пить
içecek	напитки
nar	гранаты
nar	гранат
ithaf	самоотверженность
ithaf	посвящение
ithaf	посвятить
çarpma	воздействие
çarpma	влияние
çarpma	результативность
çarpma	последствия
çarpma	умножение
çarpma	эффект
enstitü	институт
enstitü	учреждение
haz	удовольствия
haz	наслаждение
haz	удовольствие
aylar	спутники
aylar	месяца
aylar	лун
aylar	месяцев
aylar	луны
aylar	месяцы
tahminen	предположительно
bildiri	заявление
bildiri	декларация
çizgiler	полосы
çizgiler	линий
çizgiler	строк
çizgiler	линии
çizgiler	строки
mülkiyet	недвижимость
mülkiyet	собственность
mülkiyet	имущество
mülkiyet	собственности
mülkiyet	владение
mülkiyet	свойство
tramvay	трамваи
tramvay	тележки
tramvay	трамвай
ithal	импорт
monako	монако
seçeneği	опция
seçeneği	вариант
romanlar	романы
romanlar	романов
romanlar	рома
romanlar	цыгане
tedarik	снабжение
tedarik	поставка
tedarik	поставки
tedarik	закупок
tedarik	закупка
tedarik	закупки
şiddeti	серьезность
şiddeti	тяжести
şiddeti	насилие
faiz	интересы
faiz	проценты
faiz	заинтересованность
faiz	интерес
sembolize	символизируют
çalışanları	служащие
çalışanları	работников
çalışanları	сотрудники
çalışanları	работники
namibya	намибии
namibya	намибия
döviz	валюта
döviz	обмен
döviz	биржа
şer	злая
şer	злой
şer	зла
şer	зло
yakalanan	попалась
yakalanan	пойман
yakalanan	захватили
yakalanan	поймали
yakalanan	захвачены
yakalanan	поймал
yakalanan	захвачен
çikolata	шоколадный
çikolata	шоколадные
çikolata	шоколад
kenarları	края
kayıpları	убытки
kayıpları	потери
yap	сделать
balta	осей
balta	топор
balta	оси
izi	распечатать
izi	печати
izi	напечатать
izi	печать
izi	печатать
ortası	ближнем
ortası	среднее
ortası	середине
ortası	середина
ortası	средняя
ortası	средний
vakum	вакуум
jeanne	джоан
içeriğe	контент
içeriğe	содержимое
içeriğe	материалы
rütbe	звание
rütbe	ранга
rütbe	ранг
dürüst	честным
dürüst	честный
dürüst	честная
dürüst	честно
dürüst	честное
nuh	ной
nuh	ноа
nuh	ноя
nuh	нух
pilav	рис
vida	винты
böcekler	ошибки
böcekler	жуков
böcekler	жуки
böcekler	насекомыми
böcekler	насекомые
böcekler	насекомых
unsurlar	элементы
geleceğin	будущие
geleceğin	будущий
geleceğin	будущая
geleceğin	будущее
şapka	шляпу
şapka	шляпы
şapka	шапка
şapka	кап
şapka	шляпа
şapka	кэп
hapishane	тюрьма
hapishane	тюрьмах
hapishane	тюрьмы
hapishane	тюрьме
yakınlığı	близость
yakınlığı	близости
karakol	станция
karakol	вокзал
karakol	станции
enlem	широты
tenten	тинтин
lastik	эластичный
lastik	резиновые
lastik	шины
lastik	шина
unutulmaz	незабываемые
unutulmaz	запоминающимся
korosu	хором
korosu	хор
limit	пределы
namaz	молитва
namaz	молитву
namaz	молитвы
mescid	мечеть
ileriye	вперёд
ileriye	вперед
hisse	наличии
hisse	акции
cin	джин
anıları	мемуары
bela	неприятности
bela	беда
dizini	папку
dizini	каталог
dizini	папка
dizini	справочник
çarşı	базар
teorileri	теории
kesilir	усечённый
istasyonları	станций
istasyonları	станции
diyalog	диалог
tufan	потоп
tufan	наводнений
tufan	наводнение
seçtiği	выбирает
aramak	звонок
aramak	звонить
aramak	призвание
simetri	симметрия
kapitalist	капиталистической
torpido	торпеда
mülk	недвижимость
mülk	собственность
mülk	имущество
mülk	собственности
mülk	свойство
yenilik	новшества
yenilik	новинка
yenilik	инноваций
yenilik	инновации
yenilik	нововведения
yenilik	новизны
örtülü	подразумевается
örtülü	охватывает
saldıran	нападавшего
saldıran	нападающий
ikram	угощения
helyum	гелий
ebeveyn	родители
ebeveyn	воспитание
ebeveyn	родитель
ebeveyn	родителям
ebeveyn	родительский
ebeveyn	родителей
levha	лист
levha	плита
levha	тарелка
levha	тарелку
avcılık	охоты
avcılık	охота
adımlar	ступеньки
adımlar	этапы
adımlar	шаги
damla	капля
damla	кап
damla	капли
damla	капель
hazırlandı	подготовленный
