در	ドア
دونده	ランナー
ماکیان	シグナス
متغیرها	可変
متغیرها	変数
خار	アザミ
نبردناو	戦艦
پیران	ピラン
جرالد	ジェラルド
بخشش	マーシー
بخشش	許し
بخشش	寛大
بخشش	慈悲
بخشش	許す
کاربردها	アプリケーション
مبنا	塩基
مبنا	ベース
فلوت	フルート
اتین	エティエンヌ
ادو	江戸
اتاقی	ルーム
اتاقی	部屋
بوهم	ボヘミア
گذرنامه	パスポート
گذرنامه	旅券
مکعبی	三次
شهابی	メテオ
شهابی	流星群
موسیقیدان	ミュージシャン
موسیقیدان	音楽家
هیوز	ヒューズ
تخیل	イマジネーション
تخیل	想像力
تخیل	想像
دومینیکا	ドミニカ
ساماندهی	簿記
دویل	ドイル
هنریک	ヘンリク
خراج	朝貢
اپوزیسیون	野党
لاستیک	ゴム
لاستیک	タイヤ
لاستیک	ラバー
زنگی	ダチ
دامپزشکی	獣医
سوئز	スエズ
پتی	パティ
غیرمستقیم	間接
کرکس	ハゲワシ
صیاد	捕食
آلبر	アルバート
آلبر	アルベルト
دات	ドット
گذشتن	合格
مقصر	責め
گوته	ゲーテ
ناخدا	隊長
ناخدا	キャプテン
درخشندگی	グリッター
درخشندگی	光度
درخشندگی	グレア
درخشندگی	キラキラ
درخشندگی	明度
مخلوطی	混合物
ساید	シド
متان	メタン
گرانادا	グレナダ
گرانادا	グラナダ
استثنا	例外
آمین	アーメン
اصطکاک	摩擦
گامبیا	ガンビア
سوماترا	スマトラ島
درسدن	ドレスデン
فرابنفش	紫外線
دوزخ	ヘル
دوزخ	インフェルノ
دوزخ	地獄
دروغین	虚偽
گالیله	ガリレオ
الکسی	アレクセイ
هاو	ハオ
هاو	ハウ
دیانا	ディアナ
مارتینز	マルティネス
پروفایل	プロフィール
پروفایل	プロファイル
تسریع	加速
تسریع	加速度
شربت	ジュース
شربت	シロップ
الوار	材木
الوار	木材
ولوو	ボルボ
برک	バーク
آیچی	愛知
آبجو	ビール
مات	不透明
فراغت	余暇
فراغت	レジャー
کارآفرینی	起業
بطری	ボトル
ذغال	石炭
ذغال	スラグ
مفعول	オブジェクト
مفعول	ボトム
اروین	アーウィン
ضربان	パルス
ضربان	脈拍
آیینه	ミラー
کفر	否定
کفر	冒涜
کفر	浮気
حلزون	カタツムリ
گویندگان	話者
فاسد	退廃
نویسه	文字
نویسه	キャラクター
نویسه	性格
سیلویا	シルヴィア
سیلویا	シルビア
شناختن	識別
اویلر	オイラー
تعویق	後回し
سرسخت	頑固
لفظی	リテラル
کلینیک	クリニック
کلینیک	診療所
پیشگویی	預言
پیشگویی	予言
قولی	約束
مردانی	メン
مردانی	男性
لینچ	リンチ
پیشنهادهای	提案
پیشنهادهای	おすすめ
شیرهای	ライオンズ
شیرهای	ライオン
ترامپ	切り札
فارنهایت	華氏
خردمند	知能
خردمند	インテリジェント
خردمند	英明
خردمند	知的
تاسف	後悔
معاینه	試験
معاینه	取調べ
معاینه	審査
معاینه	検査
یادمان	モニュメント
یادمان	記念碑
هرمس	ヘルメース
هضم	ダイジェスト
هضم	消化
هضم	消化器
جنگها	ウォーズ
جنگها	戦争
پالایه	フィルター
پالایه	フィルタ
سوت	口笛
سوت	ホイッスル
جامه	衣類
بالگردگاه	ヘリポート
آنتیگوا	アンティグア
استیونز	スティーヴンス
مگی	マギー
آمپر	アンペア
غیرطبیعی	不自然
غیرطبیعی	異状
خاویر	ザビエル
کابوس	ナイトメア
کابوس	悪夢
مازاد	超過
ورشکستگی	破産
ورشکستگی	倒産
لیام	リアム
داکوتا	ダコタ
آرمانی	アルマーニ
فواید	福利
دوردست	遠い
دنور	デンバー
رودها	河川
رودها	ストリーム
سوئیفت	スウィフト
سوئیفت	スイフト
کامپایل	コンパイル
کامپایل	編纂
آمینو	網野
آمینو	アミノ酸
شال	ショール
شال	スカーフ
روت	ルース
خوشی	ハピネス
خوشی	幸せ
خوشی	ジョイ
خوشی	喜び
خوشی	幸福
مورچه	アリ
کاکس	コックス
ناز	可愛い
ناز	キュート
ناز	ブリス
ناز	至福
ناز	かわいい
باغچه	庭園
فاینال	ファイナル
فاینال	決勝
فاینال	最終
الکساندرا	アレクサンドラ
میسون	メイソン
سانتاندر	サンタンデール
سفالی	陶芸
سفالی	陶器
افزونه	延長
افزونه	内線
همگرایی	収束
رژه	パレード
اخیرا	最近
روبین	ロビン
اکتشافات	探検
آوا	阿波
چان	チャン
شقایق	ベリー
تاجیکی	タジク
تمسخر	モック
تمسخر	嘲笑
موز	バナナ
اندوه	苦悩
اندوه	悲しみ
رونالدو	ロナウド
آکوستیک	アコースティック
هنرمندی	芸術家
هنرمندی	アーティスト
نیمروز	正午
نیمروز	昼間
چوپان	シェパード
بالستیک	弾道
نابینا	盲人
نابینا	ブラインド
آماتور	アマチュア
فوراً	直ちに
توالت	便所
توالت	便器
توالت	トイレ
آنجلو	アンジェロ
تورنمنت	トーナメント
دادرسی	公判
دادرسی	トライアル
دادرسی	審判
دادرسی	裁判
لاهور	ラホール
کوریتیبا	クリチバ
اتاقک	船室
اتاقک	コックピット
اتاقک	キャビン
توکوگاوا	徳川
مکالمه	スレッド
مکالمه	会話
کیس	ケース
جرارد	ジェラード
دف	デフ
ماین	メイン
کارزار	戦い
کارزار	戦闘
کارزار	バトル
هلیم	ヘリウム
خریداران	バイヤー
اهانت	軽蔑
همخوان	子音
همخوان	コーラス
کلینت	クリント
بوروندی	ブルンジ
آندریا	アンドレア
دوون	デヴォン
شارون	シャロン
تونگا	トンガ
خورخه	ホルヘ
اندروز	アンドリュース
پالمر	パーマー
هپاتیت	肝炎
مناسک	祭事
پلاس	プラス
امانت	整合性
گومز	ゴメス
نوئل	ノエル
سنترال	中央
سنترال	セントラル
هایک	平家
هوکایدو	北海道
خالدار	斑点
ساکت	静か
ساکت	静けさ
کلوب	クラブ
کلوب	棍棒
طرحهای	デザイン
ملیتی	国籍
صباح	サバーハ
فشنگ	銃弾
فشنگ	カートリッジ
فشنگ	弾丸
گون	ゴン
هلنا	ヘレナ
افعال	動詞
شری	シェリー
بازخورد	フィードバック
جویس	ジョイス
آلباتروس	アルバトロス
مؤمن	信ずる
مؤمن	忠実
آستون	アストン
ماندگاری	耐久性
یاکوب	ジャコブ
ویتوریو	ヴィットリオ
ویتوریو	ヴィットーリオ
مدیسون	マディソン
شیروانی	屋根裏
فای	フェイ
بلفاست	ベルファスト
بافر	バッファ
بافر	バッファー
قیچی	ハサミ
قیچی	はさみ
چاقی	脂肪
چاقی	肥満
بازو	アームス
پرنسس	プリンセス
پرنسس	王女
ضرایب	係数
پارت	部分
پارت	パート
شیلات	漁業
تیمهای	チーム
درنگ	滞在
نابرابری	不平等
نابرابری	不等式
رمزگشایی	デコード
رمزگشایی	解読
دندانپزشکی	歯学
دندانپزشکی	歯科
هیت	ヒース
بول	ブル
ورژن	エディション
بافتی	ティッシュ
لوبیا	ビーン
جنی	ジェニー
هادسون	ハドソン
کوبه	神戸
نزدیکتر	近い
حواس	感覚
اسرارآمیز	オカルト
استفانی	ステファニー
گزارشگر	リポーター
گزارشگر	レポーター
مریل	メリル
النور	エレノア
سوییس	スイス
فانوس	ランタン
فانوس	提灯
دفترچه	ノートブック
دفترچه	ノート
متهمان	被告
ایگل	ワシ
ایگل	イーグル
سانتو	サント
ویر	ウェア
ویر	ヴィール
لنگر	アンカー
لنگر	停泊
خطری	危険
آنست	発症
سوختگی	火傷
سوختگی	焼き
سوختگی	バーンズ
سوختگی	やけど
مالاگا	マラガ
یورگن	ユルゲン
برایتون	ブライトン
سانی	サニー
سانی	晴れ
القایی	帰納
القایی	誘導
رینولدز	レイノルズ
رونی	ロニー
نفوذی	インサイダー
لیبرتی	自由
لیبرتی	リバティ
باواریا	バイエルン
برنجی	ライス
برنجی	真鍮
برنجی	ご飯
دالان	回廊
دالان	廊下
قاعدگی	月経
پوزش	言い訳
پوزش	いいわけ
ماکائو	マカオ
مثانه	膀胱
ادا	エイダ
ادا	江田
ماریون	マリオン
آمبرلا	アンブレラ
زاغه	スラム
چاق	脂肪
فضیلت	美徳
گروس	グロス
نمادها	シンボル
نمادها	記号
شارپ	シャープ
شارپ	鋭い
پیترو	ピエトロ
پاناسونیک	パナソニック
هرمی	ピラミッド
مستثنی	除外
تورهای	トゥール
تورهای	ツアー
آگوستوس	アウグストゥス
آگوستوس	オーガスタス
سیشل	セーシェル
کای	カイ
آرزوهای	期待
مخروط	コーン
مخروط	円錐
لم	補題
رالی	ローリー
رالی	ラリー
کونگ	コング
آهوی	シカ
کاکتوس	サボテン
گوگوریو	高句麗
چرچیل	チャーチル
پرستو	プレスト
پرستو	飲み込む
پرستو	ツバメ
سوان	白鳥
سوان	スワン
بندپایان	節足動物
متافیزیک	形而上学
تذکره	伝記
پرهای	羽毛
ایدا	エイダ
ایدا	イダ
ایدا	アイダ
کلیر	クレア
تیری	ティエリー
جسارت	推定
میراندا	ミランダ
کنسرسیوم	コンソーシアム
نخود	エンドウ
زنگبار	ザンジバル
گوران	ゴラン
مهمانان	ゲスト
باکتریایی	細菌
باکتریایی	バクテリア
ژنراتور	ジェネレータ
ریانا	リアーナ
کوله	リュック
کوله	リュックサック
ساکس	ソックス
ساکس	サックス
لونا	ルナ
فروشندگان	ベンダー
سامرا	サモラ
هوارد	ハワード
لبخند	スマイル
لبخند	笑顔
سرزنش	責め
مرورگرهای	ブラウザー
جوخه	分隊
جوخه	小隊
یکا	ユニット
یکا	単位
فیلی	ゾウ
فیلی	フィラデルフィア
استراسبورگ	ストラスブール
استفراغ	嘔吐
نوسانات	変動
کولین	コリン
جنگلهای	森林
فریتس	フリッツ
یوحنا	ジョン
کنسرواتوار	温室
بیضوی	楕円
اجتماعات	コミュニティ
کلمبوس	コロンブス
رکس	レックス
عبوری	トランジット
همسان	同一
باداخس	バダホス
ناخودآگاه	無意識
تالین	タリン
والری	ヴァレリー
خونه	帰宅
خونه	ホーム
خونه	自宅
عزیزان	恋人
بیوه	死別
بیوه	未亡人
عدن	アデン
عدن	エデン
دلتای	デルタ
التهابی	炎症
زبانه	タブ
قرضه	債務
تهوع	吐き気
ناخن	ネイル
خنجر	ダガー
خنجر	短剣
بانکوک	バンコク
کالیبر	口径
ماژور	少佐
ماژور	メジャー
ماژور	専攻
خندق	トレンチ
مطیع	従順
اسکله	桟橋
اسکله	埠頭
خوابگاه	ホステル
خوابگاه	学寮
دایان	ダイアン
وجدان	良心
خودمختاری	自治
اتاوا	オタワ
سلین	セリーヌ
غاز	ガチョウ
طعمه	捕食
طعمه	ベイト
نای	気管
نای	ナイ
صداقت	誠実
صداقت	正直
صداقت	誠意
تعهدات	債務
تعهدات	義務
رومانتیک	ロマンチック
ابریشمی	シルク
سکوهای	プラットフォーム
سنگسار	ストーン
آتیلا	アッティラ
سازش	決済
سازش	リュート
سازش	宿泊
سازش	妥協
سازش	集落
سازش	和解
نیکسون	ニクソン
مرداب	沼地
مرداب	ラグーン
چتر	パラシュート
چتر	アンブレラ
تاشکند	タシュケント
نیکوزیا	ニコシア
عزیزم	蜂蜜
عزیزم	赤ちゃん
عزیزم	はちみつ
عزیزم	ディア
عزیزم	ベイビー
عزیزم	ハニー
هاربر	ハーバー
ادویه	香辛料
ادویه	味付け
ادویه	調味料
ادویه	スパイス
فدریکو	フェデリコ
سروتونین	セロトニン
هد	ヘッド
هد	頭部
مومیایی	ミイラ
ماکسیم	マキシム
ماکسیم	マクシム
ترومن	トルーマン
استنتاج	推論
استنتاج	値引き
چاپخانه	出版
چاپخانه	出版物
چاپخانه	公表
گناهان	フォールト
جادوی	マジック
جادوی	魔法
سفارشی	カスタム
سفارشی	風習
کلیپ	クリップ
ناراضی	不満
دوج	ダッジ
دوج	ドッジ
متد	方法
متد	メソッド
روشنفکر	知識人
محصولاتی	プロダクト
محصولاتی	製品
محصولاتی	商品
زامبی	ゾンビ
شفق	トワイライト
شفق	赤み
شفق	たそがれ
هاوک	タカ
هاوک	ホーク
اوان	エヴァン
اوان	エバン
شاهدان	証人
فریدمن	フリードマン
مسیریابی	ルーティング
حسادت	嫉妬
زمانهای	タイムズ
کنسرتو	コンチェルト
کنسرتو	協奏曲
همایند	連語
معمای	ジレンマ
معمای	ミステリー
معمای	パズル
زوم	ズーム
گرانیت	花崗岩
رویترز	ロイター
باندی	バンディ
حکیمی	英明
ادل	アデル
شیلد	シールド
سهمی	放物線
یونیون	ユニオン
منقار	くちばし
داوکینز	ドーキンス
تولدو	トレド
بلبل	ナイチンゲール
راههای	パス
مونیکا	モニカ
کامی	カミーユ
کامی	カミール
معتمد	信頼
هدفی	目的
چکش	ハマー
چکش	ハンマー
گالن	ガロン
گالن	ガレノス
سوزا	ソウザ
سانچز	サンチェス
بلدرچین	ウズラ
وداع	別れ
چارت	チャート
موشی	ねずみ
موشی	マウス
تینا	ティナ
تره	トレ
تره	トッレ
کید	ケード
کید	キッド
داو	ダウ
مته	ドリル
هیولا	モンスター
هیولا	怪獣
هیولا	怪物
اوتو	オットー
تیتانیوم	チタン
اسپرم	精子
لاشه	死体
ضمیر	代名詞
ایزاک	アイザック
ایزاک	イサク
زینت	キラキラ
زینت	グリッター
بخوانند	読み
بخوانند	読む
بخوانند	読み込み
بخوانند	読み取り
اوکیناوا	沖縄
مکلنبورگ	メクレンブルク
تدارکات	ケータリング
ساراگوسا	サラゴサ
سودی	営利
سودی	給付
سودی	利益
سودی	収益
ساکرامنتو	サクラメント
استیک	ステーキ
بزرگوار	栄光
بزرگوار	尊い
درایو	ドライブ
هرتز	ヘルツ
دزدیده	誘拐
آتلانتیس	アトランティス
مردود	拒絶
مردود	失敗
ورم	腫れ
ورم	浮腫
موم	蜜蝋
سردرد	頭痛
زاهد	隠者
اجاق	オーブン
اجاق	ストーブ
اجاق	コンロ
مرغابی	カモ
مرغابی	ダック
مرغابی	アヒル
ستونی	カラム
ترا	テラ
کامو	カミュ
کامو	加茂
کامو	賀茂
خاکسپاری	埋葬
خاکسپاری	葬儀
خاکسپاری	葬式
اتر	エーテル
مادربزرگ	おばあさん
مادربزرگ	祖母
قلاب	フック
همگن	均質
سایتاما	埼玉
سایتاما	さいたま
معالجه	セラピー
معالجه	トリートメント
معالجه	治療
معالجه	待遇
یانی	ヤニ
اوره	尿素
دوسلدورف	デュッセルドルフ
دائماً	常時
دائماً	絶えず
زننده	厳しい
قزاق	コサック
پلیموث	プリマス
اورال	ウラル
اورال	口頭
خواستگاری	提案
خواستگاری	プロポーズ
وایلد	野生
وایلد	ワイルド
لیدن	ライデン
ضیاء	ジア
هانی	はちみつ
هانی	蜂蜜
هانی	ハニー
هوپ	ホープ
هوپ	希望
براک	タケシ
نامرئی	不可視
ارگانیک	有機
تملک	占有
تملک	所持
جهانگردی	探検
آندریاس	アンドレアス
جواز	免許
جواز	ライセンス
حواصیل	サギ
کمین	ストーカー
کمین	待ち伏せ
اتوبان	ハイウェイ
اتوبان	車道
اتوبان	公道
ریتا	リタ
لعاب	エナメル
لعاب	グレーズ
ومبلی	ウェンブリー
هوک	フック
اعیاد	休日
اعیاد	祝日
معنویت	スピリチュアリティ
معنویت	スピリチュアル
کوئن	コーヘン
کوئن	コーエン
گلخانه	温室
بدرود	別れ
پونتیاک	ポンティアック
آویخته	ハング
واریانس	分散
بوداگرایی	仏教
راهب	モンク
مردن	デッド
تخفیف	割引
تخفیف	ディスカウント
محرکه	機関車
آرسنیک	ヒ素
بریل	ヒラメ
بریل	点字
میکی	ミッキー
جزییات	ディテール
مرئی	可視
خردسال	マイナー
گلچین	アンソロジー
فوتون	光子
قلمی	スレンダー
عامر	アーミル
وولف	ウルフ
وولف	オオカミ
پورتسموث	ポーツマス
تاتار	タタール
سبزه	ブルネット
کالری	カロリー
فابیو	ファビオ
بیسمارک	ビスマルク
برانکس	ブロンクス
محک	ベンチマーク
متروکه	放棄された
پوتین	ブーツ
اتیلن	エチレン
خداحافظ	バイ
خداحافظ	さようなら
دوبی	ドバイ
یوزپلنگ	プーマ
یوزپلنگ	チーター
آنتورپ	アントワープ
برآمدگی	モンティチェロ
آدلر	アドラー
گلیز	グリーゼ
سیمز	シムズ
سیمز	シムス
والش	ウォルシュ
رونویسی	転写
سوروس	セウェルス
گراز	セイウチ
گراز	イノシシ
گینس	ギネス
سالیوان	サリバン
سالیوان	サリヴァン
آرلینگتون	アーリントン
ماراتن	マラソン
سیاهی	ブラック
سیاهی	黒い
لگن	骨盤
نیپون	ニッポン
نیپون	日本
روبر	ロベルト
روبر	ロベール
روبر	ロバート
پرطرفدار	トレンド
ورقه	シート
آنارشیسم	アナキズム
تاپ	トップ
تاپ	上部
جادوگری	魔女
جادوگری	ウィッチ
فیلمبردار	カメラマン
خلقت	創造
خلقت	作成
میکائیل	ミヒャエル
میکائیل	マイケル
نولان	ノーラン
نیروانا	ニルヴァーナ
نیروانا	涅槃
مستقیما	直接
اسپیرز	スピアーズ
تکی	独身
تکی	シングル
تروا	イリオス
تروا	トロイ
خوشبختی	幸福
خوشبختی	ハピネス
خوشبختی	幸せ
لیمو	レモン
باکره	ヴァージン
باکره	処女
پلوتو	冥王星
پلوتو	プルート
مغناطیس	磁石
مغناطیس	マグネット
مغناطیس	磁性
ایلیا	イリヤ
شیار	トラック
لورنزو	ロレンソ
لورنزو	ロレンツォ
سرجیو	セルジオ
بانکدار	銀行員
کراکوف	クラクフ
حنا	ハナ
ملیسا	メリッサ
لگاریتم	対数
تخمدان	卵巣
دایملر	主権
شکن	折り目
گلوگاه	咽喉
برمید	臭化物
سرزمینهای	土地
یگانگی	統一
سؤالات	質問
دکل	マスト
ضمانت	保釈
ضمانت	保障
ضمانت	保証
ضمانت	保証書
دارکوب	キツツキ
ارتفاعی	身長
شریان	動脈
مشروب	リキュール
مارینا	マリーナ
ساموآ	サモア
صبحانه	朝食
برا	ブラ
برا	ブラジャー
سوز	バーナー
فرکانسی	頻度
فرکانسی	周波数
کاپور	カプール
لیسا	リサ
ترم	用語
ماندلا	マンデラ
درامر	ドラマー
باریکه	狭い
بریت	ブリット
صرع	てんかん
ارابه	荷車
ارابه	カート
کدی	コーディー
کدی	キャディ
آدانا	アダナ
ناممکن	不可能
ناممکن	インポッシブル
ناممکن	不能
هولشتاین	ホルシュタイン
گلوریا	グロリア
احمق	バカ
نعمتی	祝福
نعمتی	恵み
قمار	賭博
قمار	賭け事
قمار	ギャンブル
قارچی	菌類
نیلی	インディゴ
پیمانکار	請負人
بابایی	ダディ
وثیقه	保釈
وثیقه	担保
القای	帰納
القای	誘導
اینچئون	仁川
آنجلا	アンジェラ
لیوان	マグカップ
لیوان	ガラス
لیوان	グラス
حریق	放火
تخمیر	発酵
هارمونی	ハーモニー
هارمونی	調和
صدمات	ダメージ
صدمات	損害賠償
پیکاسو	ピカソ
تراست	トラスト
تراست	信頼
دارک	ダーク
دارک	暗い
تایتانیک	タイタニック
ملاحظات	考察
دستگاههای	機器
دستگاههای	デバイス
پهناور	ワイド
ژرف	ディープ
ژرف	深い
موتسارت	モーツァルト
بیر	ビール
بیر	クマ
غیاب	欠席
زرافه	キリン
بوکا	ボカ
تلمبه	ポンプ
سلسیوس	摂氏
زهکشی	排水
حاتم	ハテム
رله	リレー
تسلا	テスラ
اوستیای	オセチア
تایر	タイヤ
ماژول	モジュール
میک	ミック
کلین	コリン
هانیبال	ハンニバル
شهیدان	殉教
شرور	悪役
متفکر	物思い
متفکر	思想
شیفت	シフト
شیاطین	悪霊
آمونیاک	アンモニア
فتق	ヘルニア
سرورهای	サーバー
سرورهای	サーバ
هورن	ホルン
هورن	ホーン
هورن	クラクション
میت	ミット
میت	メイト
میت	マテ
فوکوئوکا	福岡
اقامتگاه	居所
اقامتگاه	住居
نابودگر	ターミネーター
نماهای	ビュー
فایو	ファイブ
فایو	五つ
مدنظر	フライ
ملخ	イナゴ
ملخ	バッタ
باهوش	知能
باهوش	スマート
باهوش	賢い
باهوش	知的
باهوش	インテリジェント
هیوم	ヒューム
دوسالانه	ビエンナーレ
شلی	シェリー
توانبخشی	更生
توانبخشی	再生
توانبخشی	リハビリ
توانبخشی	リハビリテーション
مکاتبات	対応
مکاتبات	通信
اوزون	オゾン
بلیط	チケット
بلیط	切符
تعاملی	インタラクティブ
ناامید	がっかり
ناامید	必死
نینجا	忍者
نینجا	ニンジャ
عقلانی	知識人
مصونیت	免疫
کربنی	炭素
لارس	ラース
معتاد	中毒
وارون	反転
فیصل	ファイサル
بازگردانی	維新
بازگردانی	修復
بازگردانی	復元
ظرافت	ご馳走
ظرافت	エレガンス
خمیده	ベント
گورو	グル
گورو	五郎
گلابی	ナシ
دورگه	ハイブリッド
وایس	ヴァイス
وایس	バイス
کانو	カノ
کانو	カヌー
خاموشی	停電
گلد	グールド
گلد	ゴールド
الیویه	オリヴィエ
حاملگی	妊娠
چکیده	抽象
چکیده	消化器
چکیده	コンパクト
چکیده	エキス
چکیده	ダイジェスト
میسن	メイソン
مالاریا	マラリア
بویایی	嗅覚
عمد	故意
پاستور	牧師
تابشی	明度
تابشی	光度
تابشی	晴れやか
کرکوک	キルクーク
تنبل	ナマケモノ
تنبل	怠け者
تنبل	だらだら
بارت	バート
ورسای	ヴェルサイユ
شست	親指
تاکتیک	戦術
کاسترو	カストロ
اوک	オーク
پاتریشیا	パトリシア
صعودی	昇順
کدگذاری	コーディング
اسکورسیزی	スコセッシ
دوروتی	ドロシー
ساعد	前腕
سگی	イヌ
بیسیک	基本
بیسیک	ベーシック
شهبانو	女帝
شهبانو	皇后
هاوانا	ハバナ
لغزش	スクロール
لغزش	巻物
لغزش	スリップ
بکش	キル
روزنه	絞り
رادیواکتیو	放射能
هلمز	ホームズ
تفتیش	検問
تفتیش	検査
کراچی	カラチ
گردشگر	ツーリスト
گردشگر	観光
مسافری	荷物
مسافری	トラベラー
مسافری	通勤
کخ	コッホ
آسم	ぜんそく
آسم	喘息
لیونل	ライオネル
گوتنبرگ	グーテンベルク
کبری	コブラ
پیشی	キティ
دیاز	ディアス
شجاعی	ブレイブ
شجاعی	勇敢
شجاعی	勇者
اهرم	レバー
وودز	ウッズ
شهرتی	名声
آلساندرو	アレッサンドロ
موریسون	モリソン
پریرا	ペレイラ
فرناندز	フェルナンデス
تراشیده	かき氷
مدولاسیون	変調
هوشیاری	意識
پیانیست	ピアニスト
ایستوود	イーストウッド
اوترخت	ユトレヒト
سریالهای	シリアル
ممیز	スラッシュ
پولیس	警察
پولیس	警察官
پولیس	ポリス
نووگورود	ノヴゴロド
مؤنث	女性
دامی	トラップ
دامی	ダミー
آلیاژ	合金
سمینار	セミナー
ماتریکس	マトリックス
ماتریکس	行列
وانواتو	バヌアツ
ورا	ヴェラ
مهربانی	親切
مهربانی	愛着
مهربانی	愛情
مهربانی	思いやり
مهربانی	同情
تیت	テイト
تیت	テート
مورو	モロー
مورو	モロ
تنگستن	タングステン
نمو	増分
نمو	インクリメント
لامبورگینی	ランボルギーニ
کندن	掘る
تاز	ギャロップ
وون	ウォン
گلدان	花瓶
معشوق	愛する
معشوق	あつい
گلبرگ	花びら
گلبرگ	花弁
خامه	クリーム
الیمپوس	オリンポス
ترزا	テレサ
پاسگاه	ステーション
ورونیکا	ヴェロニカ
ورونیکا	ベロニカ
مرلین	マーリン
قو	白鳥
قو	スワン
میلو	メロ
موزون	リズム
پیگیر	トラッキング
پرینس	プリンス
وینس	ヴィンス
وینس	ビンス
تلاشهای	努力
تلاشهای	取り組み
تلاشهای	未遂
مقاومتی	レジスタンス
مقاومتی	抵抗
ایستاد	ストール
املایی	つづり
املایی	スペル
املایی	スペリング
هملت	ハムレット
نردبان	梯子
نردبان	はしご
نردبان	ハシゴ
نردبان	ラダー
واله	ヴェイル
واله	バジェ
واله	ヴァッレ
مقعد	肛門
مقعد	アナル
مقعد	直腸
دایمی	パーマネント
تعمید	洗礼
رقیق	薄める
اسپم	スパム
راهبری	パイロット
بیوشیمی	生化学
لسوتو	レソト
آخن	アーヘン
بازارها	マーケット
جیب	ポケット
ژنی	ジーン
ژنی	遺伝子
نظرها	コメント
آرکید	アーケード
آرکید	ゲームセンター
ناتان	ネイサン
پرایس	価格
پرایس	値段
پرایس	対価
پرایس	プライス
افزایشی	増加
معلمی	先生
معلمی	教員
معلمی	教師
کایل	カイル
سایلنت	無音
سایلنت	サイレント
زیگموند	ジークムント
اپی	エピ
اپی	アドレナリン
بگیرم	憎悪
بهادر	バハードゥル
غزنی	ガズニー
آکواریوم	アクアリウム
آکواریوم	水族館
کرن	カレン
کاه	ストロー
کاه	トリミング
کاه	籾殻
کاه	わら
آمور	アムール
آمور	アモール
استارت	ステュアート
استارت	スチュアート
مایرز	マイヤーズ
مش	マッシュ
مش	メッシュ
لوتوس	ロータス
لوتوس	ハス
فاشیسم	ファシズム
مزایا	利点
مزایا	長所
لوت	ロッテ
گلها	お花
سست	弱める
سست	弱い
تبصره	脚注
خندان	笑う
خندان	笑い
لاغر	スキニー
لاغر	薄い
لاغر	細い
شاندونگ	山東省
شبکیه	網膜
دوناتلو	ドナテッロ
ورن	ヴァーン
ورن	ヴェルヌ
مریلین	マリリン
مفسران	コメンテーター
کروس	クルス
کبرا	コブラ
آلتایی	アルタイ
سرمایش	冷却
بلوم	ブルーム
نگارنده	デザイナー
تین	スズ
تین	ティーン
تین	十代
سوئیچ	切り替え
سوئیچ	スイッチ
هلو	モモ
هلو	ピーチ
خبرنگاری	ジャーナリズム
خبرنگاری	報道
کورنلیوس	コーネリアス
کورنلیوس	コルネリウス
مایلز	マイル
برشا	ブレーシャ
خلوص	誠実
خلوص	誠意
جیووانی	ジョバンニ
جیووانی	ジョヴァンニ
پارادوکس	パラドックス
دیلن	ディラン
اورت	エヴァレット
گیتس	ゲイツ
اتانول	エタノール
سرگرد	少佐
سرگرد	メジャー
سرگرد	専攻
اهم	オーム
رسانا	車掌
گولد	グールド
سیمور	シーモア
مزایده	オークション
مزایده	競売
کلاد	クロード
آبها	ウォーターズ
افراط	過激派
افراط	超過
خشایار	クセルクセス
کیسی	ケーシー
دخانیات	たばこ
دخانیات	タバコ
نابغه	天才
هیلبرت	ヒルベルト
ریزه	リゼ
خارش	かゆみ
خارش	かゆい
خارش	発疹
عمری	生涯
عمری	通算
کتان	リネン
کتان	木綿
کتان	コットン
تاتا	タタ
قرنیه	角膜
مکالمات	スレッド
مکالمات	会話
سولفور	硫黄
شکوفه	フラワー
شکوفه	ブルーム
متفکران	思想家
ولینگتون	ウェリントン
میاد	来る
میاد	カミング
منش	態度
منش	姿勢
وسوسه	誘惑
ایروینگ	アーヴィング
سقفی	天井
محموله	貨物
محموله	出荷
عرشه	デッキ
عرشه	甲板
شاکی	原告
چچن	チェチェン
سوپرانو	ソプラノ
روتردام	ロッテルダム
پارانا	パラナ
یونکرس	ユンカース
اورست	エベレスト
اشباح	ゴースト
سرماخوردگی	インフルエンザ
سرماخوردگی	風邪
سرماخوردگی	寒い
سرماخوردگی	コールド
سرماخوردگی	冷たい
آتنا	アテーナー
دستیاری	アシスタント
دستیاری	アシスト
دستیاری	助手
عمار	アマル
تبلت	タブレット
انریکو	エンリコ
طبل	太鼓
طبل	ドラム
سیمپسون	シンプソン
چخوف	チェーホフ
کارساز	サーバー
کارساز	サーバ
کارتاژ	カルタゴ
اورلاندو	オーランド
اورلاندو	オルランド
اورلاندو	オーランドー
سیلاب	torrent
پیمانه	測定
پیمانه	計測
پیمانه	モジュール
سامر	サマー
ایفل	エッフェル
تمساح	ワニ
تمساح	アリゲーター
تمساح	クロコダイル
وهم	イリュージョン
وهم	錯覚
وهم	妄想
وهم	ファンタジー
وهم	幻想
دودی	スモーク
لوئیجی	ルイジ
پلک	まぶた
ابرو	まゆ
ابرو	眉毛
غزال	ガゼル
بزرگنمایی	ズーム
دوتا	二人
دوتا	二つ
خیس	濡れ
پرداز	プロセッサ
