年	jaar
表決	stem
表決	stemmen
表決	stemming
阿爾巴尼亞	albanië
濫用	misbruikte
濫用	misbruiken
濫用	aanstootgevend
濫用	misbruik
濫用	misbruikt
濫用	mishandeld
濫用	mishandeling
汁	sap
小吃	hapjes
小吃	hapje
小吃	tussendoortje
海王星	neptunus
犁	ploeg
犁	ploegen
黃昏	schemering
地理位置	aardrijkskunde
地理位置	geografie
演變	evolutie
演變	ontwikkeling
辣	pikant
辣	gekruid
辣	pittige
辣	pittig
適當	toepasselijk
適當	passende
適當	passend
適當	gepast
適當	geschikt
夾	fragment
某人	iemand
貨車	vrachtwagen
貨車	busje
貨車	vrachtauto
熱情	enthousiasme
熱情	hartstocht
熱情	geestdrift
熱情	passie
天天	alledaags
天天	dagelijks
手動	handmatig
手動	handboek
手動	manueel
手動	handmatige
手動	handleiding
噪音	ruis
噪音	geluidshinder
噪音	geluiden
噪音	lawaai
噪音	geluid
未定	onrustig
星期三	woensdag
評論家	criticus
評論家	critici
尿	plas
尿	plassen
尿	pis
電源	vermogen
電源	kracht
電源	macht
大洋	oceaan
演說	spraak
演說	redevoering
演說	toespraak
侯爵	markies
德克薩斯州	texaanse
學員	cursisten
學員	cadetten
學員	stagiaires
學員	kadet
矮星	dwerg
可行性	levensvatbaarheid
可行性	levensvatbaar
主修	majoor
主修	hoofdvak
支柱	lendenen
支柱	zuil
支柱	pilaar
支柱	pilaren
支柱	ruggengraat
支柱	pijler
支柱	pijlers
支柱	zuilen
帳戶	rekening
公國	hertogdom
公國	vorstendom
曲棍球	ijshockey
靈感	geïnspireerd
靈感	bezield
靈感	inspirerend
靈感	geïnspireerde
靈感	inspiratie
詮釋	interpreteren
哲學家	filosofen
哲學家	filosoof
財政部	schatkist
買賣	uitverkoop
買賣	verkopen
買賣	verkoop
改正	correctie
改正	rectificatie
制裁	sanctie
制裁	sancties
可怕	beangstigend
可怕	eng
刺客	huurmoordenaar
刺客	huurmoordenaars
刺客	moordenaar
刺客	moordenaars
手稿	handschriften
手稿	handschrift
手稿	manuscripten
外面	buiten
外面	buitenkant
替換	vervangen
替換	vervanging
替換	vervang
替換	vervanger
純粹	zuivere
純粹	zuiver
純粹	puur
創始人	stichter
創始人	oprichters
創始人	stichters
創始人	grondleggers
創始人	oprichter
精密	precisie
精密	geraffineerd
精密	nauwkeurigheid
精密	verfijning
輕鬆	rustig
輕鬆	makkelijk
輕鬆	eenvoudig
輕鬆	gemakkelijk
友情	vriendschap
友情	vriendschappen
沙特	saoedi
引述	geciteerde
引述	citeren
引述	citeer
引述	aangehaald
引述	citaten
引述	aangehaalde
引述	aanhalingstekens
引述	geciteerd
引述	citaat
萬里	kilometers
萬里	mijlen
萬里	mijl
繼承人	erfgenaam
繼承人	erfgenamen
導航	navigeren
導航	navigatie
鵰	arend
鵰	adelaar
退化	degradatie
退化	afgebroken
退化	afbraak
退化	degeneratie
退化	ontaarde
退化	degeneratieve
退化	gedegradeerd
季度	kwartje
季度	driemaandelijkse
季度	kwartaal
季度	driemaandelijks
季度	kwart
周日	zondag
向下	omlaag
國會議員	congresleden
國會議員	congreslid
雙重	duale
雙重	dubbele
雙重	dubbel
雙重	verdubbelen
雙重	tweepersoons
吞	slik
吞	doorslikken
吞	inslikken
吞	slikken
捕捉	vangt
捕捉	vangen
捕捉	gevangenneming
捕捉	vangst
捕捉	vastleggen
冶金	metallurgie
冶金	metallurgische
代數	algebraïsche
重申	bevestigend
降雨	neerslag
降雨	regenval
偶爾	incidenteel
選項	mogelijkheden
選項	optie
選項	opties
部族	stam
部族	stammen
折扣	kortingen
折扣	korting
氣氛	atmosfeer
氣氛	sfeer
氣氛	dampkring
糧	graan
反派	schurken
反派	slechterik
反派	boef
反派	schurk
召回	herinneren
召回	terugroepen
頻繁	regelmatig
頻繁	frequent
頻繁	veelvuldig
頻繁	vaak
頻繁	frequente
保密	vertrouwelijke
保密	geheimzinnigheid
保密	geheimhouding
保密	vertrouwelijkheid
保密	vertrouwelijk
姿態	postuur
姿態	gebaren
姿態	gebaar
姿態	houding
渡輪	veerboten
渡輪	veerboot
財富	rijkdommen
財富	fortuin
財富	rijkdom
轉化	transformatie
分泌	secretie
浪費	verspild
浪費	verspilling
浪費	afvalstoffen
浪費	afval
蕉	bananen
蕉	banaan
廢物	afvalstoffen
廢物	verspilling
廢物	afval
存取	toegang
初級	primair
初級	primaire
香蕉	bananen
香蕉	banaan
迷宮	doolhof
迷宮	labyrint
度量	meting
度量	maatstaf
度量	meet
度量	meten
度量	maatregel
度量	metingen
度量	opmeten
州長	gouverneur
省略	omissie
省略	weggelaten
省略	weglaten
驚人	geweldig
驚人	wonderbaarlijk
驚人	verbazingwekkend
振興	opleving
振興	heropleving
振興	verjonging
利比亞	libië
畜牧	veestapel
畜牧	vee
教士	geestelijke
鯨魚	walvis
鯨魚	walvissen
告白	biechten
告白	bekentenissen
告白	bekentenis
告白	biecht
貪污	verduistering
難度	moeilijkheden
難度	moeilijkheid
難度	moeilijkheidsgraad
不列顛	brittannië
攔截	onderschepping
攔截	onderscheppen
海事	maritiem
海事	marinier
最短	kortst
最短	kortste
減輕	mitigatie
減輕	verzachtende
視野	zicht
視野	visioen
視野	visualiseren
視野	visie
結尾	einde
結尾	beëindigen
結尾	eind
結尾	eindigend
胸部	borstkas
胸部	borst
胸部	borsten
破產	bankroet
破產	faillissement
破產	failliet
破產	faillissementen
精神病	psychose
左側	links
左側	linkse
左側	linker
業主	baasje
業主	eigenaren
業主	baasjes
業主	eigenaar
業主	eigenaars
業主	verhuurder
業主	huisbaas
喜好	preferentie
喜好	voorkeuren
喜好	voorkeur
纖維	weefsel
纖維	vezels
纖維	vezel
纖維	stof
海港	zeehaven
海港	zeehavens
渴望	verlang
渴望	verlangen
渴望	gretig
攝影師	fotografe
攝影師	fotografen
攝影師	fotograaf
挑選	selectie
挑選	kies
會談	gesprekken
聖誕節	kerstfeest
聖誕節	kerstmis
聖誕節	kerst
塔吉克	tadzjikistan
學歷	onderwijs
學歷	opvoeding
座標	coördinaten
急性	acuut
繩	touw
超音速	supersonische
特技	acrobatiek
睡眠	slapen
睡眠	slaap
建構	constructies
建構	construeren
採購	aanbestedingen
採購	aanschaffen
採購	inkoop
採購	aankoop
採購	aanbesteding
忘記	vergeet
忘記	vergeten
懲罰	sancties
懲罰	boetes
懲罰	straf
懲罰	bestraffing
懲罰	sanctie
懲罰	straffen
離職	afscheiding
離職	scheiding
對比	vergelijking
對比	tegenstelling
對比	vergelijkingen
圍繞	rondom
圍繞	rond
光線	lichte
光線	licht
信用	kredieten
信用	krediet
重生	wedergeboorte
重生	herboren
裁撤	afschaffing
詞典	woordenboeken
詞典	woordenboek
申請者	aanvragers
申請者	verzoeker
申請者	aanvrager
申請者	sollicitant
申請者	sollicitanten
自由主義	liberaal
自由主義	liberale
自由主義	liberalisme
缺點	nadelen
缺點	zwakte
缺點	zwakheid
缺點	gebreken
缺點	nadeel
缺點	tekortkomingen
禮儀	ceremoniële
禮儀	manieren
內建	gebouwd
內建	gebouwde
土司	toost
農村	platteland
報復	wraak
頂點	hoekpunt
多功能	multifunctioneel
多功能	multifunctionele
覺醒	ontwaken
已婚	getrouwd
已婚	gehuwd
微分	differentiële
微分	differentiatie
油田	olieveld
油田	olievelden
傳教	missionaris
塑造	vormgeving
塑造	vormgeven
交替	afgewisseld
交替	afwisselende
交替	afwisselend
雙手	handen
雙手	handjes
魔神	magisch
魔神	magie
極度	extreem
交出	overgeven
交出	overgave
獲取	krijg
獲取	krijgen
屠殺	slacht
屠殺	massamoord
屠殺	slachten
屠殺	slachting
屠殺	bloedbad
屠殺	slachtpartij
演習	uitoefening
演習	boren
演習	oefening
演習	uitoefenen
演習	lichaamsbeweging
演習	boor
演習	oefeningen
匹配	overeenkomend
匹配	bijpassende
匹配	lucifers
匹配	overeenkomende
匹配	wedstrijden
損害	beschadigingen
損害	beschadiging
損害	schade
出境	vertrek
出境	uitgang
郊區	voorstad
郊區	voorsteden
郊區	buitenwijken
郊區	buitenwijk
願望	wens
願望	verlangen
願望	begeerte
願望	wensen
阿拉伯人	arabieren
貧窮	armoede
光滑	glanzend
光滑	glibberig
光滑	glanzende
光滑	soepel
光滑	gladde
光滑	glad
河岸	rivieroever
遲	laat
詞語	woorden
生物學	biologische
生物學	biologisch
生物學	biologie
債務	schuldenlast
債務	schuld
債務	schulden
光芒	gloed
光芒	gloeien
俄語	rus
俄語	russisch
俄語	russische
渲染	renderen
按鈕	knopen
按鈕	knoppen
按鈕	knop
陣線	voorzijde
陣線	voorkant
分化	verdelen
分化	verdeel
週日	zondag
跆拳道	kickboksen
題目	onderwerp
題目	onderwerpen
忙	bezig
忙	bezet
忙	druk
半導體	halfgeleiders
半導體	halfgeleider
評分	tarief
評分	waarderingen
評分	beoordelingen
評分	nominaal
評分	beoordeling
評分	beoordeeld
評分	gewaardeerd
評分	beoordeelde
評分	waardering
評分	kijkcijfers
附件	bijlage
附件	gehechtheid
泡沫	luchtbellen
泡沫	schuim
泡沫	belletjes
泡沫	bubbel
泡沫	bubbels
泡沫	zeepbel
狀元	geleerde
動員	mobilisatie
動員	mobiliseren
倉庫	warenhuis
倉庫	magazijn
倉庫	pakhuis
倉庫	entrepot
發電機	generatoren
比喻	analogie
比喻	beeldspraak
比喻	metaforen
比喻	metafoor
埋葬	begrafenis
埋葬	begraven
埋葬	bedolven
松鼠	eekhoorn
松鼠	eekhoorns
衫	hemd
衫	overhemd
塵	stof
相撞	botsing
相撞	aanvaring
相撞	aanrijding
相撞	botsen
臨床	klinisch
退伍	ontslagen
退伍	geloosd
繞道	omzeilen
繞道	rondweg
繞道	omleiding
繞道	omweg
住院	ziekenhuisopname
自願	vrijwillige
自願	vrijwillig
輸	kwijt
輸	verliezen
輸	verdwaald
輸	verloren
輸	verlies
林子	bos
林子	houtsoorten
林子	bossen
方形	vierkant
方形	plein
方形	vierkante
猜想	gissen
猜想	vermoeden
愛國	patriottische
祝福	zegenen
祝福	zegeningen
祝福	gezegende
祝福	gezegend
祝福	zalig
祝福	zegening
祝福	zegen
人類學	antropologische
陷阱	valkuil
陷阱	vallen
陷阱	valstrik
倒數	aftellen
編纂	codificatie
編纂	compilatie
遺傳	erfelijke
遺傳	genen
遺傳	genetica
遺傳	erfelijk
遺傳	genetisch
遺傳	genetische
雨水	regen
雨水	regenwater
無數	talloze
無數	ontelbaar
無數	ontelbare
干預	storing
干預	tussenkomst
干預	interferentie
干預	inmenging
干預	interventies
干預	interventie
崩潰	ineenstorting
崩潰	crashen
崩潰	instorten
崩潰	instorting
手球	handbal
車票	kaartje
車票	kaartjes
射箭	boogschieten
糖尿病	diabetische
糖尿病	suikerziekte
糖尿病	diabetici
訂購	bestelling
訂購	geordend
訂購	besteld
訂購	bestelde
訂購	bestellen
訂購	orde
訂購	bevolen
鋁	aluminium
謀殺	moord
師傅	meester
探測器	sondes
探測器	sonde
探測器	detectoren
可靠性	betrouwbaarheid
壟斷	monopolie
壟斷	monopolistische
變數	variabel
變數	variabelen
變數	variabele
切割	snijden
切割	knippen
雙胞胎	tweelingen
雙胞胎	tweeling
聰明	slimme
聰明	slim
語文	talen
語文	taalgebruik
語文	taal
法西斯	fascisten
法西斯	fascistische
大主教	aartsbisschop
量化	kwantificeren
量化	gekwantificeerd
量化	kwantitatief
量化	kwantitatieve
量化	meetbaar
鯉魚	karper
鯉魚	karpers
有時候	soms
植被	vegetatie
老大	baas
解答	antwoorden
同居	samenwonen
大象	olifant
大象	olifanten
遊樂場	speelplaats
遊樂場	speelveld
遊樂場	speeltuin
遊樂場	speeltuinen
回覆	antwoorden
回覆	antwoord
回覆	beantwoorden
衰變	verval
感應	inductie
塑膠	kunststoffen
塑膠	kunststof
塑膠	plastiek
排斥	uitsluiten
排斥	uitsluiting
連鎖	ketting
連鎖	keten
企鵝	pinguïns
企鵝	pinguïn
懸	hangen
懸	ophanging
懸	ophangen
懸	rondhangen
頒布	afgekondigd
浪潮	vloed
浪潮	getij
浪潮	zwaaien
浪潮	golf
浪潮	tij
盈利	winstgevendheid
盈利	rendabel
盈利	rentabiliteit
盈利	winstgevende
盈利	winsten
盈利	winst
盈利	winstgevend
過渡	overgangen
過渡	overgang
傳教士	missionaris
傳教士	missionarissen
表揚	lof
表揚	loof
每個人	iedereen
濕	nat
濕	natte
獲准	toegestane
獲准	toegelaten
獲准	toegestaan
摩西	mozes
降級	gedegradeerd
戶外	buiten
戶外	buitenshuis
脊椎	wervelkolom
脊椎	ruggengraat
空缺	vacatures
空缺	vacature
空缺	vrijgekomen
阻擋	blokkering
阻擋	blokkeren
巡邏	patrouilles
巡邏	patrouilleren
巡邏	patrouille
睡	slapen
睡	slapend
睡	slaap
扭力	koppel
蛋糕	gebak
蛋糕	taarten
蛋糕	taart
流出	uitstroom
對待	behandelen
對待	behandel
對待	traktatie
鑲嵌	betegeling
持股	participaties
過期	verlopen
過期	verloopt
過期	vervalt
過期	vervallen
過期	aflopen
庇護	asiel
恐慌	paniek
前輩	oudere
旋風	cycloon
旋風	wervelwind
旋風	ozon
殘疾	gehandicapten
殘疾	invalide
殘疾	uitgeschakeld
殘疾	handicap
殘疾	gehandicapt
殘疾	gehandicapte
殘疾	invaliditeit
殘疾	handicaps
殘疾	arbeidsongeschiktheid
推定	vermoedelijke
推定	veronderstelde
推定	vermoeden
推定	verondersteld
推定	veronderstelling
處決	uitvoering
處決	executie
處決	executies
處決	terechtstelling
處決	terechtstellingen
自傳	biografie
自傳	autobiografie
哇	amai
哇	wauw
病患	patiënten
病患	patiënt
病患	patienten
病患	geduldig
碳酸	carbonaat
漁業	visvangst
漁業	visserij
漁業	vissen
硼	boor
命中	treffers
命中	treffer
命中	geraakt
杜鵑	koekoek
大理石	marmer
大理石	knikker
大理石	marmeren
撥款	toewijzing
撥款	allocatie
撥款	toewijzingen
炭	houtskool
炭	koolstof
特效	gevolgen
特效	uitwerkingen
特效	effecten
疑問	twijfel
疑問	twijfelen
步驟	stap
步驟	stapje
步驟	treden
步驟	stappen
步驟	stapjes
大洲	werelddelen
大洲	continenten
織	weven
救助	berging
縮小	krimpen
縮小	smalle
縮小	psych
縮小	psychiater
縮小	krimp
縮小	smal
衡量	meting
衡量	maatstaf
衡量	meet
衡量	meten
衡量	metingen
衡量	opmeten
衡量	maatregel
內陸	binnenland
高興	gelukkig
高興	vrolijk
高興	blij
高興	tevreden
電路	schakelingen
墓園	kerkhof
墓園	begraafplaats
間隔	intervallen
海岸線	kust
海岸線	kustlijn
海岸線	kusten
詩歌	gedichten
詩歌	poëzie
善良	vriendelijkheid
善良	soort
流失	afvoer
氧化物	oxiden
正方形	vierkant
正方形	plein
正方形	vierkante
保守派	conservatieven
保守派	conservatief
保守派	conservatieve
判刑	vonnis
判刑	veroordeling
判刑	straf
判刑	veroordeeld
判刑	zin
判刑	zinnen
判刑	vonnissen
剪輯	fragment
剪輯	bewerken
灶	kachels
灶	haard
灶	fornuis
灶	kachel
複數	meervoud
英勇	dapperheid
英勇	moed
氯化	chlorering
印度教	hindoeïsme
印度教	hindoe
會所	clubhuis
外貌	verschijning
外貌	uiterlijk
短缺	tekort
短缺	schaarste
短缺	tekorten
音節	lettergreep
音節	lettergrepen
傻	stom
傻	onnozel
跳躍	springende
跳躍	springen
跳躍	spring
跳躍	sprong
測驗	proeven
測驗	tests
測驗	testen
伯德	vogels
伯德	vogeltje
伯德	vogel
峽谷	kloof
峽谷	ravijn
峽谷	ravijnen
傳聞	gerucht
傳聞	geruchten
飼養	fokken
飼養	fokkerij
飼養	fok
吞吐量	verwerkingscapaciteit
氣壓	druk
戰區	theater
微波	magnetron
液體	vloeistof
液體	vloeibare
液體	vloeibaar
液體	vloeistoffen
回顧	herinnerend
住宿	accommodatie
信念	vertrouwen
信念	overtuiging
信念	geloof
信念	veroordeling
槍擊	schoten
槍擊	schietpartij
槍擊	schieten
落地	aanlanding
落地	aanvoer
墓碑	grafsteen
國歌	volkslied
國歌	hymne
彈頭	kernkop
彈頭	kernkoppen
彈頭	kogel
內心	innerlijk
內心	binnenkant
內心	binnen
內心	innerlijke
內心	binnenste
新鮮	fris
新鮮	vers
新鮮	verse
沼澤	moeras
沼澤	veen
直立	rechtop
圍攻	beleg
圍攻	belegering
表情	uitdrukking
表情	expressie
幻影	fantoom
幻影	spook
遙遠	verre
遙遠	afstandelijk
各式	assortiment
各式	gesorteerd
塑像	standbeelden
塑像	beeldje
塑像	standbeeld
牛肉	rundvlees
樓梯	trap
樓梯	trappenhuis
樓梯	trappen
狩獵	jacht
狩獵	jagen
專科	specialiteiten
穩	gestaag
穩	stabiel
等候	afwachten
等候	wachten
等候	wachtende
下屬	ondergeschikten
動機	motief
動機	motivatie
動機	motieven
軌跡	spoor
軌跡	traject
風景	landschap
滴	druppelen
滴	druppels
滴	infuus
微型	miniatuur
海豹	robben
海豹	verzegeling
海豹	verzegelen
海豹	zegel
海豹	zegels
海豹	zeehonden
海豹	zeehond
樓上	boven
大廳	lobbyen
大廳	hal
大廳	zaal
神廟	tempel
界限	grenzen
日誌	tijdschrift
日誌	dagboek
日誌	logboek
喊	schreeuwen
喊	schreeuw
基準	uitgangssituatie
基準	basislijn
花瓣	blaadjes
蜥蜴	hagedissen
蜥蜴	hagedis
袍	gewaden
袍	gewaad
總和	som
著作權	auteurschap
著作權	auteursrechten
著作權	auteursrecht
熱心	enthousiasme
熱心	geestdrift
熱心	enthousiast
熱心	enthousiaste
放射	bestraling
放射	straling
放射	radioactiviteit
放射	radiologie
放射	radioactief
小熊	welpen
開支	uitgaven
開支	onkosten
平板	tabletten
平板	tafelen
摩擦	wrijving
摩擦	wrijven
敵方	vijand
繁榮	welvaart
繁榮	welvarende
繁榮	voorspoedig
繁榮	voorspoed
繁榮	welvarend
繁榮	boem
輪胎	banden
延期	uitbreidingen
延期	extensies
延期	uitbreiding
延期	verlenging
延期	extensie
延期	verlengingen
蟬	cicade
肺炎	longontsteking
肺炎	pneumonie
波長	golflengten
波長	golflengte
親屬	familieleden
親屬	verwanten
衍生物	derivaten
擴散	wildgroei
擴散	verspreiding
擴散	proliferatie
醬	saus
二手	tweedehands
珠寶	sieraden
珠寶	juwelen
斧	bijl
非凡	buitengewone
非凡	buitengewoon
非凡	uitzonderlijk
焊接	lassen
焊接	gelast
焊接	gelaste
獎學金	studiebeurzen
獎學金	studiebeurs
獎學金	beurzen
獎學金	beurs
偵查	verkenning
視訊	filmpje
阻礙	belemmering
阻礙	hinderen
阻礙	obstructie
阻礙	tegenwerking
侄子	neef
侄子	neefje
墳	graf
資本主義	kapitalistische
資本主義	kapitalisme
辛苦	harde
辛苦	moeilijk
有毒	toxische
有毒	giftig
有毒	toxisch
排水	afvoer
奇異	enkelvoud
奇異	exotisch
奇異	exotische
雉	fazant
慢性	chronisch
馬達	motoren
馬達	motorische
光榮	glorieus
光榮	glorieuze
光榮	heerlijkheid
光榮	glorie
光榮	roem
胡椒	peper
胡椒	paprika
自信	zelfverzekerde
自信	vertrouwen
自信	zelfvertrouwen
自信	zelfverzekerd
邊疆	grenzen
邊疆	grens
殖民者	kolonisten
染色體	chromosoom
染色體	chromosomen
枕	kussen
寺廟	tempel
寺廟	tempels
相交	kruispunten
相交	kruisen
相交	snijden
伴侶	metgezel
電荷	opladen
溫柔	zacht
溫柔	zachtaardig
溫柔	offerte
潮汐	vloed
潮汐	getij
潮汐	tij
潮汐	getijden
事變	voorval
抒情	lyrische
申訴	klachten
申訴	klacht
蔓延	verspreiden
蔓延	sloppen
蔓延	verspreiding
蔓延	verspreid
漂流	driften
漂流	drijvend
漂流	drijven
燈塔	vuurtoren
燈塔	baken
加勒比	caribische
加勒比	caraïben
陡	steile
陡	steil
無名	naamloos
血腥	bloedig
血腥	bloedige
血腥	bloederig
醜聞	schandaal
醜聞	schandalen
插圖	illustraties
骨頭	botten
骨頭	botje
骨頭	beenderen
骨頭	bot
經理人	bedrijfsleider
堡壘	vesting
堡壘	burcht
堡壘	bolwerk
堡壘	fort
工資	loon
工資	lonen
工資	salaris
工資	salarissen
犀牛	neushoorn
犀牛	neushoorns
思想家	denkers
思想家	denker
乘車	rit
寂寞	eenzame
寂寞	eenzaam
寂寞	eenzaamheid
叢	bundel
花卉	bloemen
花卉	bloemetjes
庭院	binnenplaats
仙女	fee
仙女	feeën
仙女	elfje
蘇維埃	sovjets
蘇維埃	sovjet
煙花	vuurwerk
筋	pezen
和諧	harmonie
撤消	herroepen
撤消	intrekken
室外	buiten
室外	buitenkant
室外	buitenshuis
鵝	ganzen
鵝	gans
刺殺	moord
刺殺	moordaanslag
彈劾	afzetting
坐標	coördinaten
坐標	coördinaat
坐標	coördineren
永恆	tijdloos
永恆	eeuwigheid
永恆	eeuwige
永恆	eeuwig
永恆	tijdloze
津貼	toelagen
津貼	toelage
津貼	vergoedingen
津貼	zakgeld
津貼	emissierechten
破解	kraken
破解	barst
甲殼類	schaaldieren
捲	rol
捲	rollen
卡車	vrachtwagen
卡車	vrachtwagens
卡車	vrachtauto
麻雀	mussen
麻雀	mus
阻力	slepen
阻力	sleep
阻力	weerstand
阻力	verzet
阻力	tegenstand
阻力	resistentie
阻力	verslepen
關懷	zorgzame
關懷	zorgzaam
沙拉	salade
耳朵	oortjes
耳朵	oor
耳朵	oren
啟發	geïnspireerd
啟發	inspirerend
啟發	geïnspireerde
啟發	bezield
盧森堡	luxemburg
盧森堡	luxemburgse
盧森堡	luxemburgs
疼痛	pijn
佔有	bezit
佔有	bezetenheid
獨家	exclusief
獨家	exclusieve
約束	beperking
掩護	dekken
掩護	dekking
掩護	omslag
鈍	botte
鈍	stompe
鈍	stomp
復原	herstel
復原	restauratie
復原	restaureren
清潔	schoonmaken
清潔	reinheid
清潔	schoonmaak
清潔	schoon
清潔	proper
清潔	reinigen
清潔	reiniging
清潔	netheid
長壽	levensduur
友誼	vriendschap
多元化	pluralisme
多元化	pluriformiteit
多元化	diversificatie
多元化	diversiteit
多元化	verscheidenheid
友善	vriendelijke
友善	vriendschappelijk
友善	vriendelijk
山麓	piëmont
甜蜜	lieve
甜蜜	lief
甜蜜	zoet
瘦	mager
瘦	dun
瘦	slank
瘦	leunen
瘦	magere
甲烷	methaan
優質	kwaliteit
書法	kalligrafie
船員	bemanning
前衛	voorhoede
稀少	schaarse
稀少	schaars
稀少	karig
山羊	geiten
山羊	geit
丟	gooien
丟	gooi
消化	verteerd
消化	spijsvertering
消化	verteren
成效	doeltreffendheid
成效	doelmatigheid
成效	werkzaamheid
成效	effectiviteit
樹木	bomen
樹木	boom
樹木	boomstructuur
陶器	aardewerk
租賃	verhuur
租賃	huurcontract
租賃	lease
馬達加斯加	madagaskar
告別	vaarwel
告別	afscheid
胖	vet
胖	dik
胖	dikke
狹窄	stenose
狹窄	smalle
狹窄	smal
裁決	uitspraak
裁決	vonnis
裁決	oordeel
無力	machteloos
節省	sparen
節省	spaargeld
節省	opslaan
節省	besparing
節省	besparingen
節省	redden
磚	bakstenen
磚	baksteen
磚	stenen
利率	tarief
水下	onderwater
意向	voornemens
意向	bedoeling
意向	intenties
意向	intentie
意向	neiging
意向	bedoelingen
壓制	onderdrukken
壓制	repressie
壓制	onderdrukking
進度	vorderingen
進度	voortgang
進度	vooruitgang
重溫	herleven
指稱	aantijgingen
指稱	bewering
指稱	beweringen
指稱	beschuldigingen
指稱	beschuldiging
哺乳動物	zoogdieren
哺乳動物	zoogdier
爺爺	grootvader
爺爺	opa
突襲	invallen
突襲	inval
情侶	geliefden
情侶	minnaars
情侶	koppels
情侶	paar
情侶	liefhebbers
情侶	stelletjes
情侶	koppel
情侶	echtparen
情侶	stellen
情侶	paren
交接	overdracht
示範	betoging
示範	demonstratie
保全	behouden
保全	conservering
保全	bewaren
保全	bewaring
保全	behoud
宮殿	paleis
智力	inlichtingen
智力	intellectueel
智力	inlichtingendienst
智力	intellectuele
智力	intelligentie
渡口	veerboot
糾紛	geschillen
糾紛	geschil
糾紛	betwisten
發光	gloeiende
發光	lichtgevende
發光	glans
發光	gloed
發光	schijnen
發光	gloeien
結盟	alliantie
結盟	bondgenootschap
結盟	verbond
阿拉伯語	arabisch
阿拉伯語	arabische
異議	bezwaarschrift
異議	bezwaren
異議	bezwaar
係數	coëfficiënt
係數	coëfficiënten
抱怨	klagen
抱怨	beklagen
抱怨	klaag
窮	arm
窮	arme
投球	pek
投球	werpen
投球	worp
銀色	zilveren
銀色	zilver
鞘	schede
小牛	kalf
小牛	kalveren
小牛	kuit
訪談	sollicitatie
訪談	sollicitatiegesprek
訪談	interviewen
口味	smaken
口味	smaakt
宗派	sektarische
就職	inauguratie
人性	menselijkheid
人性	mensheid
噴發	uitbarsting
噴發	uitbarstingen
失誤	fouten
失誤	vergissingen
溶解	oplossen
溶解	ontbonden
溶解	opgeloste
溶解	opgelost
溶解	ontbinden
公報	communiqué
主觀	subjectiviteit
主觀	subjectieve
主觀	subjectief
天平	schalen
天平	schubben
天平	weegschaal
天平	weegschalen
外國人	vreemdeling
外國人	buitenlanders
外國人	vreemdelingen
外國人	buitenlander
反感	afkeer
神仙	fee
神仙	feeën
神仙	elfje
李子	pruimen
李子	pruim
腸	worstjes
腸	worst
腸	darm
腸	ingewanden
腸	darmen
鹼	alkalische
石板	leisteen
石板	lei
石板	leien
君主制	monarchie
野心	ambitie
野心	ambitieus
野心	ambities
野心	ambitieuze
別墅	vakantiewoning
幅度	marges
印地安人	indiërs
印地安人	indianen
籠	kooi
監管	toezicht
監管	supervisie
顯示器	monitoren
顯示器	weergeven
顯示器	weergave
有害	schadelijke
有害	schadelijk
銀河系	sterrenstelsel
銀河系	melkwegstelsel
銀河系	melkweg
罰款	geldboetes
罰款	boeten
罰款	boetes
詛咒	vloek
詛咒	vervloeken
詛咒	vloeken
草莓	aardbeien
草莓	aardbei
奶奶	grootmoeder
奶奶	oma
蚊	mug
蚊	muggen
補償	compensatie
補償	vergoeding
補償	herstelbetalingen
補償	schadeloosstelling
補償	compenserende
補償	schadevergoeding
教父	peetvader
廁所	badkamer
廁所	badhuis
廁所	wc
葉子	blaadjes
葉子	blad
葉子	bladeren
葉子	blaadje
激進	radicaal
激進	radicale
有罪	schuldig
有罪	schuldige
有罪	schuldigen
禮拜	aanbidding
禮拜	aanbidden
禮拜	verering
樣式	stijl
樣式	stijlen
遷徙	migreren
遷徙	migraties
遷徙	migratie
交響樂團	symfonie
抄襲	plagiaat
海倫	helena
海倫	hellen
讀音	uitspraak
聖殿	tempel
聖殿	basiliek
空格	ruimtes
空格	ruimten
空格	spaties
郵票	postzegel
郵票	postzegels
郵票	zegels
郵票	stempel
郵票	stempels
多瑙河	donau
阿爾及利亞	algerije
騷擾	lastigvallen
騷擾	pesterijen
騷擾	intimidatie
冷卻	afkoeling
冷卻	koelen
冷卻	koeling
攝影機	fototoestel
皇宮	paleis
法老	farao
微小	piepklein
出版商	uitgeverij
出版商	uitgevers
出版商	uitgeverijen
出版商	uitgever
精美	voortreffelijk
溫和	zacht
溫和	milde
溫和	matig
溫和	gematigde
溫和	gematigd
溫和	zachtaardig
溫和	matige
溫和	matiging
公升	liter
相對論	relativiteitstheorie
相對論	relativiteit
相對論	relativisme
對面	tegenovergesteld
對面	tegenover
對面	tegengesteld
對面	tegenovergestelde
香料	specerijen
香料	kruiden
香料	kruid
悼念	rouw
悼念	rouwen
悼念	tributen
悼念	hulde
悼念	eerbetoon
辣椒	peper
辣椒	paprika
國徽	embleem
悲劇	tragedie
悲劇	tragisch
悲劇	tragische
鎖定	vergrendelen
鎖定	sluis
鎖定	vergrendeld
鎖定	gesloten
鎖定	slot
鎖定	opgesloten
租金	huurt
租金	verhuur
喀麥隆	kameroen
誤解	onbegrip
誤解	misverstand
誤解	onbegrepen
誤解	misverstanden
誤解	misvatting
彎曲	buig
